cif name= ./1538614.cif
./1538614.cif
Full Formula (Li56 Ni8 N32)
Li1 : [ 0.       7.17825 -2.39275] : 44
Li1 : [0.     4.7855 0.    ] : 9
Li1 : [2.39275 7.17825 0.     ] : 36
N1 : [ 1.100665  8.470335 -1.100665] : 92
Li1 : [0.      7.17825 2.39275] : 42
!!!atention to nb coordination!!!
         [2.0229707194309556, 2.0721822849052156, 2.3927499999999995, 2.072182284905216, 2.3927499999999995, 2.3927500000000004, 2.39275, 2.0229707194309556, 2.39275]
         [2.022970719430956, 2.072182284905216, 2.39275, 2.072182284905216, 2.39275, 2.3927500000000004, 2.39275, 2.022970719430956, 2.39275]

ce_symbol  = TI:9
ce_fraction=  0.0023742059986874
species:coords:index
N1 : [-1.100665  8.470335  1.100665] : 90
N1 : [-1.196375  5.981875 -1.196375] : 79
Li1 : [-2.39275  7.17825  0.     ] : 34
N1 : [1.196375 5.981875 1.196375] : 75
Li1 : [ 0.       7.17825 -2.39275] : 44
Li1 : [0.     4.7855 0.    ] : 9
Li1 : [2.39275 7.17825 0.     ] : 36
N1 : [ 1.100665  8.470335 -1.100665] : 92
Li1 : [0.      7.17825 2.39275] : 42
!!!atention to nb coordination!!!
         [2.0229707194309556, 2.0721822849052156, 2.3927499999999995, 2.072182284905216, 2.3927499999999995, 2.3927500000000004, 2.39275, 2.0229707194309556, 2.39275]
         [2.022970719430956, 2.072182284905216, 2.39275, 2.072182284905216, 2.39275, 2.3927500000000004, 2.39275, 2.022970719430956, 2.39275]


**isite= 27
Li1 : [2.39275 4.7855  4.7855 ]

ce_symbol  = T:4
ce_fraction=  0.9478476734410001
species:coords:index
N1 : [3.684835 5.886165 3.684835] : 91
N1 : [1.196375 5.981875 5.981875] : 76
N1 : [1.196375 3.589125 3.589125] : 72
N1 : [3.684835 3.684835 5.886165] : 93

ce_symbol  = TO_3:9
ce_fraction=  0.049778120560312465
species:coords:index
N1 : [3.684835 5.886165 3.684835] : 91
N1 : [1.196375 5.981875 5.981875] : 76
N1 : [1.196375 3.589125 3.589125] : 72
Li1 : [2.39275 7.17825 4.7855 ] : 35
N1 : [3.684835 3.684835 5.886165] : 93
Li1 : [2.39275 4.7855  7.17825] : 45
Li1 : [2.39275 4.7855  2.39275] : 43
Li1 : [2.39275 2.39275 4.7855 ] : 37
Li1 : [0.     4.7855 4.7855] : 8

ce_symbol  = TI:9
ce_fraction=  0.002374205998687383
species:coords:index
N1 : [3.684835 5.886165 3.684835] : 91
N1 : [1.196375 5.981875 5.981875] : 76
N1 : [1.196375 3.589125 3.589125] : 72
Li1 : [2.39275 7.17825 4.7855 ] : 35
N1 : [3.684835 3.684835 5.886165] : 93
Li1 : [2.39275 4.7855  7.17825] : 45
Li1 : [2.39275 4.7855  2.39275] : 43
Li1 : [2.39275 2.39275 4.7855 ] : 37
Li1 : [0.     4.7855 4.7855] : 8


**isite= 28
Li1 : [0.      0.      2.39275]

ce_symbol  = T:4
ce_fraction=  0.9478476734410002
species:coords:index
N1 : [ 1.196375 -1.196375  3.589125] : 67
N1 : [-1.100665 -1.100665  1.100665] : 90
N1 : [-1.196375  1.196375  3.589125] : 65
N1 : [1.100665 1.100665 1.100665] : 88
!!!atention to nb coordination!!!
         [2.0721822849052156, 2.0229707194309556, 2.0721822849052156, 2.022970719430956]
         [2.0721822849052156, 2.022970719430956, 2.0721822849052156, 2.022970719430956]

ce_symbol  = TO_3:9
ce_fraction=  0.04977812056031246
species:coords:index
N1 : [ 1.196375 -1.196375  3.589125] : 67
N1 : [-1.100665 -1.100665  1.100665] : 90
Li1 : [ 0.      -2.39275  2.39275] : 42
Li1 : [0.      2.39275 2.39275] : 40
Li1 : [-2.39275  0.       2.39275] : 53
Li1 : [0.     0.     4.7855] : 13
N1 : [-1.196375  1.196375  3.589125] : 65
Li1 : [2.39275 0.      2.39275] : 48
N1 : [1.100665 1.100665 1.100665] : 88
!!!atention to nb coordination!!!
         [2.0721822849052156, 2.0229707194309556, 2.3927499999999995, 2.39275, 2.3927499999999995, 2.39275, 2.0721822849052156, 2.39275, 2.022970719430956]
         [2.0721822849052156, 2.022970719430956, 2.39275, 2.39275, 2.39275, 2.39275, 2.0721822849052156, 2.39275, 2.022970719430956]

ce_symbol  = TI:9
ce_fraction=  0.002374205998687385
species:coords:index
N1 : [ 1.196375 -1.196375  3.589125] : 67
N1 : [-1.100665 -1.100665  1.100665] : 90
Li1 : [ 0.      -2.39275  2.39275] : 42
Li1 : [0.      2.39275 2.39275] : 40
Li1 : [-2.39275  0.       2.39275] : 53
Li1 : [0.     0.     4.7855] : 13
N1 : [-1.196375  1.196375  3.589125] : 65
Li1 : [2.39275 0.      2.39275] : 48
N1 : [1.100665 1.100665 1.100665] : 88
!!!atention to nb coordination!!!
         [2.0721822849052156, 2.0229707194309556, 2.3927499999999995, 2.39275, 2.3927499999999995, 2.39275, 2.0721822849052156, 2.39275, 2.022970719430956]
         [2.0721822849052156, 2.022970719430956, 2.39275, 2.39275, 2.39275, 2.39275, 2.0721822849052156, 2.39275, 2.022970719430956]


**isite= 29
Li1 : [0.      0.      7.17825]

ce_symbol  = T:4
ce_fraction=  0.9478476734410001
species:coords:index
N1 : [1.196375 1.196375 5.981875] : 69
N1 : [-1.100665  1.100665  8.470335] : 94
N1 : [ 1.100665 -1.100665  8.470335] : 92
N1 : [-1.196375 -1.196375  5.981875] : 71
!!!atention to nb coordination!!!
         [2.072182284905216, 2.0229707194309556, 2.0229707194309556, 2.0721822849052156]
         [2.072182284905216, 2.022970719430956, 2.022970719430956, 2.072182284905216]

ce_symbol  = TO_3:9
ce_fraction=  0.04977812056031262
species:coords:index
N1 : [1.196375 1.196375 5.981875] : 69
N1 : [-1.100665  1.100665  8.470335] : 94
Li1 : [ 0.      -2.39275  7.17825] : 44
N1 : [ 1.100665 -1.100665  8.470335] : 92
Li1 : [-2.39275  0.       7.17825] : 51
N1 : [-1.196375 -1.196375  5.981875] : 71
Li1 : [0.     0.     4.7855] : 13
Li1 : [0.      2.39275 7.17825] : 46
Li1 : [2.39275 0.      7.17825] : 49
!!!atention to nb coordination!!!
         [2.072182284905216, 2.0229707194309556, 2.3927499999999995, 2.0229707194309556, 2.3927499999999995, 2.0721822849052156, 2.3927500000000004, 2.39275, 2.39275]
         [2.072182284905216, 2.022970719430956, 2.39275, 2.022970719430956, 2.39275, 2.072182284905216, 2.3927500000000004, 2.39275, 2.39275]

ce_symbol  = TI:9
ce_fraction=  0.002374205998687398
species:coords:index
N1 : [1.196375 1.196375 5.981875] : 69
N1 : [-1.100665  1.100665  8.470335] : 94
Li1 : [ 0.      -2.39275  7.17825] : 44
N1 : [ 1.100665 -1.100665  8.470335] : 92
Li1 : [-2.39275  0.       7.17825] : 51
N1 : [-1.196375 -1.196375  5.981875] : 71
Li1 : [0.     0.     4.7855] : 13
Li1 : [0.      2.39275 7.17825] : 46
Li1 : [2.39275 0.      7.17825] : 49
!!!atention to nb coordination!!!
         [2.072182284905216, 2.0229707194309556, 2.3927499999999995, 2.0229707194309556, 2.3927499999999995, 2.0721822849052156, 2.3927500000000004, 2.39275, 2.39275]
         [2.072182284905216, 2.022970719430956, 2.39275, 2.022970719430956, 2.39275, 2.072182284905216, 2.3927500000000004, 2.39275, 2.39275]


**isite= 30
Li1 : [4.7855  4.7855  7.17825]

ce_symbol  = T:4
ce_fraction=  0.9478476734410003
species:coords:index
N1 : [5.981875 3.589125 8.374625] : 70
N1 : [3.589125 5.981875 8.374625] : 68
N1 : [3.684835 3.684835 5.886165] : 93
N1 : [5.886165 5.886165 5.886165] : 95

ce_symbol  = TO_3:9
ce_fraction=  0.04977812056031238
species:coords:index
N1 : [5.981875 3.589125 8.374625] : 70
Li1 : [4.7855 4.7855 9.571 ] : 12
N1 : [3.589125 5.981875 8.374625] : 68
N1 : [3.684835 3.684835 5.886165] : 93
Li1 : [2.39275 4.7855  7.17825] : 45
Li1 : [4.7855  2.39275 7.17825] : 50
Li1 : [7.17825 4.7855  7.17825] : 47
Li1 : [4.7855  7.17825 7.17825] : 52
N1 : [5.886165 5.886165 5.886165] : 95

ce_symbol  = TI:9
ce_fraction=  0.0023742059986873866
species:coords:index
N1 : [5.981875 3.589125 8.374625] : 70
Li1 : [4.7855 4.7855 9.571 ] : 12
N1 : [3.589125 5.981875 8.374625] : 68
N1 : [3.684835 3.684835 5.886165] : 93
Li1 : [2.39275 4.7855  7.17825] : 45
Li1 : [4.7855  2.39275 7.17825] : 50
Li1 : [7.17825 4.7855  7.17825] : 47
Li1 : [4.7855  7.17825 7.17825] : 52
N1 : [5.886165 5.886165 5.886165] : 95


**isite= 31
Li1 : [4.7855  4.7855  2.39275]

ce_symbol  = T:4
ce_fraction=  0.9478476734410004
species:coords:index
N1 : [3.684835 5.886165 3.684835] : 91
N1 : [3.589125 3.589125 1.196375] : 64
N1 : [5.886165 3.684835 3.684835] : 89
N1 : [5.981875 5.981875 1.196375] : 66
!!!atention to nb coordination!!!
         [2.022970719430956, 2.072182284905215, 2.0229707194309565, 2.072182284905215]
         [2.022970719430956, 2.072182284905215, 2.022970719430956, 2.072182284905215]

ce_symbol  = TO_3:9
ce_fraction=  0.049778120560312236
species:coords:index
N1 : [3.684835 5.886165 3.684835] : 91
N1 : [3.589125 3.589125 1.196375] : 64
Li1 : [2.39275 4.7855  2.39275] : 43
N1 : [5.886165 3.684835 3.684835] : 89
Li1 : [4.7855  7.17825 2.39275] : 54
Li1 : [4.7855  2.39275 2.39275] : 55
Li1 : [4.7855 4.7855 0.    ] : 12
N1 : [5.981875 5.981875 1.196375] : 66
Li1 : [7.17825 4.7855  2.39275] : 41
!!!atention to nb coordination!!!
         [2.022970719430956, 2.072182284905215, 2.39275, 2.0229707194309565, 2.3927500000000004, 2.39275, 2.39275, 2.072182284905215, 2.3927500000000004]
         [2.022970719430956, 2.072182284905215, 2.39275, 2.022970719430956, 2.3927500000000004, 2.39275, 2.39275, 2.072182284905215, 2.3927500000000004]

ce_symbol  = TI:9
ce_fraction=  0.0023742059986873844
species:coords:index
N1 : [3.684835 5.886165 3.684835] : 91
N1 : [3.589125 3.589125 1.196375] : 64
Li1 : [2.39275 4.7855  2.39275] : 43
N1 : [5.886165 3.684835 3.684835] : 89
Li1 : [4.7855  7.17825 2.39275] : 54
Li1 : [4.7855  2.39275 2.39275] : 55
Li1 : [4.7855 4.7855 0.    ] : 12
N1 : [5.981875 5.981875 1.196375] : 66
Li1 : [7.17825 4.7855  2.39275] : 41
!!!atention to nb coordination!!!
         [2.022970719430956, 2.072182284905215, 2.39275, 2.0229707194309565, 2.3927500000000004, 2.39275, 2.39275, 2.072182284905215, 2.3927500000000004]
         [2.022970719430956, 2.072182284905215, 2.39275, 2.022970719430956, 2.3927500000000004, 2.39275, 2.39275, 2.072182284905215, 2.3927500000000004]


**isite= 32
Li1 : [2.39275 2.39275 0.     ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [1.100665 1.100665 1.100665] : 88
N1 : [ 1.196375  3.589125 -1.196375] : 77
N1 : [ 3.589125  1.196375 -1.196375] : 82
N1 : [3.589125 3.589125 1.196375] : 64


**isite= 33
Li1 : [7.17825 2.39275 4.7855 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [5.886165 3.684835 3.684835] : 89
N1 : [8.374625 1.196375 3.589125] : 65
N1 : [5.981875 1.196375 5.981875] : 83
N1 : [8.374625 3.589125 5.981875] : 78


**isite= 34
Li1 : [7.17825 7.17825 0.     ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [ 5.981875  8.374625 -1.196375] : 84
N1 : [5.981875 5.981875 1.196375] : 66
N1 : [ 8.374625  5.981875 -1.196375] : 79
N1 : [8.470335 8.470335 1.100665] : 90


**isite= 35
Li1 : [2.39275 7.17825 4.7855 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [1.196375 5.981875 5.981875] : 76
N1 : [3.589125 8.374625 5.981875] : 81
N1 : [1.196375 8.374625 3.589125] : 67
N1 : [3.684835 5.886165 3.684835] : 91


**isite= 36
Li1 : [2.39275 7.17825 0.     ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [1.196375 5.981875 1.196375] : 75
N1 : [ 3.589125  5.981875 -1.196375] : 68
N1 : [3.589125 8.374625 1.196375] : 86
N1 : [ 1.100665  8.470335 -1.100665] : 92
!!!atention to nb coordination!!!
         [2.072182284905216, 2.072182284905216, 2.0721822849052156, 2.1331738646146494]
         [2.072182284905216, 2.072182284905216, 2.0721822849052156, 2.13317386461465]


**isite= 37
Li1 : [2.39275 2.39275 4.7855 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [1.196375 3.589125 3.589125] : 72
N1 : [1.196375 1.196375 5.981875] : 69
N1 : [3.589125 1.196375 3.589125] : 80
N1 : [3.684835 3.684835 5.886165] : 93


**isite= 38
Li1 : [7.17825 2.39275 0.     ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [8.374625 3.589125 1.196375] : 73
N1 : [ 5.981875  3.589125 -1.196375] : 70
N1 : [5.981875 1.196375 1.196375] : 87
N1 : [ 8.470335  1.100665 -1.100665] : 94
!!!atention to nb coordination!!!
         [2.0721822849052156, 2.072182284905216, 2.0721822849052156, 2.1331738646146494]
         [2.0721822849052156, 2.072182284905216, 2.072182284905216, 2.13317386461465]


**isite= 39
Li1 : [7.17825 7.17825 4.7855 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [5.981875 8.374625 3.589125] : 85
N1 : [8.374625 8.374625 5.981875] : 71
N1 : [8.374625 5.981875 3.589125] : 74
N1 : [5.886165 5.886165 5.886165] : 95


**isite= 40
Li1 : [0.      2.39275 2.39275]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [1.100665 1.100665 1.100665] : 88
N1 : [-1.196375  3.589125  1.196375] : 73
N1 : [1.196375 3.589125 3.589125] : 72
N1 : [-1.196375  1.196375  3.589125] : 65


**isite= 41
Li1 : [7.17825 4.7855  2.39275]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [5.886165 3.684835 3.684835] : 89
N1 : [8.374625 3.589125 1.196375] : 73
N1 : [8.374625 5.981875 3.589125] : 74
N1 : [5.981875 5.981875 1.196375] : 66


**isite= 42
Li1 : [0.      7.17825 2.39275]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [1.196375 5.981875 1.196375] : 75
N1 : [-1.100665  8.470335  1.100665] : 90
N1 : [-1.196375  5.981875  3.589125] : 74
N1 : [1.196375 8.374625 3.589125] : 67


**isite= 43
Li1 : [2.39275 4.7855  2.39275]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [3.684835 5.886165 3.684835] : 91
N1 : [3.589125 3.589125 1.196375] : 64
N1 : [1.196375 3.589125 3.589125] : 72
N1 : [1.196375 5.981875 1.196375] : 75


**isite= 44
Li1 : [0.      7.17825 7.17825]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [1.196375 5.981875 5.981875] : 76
N1 : [-1.196375  8.374625  5.981875] : 71
N1 : [1.100665 8.470335 8.470335] : 92
N1 : [-1.196375  5.981875  8.374625] : 79


**isite= 45
Li1 : [2.39275 4.7855  7.17825]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [3.684835 3.684835 5.886165] : 93
N1 : [3.589125 5.981875 8.374625] : 68
N1 : [1.196375 3.589125 8.374625] : 77
N1 : [1.196375 5.981875 5.981875] : 76


**isite= 46
Li1 : [0.      2.39275 7.17825]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [1.196375 3.589125 8.374625] : 77
N1 : [-1.196375  3.589125  5.981875] : 78
N1 : [1.196375 1.196375 5.981875] : 69
N1 : [-1.100665  1.100665  8.470335] : 94


**isite= 47
Li1 : [7.17825 4.7855  7.17825]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [5.981875 3.589125 8.374625] : 70
N1 : [8.374625 3.589125 5.981875] : 78
N1 : [5.886165 5.886165 5.886165] : 95
N1 : [8.374625 5.981875 8.374625] : 79


**isite= 48
Li1 : [2.39275 0.      2.39275]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [3.589125 1.196375 3.589125] : 80
N1 : [ 3.589125 -1.196375  1.196375] : 86
N1 : [ 1.196375 -1.196375  3.589125] : 67
N1 : [1.100665 1.100665 1.100665] : 88


**isite= 49
Li1 : [2.39275 0.      7.17825]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [3.589125 1.196375 8.374625] : 82
N1 : [ 1.100665 -1.100665  8.470335] : 92
N1 : [1.196375 1.196375 5.981875] : 69
N1 : [ 3.589125 -1.196375  5.981875] : 81


**isite= 50
Li1 : [4.7855  2.39275 7.17825]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [3.684835 3.684835 5.886165] : 93
N1 : [5.981875 3.589125 8.374625] : 70
N1 : [3.589125 1.196375 8.374625] : 82
N1 : [5.981875 1.196375 5.981875] : 83


**isite= 51
Li1 : [7.17825 0.      7.17825]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [ 5.981875 -1.196375  8.374625] : 84
N1 : [8.470335 1.100665 8.470335] : 94
N1 : [ 8.374625 -1.196375  5.981875] : 71
N1 : [5.981875 1.196375 5.981875] : 83
!!!atention to nb coordination!!!
         [2.0721822849052156, 2.13317386461465, 2.0721822849052156, 2.072182284905216]
         [2.0721822849052156, 2.13317386461465, 2.0721822849052156, 2.0721822849052165]


**isite= 52
Li1 : [4.7855  7.17825 7.17825]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [5.981875 8.374625 8.374625] : 84
N1 : [3.589125 5.981875 8.374625] : 68
N1 : [5.886165 5.886165 5.886165] : 95
N1 : [3.589125 8.374625 5.981875] : 81


**isite= 53
Li1 : [7.17825 0.      2.39275]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [5.981875 1.196375 1.196375] : 87
N1 : [ 8.470335 -1.100665  1.100665] : 90
N1 : [8.374625 1.196375 3.589125] : 65
N1 : [ 5.981875 -1.196375  3.589125] : 85


**isite= 54
Li1 : [4.7855  7.17825 2.39275]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [3.684835 5.886165 3.684835] : 91
N1 : [3.589125 8.374625 1.196375] : 86
N1 : [5.981875 5.981875 1.196375] : 66
N1 : [5.981875 8.374625 3.589125] : 85


**isite= 55
Li1 : [4.7855  2.39275 2.39275]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [3.589125 1.196375 3.589125] : 80
N1 : [5.886165 3.684835 3.684835] : 89
N1 : [5.981875 1.196375 1.196375] : 87
N1 : [3.589125 3.589125 1.196375] : 64


**isite= 56
Ni1 : [2.39275 4.7855  0.     ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [1.196375 5.981875 1.196375] : 75
N1 : [3.589125 3.589125 1.196375] : 64
N1 : [ 3.589125  5.981875 -1.196375] : 68
N1 : [ 1.196375  3.589125 -1.196375] : 77


**isite= 57
Ni1 : [0.      2.39275 4.7855 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [1.196375 3.589125 3.589125] : 72
N1 : [-1.196375  3.589125  5.981875] : 78
N1 : [-1.196375  1.196375  3.589125] : 65
N1 : [1.196375 1.196375 5.981875] : 69


**isite= 58
Ni1 : [7.17825 4.7855  0.     ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [5.981875 5.981875 1.196375] : 66
N1 : [8.374625 3.589125 1.196375] : 73
N1 : [ 8.374625  5.981875 -1.196375] : 79
N1 : [ 5.981875  3.589125 -1.196375] : 70


**isite= 59
Ni1 : [0.      7.17825 4.7855 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [-1.196375  8.374625  5.981875] : 71
N1 : [1.196375 8.374625 3.589125] : 67
N1 : [-1.196375  5.981875  3.589125] : 74
N1 : [1.196375 5.981875 5.981875] : 76


**isite= 60
Ni1 : [4.7855  0.      2.39275]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [ 5.981875 -1.196375  3.589125] : 85
N1 : [3.589125 1.196375 3.589125] : 80
N1 : [5.981875 1.196375 1.196375] : 87
N1 : [ 3.589125 -1.196375  1.196375] : 86


**isite= 61
Ni1 : [4.7855  0.      7.17825]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [3.589125 1.196375 8.374625] : 82
N1 : [5.981875 1.196375 5.981875] : 83
N1 : [ 3.589125 -1.196375  5.981875] : 81
N1 : [ 5.981875 -1.196375  8.374625] : 84


**isite= 62
Ni1 : [0. 0. 0.]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [1.100665 1.100665 1.100665] : 88
N1 : [-1.100665 -1.100665  1.100665] : 90
N1 : [-1.100665  1.100665 -1.100665] : 94
N1 : [ 1.100665 -1.100665 -1.100665] : 92
!!!atention to nb coordination!!!
         [1.9064077021127979, 1.9064077021127974, 1.9064077021127974, 1.9064077021127974]
         [1.9064077021127979, 1.9064077021127979, 1.9064077021127979, 1.9064077021127979]


**isite= 63
Ni1 : [4.7855 4.7855 4.7855]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
N1 : [5.886165 5.886165 5.886165] : 95
N1 : [3.684835 3.684835 5.886165] : 93
N1 : [5.886165 3.684835 3.684835] : 89
N1 : [3.684835 5.886165 3.684835] : 91


**isite= 64
N1 : [3.589125 3.589125 1.196375]

ce_symbol  = C:8
ce_fraction=  1.0
species:coords:index
Li1 : [4.7855  4.7855  2.39275] : 31
Li1 : [2.39275 2.39275 0.     ] : 32
Ni1 : [2.39275 4.7855  0.     ] : 56
Li1 : [2.39275 2.39275 2.39275] : 0
Li1 : [4.7855  2.39275 0.     ] : 15
Li1 : [4.7855 4.7855 0.    ] : 12
Li1 : [4.7855  2.39275 2.39275] : 55
Li1 : [2.39275 4.7855  2.39275] : 43


**isite= 65
N1 : [8.374625 1.196375 3.589125]

ce_symbol  = C:8
ce_fraction=  1.0
species:coords:index
Li1 : [7.17825 0.      2.39275] : 53
Li1 : [7.17825 2.39275 4.7855 ] : 33
Li1 : [7.17825 0.      4.7855 ] : 16
Li1 : [7.17825 2.39275 2.39275] : 1
Li1 : [9.571   0.      2.39275] : 28
Li1 : [9.571  0.     4.7855] : 13
Li1 : [9.571   2.39275 2.39275] : 40
Ni1 : [9.571   2.39275 4.7855 ] : 57


**isite= 66
N1 : [5.981875 5.981875 1.196375]

ce_symbol  = C:8
ce_fraction=  1.0
species:coords:index
Li1 : [4.7855  7.17825 2.39275] : 54
Li1 : [4.7855  7.17825 0.     ] : 17
Li1 : [7.17825 7.17825 0.     ] : 34
Li1 : [7.17825 7.17825 2.39275] : 2
Li1 : [4.7855  4.7855  2.39275] : 31
Li1 : [4.7855 4.7855 0.    ] : 12
Ni1 : [7.17825 4.7855  0.     ] : 58
Li1 : [7.17825 4.7855  2.39275] : 41


**isite= 67
N1 : [1.196375 8.374625 3.589125]

ce_symbol  = C:8
ce_fraction=  1.0
species:coords:index
Li1 : [2.39275 9.571   4.7855 ] : 14
Li1 : [0.     9.571  4.7855] : 13
Ni1 : [0.      7.17825 4.7855 ] : 59
Li1 : [2.39275 7.17825 4.7855 ] : 35
Li1 : [2.39275 7.17825 2.39275] : 3
Li1 : [2.39275 9.571   2.39275] : 48
Li1 : [0.      9.571   2.39275] : 28
Li1 : [0.      7.17825 2.39275] : 42


**isite= 68
N1 : [3.589125 5.981875 8.374625]

ce_symbol  = C:8
ce_fraction=  1.0
species:coords:index
Ni1 : [2.39275 4.7855  9.571  ] : 56
Li1 : [2.39275 7.17825 7.17825] : 4
Li1 : [2.39275 7.17825 9.571  ] : 36
Li1 : [2.39275 4.7855  7.17825] : 45
Li1 : [4.7855  7.17825 9.571  ] : 17
Li1 : [4.7855  7.17825 7.17825] : 52
Li1 : [4.7855  4.7855  7.17825] : 30
Li1 : [4.7855 4.7855 9.571 ] : 12
!!!atention to nb coordination!!!
         [2.072182284905215, 2.072182284905216, 2.072182284905216, 2.072182284905215, 2.0721822849052156, 2.0721822849052156, 2.072182284905215, 2.072182284905215]
         [2.072182284905215, 2.0721822849052156, 2.0721822849052156, 2.072182284905215, 2.0721822849052156, 2.0721822849052156, 2.072182284905215, 2.072182284905215]


**isite= 69
N1 : [1.196375 1.196375 5.981875]

ce_symbol  = C:8
ce_fraction=  1.0
species:coords:index
Li1 : [0.      0.      7.17825] : 29
Ni1 : [0.      2.39275 4.7855 ] : 57
Li1 : [2.39275 2.39275 7.17825] : 5
Li1 : [2.39275 0.      7.17825] : 49
Li1 : [0.      2.39275 7.17825] : 46
Li1 : [0.     0.     4.7855] : 13
Li1 : [2.39275 0.      4.7855 ] : 14
Li1 : [2.39275 2.39275 4.7855 ] : 37


**isite= 70
N1 : [5.981875 3.589125 8.374625]

ce_symbol  = C:8
ce_fraction=  1.0
species:coords:index
Li1 : [4.7855 4.7855 9.571 ] : 12
Li1 : [7.17825 2.39275 7.17825] : 6
Li1 : [7.17825 2.39275 9.571  ] : 38
Li1 : [4.7855  2.39275 7.17825] : 50
Ni1 : [7.17825 4.7855  9.571  ] : 58
Li1 : [7.17825 4.7855  7.17825] : 47
Li1 : [4.7855  4.7855  7.17825] : 30
Li1 : [4.7855  2.39275 9.571  ] : 15
!!!atention to nb coordination!!!
         [2.072182284905215, 2.072182284905216, 2.072182284905216, 2.072182284905215, 2.0721822849052156, 2.0721822849052156, 2.072182284905215, 2.072182284905215]
         [2.072182284905215, 2.0721822849052156, 2.0721822849052156, 2.072182284905215, 2.0721822849052156, 2.0721822849052156, 2.072182284905215, 2.072182284905215]


**isite= 71
N1 : [8.374625 8.374625 5.981875]

ce_symbol  = C:8
ce_fraction=  1.0
species:coords:index
Li1 : [7.17825 7.17825 7.17825] : 7
Li1 : [7.17825 7.17825 4.7855 ] : 39
Ni1 : [9.571   7.17825 4.7855 ] : 59
Li1 : [9.571   7.17825 7.17825] : 44
Li1 : [9.571  9.571  4.7855] : 13
Li1 : [7.17825 9.571   4.7855 ] : 16
Li1 : [7.17825 9.571   7.17825] : 51
Li1 : [9.571   9.571   7.17825] : 29


**isite= 72
N1 : [1.196375 3.589125 3.589125]

ce_symbol  = C:8
ce_fraction=  1.0
species:coords:index
Li1 : [2.39275 4.7855  4.7855 ] : 27
Li1 : [2.39275 4.7855  2.39275] : 43
Li1 : [0.      4.7855  2.39275] : 18
Li1 : [0.     4.7855 4.7855] : 8
Ni1 : [0.      2.39275 4.7855 ] : 57
Li1 : [2.39275 2.39275 4.7855 ] : 37
Li1 : [2.39275 2.39275 2.39275] : 0
Li1 : [0.      2.39275 2.39275] : 40


**isite= 73
N1 : [8.374625 3.589125 1.196375]

ce_symbol  = C:8
ce_fraction=  1.0
species:coords:index
Li1 : [9.571   2.39275 2.39275] : 40
Li1 : [7.17825 4.7855  2.39275] : 41
Li1 : [9.571   4.7855  2.39275] : 18
Li1 : [7.17825 2.39275 2.39275] : 1
Li1 : [9.571   2.39275 0.     ] : 24
Li1 : [7.17825 2.39275 0.     ] : 38
Li1 : [9.571  4.7855 0.    ] : 9
Ni1 : [7.17825 4.7855  0.     ] : 58


**isite= 74
