cif name= ./1527984.cif
./1527984.cif
Full Formula (In16 Si16 O56)
ce_fraction=  0.015729952442238845
species:coords:index
O1 : [4.7065    2.8446086 0.       ] : 49
O1 : [ 7.05975    2.35325   -0.4913586] : 71
O1 : [4.7065 0.     0.    ] : 47
O1 : [7.05975 2.35325 2.35325] : 74
O1 : [4.2151414 2.35325   2.35325  ] : 36
O1 : [7.5511086 0.        0.       ] : 69
O1 : [4.7065    0.        2.8446086] : 45
O1 : [ 7.05975   -0.4913586  2.35325  ] : 82
!!!atention to nb coordination!!!
         [2.3560691991363396, 2.3560691991363405, 2.0379742814557305, 2.0379742814557296, 2.3560691991363396, 2.3560691991363396, 2.3560691991363396, 2.3560691991363405]
         [2.3560691991363396, 2.35606919913634, 2.03797428145573, 2.0379742814557305, 2.3560691991363396, 2.35606919913634, 2.3560691991363396, 2.35606919913634]


**isite= 9
In1 : [5.883125 8.236375 8.236375]

ce_symbol  = HB:8
ce_fraction=  0.42795005433163835
species:coords:index
O1 : [7.05975   9.9043586 7.05975  ] : 66
O1 : [4.7065    9.413     6.5683914] : 44
O1 : [4.7065    6.5683914 9.413    ] : 51
O1 : [4.2151414 7.05975   7.05975  ] : 50
O1 : [7.05975 7.05975 7.05975] : 60
O1 : [4.7065 9.413  9.413 ] : 47
O1 : [7.5511086 9.413     9.413    ] : 69
O1 : [7.05975   7.05975   9.9043586] : 84
!!!atention to nb coordination!!!
         [2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363414, 2.037974281455732, 2.03797428145573, 2.356069199136339, 2.35606919913634]
         [2.35606919913634, 2.3560691991363396, 2.35606919913634, 2.35606919913634, 2.037974281455731, 2.0379742814557296, 2.35606919913634, 2.35606919913634]

ce_symbol  = C:8
ce_fraction=  0.3987065787726466
species:coords:index
O1 : [7.05975   9.9043586 7.05975  ] : 66
O1 : [4.7065    9.413     6.5683914] : 44
O1 : [4.7065    6.5683914 9.413    ] : 51
O1 : [4.2151414 7.05975   7.05975  ] : 50
O1 : [7.05975 7.05975 7.05975] : 60
O1 : [4.7065 9.413  9.413 ] : 47
O1 : [7.5511086 9.413     9.413    ] : 69
O1 : [7.05975   7.05975   9.9043586] : 84
!!!atention to nb coordination!!!
         [2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363414, 2.037974281455732, 2.03797428145573, 2.356069199136339, 2.35606919913634]
         [2.35606919913634, 2.3560691991363396, 2.35606919913634, 2.35606919913634, 2.037974281455731, 2.0379742814557296, 2.35606919913634, 2.35606919913634]

ce_symbol  = L:2
ce_fraction=  0.15761341445347596
species:coords:index
O1 : [7.05975 7.05975 7.05975] : 60
O1 : [4.7065 9.413  9.413 ] : 47
!!!atention to nb coordination!!!
         [2.037974281455732, 2.03797428145573]
         [2.037974281455731, 2.0379742814557296]

ce_symbol  = BO_1:8
ce_fraction=  0.015729952442238942
species:coords:index
O1 : [7.05975   9.9043586 7.05975  ] : 66
O1 : [4.7065    9.413     6.5683914] : 44
O1 : [4.7065    6.5683914 9.413    ] : 51
O1 : [4.2151414 7.05975   7.05975  ] : 50
O1 : [7.05975 7.05975 7.05975] : 60
O1 : [4.7065 9.413  9.413 ] : 47
O1 : [7.5511086 9.413     9.413    ] : 69
O1 : [7.05975   7.05975   9.9043586] : 84
!!!atention to nb coordination!!!
         [2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363414, 2.037974281455732, 2.03797428145573, 2.356069199136339, 2.35606919913634]
         [2.35606919913634, 2.3560691991363396, 2.35606919913634, 2.35606919913634, 2.037974281455731, 2.0379742814557296, 2.35606919913634, 2.35606919913634]


**isite= 10
In1 : [8.236375 3.529875 1.176625]

ce_symbol  = HB:8
ce_fraction=  0.4279500543316385
species:coords:index
O1 : [7.05975   5.1978586 2.35325  ] : 80
O1 : [6.5683914 4.7065    0.       ] : 81
O1 : [ 7.05975    2.35325   -0.4913586] : 71
O1 : [9.413     4.7065    2.8446086] : 87
O1 : [7.05975 2.35325 2.35325] : 74
O1 : [9.413  4.7065 0.    ] : 61
O1 : [9.413     1.8618914 0.       ] : 65
O1 : [9.9043586 2.35325   2.35325  ] : 62
!!!atention to nb coordination!!!
         [2.3560691991363405, 2.3560691991363396, 2.356069199136342, 2.356069199136339, 2.037974281455731, 2.0379742814557296, 2.3560691991363396, 2.356069199136339]
         [2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.0379742814557305, 2.03797428145573, 2.3560691991363396, 2.3560691991363396]

ce_symbol  = C:8
ce_fraction=  0.39870657877264765
species:coords:index
O1 : [7.05975   5.1978586 2.35325  ] : 80
O1 : [6.5683914 4.7065    0.       ] : 81
O1 : [ 7.05975    2.35325   -0.4913586] : 71
O1 : [9.413     4.7065    2.8446086] : 87
O1 : [7.05975 2.35325 2.35325] : 74
O1 : [9.413  4.7065 0.    ] : 61
O1 : [9.413     1.8618914 0.       ] : 65
O1 : [9.9043586 2.35325   2.35325  ] : 62
!!!atention to nb coordination!!!
         [2.3560691991363405, 2.3560691991363396, 2.356069199136342, 2.356069199136339, 2.037974281455731, 2.0379742814557296, 2.3560691991363396, 2.356069199136339]
         [2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.0379742814557305, 2.03797428145573, 2.3560691991363396, 2.3560691991363396]

ce_symbol  = L:2
ce_fraction=  0.15761341445347515
species:coords:index
O1 : [7.05975 2.35325 2.35325] : 74
O1 : [9.413  4.7065 0.    ] : 61
!!!atention to nb coordination!!!
         [2.037974281455731, 2.0379742814557296]
         [2.0379742814557305, 2.03797428145573]

ce_symbol  = BO_1:8
ce_fraction=  0.01572995244223888
species:coords:index
O1 : [7.05975   5.1978586 2.35325  ] : 80
O1 : [6.5683914 4.7065    0.       ] : 81
O1 : [ 7.05975    2.35325   -0.4913586] : 71
O1 : [9.413     4.7065    2.8446086] : 87
O1 : [7.05975 2.35325 2.35325] : 74
O1 : [9.413  4.7065 0.    ] : 61
O1 : [9.413     1.8618914 0.       ] : 65
O1 : [9.9043586 2.35325   2.35325  ] : 62
!!!atention to nb coordination!!!
         [2.3560691991363405, 2.3560691991363396, 2.356069199136342, 2.356069199136339, 2.037974281455731, 2.0379742814557296, 2.3560691991363396, 2.356069199136339]
         [2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363396, 2.0379742814557305, 2.03797428145573, 2.3560691991363396, 2.3560691991363396]


**isite= 11
In1 : [8.236375 1.176625 3.529875]

ce_symbol  = HB:8
ce_fraction=  0.4279500543316383
species:coords:index
O1 : [6.5683914 0.        4.7065   ] : 67
O1 : [9.413  0.     4.7065] : 75
O1 : [9.9043586 2.35325   2.35325  ] : 62
O1 : [9.413     2.8446086 4.7065   ] : 77
O1 : [ 7.05975   -0.4913586  2.35325  ] : 82
O1 : [7.05975   2.35325   5.1978586] : 70
O1 : [7.05975 2.35325 2.35325] : 74
O1 : [9.413     0.        1.8618914] : 72
!!!atention to nb coordination!!!
         [2.3560691991363396, 2.0379742814557296, 2.3560691991363396, 2.3560691991363387, 2.356069199136342, 2.3560691991363405, 2.037974281455731, 2.3560691991363396]
         [2.35606919913634, 2.03797428145573, 2.3560691991363396, 2.3560691991363396, 2.35606919913634, 2.35606919913634, 2.0379742814557305, 2.3560691991363396]

ce_symbol  = C:8
ce_fraction=  0.3987065787726485
species:coords:index
O1 : [6.5683914 0.        4.7065   ] : 67
O1 : [9.413  0.     4.7065] : 75
O1 : [9.9043586 2.35325   2.35325  ] : 62
O1 : [9.413     2.8446086 4.7065   ] : 77
O1 : [ 7.05975   -0.4913586  2.35325  ] : 82
O1 : [7.05975   2.35325   5.1978586] : 70
O1 : [7.05975 2.35325 2.35325] : 74
O1 : [9.413     0.        1.8618914] : 72
!!!atention to nb coordination!!!
         [2.3560691991363396, 2.0379742814557296, 2.3560691991363396, 2.3560691991363387, 2.356069199136342, 2.3560691991363405, 2.037974281455731, 2.3560691991363396]
         [2.35606919913634, 2.03797428145573, 2.3560691991363396, 2.3560691991363396, 2.35606919913634, 2.35606919913634, 2.0379742814557305, 2.3560691991363396]

ce_symbol  = L:2
ce_fraction=  0.15761341445347452
species:coords:index
O1 : [9.413  0.     4.7065] : 75
O1 : [7.05975 2.35325 2.35325] : 74
!!!atention to nb coordination!!!
         [2.0379742814557296, 2.037974281455731]
         [2.03797428145573, 2.0379742814557305]

ce_symbol  = BO_1:8
ce_fraction=  0.01572995244223887
species:coords:index
O1 : [6.5683914 0.        4.7065   ] : 67
O1 : [9.413  0.     4.7065] : 75
O1 : [9.9043586 2.35325   2.35325  ] : 62
O1 : [9.413     2.8446086 4.7065   ] : 77
O1 : [ 7.05975   -0.4913586  2.35325  ] : 82
O1 : [7.05975   2.35325   5.1978586] : 70
O1 : [7.05975 2.35325 2.35325] : 74
O1 : [9.413     0.        1.8618914] : 72
!!!atention to nb coordination!!!
         [2.3560691991363396, 2.0379742814557296, 2.3560691991363396, 2.3560691991363387, 2.356069199136342, 2.3560691991363405, 2.037974281455731, 2.3560691991363396]
         [2.35606919913634, 2.03797428145573, 2.3560691991363396, 2.3560691991363396, 2.35606919913634, 2.35606919913634, 2.0379742814557305, 2.3560691991363396]


**isite= 12
In1 : [5.883125 5.883125 5.883125]

ce_symbol  = HB:8
ce_fraction=  0.42795005433163824
species:coords:index
O1 : [4.2151414 7.05975   7.05975  ] : 50
O1 : [4.7065    7.5511086 4.7065   ] : 35
O1 : [7.05975 7.05975 7.05975] : 60
O1 : [4.7065    4.7065    7.5511086] : 59
O1 : [7.05975   7.05975   4.2151414] : 85
O1 : [7.05975   4.2151414 7.05975  ] : 68
O1 : [4.7065 4.7065 4.7065] : 33
O1 : [7.5511086 4.7065    4.7065   ] : 83

ce_symbol  = C:8
ce_fraction=  0.39870657877264865
species:coords:index
O1 : [4.2151414 7.05975   7.05975  ] : 50
O1 : [4.7065    7.5511086 4.7065   ] : 35
O1 : [7.05975 7.05975 7.05975] : 60
O1 : [4.7065    4.7065    7.5511086] : 59
O1 : [7.05975   7.05975   4.2151414] : 85
O1 : [7.05975   4.2151414 7.05975  ] : 68
O1 : [4.7065 4.7065 4.7065] : 33
O1 : [7.5511086 4.7065    4.7065   ] : 83

ce_symbol  = L:2
ce_fraction=  0.15761341445347452
species:coords:index
O1 : [7.05975 7.05975 7.05975] : 60
O1 : [4.7065 4.7065 4.7065] : 33

ce_symbol  = BO_1:8
ce_fraction=  0.015729952442238865
species:coords:index
O1 : [4.2151414 7.05975   7.05975  ] : 50
O1 : [4.7065    7.5511086 4.7065   ] : 35
O1 : [7.05975 7.05975 7.05975] : 60
O1 : [4.7065    4.7065    7.5511086] : 59
O1 : [7.05975   7.05975   4.2151414] : 85
O1 : [7.05975   4.2151414 7.05975  ] : 68
O1 : [4.7065 4.7065 4.7065] : 33
O1 : [7.5511086 4.7065    4.7065   ] : 83


**isite= 13
In1 : [5.883125 3.529875 3.529875]

ce_symbol  = HB:8
ce_fraction=  0.4279500543316384
species:coords:index
O1 : [7.05975 2.35325 2.35325] : 74
O1 : [4.2151414 2.35325   2.35325  ] : 36
O1 : [4.7065    1.8618914 4.7065   ] : 37
O1 : [4.7065 4.7065 4.7065] : 33
O1 : [7.05975   2.35325   5.1978586] : 70
O1 : [7.5511086 4.7065    4.7065   ] : 83
O1 : [7.05975   5.1978586 2.35325  ] : 80
O1 : [4.7065    4.7065    1.8618914] : 58
!!!atention to nb coordination!!!
         [2.0379742814557305, 2.3560691991363405, 2.3560691991363396, 2.0379742814557296, 2.35606919913634, 2.3560691991363387, 2.35606919913634, 2.3560691991363396]
         [2.0379742814557305, 2.3560691991363396, 2.3560691991363396, 2.03797428145573, 2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363396]

ce_symbol  = C:8
ce_fraction=  0.3987065787726474
species:coords:index
O1 : [7.05975 2.35325 2.35325] : 74
O1 : [4.2151414 2.35325   2.35325  ] : 36
O1 : [4.7065    1.8618914 4.7065   ] : 37
O1 : [4.7065 4.7065 4.7065] : 33
O1 : [7.05975   2.35325   5.1978586] : 70
O1 : [7.5511086 4.7065    4.7065   ] : 83
O1 : [7.05975   5.1978586 2.35325  ] : 80
O1 : [4.7065    4.7065    1.8618914] : 58
!!!atention to nb coordination!!!
         [2.0379742814557305, 2.3560691991363405, 2.3560691991363396, 2.0379742814557296, 2.35606919913634, 2.3560691991363387, 2.35606919913634, 2.3560691991363396]
         [2.0379742814557305, 2.3560691991363396, 2.3560691991363396, 2.03797428145573, 2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363396]

ce_symbol  = L:2
ce_fraction=  0.15761341445347526
species:coords:index
O1 : [7.05975 2.35325 2.35325] : 74
O1 : [4.7065 4.7065 4.7065] : 33
!!!atention to nb coordination!!!
         [2.0379742814557305, 2.0379742814557296]
         [2.0379742814557305, 2.03797428145573]

ce_symbol  = BO_1:8
ce_fraction=  0.015729952442238928
species:coords:index
O1 : [7.05975 2.35325 2.35325] : 74
O1 : [4.2151414 2.35325   2.35325  ] : 36
O1 : [4.7065    1.8618914 4.7065   ] : 37
O1 : [4.7065 4.7065 4.7065] : 33
O1 : [7.05975   2.35325   5.1978586] : 70
O1 : [7.5511086 4.7065    4.7065   ] : 83
O1 : [7.05975   5.1978586 2.35325  ] : 80
O1 : [4.7065    4.7065    1.8618914] : 58
!!!atention to nb coordination!!!
         [2.0379742814557305, 2.3560691991363405, 2.3560691991363396, 2.0379742814557296, 2.35606919913634, 2.3560691991363387, 2.35606919913634, 2.3560691991363396]
         [2.0379742814557305, 2.3560691991363396, 2.3560691991363396, 2.03797428145573, 2.35606919913634, 2.35606919913634, 2.35606919913634, 2.3560691991363396]


**isite= 14
In1 : [8.236375 8.236375 5.883125]

ce_symbol  = HB:8
ce_fraction=  0.4279500543316381
species:coords:index
O1 : [9.413     9.413     7.5511086] : 73
O1 : [9.413     6.5683914 4.7065   ] : 79
O1 : [9.413  9.413  4.7065] : 75
O1 : [7.05975   7.05975   4.2151414] : 85
O1 : [6.5683914 9.413     4.7065   ] : 67
O1 : [7.05975   9.9043586 7.05975  ] : 66
O1 : [7.05975 7.05975 7.05975] : 60
O1 : [9.9043586 7.05975   7.05975  ] : 76
!!!atention to nb coordination!!!
         [2.356069199136339, 2.3560691991363405, 2.03797428145573, 2.356069199136342, 2.35606919913634, 2.35606919913634, 2.037974281455732, 2.35606919913634]
         [2.3560691991363396, 2.35606919913634, 2.0379742814557296, 2.35606919913634, 2.35606919913634, 2.35606919913634, 2.037974281455731, 2.35606919913634]

ce_symbol  = C:8
ce_fraction=  0.3987065787726481
species:coords:index
O1 : [9.413     9.413     7.5511086] : 73
O1 : [9.413     6.5683914 4.7065   ] : 79
O1 : [9.413  9.413  4.7065] : 75
O1 : [7.05975   7.05975   4.2151414] : 85
O1 : [6.5683914 9.413     4.7065   ] : 67
O1 : [7.05975   9.9043586 7.05975  ] : 66
O1 : [7.05975 7.05975 7.05975] : 60
O1 : [9.9043586 7.05975   7.05975  ] : 76
!!!atention to nb coordination!!!
         [2.356069199136339, 2.3560691991363405, 2.03797428145573, 2.356069199136342, 2.35606919913634, 2.35606919913634, 2.037974281455732, 2.35606919913634]
         [2.3560691991363396, 2.35606919913634, 2.0379742814557296, 2.35606919913634, 2.35606919913634, 2.35606919913634, 2.037974281455731, 2.35606919913634]

ce_symbol  = L:2
ce_fraction=  0.1576134144534749
species:coords:index
O1 : [9.413  9.413  4.7065] : 75
O1 : [7.05975 7.05975 7.05975] : 60
!!!atention to nb coordination!!!
         [2.03797428145573, 2.037974281455732]
         [2.0379742814557296, 2.037974281455731]

ce_symbol  = BO_1:8
ce_fraction=  0.015729952442238928
species:coords:index
O1 : [9.413     9.413     7.5511086] : 73
O1 : [9.413     6.5683914 4.7065   ] : 79
O1 : [9.413  9.413  4.7065] : 75
O1 : [7.05975   7.05975   4.2151414] : 85
O1 : [6.5683914 9.413     4.7065   ] : 67
O1 : [7.05975   9.9043586 7.05975  ] : 66
O1 : [7.05975 7.05975 7.05975] : 60
O1 : [9.9043586 7.05975   7.05975  ] : 76
!!!atention to nb coordination!!!
         [2.356069199136339, 2.3560691991363405, 2.03797428145573, 2.356069199136342, 2.35606919913634, 2.35606919913634, 2.037974281455732, 2.35606919913634]
         [2.3560691991363396, 2.35606919913634, 2.0379742814557296, 2.35606919913634, 2.35606919913634, 2.35606919913634, 2.037974281455731, 2.35606919913634]


**isite= 15
In1 : [8.236375 5.883125 8.236375]

ce_symbol  = HB:8
ce_fraction=  0.427950054331638
species:coords:index
O1 : [9.9043586 7.05975   7.05975  ] : 76
O1 : [9.413  4.7065 9.413 ] : 61
O1 : [9.413     4.7065    6.5683914] : 86
O1 : [7.05975   4.2151414 7.05975  ] : 68
O1 : [9.413     7.5511086 9.413    ] : 63
O1 : [7.05975 7.05975 7.05975] : 60
O1 : [6.5683914 4.7065    9.413    ] : 81
O1 : [7.05975   7.05975   9.9043586] : 84
!!!atention to nb coordination!!!
         [2.35606919913634, 2.03797428145573, 2.3560691991363405, 2.3560691991363414, 2.356069199136339, 2.037974281455732, 2.35606919913634, 2.35606919913634]
         [2.35606919913634, 2.0379742814557296, 2.3560691991363396, 2.35606919913634, 2.35606919913634, 2.037974281455731, 2.35606919913634, 2.35606919913634]

ce_symbol  = C:8
ce_fraction=  0.39870657877264865
species:coords:index
O1 : [9.9043586 7.05975   7.05975  ] : 76
O1 : [9.413  4.7065 9.413 ] : 61
O1 : [9.413     4.7065    6.5683914] : 86
O1 : [7.05975   4.2151414 7.05975  ] : 68
O1 : [9.413     7.5511086 9.413    ] : 63
O1 : [7.05975 7.05975 7.05975] : 60
O1 : [6.5683914 4.7065    9.413    ] : 81
O1 : [7.05975   7.05975   9.9043586] : 84
!!!atention to nb coordination!!!
         [2.35606919913634, 2.03797428145573, 2.3560691991363405, 2.3560691991363414, 2.356069199136339, 2.037974281455732, 2.35606919913634, 2.35606919913634]
         [2.35606919913634, 2.0379742814557296, 2.3560691991363396, 2.35606919913634, 2.35606919913634, 2.037974281455731, 2.35606919913634, 2.35606919913634]

ce_symbol  = L:2
ce_fraction=  0.15761341445347452
species:coords:index
O1 : [9.413  4.7065 9.413 ] : 61
O1 : [7.05975 7.05975 7.05975] : 60
!!!atention to nb coordination!!!
         [2.03797428145573, 2.037974281455732]
         [2.0379742814557296, 2.037974281455731]

ce_symbol  = BO_1:8
ce_fraction=  0.015729952442238848
species:coords:index
O1 : [9.9043586 7.05975   7.05975  ] : 76
O1 : [9.413  4.7065 9.413 ] : 61
O1 : [9.413     4.7065    6.5683914] : 86
O1 : [7.05975   4.2151414 7.05975  ] : 68
O1 : [9.413     7.5511086 9.413    ] : 63
O1 : [7.05975 7.05975 7.05975] : 60
O1 : [6.5683914 4.7065    9.413    ] : 81
O1 : [7.05975   7.05975   9.9043586] : 84
!!!atention to nb coordination!!!
         [2.35606919913634, 2.03797428145573, 2.3560691991363405, 2.3560691991363414, 2.356069199136339, 2.037974281455732, 2.35606919913634, 2.35606919913634]
         [2.35606919913634, 2.0379742814557296, 2.3560691991363396, 2.35606919913634, 2.35606919913634, 2.037974281455731, 2.35606919913634, 2.35606919913634]


**isite= 16
Si1 : [1.176625 1.176625 1.176625]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.4913586 2.35325   2.35325  ] : 62
O1 : [1.8618914 0.        0.       ] : 39
O1 : [2.35325   0.4913586 2.35325  ] : 38
O1 : [0.        0.        1.8618914] : 72
O1 : [2.35325   2.35325   0.4913586] : 42
O1 : [0.        1.8618914 0.       ] : 65
!!!atention to nb coordination!!!
         [1.7995785118240772, 1.799578511824078, 1.7995785118240772, 1.7995785118240777, 1.7995785118240772, 1.799578511824078]
         [1.7995785118240777, 1.7995785118240777, 1.7995785118240777, 1.7995785118240777, 1.7995785118240777, 1.7995785118240777]


**isite= 17
Si1 : [1.176625 3.529875 3.529875]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.        4.7065    2.8446086] : 87
O1 : [0.4913586 2.35325   2.35325  ] : 62
O1 : [2.35325   4.2151414 2.35325  ] : 40
O1 : [1.8618914 4.7065    4.7065   ] : 53
O1 : [0.        2.8446086 4.7065   ] : 77
O1 : [2.35325   2.35325   4.2151414] : 43
!!!atention to nb coordination!!!
         [1.7995785118240775, 1.7995785118240786, 1.7995785118240775, 1.7995785118240768, 1.7995785118240775, 1.7995785118240777]
         [1.7995785118240777, 1.7995785118240777, 1.7995785118240777, 1.7995785118240777, 1.7995785118240777, 1.7995785118240777]


**isite= 18
Si1 : [3.529875 8.236375 5.883125]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.8446086 9.413     4.7065   ] : 41
O1 : [4.7065    9.413     6.5683914] : 44
O1 : [4.7065    7.5511086 4.7065   ] : 35
O1 : [2.35325   8.9216414 7.05975  ] : 54
O1 : [2.35325   7.05975   5.1978586] : 56
O1 : [4.2151414 7.05975   7.05975  ] : 50
!!!atention to nb coordination!!!
         [1.7995785118240781, 1.7995785118240772, 1.7995785118240781, 1.799578511824077, 1.7995785118240788, 1.7995785118240781]
         [1.7995785118240772, 1.7995785118240777, 1.7995785118240777, 1.799578511824078, 1.799578511824078, 1.7995785118240786]


**isite= 19
Si1 : [3.529875 1.176625 3.529875]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.35325   2.35325   4.2151414] : 43
O1 : [4.2151414 2.35325   2.35325  ] : 36
O1 : [2.35325   0.4913586 2.35325  ] : 38
O1 : [4.7065    1.8618914 4.7065   ] : 37
O1 : [2.8446086 0.        4.7065   ] : 41
O1 : [4.7065    0.        2.8446086] : 45
!!!atention to nb coordination!!!
         [1.7995785118240775, 1.7995785118240775, 1.7995785118240786, 1.7995785118240768, 1.7995785118240775, 1.7995785118240775]
         [1.7995785118240777, 1.7995785118240777, 1.7995785118240777, 1.7995785118240777, 1.7995785118240777, 1.7995785118240777]


**isite= 20
Si1 : [1.176625 5.883125 5.883125]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.        6.5683914 4.7065   ] : 79
O1 : [0.        4.7065    6.5683914] : 86
O1 : [0.4913586 7.05975   7.05975  ] : 76
O1 : [1.8618914 4.7065    4.7065   ] : 53
O1 : [2.35325   7.05975   5.1978586] : 56
O1 : [2.35325   5.1978586 7.05975  ] : 52
!!!atention to nb coordination!!!
         [1.7995785118240784, 1.7995785118240784, 1.7995785118240772, 1.7995785118240786, 1.7995785118240772, 1.7995785118240772]
         [1.7995785118240777, 1.7995785118240777, 1.7995785118240786, 1.7995785118240772, 1.799578511824078, 1.799578511824078]


**isite= 21
Si1 : [1.176625 8.236375 8.236375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.35325   8.9216414 7.05975  ] : 54
O1 : [0.        9.413     7.5511086] : 73
O1 : [0.4913586 7.05975   7.05975  ] : 76
O1 : [1.8618914 9.413     9.413    ] : 39
O1 : [0.        7.5511086 9.413    ] : 63
O1 : [2.35325   7.05975   8.9216414] : 57
!!!atention to nb coordination!!!
         [1.7995785118240777, 1.7995785118240781, 1.7995785118240797, 1.7995785118240772, 1.799578511824078, 1.7995785118240777]
         [1.799578511824078, 1.7995785118240777, 1.7995785118240786, 1.7995785118240772, 1.7995785118240777, 1.799578511824078]


**isite= 22
Si1 : [3.529875 3.529875 1.176625]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.35325   4.2151414 2.35325  ] : 40
O1 : [2.8446086 4.7065    0.       ] : 55
O1 : [4.7065    4.7065    1.8618914] : 58
O1 : [4.7065    2.8446086 0.       ] : 49
O1 : [2.35325   2.35325   0.4913586] : 42
O1 : [4.2151414 2.35325   2.35325  ] : 36
!!!atention to nb coordination!!!
         [1.7995785118240775, 1.7995785118240775, 1.7995785118240766, 1.7995785118240775, 1.7995785118240784, 1.7995785118240775]
         [1.7995785118240777, 1.7995785118240777, 1.7995785118240777, 1.7995785118240777, 1.7995785118240777, 1.7995785118240777]


**isite= 23
Si1 : [3.529875 5.883125 8.236375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [4.2151414 7.05975   7.05975  ] : 50
O1 : [2.35325   7.05975   8.9216414] : 57
O1 : [2.35325   5.1978586 7.05975  ] : 52
O1 : [2.8446086 4.7065    9.413    ] : 55
O1 : [4.7065    4.7065    7.5511086] : 59
O1 : [4.7065    6.5683914 9.413    ] : 51
!!!atention to nb coordination!!!
         [1.7995785118240781, 1.799578511824077, 1.7995785118240788, 1.799578511824078, 1.7995785118240781, 1.7995785118240772]
         [1.7995785118240786, 1.799578511824078, 1.799578511824078, 1.7995785118240772, 1.7995785118240777, 1.7995785118240777]


**isite= 24
Si1 : [5.883125 1.176625 5.883125]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [7.05975   0.4913586 7.05975  ] : 66
O1 : [5.1978586 2.35325   7.05975  ] : 34
O1 : [7.05975   2.35325   5.1978586] : 70
O1 : [4.7065    1.8618914 4.7065   ] : 37
O1 : [4.7065    0.        6.5683914] : 44
O1 : [6.5683914 0.        4.7065   ] : 67
!!!atention to nb coordination!!!
         [1.7995785118240772, 1.7995785118240772, 1.7995785118240772, 1.7995785118240786, 1.7995785118240784, 1.7995785118240784]
         [1.7995785118240786, 1.799578511824078, 1.799578511824078, 1.7995785118240772, 1.7995785118240777, 1.7995785118240777]


**isite= 25
Si1 : [5.883125 3.529875 8.236375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [6.5683914 4.7065    9.413    ] : 81
O1 : [4.7065    4.7065    7.5511086] : 59
O1 : [7.05975   4.2151414 7.05975  ] : 68
O1 : [4.7065    2.8446086 9.413    ] : 49
O1 : [5.1978586 2.35325   7.05975  ] : 34
O1 : [7.05975   2.35325   8.9216414] : 71
!!!atention to nb coordination!!!
         [1.7995785118240772, 1.7995785118240781, 1.7995785118240781, 1.799578511824078, 1.7995785118240788, 1.7995785118240772]
         [1.7995785118240777, 1.7995785118240777, 1.7995785118240786, 1.7995785118240772, 1.799578511824078, 1.799578511824078]


**isite= 26
Si1 : [8.236375 8.236375 1.176625]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [9.413     9.413     1.8618914] : 72
O1 : [7.5511086 9.413     0.       ] : 69
O1 : [9.413     7.5511086 0.       ] : 63
O1 : [7.05975   8.9216414 2.35325  ] : 82
O1 : [8.9216414 7.05975   2.35325  ] : 78
O1 : [7.05975   7.05975   0.4913586] : 84
!!!atention to nb coordination!!!
         [1.7995785118240772, 1.7995785118240781, 1.7995785118240781, 1.7995785118240777, 1.7995785118240777, 1.7995785118240797]
         [1.7995785118240772, 1.7995785118240777, 1.7995785118240777, 1.799578511824078, 1.799578511824078, 1.7995785118240786]


**isite= 27
Si1 : [8.236375 1.176625 8.236375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [7.5511086 0.        9.413    ] : 69
O1 : [9.413     1.8618914 9.413    ] : 65
O1 : [9.413     0.        7.5511086] : 73
O1 : [7.05975   2.35325   8.9216414] : 71
O1 : [7.05975   0.4913586 7.05975  ] : 66
O1 : [8.9216414 2.35325   7.05975  ] : 64
!!!atention to nb coordination!!!
         [1.7995785118240781, 1.7995785118240772, 1.7995785118240781, 1.7995785118240777, 1.7995785118240797, 1.7995785118240777]
         [1.7995785118240777, 1.7995785118240772, 1.7995785118240777, 1.799578511824078, 1.7995785118240786, 1.799578511824078]


**isite= 28
Si1 : [5.883125 5.883125 1.176625]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
