cif name= ./4329528.cif
./4329528.cif
Full Formula (Na16 Nb16 O48)
         [2.8133730761252997, 2.8648877055234823, 2.8041736774855286, 2.8648877055234823, 2.602781805571349, 2.813373076125299, 2.8041736774855286, 2.6625429509718574, 2.6625429509718574, 2.813373076125299, 2.8133730761252997, 2.602781805571349]

ce_symbol  = AC:12
ce_fraction=  0.002889039359965621
species:coords:index
O1 : [-2.13077501  1.83705658 13.77139302] : 54
O1 : [-1.92335443  0.         15.8852295 ] : 64
O1 : [ 0.          2.23593782 12.06962883] : 45
O1 : [ 1.92335443  0.         15.8852295 ] : 65
O1 : [ 0.          1.9652965  15.46843882] : 33
O1 : [ 2.13077501  1.83705658 13.77139302] : 55
O1 : [ 0.         -2.23593782 12.06962883] : 44
O1 : [ 1.6845065  0.        11.700022 ] : 77
O1 : [-1.6845065  0.        11.700022 ] : 76
O1 : [ 2.13077501 -1.83705658 13.77139302] : 53
O1 : [-2.13077501 -1.83705658 13.77139302] : 52
O1 : [ 0.         -1.9652965  15.46843882] : 32
!!!atention to nb coordination!!!
         [2.8133730761253006, 2.8648877055234814, 2.8041736774855286, 2.8648877055234823, 2.6027818055713494, 2.8133730761252993, 2.804173677485528, 2.6625429509718574, 2.6625429509718574, 2.8133730761252984, 2.8133730761252993, 2.602781805571348]
         [2.8133730761252997, 2.8648877055234823, 2.8041736774855286, 2.8648877055234823, 2.602781805571349, 2.813373076125299, 2.8041736774855286, 2.6625429509718574, 2.6625429509718574, 2.813373076125299, 2.8133730761252997, 2.602781805571349]


**isite= 7
Na1 : [3.92842    3.93374    1.96599375]

ce_symbol  = C:12
ce_fraction=  0.9132554845511754
species:coords:index
O1 : [3.92842    1.9684435  0.25951117] : 35
O1 : [6.05919501 2.09668342 1.95655698] : 50
O1 : [ 2.00506557  3.93374    -0.1572795 ] : 67
O1 : [1.79764499 2.09668342 1.95655698] : 51
O1 : [ 5.85177443  3.93374    -0.1572795 ] : 66
O1 : [3.92842    5.8990365  0.25951117] : 34
O1 : [1.79764499 5.77079658 1.95655698] : 49
O1 : [2.2439135  3.93374    4.02792799] : 79
O1 : [6.05919501 5.77079658 1.95655698] : 48
O1 : [5.6129265  3.93374    4.02792799] : 78
O1 : [3.92842    1.69780218 3.65832117] : 47
O1 : [3.92842    6.16967782 3.65832117] : 46
!!!atention to nb coordination!!!
         [2.6027818055713494, 2.8133730761252993, 2.864887705523482, 2.8133730761252997, 2.8648877055234814, 2.6027818055713516, 2.8133730761253015, 2.6625429509718552, 2.813373076125301, 2.662542950971856, 2.8041736774855277, 2.804173677485528]
         [2.6027818055713503, 2.8133730761252997, 2.8648877055234836, 2.8133730761253, 2.864887705523483, 2.6027818055713503, 2.8133730761253, 2.6625429509718552, 2.8133730761253, 2.662542950971856, 2.804173677485528, 2.8041736774855277]

ce_symbol  = I:12
ce_fraction=  0.083855476088859
species:coords:index
O1 : [3.92842    1.9684435  0.25951117] : 35
O1 : [6.05919501 2.09668342 1.95655698] : 50
O1 : [ 2.00506557  3.93374    -0.1572795 ] : 67
O1 : [1.79764499 2.09668342 1.95655698] : 51
O1 : [ 5.85177443  3.93374    -0.1572795 ] : 66
O1 : [3.92842    5.8990365  0.25951117] : 34
O1 : [1.79764499 5.77079658 1.95655698] : 49
O1 : [2.2439135  3.93374    4.02792799] : 79
O1 : [6.05919501 5.77079658 1.95655698] : 48
O1 : [5.6129265  3.93374    4.02792799] : 78
O1 : [3.92842    1.69780218 3.65832117] : 47
O1 : [3.92842    6.16967782 3.65832117] : 46
!!!atention to nb coordination!!!
         [2.6027818055713494, 2.8133730761252993, 2.864887705523482, 2.8133730761252997, 2.8648877055234814, 2.6027818055713516, 2.8133730761253015, 2.6625429509718552, 2.813373076125301, 2.662542950971856, 2.8041736774855277, 2.804173677485528]
         [2.6027818055713503, 2.8133730761252997, 2.8648877055234836, 2.8133730761253, 2.864887705523483, 2.6027818055713503, 2.8133730761253, 2.6625429509718552, 2.8133730761253, 2.662542950971856, 2.804173677485528, 2.8041736774855277]

ce_symbol  = AC:12
ce_fraction=  0.0028890393599656362
species:coords:index
O1 : [3.92842    1.9684435  0.25951117] : 35
O1 : [6.05919501 2.09668342 1.95655698] : 50
O1 : [ 2.00506557  3.93374    -0.1572795 ] : 67
O1 : [1.79764499 2.09668342 1.95655698] : 51
O1 : [ 5.85177443  3.93374    -0.1572795 ] : 66
O1 : [3.92842    5.8990365  0.25951117] : 34
O1 : [1.79764499 5.77079658 1.95655698] : 49
O1 : [2.2439135  3.93374    4.02792799] : 79
O1 : [6.05919501 5.77079658 1.95655698] : 48
O1 : [5.6129265  3.93374    4.02792799] : 78
O1 : [3.92842    1.69780218 3.65832117] : 47
O1 : [3.92842    6.16967782 3.65832117] : 46
!!!atention to nb coordination!!!
         [2.6027818055713494, 2.8133730761252993, 2.864887705523482, 2.8133730761252997, 2.8648877055234814, 2.6027818055713516, 2.8133730761253015, 2.6625429509718552, 2.813373076125301, 2.662542950971856, 2.8041736774855277, 2.804173677485528]
         [2.6027818055713503, 2.8133730761252997, 2.8648877055234836, 2.8133730761253, 2.864887705523483, 2.6027818055713503, 2.8133730761253, 2.6625429509718552, 2.8133730761253, 2.662542950971856, 2.804173677485528, 2.8041736774855277]


**isite= 8
Na1 : [0.         3.93374    2.02890555]

ce_symbol  = C:12
ce_fraction=  0.991619264232656
species:coords:index
O1 : [1.79764499 2.09668342 1.95655698] : 51
O1 : [1.79764499 5.77079658 1.95655698] : 49
O1 : [2.2439135  3.93374    4.02792799] : 79
O1 : [ 2.00506557  3.93374    -0.1572795 ] : 67
O1 : [ 0.          1.9652965  -0.25951117] : 33
O1 : [ 0.          5.9021835  -0.25951117] : 32
O1 : [-2.00506557  3.93374    -0.1572795 ] : 66
O1 : [-2.2439135   3.93374     4.02792799] : 78
O1 : [-1.79764499  5.77079658  1.95655698] : 48
O1 : [-1.79764499  2.09668342  1.95655698] : 50
O1 : [0.         5.64963739 4.14431483] : 36
O1 : [0.         2.21784261 4.14431483] : 37
!!!atention to nb coordination!!!
         [2.5712912536243384, 2.57129125362434, 3.0052019148548634, 2.966427650360388, 3.018546157375174, 3.018546157375175, 2.966427650360389, 3.005201914854863, 2.5712912536243406, 2.5712912536243384, 2.72383190503769, 2.7238319050376893]
         [2.571291253624339, 2.571291253624339, 3.0052019148548634, 2.96642765036039, 3.0185461573751735, 3.0185461573751735, 2.9664276503603904, 3.005201914854863, 2.571291253624339, 2.571291253624339, 2.7238319050376893, 2.72383190503769]

ce_symbol  = I:12
ce_fraction=  0.007852649712517685
species:coords:index
O1 : [1.79764499 2.09668342 1.95655698] : 51
O1 : [1.79764499 5.77079658 1.95655698] : 49
O1 : [2.2439135  3.93374    4.02792799] : 79
O1 : [ 2.00506557  3.93374    -0.1572795 ] : 67
O1 : [ 0.          1.9652965  -0.25951117] : 33
O1 : [ 0.          5.9021835  -0.25951117] : 32
O1 : [-2.00506557  3.93374    -0.1572795 ] : 66
O1 : [-2.2439135   3.93374     4.02792799] : 78
O1 : [-1.79764499  5.77079658  1.95655698] : 48
O1 : [-1.79764499  2.09668342  1.95655698] : 50
O1 : [0.         5.64963739 4.14431483] : 36
O1 : [0.         2.21784261 4.14431483] : 37
!!!atention to nb coordination!!!
         [2.5712912536243384, 2.57129125362434, 3.0052019148548634, 2.966427650360388, 3.018546157375174, 3.018546157375175, 2.966427650360389, 3.005201914854863, 2.5712912536243406, 2.5712912536243384, 2.72383190503769, 2.7238319050376893]
         [2.571291253624339, 2.571291253624339, 3.0052019148548634, 2.96642765036039, 3.0185461573751735, 3.0185461573751735, 2.9664276503603904, 3.005201914854863, 2.571291253624339, 2.571291253624339, 2.7238319050376893, 2.72383190503769]

ce_symbol  = AC:12
ce_fraction=  0.0005280860548264131
species:coords:index
O1 : [1.79764499 2.09668342 1.95655698] : 51
O1 : [1.79764499 5.77079658 1.95655698] : 49
O1 : [2.2439135  3.93374    4.02792799] : 79
O1 : [ 2.00506557  3.93374    -0.1572795 ] : 67
O1 : [ 0.          1.9652965  -0.25951117] : 33
O1 : [ 0.          5.9021835  -0.25951117] : 32
O1 : [-2.00506557  3.93374    -0.1572795 ] : 66
O1 : [-2.2439135   3.93374     4.02792799] : 78
O1 : [-1.79764499  5.77079658  1.95655698] : 48
O1 : [-1.79764499  2.09668342  1.95655698] : 50
O1 : [0.         5.64963739 4.14431483] : 36
O1 : [0.         2.21784261 4.14431483] : 37
!!!atention to nb coordination!!!
         [2.5712912536243384, 2.57129125362434, 3.0052019148548634, 2.966427650360388, 3.018546157375174, 3.018546157375175, 2.966427650360389, 3.005201914854863, 2.5712912536243406, 2.5712912536243384, 2.72383190503769, 2.7238319050376893]
         [2.571291253624339, 2.571291253624339, 3.0052019148548634, 2.96642765036039, 3.0185461573751735, 3.0185461573751735, 2.9664276503603904, 3.005201914854863, 2.571291253624339, 2.571291253624339, 2.7238319050376893, 2.72383190503769]


**isite= 9
Na1 : [ 3.92842     0.         13.69904445]

ce_symbol  = C:12
ce_fraction=  0.991619264232656
species:coords:index
O1 : [ 1.6845065  0.        11.700022 ] : 77
O1 : [ 2.13077501 -1.83705658 13.77139302] : 53
O1 : [ 3.92842    -1.9684435  15.98746117] : 34
O1 : [ 5.72606499  1.83705658 13.77139302] : 54
O1 : [ 3.92842     1.9684435  15.98746117] : 35
O1 : [ 3.92842     1.71589739 11.58363517] : 39
O1 : [ 2.13077501  1.83705658 13.77139302] : 55
O1 : [ 5.93348557  0.         15.8852295 ] : 64
O1 : [ 5.72606499 -1.83705658 13.77139302] : 52
O1 : [ 3.92842    -1.71589739 11.58363517] : 38
O1 : [ 6.1723335  0.        11.700022 ] : 76
O1 : [ 1.92335443  0.         15.8852295 ] : 65
!!!atention to nb coordination!!!
         [3.005201914854864, 2.571291253624339, 3.018546157375172, 2.5712912536243393, 3.018546157375174, 2.723831905037689, 2.57129125362434, 2.9664276503603904, 2.571291253624338, 2.7238319050376885, 3.005201914854864, 2.9664276503603895]
         [3.005201914854864, 2.5712912536243397, 3.0185461573751735, 2.571291253624339, 3.0185461573751735, 2.7238319050376902, 2.5712912536243397, 2.9664276503603895, 2.571291253624339, 2.7238319050376902, 3.005201914854864, 2.9664276503603895]

ce_symbol  = I:12
ce_fraction=  0.00785264971251765
species:coords:index
O1 : [ 1.6845065  0.        11.700022 ] : 77
O1 : [ 2.13077501 -1.83705658 13.77139302] : 53
O1 : [ 3.92842    -1.9684435  15.98746117] : 34
O1 : [ 5.72606499  1.83705658 13.77139302] : 54
O1 : [ 3.92842     1.9684435  15.98746117] : 35
O1 : [ 3.92842     1.71589739 11.58363517] : 39
O1 : [ 2.13077501  1.83705658 13.77139302] : 55
O1 : [ 5.93348557  0.         15.8852295 ] : 64
O1 : [ 5.72606499 -1.83705658 13.77139302] : 52
O1 : [ 3.92842    -1.71589739 11.58363517] : 38
O1 : [ 6.1723335  0.        11.700022 ] : 76
O1 : [ 1.92335443  0.         15.8852295 ] : 65
!!!atention to nb coordination!!!
         [3.005201914854864, 2.571291253624339, 3.018546157375172, 2.5712912536243393, 3.018546157375174, 2.723831905037689, 2.57129125362434, 2.9664276503603904, 2.571291253624338, 2.7238319050376885, 3.005201914854864, 2.9664276503603895]
         [3.005201914854864, 2.5712912536243397, 3.0185461573751735, 2.571291253624339, 3.0185461573751735, 2.7238319050376902, 2.5712912536243397, 2.9664276503603895, 2.571291253624339, 2.7238319050376902, 3.005201914854864, 2.9664276503603895]

ce_symbol  = AC:12
ce_fraction=  0.000528086054826407
species:coords:index
O1 : [ 1.6845065  0.        11.700022 ] : 77
O1 : [ 2.13077501 -1.83705658 13.77139302] : 53
O1 : [ 3.92842    -1.9684435  15.98746117] : 34
O1 : [ 5.72606499  1.83705658 13.77139302] : 54
O1 : [ 3.92842     1.9684435  15.98746117] : 35
O1 : [ 3.92842     1.71589739 11.58363517] : 39
O1 : [ 2.13077501  1.83705658 13.77139302] : 55
O1 : [ 5.93348557  0.         15.8852295 ] : 64
O1 : [ 5.72606499 -1.83705658 13.77139302] : 52
O1 : [ 3.92842    -1.71589739 11.58363517] : 38
O1 : [ 6.1723335  0.        11.700022 ] : 76
O1 : [ 1.92335443  0.         15.8852295 ] : 65
!!!atention to nb coordination!!!
         [3.005201914854864, 2.571291253624339, 3.018546157375172, 2.5712912536243393, 3.018546157375174, 2.723831905037689, 2.57129125362434, 2.9664276503603904, 2.571291253624338, 2.7238319050376885, 3.005201914854864, 2.9664276503603895]
         [3.005201914854864, 2.5712912536243397, 3.0185461573751735, 2.571291253624339, 3.0185461573751735, 2.7238319050376902, 2.5712912536243397, 2.9664276503603895, 2.571291253624339, 2.7238319050376902, 3.005201914854864, 2.9664276503603895]


**isite= 10
Na1 : [0.        3.93374   5.9137092]

ce_symbol  = C:12
ce_fraction=  0.9917700492961208
species:coords:index
O1 : [-2.13706048  5.86363284  5.90584523] : 56
O1 : [0.         6.197214   7.77589848] : 40
O1 : [-1.68372081  3.93374     7.89385811] : 74
O1 : [0.         2.21784261 4.14431483] : 37
O1 : [-2.2439135   3.93374     4.02792799] : 78
O1 : [-2.13706048  2.00384716  5.90584523] : 58
O1 : [0.         5.64963739 4.14431483] : 36
O1 : [2.13706048 5.86363284 5.90584523] : 57
O1 : [2.2439135  3.93374    4.02792799] : 79
O1 : [2.13706048 2.00384716 5.90584523] : 59
O1 : [0.         1.670266   7.77589848] : 41
O1 : [1.68372081 3.93374    7.89385811] : 75
!!!atention to nb coordination!!!
         [2.8795096330109833, 2.9310515937313584, 2.599212468947978, 2.464763741299936, 2.9310951138720847, 2.879509633010983, 2.464763741299937, 2.8795096330109833, 2.931095113872085, 2.879509633010983, 2.931051593731358, 2.599212468947978]
         [2.879509633010983, 2.931051593731357, 2.599212468947978, 2.4647637412999366, 2.9310951138720847, 2.8795096330109833, 2.464763741299936, 2.879509633010983, 2.931095113872085, 2.8795096330109833, 2.9310515937313575, 2.599212468947978]

ce_symbol  = I:12
ce_fraction=  0.007052819676790952
species:coords:index
O1 : [-2.13706048  5.86363284  5.90584523] : 56
O1 : [0.         6.197214   7.77589848] : 40
O1 : [-1.68372081  3.93374     7.89385811] : 74
O1 : [0.         2.21784261 4.14431483] : 37
O1 : [-2.2439135   3.93374     4.02792799] : 78
O1 : [-2.13706048  2.00384716  5.90584523] : 58
O1 : [0.         5.64963739 4.14431483] : 36
O1 : [2.13706048 5.86363284 5.90584523] : 57
O1 : [2.2439135  3.93374    4.02792799] : 79
O1 : [2.13706048 2.00384716 5.90584523] : 59
O1 : [0.         1.670266   7.77589848] : 41
O1 : [1.68372081 3.93374    7.89385811] : 75
!!!atention to nb coordination!!!
         [2.8795096330109833, 2.9310515937313584, 2.599212468947978, 2.464763741299936, 2.9310951138720847, 2.879509633010983, 2.464763741299937, 2.8795096330109833, 2.931095113872085, 2.879509633010983, 2.931051593731358, 2.599212468947978]
         [2.879509633010983, 2.931051593731357, 2.599212468947978, 2.4647637412999366, 2.9310951138720847, 2.8795096330109833, 2.464763741299936, 2.879509633010983, 2.931095113872085, 2.8795096330109833, 2.9310515937313575, 2.599212468947978]

ce_symbol  = AC:12
ce_fraction=  0.0011771310270882922
species:coords:index
O1 : [-2.13706048  5.86363284  5.90584523] : 56
O1 : [0.         6.197214   7.77589848] : 40
O1 : [-1.68372081  3.93374     7.89385811] : 74
O1 : [0.         2.21784261 4.14431483] : 37
O1 : [-2.2439135   3.93374     4.02792799] : 78
O1 : [-2.13706048  2.00384716  5.90584523] : 58
O1 : [0.         5.64963739 4.14431483] : 36
O1 : [2.13706048 5.86363284 5.90584523] : 57
O1 : [2.2439135  3.93374    4.02792799] : 79
O1 : [2.13706048 2.00384716 5.90584523] : 59
O1 : [0.         1.670266   7.77589848] : 41
O1 : [1.68372081 3.93374    7.89385811] : 75
!!!atention to nb coordination!!!
         [2.8795096330109833, 2.9310515937313584, 2.599212468947978, 2.464763741299936, 2.9310951138720847, 2.879509633010983, 2.464763741299937, 2.8795096330109833, 2.931095113872085, 2.879509633010983, 2.931051593731358, 2.599212468947978]
         [2.879509633010983, 2.931051593731357, 2.599212468947978, 2.4647637412999366, 2.9310951138720847, 2.8795096330109833, 2.464763741299936, 2.879509633010983, 2.931095113872085, 2.8795096330109833, 2.9310515937313575, 2.599212468947978]


**isite= 11
Na1 : [3.92842   0.        9.8142408]

ce_symbol  = C:12
ce_fraction=  0.9917700492961208
species:coords:index
O1 : [ 6.1723335  0.        11.700022 ] : 76
O1 : [3.92842    2.263474   7.95205152] : 43
O1 : [6.06548048 1.92989284 9.82210478] : 62
O1 : [ 3.92842    -2.263474    7.95205152] : 42
O1 : [ 6.06548048 -1.92989284  9.82210478] : 60
O1 : [2.24469919 0.         7.83409189] : 73
O1 : [5.61214081 0.         7.83409189] : 72
O1 : [ 1.6845065  0.        11.700022 ] : 77
O1 : [ 1.79135952 -1.92989284  9.82210478] : 61
O1 : [1.79135952 1.92989284 9.82210478] : 63
O1 : [ 3.92842     1.71589739 11.58363517] : 39
O1 : [ 3.92842    -1.71589739 11.58363517] : 38
!!!atention to nb coordination!!!
         [2.931095113872084, 2.931051593731358, 2.879509633010983, 2.931051593731356, 2.8795096330109824, 2.599212468947978, 2.5992124689479774, 2.931095113872084, 2.879509633010983, 2.8795096330109833, 2.464763741299938, 2.464763741299937]
         [2.931095113872084, 2.9310515937313575, 2.879509633010983, 2.931051593731357, 2.879509633010983, 2.599212468947978, 2.5992124689479774, 2.931095113872084, 2.879509633010983, 2.879509633010983, 2.4647637412999366, 2.4647637412999366]

ce_symbol  = I:12
ce_fraction=  0.007052819676790986
species:coords:index
O1 : [ 6.1723335  0.        11.700022 ] : 76
O1 : [3.92842    2.263474   7.95205152] : 43
O1 : [6.06548048 1.92989284 9.82210478] : 62
O1 : [ 3.92842    -2.263474    7.95205152] : 42
O1 : [ 6.06548048 -1.92989284  9.82210478] : 60
O1 : [2.24469919 0.         7.83409189] : 73
O1 : [5.61214081 0.         7.83409189] : 72
O1 : [ 1.6845065  0.        11.700022 ] : 77
O1 : [ 1.79135952 -1.92989284  9.82210478] : 61
O1 : [1.79135952 1.92989284 9.82210478] : 63
O1 : [ 3.92842     1.71589739 11.58363517] : 39
O1 : [ 3.92842    -1.71589739 11.58363517] : 38
!!!atention to nb coordination!!!
         [2.931095113872084, 2.931051593731358, 2.879509633010983, 2.931051593731356, 2.8795096330109824, 2.599212468947978, 2.5992124689479774, 2.931095113872084, 2.879509633010983, 2.8795096330109833, 2.464763741299938, 2.464763741299937]
         [2.931095113872084, 2.9310515937313575, 2.879509633010983, 2.931051593731357, 2.879509633010983, 2.599212468947978, 2.5992124689479774, 2.931095113872084, 2.879509633010983, 2.879509633010983, 2.4647637412999366, 2.4647637412999366]

ce_symbol  = AC:12
ce_fraction=  0.0011771310270882935
species:coords:index
O1 : [ 6.1723335  0.        11.700022 ] : 76
O1 : [3.92842    2.263474   7.95205152] : 43
O1 : [6.06548048 1.92989284 9.82210478] : 62
O1 : [ 3.92842    -2.263474    7.95205152] : 42
O1 : [ 6.06548048 -1.92989284  9.82210478] : 60
O1 : [2.24469919 0.         7.83409189] : 73
O1 : [5.61214081 0.         7.83409189] : 72
O1 : [ 1.6845065  0.        11.700022 ] : 77
O1 : [ 1.79135952 -1.92989284  9.82210478] : 61
O1 : [1.79135952 1.92989284 9.82210478] : 63
O1 : [ 3.92842     1.71589739 11.58363517] : 39
O1 : [ 3.92842    -1.71589739 11.58363517] : 38
!!!atention to nb coordination!!!
         [2.931095113872084, 2.931051593731358, 2.879509633010983, 2.931051593731356, 2.8795096330109824, 2.599212468947978, 2.5992124689479774, 2.931095113872084, 2.879509633010983, 2.8795096330109833, 2.464763741299938, 2.464763741299937]
         [2.931095113872084, 2.9310515937313575, 2.879509633010983, 2.931051593731357, 2.879509633010983, 2.599212468947978, 2.5992124689479774, 2.931095113872084, 2.879509633010983, 2.879509633010983, 2.4647637412999366, 2.4647637412999366]


**isite= 12
Na1 : [0.        3.93374   9.8456967]

ce_symbol  = C:12
ce_fraction=  0.9860594236599076
species:coords:index
O1 : [-1.79135952  1.92989284  9.82210478] : 62
O1 : [-2.20541499  3.93374    11.66227493] : 70
O1 : [ 0.          2.23593782 12.06962883] : 45
O1 : [1.79135952 1.92989284 9.82210478] : 63
O1 : [0.         1.670266   7.77589848] : 41
O1 : [-1.68372081  3.93374     7.89385811] : 74
O1 : [1.68372081 3.93374    7.89385811] : 75
O1 : [0.         6.197214   7.77589848] : 40
O1 : [-1.79135952  5.93758716  9.82210478] : 60
O1 : [ 2.20541499  3.93374    11.66227493] : 71
O1 : [ 0.          5.63154218 12.06962883] : 44
O1 : [1.79135952 5.93758716 9.82210478] : 61
!!!atention to nb coordination!!!
         [2.6879227915677046, 2.857238477418221, 2.7979289438514168, 2.687922791567704, 3.0671451224360693, 2.57771016091676, 2.57771016091676, 3.0671451224360693, 2.6879227915677055, 2.857238477418221, 2.7979289438514177, 2.6879227915677055]
         [2.687922791567705, 2.857238477418221, 2.797928943851417, 2.687922791567705, 3.0671451224360697, 2.57771016091676, 2.57771016091676, 3.0671451224360697, 2.687922791567705, 2.857238477418221, 2.7979289438514168, 2.687922791567705]

ce_symbol  = I:12
ce_fraction=  0.011290173070560447
species:coords:index
O1 : [-1.79135952  1.92989284  9.82210478] : 62
O1 : [-2.20541499  3.93374    11.66227493] : 70
O1 : [ 0.          2.23593782 12.06962883] : 45
O1 : [1.79135952 1.92989284 9.82210478] : 63
O1 : [0.         1.670266   7.77589848] : 41
O1 : [-1.68372081  3.93374     7.89385811] : 74
O1 : [1.68372081 3.93374    7.89385811] : 75
O1 : [0.         6.197214   7.77589848] : 40
O1 : [-1.79135952  5.93758716  9.82210478] : 60
O1 : [ 2.20541499  3.93374    11.66227493] : 71
O1 : [ 0.          5.63154218 12.06962883] : 44
O1 : [1.79135952 5.93758716 9.82210478] : 61
!!!atention to nb coordination!!!
         [2.6879227915677046, 2.857238477418221, 2.7979289438514168, 2.687922791567704, 3.0671451224360693, 2.57771016091676, 2.57771016091676, 3.0671451224360693, 2.6879227915677055, 2.857238477418221, 2.7979289438514177, 2.6879227915677055]
         [2.687922791567705, 2.857238477418221, 2.797928943851417, 2.687922791567705, 3.0671451224360697, 2.57771016091676, 2.57771016091676, 3.0671451224360697, 2.687922791567705, 2.857238477418221, 2.7979289438514168, 2.687922791567705]

ce_symbol  = AC:12
ce_fraction=  0.002650403269531959
species:coords:index
O1 : [-1.79135952  1.92989284  9.82210478] : 62
O1 : [-2.20541499  3.93374    11.66227493] : 70
O1 : [ 0.          2.23593782 12.06962883] : 45
O1 : [1.79135952 1.92989284 9.82210478] : 63
O1 : [0.         1.670266   7.77589848] : 41
O1 : [-1.68372081  3.93374     7.89385811] : 74
O1 : [1.68372081 3.93374    7.89385811] : 75
O1 : [0.         6.197214   7.77589848] : 40
O1 : [-1.79135952  5.93758716  9.82210478] : 60
O1 : [ 2.20541499  3.93374    11.66227493] : 71
O1 : [ 0.          5.63154218 12.06962883] : 44
O1 : [1.79135952 5.93758716 9.82210478] : 61
!!!atention to nb coordination!!!
         [2.6879227915677046, 2.857238477418221, 2.7979289438514168, 2.687922791567704, 3.0671451224360693, 2.57771016091676, 2.57771016091676, 3.0671451224360693, 2.6879227915677055, 2.857238477418221, 2.7979289438514177, 2.6879227915677055]
         [2.687922791567705, 2.857238477418221, 2.797928943851417, 2.687922791567705, 3.0671451224360697, 2.57771016091676, 2.57771016091676, 3.0671451224360697, 2.687922791567705, 2.857238477418221, 2.7979289438514168, 2.687922791567705]


**isite= 13
Na1 : [3.92842   0.        5.8822533]

ce_symbol  = C:12
ce_fraction=  0.9860594236599075
species:coords:index
O1 : [ 2.13706048 -2.00384716  5.90584523] : 57
O1 : [1.72300501 0.         4.06567507] : 69
O1 : [ 3.92842    -2.263474    7.95205152] : 42
O1 : [6.13383499 0.         4.06567507] : 68
O1 : [ 5.71977952 -2.00384716  5.90584523] : 56
O1 : [ 3.92842    -1.69780218  3.65832117] : 46
O1 : [3.92842    1.69780218 3.65832117] : 47
O1 : [2.24469919 0.         7.83409189] : 73
O1 : [2.13706048 2.00384716 5.90584523] : 59
O1 : [5.61214081 0.         7.83409189] : 72
O1 : [5.71977952 2.00384716 5.90584523] : 58
O1 : [3.92842    2.263474   7.95205152] : 43
!!!atention to nb coordination!!!
         [2.687922791567704, 2.8572384774182202, 3.0671451224360697, 2.857238477418221, 2.687922791567704, 2.7979289438514168, 2.7979289438514177, 2.57771016091676, 2.6879227915677046, 2.5777101609167596, 2.6879227915677046, 3.0671451224360715]
         [2.6879227915677046, 2.857238477418221, 3.06714512243607, 2.857238477418221, 2.6879227915677046, 2.797928943851417, 2.797928943851417, 2.57771016091676, 2.6879227915677046, 2.5777101609167596, 2.6879227915677046, 3.0671451224360706]

ce_symbol  = I:12
ce_fraction=  0.011290173070560482
species:coords:index
O1 : [ 2.13706048 -2.00384716  5.90584523] : 57
O1 : [1.72300501 0.         4.06567507] : 69
O1 : [ 3.92842    -2.263474    7.95205152] : 42
O1 : [6.13383499 0.         4.06567507] : 68
O1 : [ 5.71977952 -2.00384716  5.90584523] : 56
O1 : [ 3.92842    -1.69780218  3.65832117] : 46
O1 : [3.92842    1.69780218 3.65832117] : 47
O1 : [2.24469919 0.         7.83409189] : 73
O1 : [2.13706048 2.00384716 5.90584523] : 59
O1 : [5.61214081 0.         7.83409189] : 72
O1 : [5.71977952 2.00384716 5.90584523] : 58
O1 : [3.92842    2.263474   7.95205152] : 43
!!!atention to nb coordination!!!
         [2.687922791567704, 2.8572384774182202, 3.0671451224360697, 2.857238477418221, 2.687922791567704, 2.7979289438514168, 2.7979289438514177, 2.57771016091676, 2.6879227915677046, 2.5777101609167596, 2.6879227915677046, 3.0671451224360715]
         [2.6879227915677046, 2.857238477418221, 3.06714512243607, 2.857238477418221, 2.6879227915677046, 2.797928943851417, 2.797928943851417, 2.57771016091676, 2.6879227915677046, 2.5777101609167596, 2.6879227915677046, 3.0671451224360706]

ce_symbol  = AC:12
ce_fraction=  0.0026504032695319635
species:coords:index
O1 : [ 2.13706048 -2.00384716  5.90584523] : 57
O1 : [1.72300501 0.         4.06567507] : 69
O1 : [ 3.92842    -2.263474    7.95205152] : 42
O1 : [6.13383499 0.         4.06567507] : 68
O1 : [ 5.71977952 -2.00384716  5.90584523] : 56
O1 : [ 3.92842    -1.69780218  3.65832117] : 46
O1 : [3.92842    1.69780218 3.65832117] : 47
O1 : [2.24469919 0.         7.83409189] : 73
O1 : [2.13706048 2.00384716 5.90584523] : 59
O1 : [5.61214081 0.         7.83409189] : 72
O1 : [5.71977952 2.00384716 5.90584523] : 58
O1 : [3.92842    2.263474   7.95205152] : 43
!!!atention to nb coordination!!!
         [2.687922791567704, 2.8572384774182202, 3.0671451224360697, 2.857238477418221, 2.687922791567704, 2.7979289438514168, 2.7979289438514177, 2.57771016091676, 2.6879227915677046, 2.5777101609167596, 2.6879227915677046, 3.0671451224360715]
         [2.6879227915677046, 2.857238477418221, 3.06714512243607, 2.857238477418221, 2.6879227915677046, 2.797928943851417, 2.797928943851417, 2.57771016091676, 2.6879227915677046, 2.5777101609167596, 2.6879227915677046, 3.0671451224360706]


**isite= 14
Na1 : [ 0.          3.93374    13.73050035]

ce_symbol  = C:12
ce_fraction=  0.9984977864702669
species:coords:index
O1 : [ 2.00506557  3.93374    15.5706705 ] : 67
O1 : [ 0.          5.9021835  15.46843882] : 32
O1 : [ 0.          1.9652965  15.46843882] : 33
O1 : [ 2.20541499  3.93374    11.66227493] : 71
O1 : [ 2.13077501  1.83705658 13.77139302] : 55
O1 : [ 0.          5.63154218 12.06962883] : 44
O1 : [-2.13077501  6.03042342 13.77139302] : 52
