cif name= ./2002888.cif
./2002888.cif
Full Formula (Ca12 Al24 O48)
species:coords:index
O2-1 : [ 0.66886333  1.94208    -0.34939146] : 38
O2-1 : [2.19843972 2.209116   2.03558504] : 76
O2-1 : [-0.46308419  1.108604    2.26344904] : 44
O2-1 : [-0.13419695  3.787056    1.68619358] : 40
!!!atention to nb coordination!!!
         [1.7649055541559087, 1.7526009832139502, 1.7381152768474935, 1.7561687286421521]
         [1.764905554155906, 1.7526009832139504, 1.7381152768474932, 1.7561687286421528]


**isite= 29
Al3+1 : [-3.75957058  1.8417392   8.98847514]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [-3.6586004  2.10392    7.2460751] : 39
O2-1 : [-2.12902401  1.836884    9.63105161] : 77
O2-1 : [-4.46166068  0.258944    9.28166014] : 41
O2-1 : [-4.79054792  2.937396    9.8589156 ] : 45
!!!atention to nb coordination!!!
         [1.7649055541559064, 1.7526009832139504, 1.7561687286421528, 1.738115276847492]
         [1.7649055541559056, 1.752600983213951, 1.7561687286421528, 1.7381152768474932]


**isite= 30
Al3+1 : [-0.52282061  5.8877392  13.79792457]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [ 0.50815673  6.983396   12.9274841 ] : 46
O2-1 : [-2.15336718  5.882884   13.15534809] : 78
O2-1 : [ 0.17926949  4.304944   13.50473956] : 42
O2-1 : [-0.62379079  6.14992    15.5403246 ] : 36
!!!atention to nb coordination!!!
         [1.7381152768474912, 1.7526009832139526, 1.756168728642153, 1.7649055541559073]
         [1.7381152768474923, 1.7526009832139515, 1.7561687286421517, 1.7649055541559093]


**isite= 31
Al3+1 : [3.80464312 6.2502608  6.202458  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [2.17409655 6.255116   5.55988153] : 79
O2-1 : [4.50673322 7.833056   5.90927299] : 43
O2-1 : [4.83562046 5.154604   5.33201753] : 47
O2-1 : [3.70367294 5.98808    7.94485803] : 37
!!!atention to nb coordination!!!
         [1.752600983213952, 1.7561687286421508, 1.7381152768474943, 1.7649055541559042]
         [1.752600983213951, 1.7561687286421521, 1.7381152768474932, 1.7649055541559058]


**isite= 32
Al3+1 : [0.52615118 5.3884628  1.39908494]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [0.68747929 6.10946    2.99261383] : 80
O2-1 : [2.12491841 5.21934    0.71397386] : 72
O2-1 : [-0.13419695  3.787056    1.68619358] : 40
O2-1 : [-0.66886333  6.14992     0.34939146] : 36
!!!atention to nb coordination!!!
         [1.7564731796460895, 1.7475801470464878, 1.7558458815029476, 1.7634435497656573]
         [1.7564731796460902, 1.747580147046488, 1.7558458815029474, 1.7634435497656564]


**isite= 33
Al3+1 : [-3.80131255  6.7495372   8.99455151]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [-2.20254532  6.91866     8.30944042] : 73
O2-1 : [-3.63998444  6.02854    10.58808039] : 81
O2-1 : [-4.99632706  5.98808     7.94485803] : 37
O2-1 : [-4.46166068  8.350944    9.28166014] : 41
!!!atention to nb coordination!!!
         [1.7475801470464876, 1.7564731796460877, 1.763443549765659, 1.7558458815029476]
         [1.7475801470464882, 1.7564731796460888, 1.7634435497656569, 1.755845881502946]


**isite= 34
Al3+1 : [-0.48107864  2.7035372  13.79184819]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [ 0.17926949  4.304944   13.50473956] : 42
O2-1 : [-0.64240675  1.98254    12.19831931] : 82
O2-1 : [-2.07984587  2.87266    14.47695928] : 74
O2-1 : [ 0.71393587  1.94208    14.84154167] : 38
!!!atention to nb coordination!!!
         [1.755845881502947, 1.7564731796460924, 1.7475801470464878, 1.763443549765655]
         [1.755845881502947, 1.7564731796460908, 1.7475801470464891, 1.7634435497656558]


**isite= 35
Al3+1 : [3.84638509 1.3424628  6.19638163]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O2-1 : [3.68505698 2.06346    4.60285274] : 83
O2-1 : [2.24761786 1.17334    6.88149271] : 75
O2-1 : [ 4.50673322 -0.258944    5.90927299] : 43
O2-1 : [5.0413996 2.10392   7.2460751] : 39
!!!atention to nb coordination!!!
         [1.7564731796460904, 1.7475801470464876, 1.7558458815029487, 1.763443549765656]
         [1.7564731796460906, 1.7475801470464885, 1.7558458815029467, 1.7634435497656566]


**isite= 36
O2-1 : [8.03113667 6.14992    0.34939146]


**isite= 37
O2-1 : [3.70367294 5.98808    7.94485803]


**isite= 38
O2-1 : [-7.98606413  1.94208    14.84154167]


**isite= 39
O2-1 : [-3.6586004  2.10392    7.2460751]


**isite= 40
O2-1 : [-0.13419695  3.787056    1.68619358]


**isite= 41
O2-1 : [-4.46166068  0.258944    9.28166014]


**isite= 42
O2-1 : [ 0.17926949  4.304944   13.50473956]


**isite= 43
O2-1 : [4.50673322 7.833056   5.90927299]


**isite= 44
O2-1 : [-0.46308419  1.108604    2.26344904]


**isite= 45
O2-1 : [-4.79054792  2.937396    9.8589156 ]


**isite= 46
O2-1 : [ 0.50815673  6.983396   12.9274841 ]


**isite= 47
O2-1 : [4.83562046 5.154604   5.33201753]


**isite= 48
O2-1 : [6.5689948  6.101368   3.09895036]


**isite= 49
O2-1 : [ 2.24153107  6.036632   10.69441693]


**isite= 50
O2-1 : [-6.52392226  1.990632   12.09198277]


**isite= 51
O2-1 : [-2.19645853  2.055368    4.49651621]


**isite= 52
O2-1 : [4.90801696 5.98808    0.41015519]


**isite= 53
O2-1 : [0.58055323 6.14992    8.00562176]


**isite= 54
O2-1 : [-4.86294442  2.10392    14.78077794]


**isite= 55
O2-1 : [-0.53548069  1.94208     7.18531137]


**isite= 56
O2-1 : [4.96535523 1.189524   2.14192157]


**isite= 57
O2-1 : [0.6378915  2.856476   9.73738814]


**isite= 58
O2-1 : [-4.92028269  6.902476   13.04901156]


**isite= 59
O2-1 : [-0.59281896  5.235524    5.45354499]


**isite= 60
O2-1 : [4.94141871 3.851792   2.87108636]


**isite= 61
O2-1 : [ 0.61395498  0.194208   10.46655293]


**isite= 62
O2-1 : [-4.89634617  4.240208   12.31984677]


**isite= 63
O2-1 : [-0.56888244  7.897792    4.7243802 ]


**isite= 64
O2-1 : [3.63668914 6.255116   2.96223196]


**isite= 65
O2-1 : [-0.69077459  5.882884   10.55769853]


**isite= 66
O2-1 : [-3.59161661  1.836884   12.22870117]


**isite= 67
O2-1 : [0.73584712 2.209116   4.63323461]


**isite= 68
O2-1 : [2.79517899 7.897792   0.83550132]


**isite= 69
O2-1 : [-1.53228474  4.240208    8.43096789]


**isite= 70
O2-1 : [-2.75010645  0.194208   14.35543181]


**isite= 71
O2-1 : [1.57735728 3.851792   6.75996524]


**isite= 72
O2-1 : [2.12491841 5.21934    0.71397386]


**isite= 73
O2-1 : [-2.20254532  6.91866     8.30944042]


**isite= 74
O2-1 : [-2.07984587  2.87266    14.47695928]


**isite= 75
O2-1 : [2.24761786 1.17334    6.88149271]


**isite= 76
O2-1 : [2.19843972 2.209116   2.03558504]


**isite= 77
O2-1 : [-2.12902401  1.836884    9.63105161]


**isite= 78
O2-1 : [-2.15336718  5.882884   13.15534809]


**isite= 79
O2-1 : [2.17409655 6.255116   5.55988153]


**isite= 80
O2-1 : [0.68747929 6.10946    2.99261383]


**isite= 81
O2-1 : [-3.63998444  6.02854    10.58808039]


**isite= 82
O2-1 : [-0.64240675  1.98254    12.19831931]


**isite= 83
O2-1 : [3.68505698 2.06346    4.60285274]

END

