cif name= ./1528989.cif
./1528989.cif
Full Formula (La16 Hf16 O56)
         [2.643576636765787, 2.6435766367657862, 2.6435766367657862, 2.6435766367657862, 2.33237961747225, 2.3323796174722493, 2.6435766367657876, 2.6435766367657867]

ce_symbol  = HB:8
ce_fraction=  0.21915454577009152
species:coords:index
O1 : [ 2.20626944 10.7728      0.        ] : 37
O1 : [ 2.6932      8.0796     -0.48693056] : 55
O1 : [5.87333056 8.0796     2.6932    ] : 46
O1 : [5.3864     7.59266944 0.        ] : 49
O1 : [ 5.3864 10.7728  0.    ] : 59
O1 : [2.6932 8.0796 2.6932] : 44
O1 : [ 2.6932     11.25973056  2.6932    ] : 36
O1 : [ 5.3864     10.7728      3.18013056] : 43
!!!atention to nb coordination!!!
         [2.6435766367657867, 2.6435766367657867, 2.6435766367657867, 2.6435766367657862, 2.3323796174722498, 2.3323796174722493, 2.6435766367657876, 2.6435766367657867]
         [2.643576636765787, 2.6435766367657862, 2.6435766367657862, 2.6435766367657862, 2.33237961747225, 2.3323796174722493, 2.6435766367657876, 2.6435766367657867]

ce_symbol  = L:2
ce_fraction=  0.07363090372203224
species:coords:index
O1 : [ 5.3864 10.7728  0.    ] : 59
O1 : [2.6932 8.0796 2.6932] : 44
!!!atention to nb coordination!!!
         [2.3323796174722498, 2.3323796174722493]
         [2.33237961747225, 2.3323796174722493]

ce_symbol  = BO_1:8
ce_fraction=  0.018275170733412602
species:coords:index
O1 : [ 2.20626944 10.7728      0.        ] : 37
O1 : [ 2.6932      8.0796     -0.48693056] : 55
O1 : [5.87333056 8.0796     2.6932    ] : 46
O1 : [5.3864     7.59266944 0.        ] : 49
O1 : [ 5.3864 10.7728  0.    ] : 59
O1 : [2.6932 8.0796 2.6932] : 44
O1 : [ 2.6932     11.25973056  2.6932    ] : 36
O1 : [ 5.3864     10.7728      3.18013056] : 43
!!!atention to nb coordination!!!
         [2.6435766367657867, 2.6435766367657867, 2.6435766367657867, 2.6435766367657862, 2.3323796174722498, 2.3323796174722493, 2.6435766367657876, 2.6435766367657867]
         [2.643576636765787, 2.6435766367657862, 2.6435766367657862, 2.6435766367657862, 2.33237961747225, 2.3323796174722493, 2.6435766367657876, 2.6435766367657867]


**isite= 23
Hf1 : [4.0398 6.733  4.0398]

ce_symbol  = C:8
ce_fraction=  0.6889393797744633
species:coords:index
O1 : [2.20626944 5.3864     5.3864    ] : 51
O1 : [2.6932     8.0796     5.87333056] : 54
O1 : [5.3864     8.56653056 5.3864    ] : 33
O1 : [5.3864 5.3864 5.3864] : 45
O1 : [5.3864     5.3864     2.20626944] : 56
O1 : [2.6932     4.89946944 2.6932    ] : 38
O1 : [2.6932 8.0796 2.6932] : 44
O1 : [5.87333056 8.0796     2.6932    ] : 46
!!!atention to nb coordination!!!
         [2.6435766367657862, 2.643576636765788, 2.643576636765787, 2.3323796174722493, 2.6435766367657862, 2.643576636765787, 2.3323796174722506, 2.643576636765788]
         [2.6435766367657867, 2.643576636765787, 2.643576636765787, 2.3323796174722493, 2.6435766367657867, 2.643576636765787, 2.3323796174722506, 2.643576636765787]

ce_symbol  = HB:8
ce_fraction=  0.21915454577009186
species:coords:index
O1 : [2.20626944 5.3864     5.3864    ] : 51
O1 : [2.6932     8.0796     5.87333056] : 54
O1 : [5.3864     8.56653056 5.3864    ] : 33
O1 : [5.3864 5.3864 5.3864] : 45
O1 : [5.3864     5.3864     2.20626944] : 56
O1 : [2.6932     4.89946944 2.6932    ] : 38
O1 : [2.6932 8.0796 2.6932] : 44
O1 : [5.87333056 8.0796     2.6932    ] : 46
!!!atention to nb coordination!!!
         [2.6435766367657862, 2.643576636765788, 2.643576636765787, 2.3323796174722493, 2.6435766367657862, 2.643576636765787, 2.3323796174722506, 2.643576636765788]
         [2.6435766367657867, 2.643576636765787, 2.643576636765787, 2.3323796174722493, 2.6435766367657867, 2.643576636765787, 2.3323796174722506, 2.643576636765787]

ce_symbol  = L:2
ce_fraction=  0.07363090372203236
species:coords:index
O1 : [5.3864 5.3864 5.3864] : 45
O1 : [2.6932 8.0796 2.6932] : 44

ce_symbol  = BO_1:8
ce_fraction=  0.018275170733412647
species:coords:index
O1 : [2.20626944 5.3864     5.3864    ] : 51
O1 : [2.6932     8.0796     5.87333056] : 54
O1 : [5.3864     8.56653056 5.3864    ] : 33
O1 : [5.3864 5.3864 5.3864] : 45
O1 : [5.3864     5.3864     2.20626944] : 56
O1 : [2.6932     4.89946944 2.6932    ] : 38
O1 : [2.6932 8.0796 2.6932] : 44
O1 : [5.87333056 8.0796     2.6932    ] : 46
!!!atention to nb coordination!!!
         [2.6435766367657862, 2.643576636765788, 2.643576636765787, 2.3323796174722493, 2.6435766367657862, 2.643576636765787, 2.3323796174722506, 2.643576636765788]
         [2.6435766367657867, 2.643576636765787, 2.643576636765787, 2.3323796174722493, 2.6435766367657867, 2.643576636765787, 2.3323796174722506, 2.643576636765787]


**isite= 24
Hf1 : [6.733  1.3466 1.3466]

ce_symbol  = C:8
ce_fraction=  0.6889393797744628
species:coords:index
O1 : [4.89946944 2.6932     2.6932    ] : 34
O1 : [5.3864     0.         3.18013056] : 43
O1 : [5.3864     3.18013056 0.        ] : 47
O1 : [5.3864 0.     0.    ] : 59
O1 : [8.56653056 0.         0.        ] : 67
O1 : [ 8.0796     -0.48693056  2.6932    ] : 80
O1 : [8.0796 2.6932 2.6932] : 86
O1 : [ 8.0796      2.6932     -0.48693056] : 69

ce_symbol  = HB:8
ce_fraction=  0.21915454577009172
species:coords:index
O1 : [4.89946944 2.6932     2.6932    ] : 34
O1 : [5.3864     0.         3.18013056] : 43
O1 : [5.3864     3.18013056 0.        ] : 47
O1 : [5.3864 0.     0.    ] : 59
O1 : [8.56653056 0.         0.        ] : 67
O1 : [ 8.0796     -0.48693056  2.6932    ] : 80
O1 : [8.0796 2.6932 2.6932] : 86
O1 : [ 8.0796      2.6932     -0.48693056] : 69

ce_symbol  = L:2
ce_fraction=  0.07363090372203272
species:coords:index
O1 : [5.3864 0.     0.    ] : 59
O1 : [8.0796 2.6932 2.6932] : 86

ce_symbol  = BO_1:8
ce_fraction=  0.018275170733412716
species:coords:index
O1 : [4.89946944 2.6932     2.6932    ] : 34
O1 : [5.3864     0.         3.18013056] : 43
O1 : [5.3864     3.18013056 0.        ] : 47
O1 : [5.3864 0.     0.    ] : 59
O1 : [8.56653056 0.         0.        ] : 67
O1 : [ 8.0796     -0.48693056  2.6932    ] : 80
O1 : [8.0796 2.6932 2.6932] : 86
O1 : [ 8.0796      2.6932     -0.48693056] : 69


**isite= 25
Hf1 : [6.733  9.4262 9.4262]

ce_symbol  = C:8
ce_fraction=  0.6889393797744613
species:coords:index
O1 : [ 5.3864      7.59266944 10.7728    ] : 49
O1 : [ 5.3864 10.7728 10.7728] : 59
O1 : [4.89946944 8.0796     8.0796    ] : 48
O1 : [8.0796 8.0796 8.0796] : 72
O1 : [ 8.0796      8.0796     11.25973056] : 82
O1 : [ 8.56653056 10.7728     10.7728    ] : 67
O1 : [ 5.3864     10.7728      7.59266944] : 42
O1 : [ 8.0796     11.25973056  8.0796    ] : 64
!!!atention to nb coordination!!!
         [2.6435766367657862, 2.33237961747225, 2.643576636765786, 2.332379617472249, 2.643576636765787, 2.643576636765788, 2.6435766367657862, 2.643576636765787]
         [2.6435766367657862, 2.3323796174722506, 2.643576636765786, 2.332379617472249, 2.643576636765787, 2.643576636765788, 2.6435766367657862, 2.643576636765787]

ce_symbol  = HB:8
ce_fraction=  0.21915454577009252
species:coords:index
O1 : [ 5.3864      7.59266944 10.7728    ] : 49
O1 : [ 5.3864 10.7728 10.7728] : 59
O1 : [4.89946944 8.0796     8.0796    ] : 48
O1 : [8.0796 8.0796 8.0796] : 72
O1 : [ 8.0796      8.0796     11.25973056] : 82
O1 : [ 8.56653056 10.7728     10.7728    ] : 67
O1 : [ 5.3864     10.7728      7.59266944] : 42
O1 : [ 8.0796     11.25973056  8.0796    ] : 64
!!!atention to nb coordination!!!
         [2.6435766367657862, 2.33237961747225, 2.643576636765786, 2.332379617472249, 2.643576636765787, 2.643576636765788, 2.6435766367657862, 2.643576636765787]
         [2.6435766367657862, 2.3323796174722506, 2.643576636765786, 2.332379617472249, 2.643576636765787, 2.643576636765788, 2.6435766367657862, 2.643576636765787]

ce_symbol  = L:2
ce_fraction=  0.0736309037220334
species:coords:index
O1 : [ 5.3864 10.7728 10.7728] : 59
O1 : [8.0796 8.0796 8.0796] : 72
!!!atention to nb coordination!!!
         [2.33237961747225, 2.332379617472249]
         [2.3323796174722506, 2.332379617472249]

ce_symbol  = BO_1:8
ce_fraction=  0.018275170733412713
species:coords:index
O1 : [ 5.3864      7.59266944 10.7728    ] : 49
O1 : [ 5.3864 10.7728 10.7728] : 59
O1 : [4.89946944 8.0796     8.0796    ] : 48
O1 : [8.0796 8.0796 8.0796] : 72
O1 : [ 8.0796      8.0796     11.25973056] : 82
O1 : [ 8.56653056 10.7728     10.7728    ] : 67
O1 : [ 5.3864     10.7728      7.59266944] : 42
O1 : [ 8.0796     11.25973056  8.0796    ] : 64
!!!atention to nb coordination!!!
         [2.6435766367657862, 2.33237961747225, 2.643576636765786, 2.332379617472249, 2.643576636765787, 2.643576636765788, 2.6435766367657862, 2.643576636765787]
         [2.6435766367657862, 2.3323796174722506, 2.643576636765786, 2.332379617472249, 2.643576636765787, 2.643576636765788, 2.6435766367657862, 2.643576636765787]


**isite= 26
Hf1 : [9.4262 4.0398 1.3466]

ce_symbol  = C:8
ce_fraction=  0.6889393797744624
species:coords:index
O1 : [8.0796 2.6932 2.6932] : 86
O1 : [10.7728      2.20626944  0.        ] : 63
O1 : [ 8.0796      2.6932     -0.48693056] : 69
O1 : [10.7728      5.3864      3.18013056] : 85
O1 : [8.0796     5.87333056 2.6932    ] : 78
O1 : [11.25973056  2.6932      2.6932    ] : 60
O1 : [7.59266944 5.3864     0.        ] : 79
O1 : [10.7728  5.3864  0.    ] : 73
!!!atention to nb coordination!!!
         [2.3323796174722493, 2.6435766367657867, 2.6435766367657867, 2.6435766367657867, 2.6435766367657867, 2.6435766367657876, 2.6435766367657862, 2.33237961747225]
         [2.3323796174722493, 2.643576636765787, 2.6435766367657862, 2.6435766367657867, 2.6435766367657862, 2.6435766367657876, 2.6435766367657862, 2.33237961747225]

ce_symbol  = HB:8
ce_fraction=  0.21915454577009205
species:coords:index
O1 : [8.0796 2.6932 2.6932] : 86
O1 : [10.7728      2.20626944  0.        ] : 63
O1 : [ 8.0796      2.6932     -0.48693056] : 69
O1 : [10.7728      5.3864      3.18013056] : 85
O1 : [8.0796     5.87333056 2.6932    ] : 78
O1 : [11.25973056  2.6932      2.6932    ] : 60
O1 : [7.59266944 5.3864     0.        ] : 79
O1 : [10.7728  5.3864  0.    ] : 73
!!!atention to nb coordination!!!
         [2.3323796174722493, 2.6435766367657867, 2.6435766367657867, 2.6435766367657867, 2.6435766367657867, 2.6435766367657876, 2.6435766367657862, 2.33237961747225]
         [2.3323796174722493, 2.643576636765787, 2.6435766367657862, 2.6435766367657867, 2.6435766367657862, 2.6435766367657876, 2.6435766367657862, 2.33237961747225]

ce_symbol  = L:2
ce_fraction=  0.07363090372203288
species:coords:index
O1 : [8.0796 2.6932 2.6932] : 86
O1 : [10.7728  5.3864  0.    ] : 73

ce_symbol  = BO_1:8
ce_fraction=  0.018275170733412695
species:coords:index
O1 : [8.0796 2.6932 2.6932] : 86
O1 : [10.7728      2.20626944  0.        ] : 63
O1 : [ 8.0796      2.6932     -0.48693056] : 69
O1 : [10.7728      5.3864      3.18013056] : 85
O1 : [8.0796     5.87333056 2.6932    ] : 78
O1 : [11.25973056  2.6932      2.6932    ] : 60
O1 : [7.59266944 5.3864     0.        ] : 79
O1 : [10.7728  5.3864  0.    ] : 73
!!!atention to nb coordination!!!
         [2.3323796174722493, 2.6435766367657867, 2.6435766367657867, 2.6435766367657867, 2.6435766367657867, 2.6435766367657876, 2.6435766367657862, 2.33237961747225]
         [2.3323796174722493, 2.643576636765787, 2.6435766367657862, 2.6435766367657867, 2.6435766367657862, 2.6435766367657876, 2.6435766367657862, 2.33237961747225]


**isite= 27
Hf1 : [9.4262 1.3466 4.0398]

ce_symbol  = C:8
ce_fraction=  0.6889393797744625
species:coords:index
O1 : [8.0796     2.6932     5.87333056] : 68
O1 : [8.0796 2.6932 2.6932] : 86
O1 : [7.59266944 0.         5.3864    ] : 65
O1 : [10.7728  0.      5.3864] : 87
O1 : [ 8.0796     -0.48693056  2.6932    ] : 80
O1 : [10.7728      3.18013056  5.3864    ] : 75
O1 : [10.7728      0.          2.20626944] : 70
O1 : [11.25973056  2.6932      2.6932    ] : 60
!!!atention to nb coordination!!!
         [2.6435766367657867, 2.3323796174722493, 2.6435766367657862, 2.33237961747225, 2.6435766367657867, 2.6435766367657867, 2.6435766367657867, 2.6435766367657876]
         [2.6435766367657862, 2.3323796174722493, 2.6435766367657862, 2.33237961747225, 2.6435766367657862, 2.6435766367657867, 2.643576636765787, 2.6435766367657876]

ce_symbol  = HB:8
ce_fraction=  0.21915454577009189
species:coords:index
O1 : [8.0796     2.6932     5.87333056] : 68
O1 : [8.0796 2.6932 2.6932] : 86
O1 : [7.59266944 0.         5.3864    ] : 65
O1 : [10.7728  0.      5.3864] : 87
O1 : [ 8.0796     -0.48693056  2.6932    ] : 80
O1 : [10.7728      3.18013056  5.3864    ] : 75
O1 : [10.7728      0.          2.20626944] : 70
O1 : [11.25973056  2.6932      2.6932    ] : 60
!!!atention to nb coordination!!!
         [2.6435766367657867, 2.3323796174722493, 2.6435766367657862, 2.33237961747225, 2.6435766367657867, 2.6435766367657867, 2.6435766367657867, 2.6435766367657876]
         [2.6435766367657862, 2.3323796174722493, 2.6435766367657862, 2.33237961747225, 2.6435766367657862, 2.6435766367657867, 2.643576636765787, 2.6435766367657876]

ce_symbol  = L:2
ce_fraction=  0.07363090372203288
species:coords:index
O1 : [8.0796 2.6932 2.6932] : 86
O1 : [10.7728  0.      5.3864] : 87

ce_symbol  = BO_1:8
ce_fraction=  0.018275170733412664
species:coords:index
O1 : [8.0796     2.6932     5.87333056] : 68
O1 : [8.0796 2.6932 2.6932] : 86
O1 : [7.59266944 0.         5.3864    ] : 65
O1 : [10.7728  0.      5.3864] : 87
O1 : [ 8.0796     -0.48693056  2.6932    ] : 80
O1 : [10.7728      3.18013056  5.3864    ] : 75
O1 : [10.7728      0.          2.20626944] : 70
O1 : [11.25973056  2.6932      2.6932    ] : 60
!!!atention to nb coordination!!!
         [2.6435766367657867, 2.3323796174722493, 2.6435766367657862, 2.33237961747225, 2.6435766367657867, 2.6435766367657867, 2.6435766367657867, 2.6435766367657876]
         [2.6435766367657862, 2.3323796174722493, 2.6435766367657862, 2.33237961747225, 2.6435766367657862, 2.6435766367657867, 2.643576636765787, 2.6435766367657876]


**isite= 28
Hf1 : [6.733 6.733 6.733]

ce_symbol  = C:8
ce_fraction=  0.6889393797744618
species:coords:index
O1 : [4.89946944 8.0796     8.0796    ] : 48
O1 : [5.3864     5.3864     8.56653056] : 57
O1 : [5.3864     8.56653056 5.3864    ] : 33
O1 : [8.56653056 5.3864     5.3864    ] : 81
O1 : [8.0796     4.89946944 8.0796    ] : 66
O1 : [8.0796 8.0796 8.0796] : 72
O1 : [8.0796     8.0796     4.89946944] : 83
O1 : [5.3864 5.3864 5.3864] : 45

ce_symbol  = HB:8
ce_fraction=  0.2191545457700922
species:coords:index
O1 : [4.89946944 8.0796     8.0796    ] : 48
O1 : [5.3864     5.3864     8.56653056] : 57
O1 : [5.3864     8.56653056 5.3864    ] : 33
O1 : [8.56653056 5.3864     5.3864    ] : 81
O1 : [8.0796     4.89946944 8.0796    ] : 66
O1 : [8.0796 8.0796 8.0796] : 72
O1 : [8.0796     8.0796     4.89946944] : 83
O1 : [5.3864 5.3864 5.3864] : 45

ce_symbol  = L:2
ce_fraction=  0.07363090372203326
species:coords:index
O1 : [8.0796 8.0796 8.0796] : 72
O1 : [5.3864 5.3864 5.3864] : 45

ce_symbol  = BO_1:8
ce_fraction=  0.01827517073341265
species:coords:index
O1 : [4.89946944 8.0796     8.0796    ] : 48
O1 : [5.3864     5.3864     8.56653056] : 57
O1 : [5.3864     8.56653056 5.3864    ] : 33
O1 : [8.56653056 5.3864     5.3864    ] : 81
O1 : [8.0796     4.89946944 8.0796    ] : 66
O1 : [8.0796 8.0796 8.0796] : 72
O1 : [8.0796     8.0796     4.89946944] : 83
O1 : [5.3864 5.3864 5.3864] : 45


**isite= 29
Hf1 : [6.733  4.0398 4.0398]

ce_symbol  = C:8
ce_fraction=  0.6889393797744626
species:coords:index
O1 : [5.3864     2.20626944 5.3864    ] : 35
O1 : [4.89946944 2.6932     2.6932    ] : 34
O1 : [8.0796     2.6932     5.87333056] : 68
O1 : [5.3864     5.3864     2.20626944] : 56
O1 : [5.3864 5.3864 5.3864] : 45
O1 : [8.0796 2.6932 2.6932] : 86
O1 : [8.56653056 5.3864     5.3864    ] : 81
O1 : [8.0796     5.87333056 2.6932    ] : 78
!!!atention to nb coordination!!!
         [2.6435766367657862, 2.643576636765787, 2.643576636765788, 2.6435766367657862, 2.3323796174722493, 2.3323796174722506, 2.643576636765787, 2.643576636765788]
         [2.6435766367657867, 2.643576636765787, 2.643576636765787, 2.6435766367657867, 2.3323796174722493, 2.3323796174722506, 2.643576636765787, 2.643576636765787]

ce_symbol  = HB:8
ce_fraction=  0.21915454577009175
species:coords:index
O1 : [5.3864     2.20626944 5.3864    ] : 35
O1 : [4.89946944 2.6932     2.6932    ] : 34
O1 : [8.0796     2.6932     5.87333056] : 68
O1 : [5.3864     5.3864     2.20626944] : 56
O1 : [5.3864 5.3864 5.3864] : 45
O1 : [8.0796 2.6932 2.6932] : 86
O1 : [8.56653056 5.3864     5.3864    ] : 81
O1 : [8.0796     5.87333056 2.6932    ] : 78
!!!atention to nb coordination!!!
         [2.6435766367657862, 2.643576636765787, 2.643576636765788, 2.6435766367657862, 2.3323796174722493, 2.3323796174722506, 2.643576636765787, 2.643576636765788]
         [2.6435766367657867, 2.643576636765787, 2.643576636765787, 2.6435766367657867, 2.3323796174722493, 2.3323796174722506, 2.643576636765787, 2.643576636765787]

ce_symbol  = L:2
ce_fraction=  0.07363090372203288
species:coords:index
O1 : [5.3864 5.3864 5.3864] : 45
O1 : [8.0796 2.6932 2.6932] : 86

ce_symbol  = BO_1:8
ce_fraction=  0.018275170733412702
species:coords:index
O1 : [5.3864     2.20626944 5.3864    ] : 35
O1 : [4.89946944 2.6932     2.6932    ] : 34
O1 : [8.0796     2.6932     5.87333056] : 68
O1 : [5.3864     5.3864     2.20626944] : 56
O1 : [5.3864 5.3864 5.3864] : 45
O1 : [8.0796 2.6932 2.6932] : 86
O1 : [8.56653056 5.3864     5.3864    ] : 81
O1 : [8.0796     5.87333056 2.6932    ] : 78
!!!atention to nb coordination!!!
         [2.6435766367657862, 2.643576636765787, 2.643576636765788, 2.6435766367657862, 2.3323796174722493, 2.3323796174722506, 2.643576636765787, 2.643576636765788]
         [2.6435766367657867, 2.643576636765787, 2.643576636765787, 2.6435766367657867, 2.3323796174722493, 2.3323796174722506, 2.643576636765787, 2.643576636765787]


**isite= 30
Hf1 : [9.4262 9.4262 6.733 ]

ce_symbol  = C:8
ce_fraction=  0.6889393797744616
species:coords:index
O1 : [10.7728      7.59266944  5.3864    ] : 77
O1 : [8.0796     8.0796     4.89946944] : 83
O1 : [11.25973056  8.0796      8.0796    ] : 74
O1 : [8.0796 8.0796 8.0796] : 72
O1 : [10.7728 10.7728  5.3864] : 87
O1 : [ 7.59266944 10.7728      5.3864    ] : 65
O1 : [ 8.0796     11.25973056  8.0796    ] : 64
O1 : [10.7728     10.7728      8.56653056] : 71
!!!atention to nb coordination!!!
         [2.6435766367657862, 2.643576636765786, 2.643576636765787, 2.332379617472249, 2.3323796174722506, 2.6435766367657862, 2.643576636765787, 2.643576636765788]
         [2.6435766367657867, 2.643576636765786, 2.6435766367657876, 2.332379617472249, 2.3323796174722506, 2.6435766367657867, 2.6435766367657876, 2.643576636765788]

ce_symbol  = HB:8
ce_fraction=  0.2191545457700924
species:coords:index
O1 : [10.7728      7.59266944  5.3864    ] : 77
O1 : [8.0796     8.0796     4.89946944] : 83
O1 : [11.25973056  8.0796      8.0796    ] : 74
O1 : [8.0796 8.0796 8.0796] : 72
O1 : [10.7728 10.7728  5.3864] : 87
O1 : [ 7.59266944 10.7728      5.3864    ] : 65
O1 : [ 8.0796     11.25973056  8.0796    ] : 64
O1 : [10.7728     10.7728      8.56653056] : 71
!!!atention to nb coordination!!!
         [2.6435766367657862, 2.643576636765786, 2.643576636765787, 2.332379617472249, 2.3323796174722506, 2.6435766367657862, 2.643576636765787, 2.643576636765788]
         [2.6435766367657867, 2.643576636765786, 2.6435766367657876, 2.332379617472249, 2.3323796174722506, 2.6435766367657867, 2.6435766367657876, 2.643576636765788]

ce_symbol  = L:2
ce_fraction=  0.07363090372203326
species:coords:index
O1 : [8.0796 8.0796 8.0796] : 72
O1 : [10.7728 10.7728  5.3864] : 87

ce_symbol  = BO_1:8
ce_fraction=  0.0182751707334127
species:coords:index
O1 : [10.7728      7.59266944  5.3864    ] : 77
O1 : [8.0796     8.0796     4.89946944] : 83
O1 : [11.25973056  8.0796      8.0796    ] : 74
O1 : [8.0796 8.0796 8.0796] : 72
O1 : [10.7728 10.7728  5.3864] : 87
O1 : [ 7.59266944 10.7728      5.3864    ] : 65
O1 : [ 8.0796     11.25973056  8.0796    ] : 64
O1 : [10.7728     10.7728      8.56653056] : 71
!!!atention to nb coordination!!!
         [2.6435766367657862, 2.643576636765786, 2.643576636765787, 2.332379617472249, 2.3323796174722506, 2.6435766367657862, 2.643576636765787, 2.643576636765788]
         [2.6435766367657867, 2.643576636765786, 2.6435766367657876, 2.332379617472249, 2.3323796174722506, 2.6435766367657867, 2.6435766367657876, 2.643576636765788]


**isite= 31
Hf1 : [9.4262 6.733  9.4262]

ce_symbol  = C:8
ce_fraction=  0.688939379774462
species:coords:index
O1 : [8.0796 8.0796 8.0796] : 72
O1 : [11.25973056  8.0796      8.0796    ] : 74
O1 : [10.7728      8.56653056 10.7728    ] : 61
O1 : [10.7728      5.3864      7.59266944] : 84
O1 : [8.0796     4.89946944 8.0796    ] : 66
O1 : [ 7.59266944  5.3864     10.7728    ] : 79
O1 : [10.7728  5.3864 10.7728] : 73
O1 : [ 8.0796      8.0796     11.25973056] : 82

ce_symbol  = HB:8
ce_fraction=  0.2191545457700922
species:coords:index
O1 : [8.0796 8.0796 8.0796] : 72
O1 : [11.25973056  8.0796      8.0796    ] : 74
O1 : [10.7728      8.56653056 10.7728    ] : 61
O1 : [10.7728      5.3864      7.59266944] : 84
O1 : [8.0796     4.89946944 8.0796    ] : 66
O1 : [ 7.59266944  5.3864     10.7728    ] : 79
O1 : [10.7728  5.3864 10.7728] : 73
O1 : [ 8.0796      8.0796     11.25973056] : 82

ce_symbol  = L:2
ce_fraction=  0.07363090372203317
species:coords:index
O1 : [8.0796 8.0796 8.0796] : 72
O1 : [10.7728  5.3864 10.7728] : 73

ce_symbol  = BO_1:8
ce_fraction=  0.018275170733412692
species:coords:index
O1 : [8.0796 8.0796 8.0796] : 72
O1 : [11.25973056  8.0796      8.0796    ] : 74
O1 : [10.7728      8.56653056 10.7728    ] : 61
O1 : [10.7728      5.3864      7.59266944] : 84
O1 : [8.0796     4.89946944 8.0796    ] : 66
O1 : [ 7.59266944  5.3864     10.7728    ] : 79
O1 : [10.7728  5.3864 10.7728] : 73
O1 : [ 8.0796      8.0796     11.25973056] : 82


**isite= 32
O1 : [5.87333056 2.6932     8.0796    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [4.0398 4.0398 6.733 ] : 18
La1 : [6.733  4.0398 9.4262] : 9
Hf1 : [4.0398 1.3466 9.4262] : 19
La1 : [6.733  1.3466 6.733 ] : 8
!!!atention to nb coordination!!!
         [2.643576636765787, 2.089424482021284, 2.6435766367657862, 2.089424482021285]
         [2.6435766367657876, 2.089424482021284, 2.6435766367657862, 2.089424482021285]


**isite= 33
O1 : [5.3864     8.56653056 5.3864    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [4.0398 6.733  4.0398] : 23
La1 : [4.0398 9.4262 6.733 ] : 2
La1 : [6.733  9.4262 4.0398] : 13
Hf1 : [6.733 6.733 6.733] : 28


**isite= 34
O1 : [4.89946944 2.6932     2.6932    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [4.0398 1.3466 4.0398] : 3
Hf1 : [6.733  4.0398 4.0398] : 29
Hf1 : [6.733  1.3466 1.3466] : 24
La1 : [4.0398 4.0398 1.3466] : 6


**isite= 35
O1 : [5.3864     2.20626944 5.3864    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [4.0398 1.3466 4.0398] : 3
Hf1 : [4.0398 4.0398 6.733 ] : 18
Hf1 : [6.733  4.0398 4.0398] : 29
La1 : [6.733  1.3466 6.733 ] : 8


**isite= 36
O1 : [2.6932     0.48693056 2.6932    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [1.3466 1.3466 1.3466] : 0
La1 : [4.0398 1.3466 4.0398] : 3
Hf1 : [ 1.3466 -1.3466  4.0398] : 17
Hf1 : [ 4.0398 -1.3466  1.3466] : 22
!!!atention to nb coordination!!!
         [2.089424482021285, 2.089424482021285, 2.643576636765787, 2.643576636765787]
         [2.089424482021285, 2.089424482021285, 2.6435766367657867, 2.6435766367657867]


**isite= 37
O1 : [2.20626944 0.         0.        ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [ 4.0398  1.3466 -1.3466] : 19
La1 : [1.3466 1.3466 1.3466] : 0
Hf1 : [ 4.0398 -1.3466  1.3466] : 22
La1 : [ 1.3466 -1.3466 -1.3466] : 5
!!!atention to nb coordination!!!
         [2.643576636765787, 2.089424482021285, 2.643576636765787, 2.0894244820212857]
         [2.6435766367657867, 2.089424482021285, 2.6435766367657867, 2.089424482021285]


**isite= 38
O1 : [2.6932     4.89946944 2.6932    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [1.3466 6.733  1.3466] : 20
La1 : [1.3466 4.0398 4.0398] : 1
Hf1 : [4.0398 6.733  4.0398] : 23
La1 : [4.0398 4.0398 1.3466] : 6


**isite= 39
O1 : [3.18013056 0.         5.3864    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [ 1.3466 -1.3466  4.0398] : 17
La1 : [4.0398 1.3466 4.0398] : 3
La1 : [ 4.0398 -1.3466  6.733 ] : 2
Hf1 : [1.3466 1.3466 6.733 ] : 16
!!!atention to nb coordination!!!
         [2.6435766367657867, 2.0894244820212844, 2.089424482021285, 2.6435766367657867]
         [2.6435766367657867, 2.089424482021285, 2.089424482021285, 2.6435766367657867]


**isite= 40
O1 : [2.6932     2.6932     0.48693056]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Hf1 : [ 1.3466  4.0398 -1.3466] : 21
Hf1 : [ 4.0398  1.3466 -1.3466] : 19
La1 : [1.3466 1.3466 1.3466] : 0
La1 : [4.0398 4.0398 1.3466] : 6
!!!atention to nb coordination!!!
         [2.643576636765787, 2.643576636765787, 2.089424482021285, 2.089424482021285]
         [2.6435766367657867, 2.6435766367657867, 2.089424482021285, 2.089424482021285]


**isite= 41
O1 : [2.6932     2.6932     4.89946944]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
