cif name= ./6000235.cif
./6000235.cif
Full Formula (Sr8 Al28 O50)
O1 : [-1.07641185  2.8369278  -0.74822664] : 82
O1 : [1.07641185 2.8369278  0.74822664] : 81
O1 : [-1.07641185  5.6365722  -0.74822664] : 77
O1 : [ 1.26694912  4.23675    -1.73170784] : 70
O1 : [-1.26694912  4.23675     1.73170784] : 69
O1 : [1.07641185 5.6365722  0.74822664] : 78
!!!atention to nb coordination!!!
         [1.917813277469668, 1.9178132774696663, 1.9178132774696675, 2.1456868634044084, 2.145686863404406, 1.9178132774696661]
         [1.9178132774696675, 1.917813277469666, 1.9178132774696675, 2.1456868634044084, 2.1456868634044066, 1.917813277469666]


**isite= 36
O1 : [13.42174224  1.3879593   1.6082236 ]

ce_symbol  = TY:3
ce_fraction=  0.6666487148728678
species:coords:index
Al1 : [14.00820111  2.7267723   2.50189808] : 16
Al1 : [12.37255  0.       2.4404 ] : 32
Al1 : [12.37255     1.41931125  0.        ] : 28
!!!atention to nb coordination!!!
         [1.7131866014459562, 1.9286661026859129, 1.920460999042152]
         [1.7131866014459565, 1.9286661026859129, 1.920460999042152]

ce_symbol  = S:1
ce_fraction=  0.1737000177687661
species:coords:index
Al1 : [14.00820111  2.7267723   2.50189808] : 16
!!!atention to nb coordination!!!
         [1.7131866014459562]
         [1.7131866014459565]

ce_symbol  = TL:3
ce_fraction=  0.15951925708907375
species:coords:index
Al1 : [14.00820111  2.7267723   2.50189808] : 16
Al1 : [12.37255  0.       2.4404 ] : 32
Al1 : [12.37255     1.41931125  0.        ] : 28
!!!atention to nb coordination!!!
         [1.7131866014459562, 1.9286661026859129, 1.920460999042152]
         [1.7131866014459565, 1.9286661026859129, 1.920460999042152]

ce_symbol  = TS:3
ce_fraction=  0.00013201026929246146
species:coords:index
Al1 : [14.00820111  2.7267723   2.50189808] : 16
Al1 : [12.37255  0.       2.4404 ] : 32
Al1 : [12.37255     1.41931125  0.        ] : 28
!!!atention to nb coordination!!!
         [1.7131866014459562, 1.9286661026859129, 1.920460999042152]
         [1.7131866014459565, 1.9286661026859129, 1.920460999042152]


**isite= 37
O1 : [23.69590776  7.0855407   1.6082236 ]

ce_symbol  = TY:3
ce_fraction=  0.666648714872869
species:coords:index
Al1 : [23.10944889  5.7467277   2.50189808] : 17
Al1 : [24.7451      7.05418875  0.        ] : 29
Al1 : [24.7451  8.4735  2.4404] : 33

ce_symbol  = S:1
ce_fraction=  0.1737000177687652
species:coords:index
Al1 : [23.10944889  5.7467277   2.50189808] : 17

ce_symbol  = TL:3
ce_fraction=  0.15951925708907344
species:coords:index
Al1 : [23.10944889  5.7467277   2.50189808] : 17
Al1 : [24.7451      7.05418875  0.        ] : 29
Al1 : [24.7451  8.4735  2.4404] : 33

ce_symbol  = TS:3
ce_fraction=  0.00013201026929245946
species:coords:index
Al1 : [23.10944889  5.7467277   2.50189808] : 17
Al1 : [24.7451      7.05418875  0.        ] : 29
Al1 : [24.7451  8.4735  2.4404] : 33


**isite= 38
O1 : [1.04919224 7.0855407  3.2725764 ]

ce_symbol  = TY:3
ce_fraction=  0.6666487148728685
species:coords:index
Al1 : [0.     8.4735 2.4404] : 33
Al1 : [0.         7.05418875 4.8808    ] : 29
Al1 : [1.63565111 5.7467277  2.37890192] : 18

ce_symbol  = S:1
ce_fraction=  0.17370001776876526
species:coords:index
Al1 : [1.63565111 5.7467277  2.37890192] : 18

ce_symbol  = TL:3
ce_fraction=  0.1595192570890738
species:coords:index
Al1 : [0.     8.4735 2.4404] : 33
Al1 : [0.         7.05418875 4.8808    ] : 29
Al1 : [1.63565111 5.7467277  2.37890192] : 18

ce_symbol  = TS:3
ce_fraction=  0.00013201026929246005
species:coords:index
Al1 : [0.     8.4735 2.4404] : 33
Al1 : [0.         7.05418875 4.8808    ] : 29
Al1 : [1.63565111 5.7467277  2.37890192] : 18


**isite= 39
O1 : [11.32335776  1.3879593   3.2725764 ]

ce_symbol  = TY:3
ce_fraction=  0.6666487148728678
species:coords:index
Al1 : [12.37255  0.       2.4404 ] : 32
Al1 : [12.37255     1.41931125  4.8808    ] : 28
Al1 : [10.73689889  2.7267723   2.37890192] : 19
!!!atention to nb coordination!!!
         [1.9286661026859129, 1.920460999042152, 1.7131866014459562]
         [1.9286661026859129, 1.920460999042152, 1.7131866014459565]

ce_symbol  = S:1
ce_fraction=  0.1737000177687661
species:coords:index
Al1 : [10.73689889  2.7267723   2.37890192] : 19
!!!atention to nb coordination!!!
         [1.7131866014459562]
         [1.7131866014459565]

ce_symbol  = TL:3
ce_fraction=  0.15951925708907366
species:coords:index
Al1 : [12.37255  0.       2.4404 ] : 32
Al1 : [12.37255     1.41931125  4.8808    ] : 28
Al1 : [10.73689889  2.7267723   2.37890192] : 19
!!!atention to nb coordination!!!
         [1.9286661026859129, 1.920460999042152, 1.7131866014459562]
         [1.9286661026859129, 1.920460999042152, 1.7131866014459565]

ce_symbol  = TS:3
ce_fraction=  0.00013201026929246203
species:coords:index
Al1 : [12.37255  0.       2.4404 ] : 32
Al1 : [12.37255     1.41931125  4.8808    ] : 28
Al1 : [10.73689889  2.7267723   2.37890192] : 19
!!!atention to nb coordination!!!
         [1.9286661026859129, 1.920460999042152, 1.7131866014459562]
         [1.9286661026859129, 1.920460999042152, 1.7131866014459565]


**isite= 40
O1 : [11.32335776  7.0855407   3.2725764 ]

ce_symbol  = TY:3
ce_fraction=  0.6666487148728683
species:coords:index
Al1 : [12.37255  8.4735   2.4404 ] : 32
Al1 : [12.37255     7.05418875  4.8808    ] : 30
Al1 : [10.73689889  5.7467277   2.37890192] : 20

ce_symbol  = S:1
ce_fraction=  0.17370001776876573
species:coords:index
Al1 : [10.73689889  5.7467277   2.37890192] : 20

ce_symbol  = TL:3
ce_fraction=  0.15951925708907372
species:coords:index
Al1 : [12.37255  8.4735   2.4404 ] : 32
Al1 : [12.37255     7.05418875  4.8808    ] : 30
Al1 : [10.73689889  5.7467277   2.37890192] : 20

ce_symbol  = TS:3
ce_fraction=  0.00013201026929246027
species:coords:index
Al1 : [12.37255  8.4735   2.4404 ] : 32
Al1 : [12.37255     7.05418875  4.8808    ] : 30
Al1 : [10.73689889  5.7467277   2.37890192] : 20


**isite= 41
O1 : [1.04919224 1.3879593  3.2725764 ]

ce_symbol  = TY:3
ce_fraction=  0.6666487148728694
species:coords:index
Al1 : [0.     0.     2.4404] : 33
Al1 : [1.63565111 2.7267723  2.37890192] : 21
Al1 : [0.         1.41931125 4.8808    ] : 31
!!!atention to nb coordination!!!
         [1.9286661026859127, 1.7131866014459562, 1.920460999042152]
         [1.9286661026859127, 1.7131866014459565, 1.920460999042152]

ce_symbol  = S:1
ce_fraction=  0.1737000177687647
species:coords:index
Al1 : [1.63565111 2.7267723  2.37890192] : 21
!!!atention to nb coordination!!!
         [1.7131866014459562]
         [1.7131866014459565]

ce_symbol  = TL:3
ce_fraction=  0.15951925708907347
species:coords:index
Al1 : [0.     0.     2.4404] : 33
Al1 : [1.63565111 2.7267723  2.37890192] : 21
Al1 : [0.         1.41931125 4.8808    ] : 31
!!!atention to nb coordination!!!
         [1.9286661026859127, 1.7131866014459562, 1.920460999042152]
         [1.9286661026859127, 1.7131866014459565, 1.920460999042152]

ce_symbol  = TS:3
ce_fraction=  0.00013201026929246114
species:coords:index
Al1 : [0.     0.     2.4404] : 33
Al1 : [1.63565111 2.7267723  2.37890192] : 21
Al1 : [0.         1.41931125 4.8808    ] : 31
!!!atention to nb coordination!!!
         [1.9286661026859127, 1.7131866014459562, 1.920460999042152]
         [1.9286661026859127, 1.7131866014459565, 1.920460999042152]


**isite= 42
O1 : [23.69590776  1.3879593   1.6082236 ]

ce_symbol  = TY:3
ce_fraction=  0.6666487148728708
species:coords:index
Al1 : [24.7451  0.      2.4404] : 33
Al1 : [24.7451      1.41931125  0.        ] : 31
Al1 : [23.10944889  2.7267723   2.50189808] : 22
!!!atention to nb coordination!!!
         [1.9286661026859129, 1.920460999042152, 1.7131866014459562]
         [1.9286661026859129, 1.920460999042152, 1.7131866014459565]

ce_symbol  = S:1
ce_fraction=  0.17370001776876418
species:coords:index
Al1 : [23.10944889  2.7267723   2.50189808] : 22
!!!atention to nb coordination!!!
         [1.7131866014459562]
         [1.7131866014459565]

ce_symbol  = TL:3
ce_fraction=  0.1595192570890727
species:coords:index
Al1 : [24.7451  0.      2.4404] : 33
Al1 : [24.7451      1.41931125  0.        ] : 31
Al1 : [23.10944889  2.7267723   2.50189808] : 22
!!!atention to nb coordination!!!
         [1.9286661026859129, 1.920460999042152, 1.7131866014459562]
         [1.9286661026859129, 1.920460999042152, 1.7131866014459565]

ce_symbol  = TS:3
ce_fraction=  0.00013201026929246152
species:coords:index
Al1 : [24.7451  0.      2.4404] : 33
Al1 : [24.7451      1.41931125  0.        ] : 31
Al1 : [23.10944889  2.7267723   2.50189808] : 22
!!!atention to nb coordination!!!
         [1.9286661026859129, 1.920460999042152, 1.7131866014459562]
         [1.9286661026859129, 1.920460999042152, 1.7131866014459565]


**isite= 43
O1 : [13.42174224  7.0855407   1.6082236 ]

ce_symbol  = TY:3
ce_fraction=  0.6666487148728676
species:coords:index
Al1 : [12.37255     7.05418875  0.        ] : 30
Al1 : [12.37255  8.4735   2.4404 ] : 32
Al1 : [14.00820111  5.7467277   2.50189808] : 23

ce_symbol  = S:1
ce_fraction=  0.17370001776876637
species:coords:index
Al1 : [14.00820111  5.7467277   2.50189808] : 23

ce_symbol  = TL:3
ce_fraction=  0.1595192570890735
species:coords:index
Al1 : [12.37255     7.05418875  0.        ] : 30
Al1 : [12.37255  8.4735   2.4404 ] : 32
Al1 : [14.00820111  5.7467277   2.50189808] : 23

ce_symbol  = TS:3
ce_fraction=  0.00013201026929246217
species:coords:index
Al1 : [12.37255     7.05418875  0.        ] : 30
Al1 : [12.37255  8.4735   2.4404 ] : 32
Al1 : [14.00820111  5.7467277   2.50189808] : 23


**isite= 44
O1 : [15.78242478  2.68864155  2.44674504]

ce_symbol  = A:2
ce_fraction=  0.9971599331539703
species:coords:index
Al1 : [14.00820111  2.7267723   2.50189808] : 16
Al1 : [16.97761311  1.6404696   3.02414368] : 8

ce_symbol  = L:2
ce_fraction=  0.0028400668460295654
species:coords:index
Al1 : [14.00820111  2.7267723   2.50189808] : 16
Al1 : [16.97761311  1.6404696   3.02414368] : 8


**isite= 45
O1 : [21.33522522  5.78485845  2.44674504]

ce_symbol  = A:2
ce_fraction=  0.9971599331539703
species:coords:index
Al1 : [23.10944889  5.7467277   2.50189808] : 17
Al1 : [20.14003689  6.8330304   3.02414368] : 9
!!!atention to nb coordination!!!
         [1.775490197974936, 1.6913097795521768]
         [1.775490197974936, 1.6913097795521772]

ce_symbol  = L:2
ce_fraction=  0.002840066846029553
species:coords:index
Al1 : [23.10944889  5.7467277   2.50189808] : 17
Al1 : [20.14003689  6.8330304   3.02414368] : 9
!!!atention to nb coordination!!!
         [1.775490197974936, 1.6913097795521768]
         [1.775490197974936, 1.6913097795521772]


**isite= 46
O1 : [3.40987478 5.78485845 2.43405496]

ce_symbol  = A:2
ce_fraction=  0.9971599331539703
species:coords:index
Al1 : [4.60506311 6.8330304  1.85665632] : 10
Al1 : [1.63565111 5.7467277  2.37890192] : 18
!!!atention to nb coordination!!!
         [1.6913097795521792, 1.7754901979749316]
         [1.6913097795521799, 1.7754901979749316]

ce_symbol  = L:2
ce_fraction=  0.002840066846029652
species:coords:index
Al1 : [4.60506311 6.8330304  1.85665632] : 10
Al1 : [1.63565111 5.7467277  2.37890192] : 18
!!!atention to nb coordination!!!
         [1.6913097795521792, 1.7754901979749316]
         [1.6913097795521799, 1.7754901979749316]


**isite= 47
O1 : [8.96267522 2.68864155 2.43405496]

ce_symbol  = A:2
ce_fraction=  0.9971599331539704
species:coords:index
Al1 : [10.73689889  2.7267723   2.37890192] : 19
Al1 : [7.76748689 1.6404696  1.85665632] : 11

ce_symbol  = L:2
ce_fraction=  0.00284006684602952
species:coords:index
Al1 : [10.73689889  2.7267723   2.37890192] : 19
Al1 : [7.76748689 1.6404696  1.85665632] : 11


**isite= 48
O1 : [8.96267522 5.78485845 2.43405496]

ce_symbol  = A:2
ce_fraction=  0.9971599331539703
species:coords:index
Al1 : [7.76748689 6.8330304  1.85665632] : 12
Al1 : [10.73689889  5.7467277   2.37890192] : 20
!!!atention to nb coordination!!!
         [1.6913097795521774, 1.7754901979749342]
         [1.6913097795521779, 1.7754901979749342]

ce_symbol  = L:2
ce_fraction=  0.0028400668460295715
species:coords:index
Al1 : [7.76748689 6.8330304  1.85665632] : 12
Al1 : [10.73689889  5.7467277   2.37890192] : 20
!!!atention to nb coordination!!!
         [1.6913097795521774, 1.7754901979749342]
         [1.6913097795521779, 1.7754901979749342]


**isite= 49
O1 : [3.40987478 2.68864155 2.43405496]

ce_symbol  = A:2
ce_fraction=  0.9971599331539703
species:coords:index
Al1 : [1.63565111 2.7267723  2.37890192] : 21
Al1 : [4.60506311 1.6404696  1.85665632] : 13

ce_symbol  = L:2
ce_fraction=  0.002840066846029591
species:coords:index
Al1 : [1.63565111 2.7267723  2.37890192] : 21
Al1 : [4.60506311 1.6404696  1.85665632] : 13


**isite= 50
O1 : [21.33522522  2.68864155  2.44674504]

ce_symbol  = A:2
ce_fraction=  0.9971599331539706
species:coords:index
Al1 : [20.14003689  1.6404696   3.02414368] : 14
Al1 : [23.10944889  2.7267723   2.50189808] : 22

ce_symbol  = L:2
ce_fraction=  0.0028400668460294943
species:coords:index
Al1 : [20.14003689  1.6404696   3.02414368] : 14
Al1 : [23.10944889  2.7267723   2.50189808] : 22


**isite= 51
O1 : [15.78242478  5.78485845  2.44674504]

ce_symbol  = A:2
ce_fraction=  0.9971599331539703
species:coords:index
Al1 : [16.97761311  6.8330304   3.02414368] : 15
Al1 : [14.00820111  5.7467277   2.50189808] : 23
!!!atention to nb coordination!!!
         [1.691309779552178, 1.7754901979749342]
         [1.6913097795521785, 1.7754901979749342]

ce_symbol  = L:2
ce_fraction=  0.0028400668460296058
species:coords:index
Al1 : [16.97761311  6.8330304   3.02414368] : 15
Al1 : [14.00820111  5.7467277   2.50189808] : 23
!!!atention to nb coordination!!!
         [1.691309779552178, 1.7754901979749342]
         [1.6913097795521785, 1.7754901979749342]


**isite= 52
O1 : [17.11371116  1.93619475  4.7514588 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
Al1 : [16.97761311  1.6404696   3.02414368] : 8
Al1 : [18.558825    2.4996825   5.51383976] : 24
!!!atention to nb coordination!!!
         [1.757723973591115, 1.7283220715856527]
         [1.757723973591115, 1.7283220715856533]


**isite= 53
O1 : [20.00393884  6.53730525  4.7514588 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
Al1 : [20.14003689  6.8330304   3.02414368] : 9
Al1 : [18.558825    5.9738175   5.51383976] : 25
!!!atention to nb coordination!!!
         [1.7577239735911148, 1.7283220715856562]
         [1.757723973591115, 1.7283220715856564]


**isite= 54
O1 : [4.74116116 6.53730525 0.1293412 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
Al1 : [ 6.186275    5.9738175  -0.63303976] : 26
Al1 : [4.60506311 6.8330304  1.85665632] : 10
!!!atention to nb coordination!!!
         [1.7283220715856553, 1.7577239735911152]
         [1.728322071585655, 1.7577239735911154]


**isite= 55
O1 : [7.63138884 1.93619475 0.1293412 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
Al1 : [ 6.186275    2.4996825  -0.63303976] : 27
Al1 : [7.76748689 1.6404696  1.85665632] : 11
!!!atention to nb coordination!!!
         [1.7283220715856549, 1.7577239735911154]
         [1.728322071585655, 1.7577239735911154]


**isite= 56
O1 : [7.63138884 6.53730525 0.1293412 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
Al1 : [7.76748689 6.8330304  1.85665632] : 12
Al1 : [ 6.186275    5.9738175  -0.63303976] : 26
!!!atention to nb coordination!!!
         [1.7577239735911152, 1.7283220715856553]
         [1.7577239735911154, 1.728322071585655]


**isite= 57
O1 : [4.74116116 1.93619475 0.1293412 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
Al1 : [ 6.186275    2.4996825  -0.63303976] : 27
Al1 : [4.60506311 1.6404696  1.85665632] : 13
!!!atention to nb coordination!!!
         [1.7283220715856549, 1.7577239735911154]
         [1.728322071585655, 1.7577239735911154]


**isite= 58
O1 : [20.00393884  1.93619475  4.7514588 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
Al1 : [20.14003689  1.6404696   3.02414368] : 14
Al1 : [18.558825    2.4996825   5.51383976] : 24
!!!atention to nb coordination!!!
         [1.757723973591115, 1.7283220715856558]
         [1.757723973591115, 1.7283220715856562]


**isite= 59
O1 : [17.11371116  6.53730525  4.7514588 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
Al1 : [16.97761311  6.8330304   3.02414368] : 15
Al1 : [18.558825    5.9738175   5.51383976] : 25
!!!atention to nb coordination!!!
         [1.7577239735911148, 1.7283220715856533]
         [1.757723973591115, 1.7283220715856535]


**isite= 60
O1 : [18.558825    1.9370421   2.34083168]

ce_symbol  = TL:3
ce_fraction=  0.9965231075392511
species:coords:index
Al1 : [16.97761311  1.6404696   3.02414368] : 8
Al1 : [20.14003689  1.6404696   3.02414368] : 14
Al1 : [18.558825    2.4996825   0.63303976] : 24
!!!atention to nb coordination!!!
         [1.7478848869927384, 1.7478848869927415, 1.7980871674447387]
         [1.7478848869927384, 1.7478848869927415, 1.798087167444739]

ce_symbol  = TY:3
ce_fraction=  0.003453608406381439
species:coords:index
Al1 : [16.97761311  1.6404696   3.02414368] : 8
Al1 : [20.14003689  1.6404696   3.02414368] : 14
Al1 : [18.558825    2.4996825   0.63303976] : 24
!!!atention to nb coordination!!!
         [1.7478848869927384, 1.7478848869927415, 1.7980871674447387]
         [1.7478848869927384, 1.7478848869927415, 1.798087167444739]

ce_symbol  = TS:3
ce_fraction=  2.3284054367391393e-05
species:coords:index
Al1 : [16.97761311  1.6404696   3.02414368] : 8
Al1 : [20.14003689  1.6404696   3.02414368] : 14
Al1 : [18.558825    2.4996825   0.63303976] : 24
!!!atention to nb coordination!!!
         [1.7478848869927384, 1.7478848869927415, 1.7980871674447387]
         [1.7478848869927384, 1.7478848869927415, 1.798087167444739]


**isite= 61
O1 : [18.558825    6.5364579   2.34083168]

ce_symbol  = TL:3
ce_fraction=  0.9965231075392511
species:coords:index
Al1 : [20.14003689  6.8330304   3.02414368] : 9
Al1 : [16.97761311  6.8330304   3.02414368] : 15
Al1 : [18.558825    5.9738175   0.63303976] : 25
!!!atention to nb coordination!!!
         [1.7478848869927412, 1.747884886992738, 1.7980871674447392]
         [1.7478848869927412, 1.7478848869927381, 1.798087167444739]

ce_symbol  = TY:3
ce_fraction=  0.003453608406381455
species:coords:index
Al1 : [20.14003689  6.8330304   3.02414368] : 9
Al1 : [16.97761311  6.8330304   3.02414368] : 15
Al1 : [18.558825    5.9738175   0.63303976] : 25
!!!atention to nb coordination!!!
         [1.7478848869927412, 1.747884886992738, 1.7980871674447392]
         [1.7478848869927412, 1.7478848869927381, 1.798087167444739]

ce_symbol  = TS:3
ce_fraction=  2.3284054367391647e-05
species:coords:index
Al1 : [20.14003689  6.8330304   3.02414368] : 9
Al1 : [16.97761311  6.8330304   3.02414368] : 15
Al1 : [18.558825    5.9738175   0.63303976] : 25
!!!atention to nb coordination!!!
         [1.7478848869927412, 1.747884886992738, 1.7980871674447392]
         [1.7478848869927412, 1.7478848869927381, 1.798087167444739]


**isite= 62
O1 : [6.186275   6.5364579  2.53996832]

ce_symbol  = TL:3
ce_fraction=  0.9965231075392511
species:coords:index
Al1 : [7.76748689 6.8330304  1.85665632] : 12
Al1 : [4.60506311 6.8330304  1.85665632] : 10
Al1 : [6.186275   5.9738175  4.24776024] : 26
!!!atention to nb coordination!!!
         [1.7478848869927404, 1.7478848869927404, 1.7980871674447394]
         [1.7478848869927406, 1.7478848869927406, 1.7980871674447392]

ce_symbol  = TY:3
ce_fraction=  0.0034536084063814822
species:coords:index
Al1 : [7.76748689 6.8330304  1.85665632] : 12
Al1 : [4.60506311 6.8330304  1.85665632] : 10
Al1 : [6.186275   5.9738175  4.24776024] : 26
!!!atention to nb coordination!!!
         [1.7478848869927404, 1.7478848869927404, 1.7980871674447394]
         [1.7478848869927406, 1.7478848869927406, 1.7980871674447392]

ce_symbol  = TS:3
ce_fraction=  2.3284054367392464e-05
species:coords:index
Al1 : [7.76748689 6.8330304  1.85665632] : 12
Al1 : [4.60506311 6.8330304  1.85665632] : 10
Al1 : [6.186275   5.9738175  4.24776024] : 26
!!!atention to nb coordination!!!
         [1.7478848869927404, 1.7478848869927404, 1.7980871674447394]
         [1.7478848869927406, 1.7478848869927406, 1.7980871674447392]


**isite= 63
O1 : [6.186275   1.9370421  2.53996832]

ce_symbol  = TL:3
ce_fraction=  0.9965231075392511
species:coords:index
Al1 : [6.186275   2.4996825  4.24776024] : 27
Al1 : [7.76748689 1.6404696  1.85665632] : 11
Al1 : [4.60506311 1.6404696  1.85665632] : 13
!!!atention to nb coordination!!!
         [1.798087167444739, 1.7478848869927406, 1.7478848869927406]
         [1.7980871674447392, 1.7478848869927406, 1.7478848869927406]

ce_symbol  = TY:3
ce_fraction=  0.0034536084063815104
species:coords:index
Al1 : [6.186275   2.4996825  4.24776024] : 27
Al1 : [7.76748689 1.6404696  1.85665632] : 11
Al1 : [4.60506311 1.6404696  1.85665632] : 13
!!!atention to nb coordination!!!
         [1.798087167444739, 1.7478848869927406, 1.7478848869927406]
         [1.7980871674447392, 1.7478848869927406, 1.7478848869927406]

ce_symbol  = TS:3
ce_fraction=  2.3284054367392505e-05
species:coords:index
Al1 : [6.186275   2.4996825  4.24776024] : 27
Al1 : [7.76748689 1.6404696  1.85665632] : 11
Al1 : [4.60506311 1.6404696  1.85665632] : 13
!!!atention to nb coordination!!!
         [1.798087167444739, 1.7478848869927406, 1.7478848869927406]
         [1.7980871674447392, 1.7478848869927406, 1.7478848869927406]


**isite= 64
O1 : [13.28069517  0.          4.04471896]

ce_symbol  = TY:3
ce_fraction=  0.9523777653223886
species:coords:index
Al1 : [12.37255     1.41931125  4.8808    ] : 28
Al1 : [12.37255  0.       2.4404 ] : 32
Al1 : [12.37255    -1.41931125  4.8808    ] : 30
!!!atention to nb coordination!!!
         [1.8810113183121393, 1.8435202671003672, 1.8810113183121402]
         [1.8810113183121397, 1.8435202671003672, 1.8810113183121397]

ce_symbol  = SS:4
ce_fraction=  0.040115231025384876
species:coords:index
Al1 : [12.37255     1.41931125  4.8808    ] : 28
Sr1 : [15.3667071   0.          5.44404432] : 4
Al1 : [12.37255  0.       2.4404 ] : 32
Al1 : [12.37255    -1.41931125  4.8808    ] : 30
!!!atention to nb coordination!!!
         [1.8810113183121393, 2.51188320493638, 1.8435202671003672, 1.8810113183121402]
         [1.8810113183121397, 2.5118832049363804, 1.8435202671003672, 1.8810113183121397]

ce_symbol  = T:4
ce_fraction=  0.007294264542464849
species:coords:index
Al1 : [12.37255     1.41931125  4.8808    ] : 28
Sr1 : [15.3667071   0.          5.44404432] : 4
Al1 : [12.37255  0.       2.4404 ] : 32
Al1 : [12.37255    -1.41931125  4.8808    ] : 30
!!!atention to nb coordination!!!
         [1.8810113183121393, 2.51188320493638, 1.8435202671003672, 1.8810113183121402]
         [1.8810113183121397, 2.5118832049363804, 1.8435202671003672, 1.8810113183121397]

ce_symbol  = TL:3
ce_fraction=  0.00021273910976176737
species:coords:index
Al1 : [12.37255     1.41931125  4.8808    ] : 28
Al1 : [12.37255  0.       2.4404 ] : 32
Al1 : [12.37255    -1.41931125  4.8808    ] : 30
!!!atention to nb coordination!!!
         [1.8810113183121393, 1.8435202671003672, 1.8810113183121402]
         [1.8810113183121397, 1.8435202671003672, 1.8810113183121397]


**isite= 65
O1 : [23.83695483  0.          4.04471896]

ce_symbol  = TY:3
ce_fraction=  0.9523777653223883
species:coords:index
Al1 : [24.7451  0.      2.4404] : 33
Al1 : [24.7451      1.41931125  4.8808    ] : 31
Al1 : [24.7451     -1.41931125  4.8808    ] : 29
!!!atention to nb coordination!!!
         [1.8435202671003663, 1.8810113183121386, 1.8810113183121393]
         [1.8435202671003663, 1.8810113183121386, 1.8810113183121386]

ce_symbol  = SS:4
ce_fraction=  0.040115231025385216
species:coords:index
Al1 : [24.7451  0.      2.4404] : 33
Al1 : [24.7451      1.41931125  4.8808    ] : 31
Al1 : [24.7451     -1.41931125  4.8808    ] : 29
Sr1 : [21.7509429   0.          5.44404432] : 5
!!!atention to nb coordination!!!
         [1.8435202671003663, 1.8810113183121386, 1.8810113183121393, 2.51188320493638]
         [1.8435202671003663, 1.8810113183121386, 1.8810113183121386, 2.5118832049363804]

ce_symbol  = T:4
ce_fraction=  0.007294264542464817
species:coords:index
Al1 : [24.7451  0.      2.4404] : 33
Al1 : [24.7451      1.41931125  4.8808    ] : 31
Al1 : [24.7451     -1.41931125  4.8808    ] : 29
Sr1 : [21.7509429   0.          5.44404432] : 5
!!!atention to nb coordination!!!
         [1.8435202671003663, 1.8810113183121386, 1.8810113183121393, 2.51188320493638]
         [1.8435202671003663, 1.8810113183121386, 1.8810113183121386, 2.5118832049363804]

ce_symbol  = TL:3
ce_fraction=  0.00021273910976177992
species:coords:index
Al1 : [24.7451  0.      2.4404] : 33
Al1 : [24.7451      1.41931125  4.8808    ] : 31
Al1 : [24.7451     -1.41931125  4.8808    ] : 29
!!!atention to nb coordination!!!
         [1.8435202671003663, 1.8810113183121386, 1.8810113183121393]
         [1.8435202671003663, 1.8810113183121386, 1.8810113183121386]


**isite= 66
O1 : [0.90814517 0.         0.83608104]

ce_symbol  = TY:3
ce_fraction=  0.9523777653223883
species:coords:index
Al1 : [0.         1.41931125 0.        ] : 31
Al1 : [ 0.         -1.41931125  0.        ] : 29
Al1 : [0.     0.     2.4404] : 33
!!!atention to nb coordination!!!
         [1.8810113183121393, 1.8810113183121402, 1.843520267100367]
         [1.8810113183121397, 1.8810113183121397, 1.843520267100367]

ce_symbol  = SS:4
ce_fraction=  0.04011523102538523
species:coords:index
Al1 : [0.         1.41931125 0.        ] : 31
Al1 : [ 0.         -1.41931125  0.        ] : 29
Sr1 : [ 2.9941571   0.         -0.56324432] : 6
Al1 : [0.     0.     2.4404] : 33
!!!atention to nb coordination!!!
         [1.8810113183121393, 1.8810113183121402, 2.5118832049363795, 1.843520267100367]
         [1.8810113183121397, 1.8810113183121397, 2.5118832049363795, 1.843520267100367]

ce_symbol  = T:4
ce_fraction=  0.0072942645424648785
species:coords:index
Al1 : [0.         1.41931125 0.        ] : 31
Al1 : [ 0.         -1.41931125  0.        ] : 29
Sr1 : [ 2.9941571   0.         -0.56324432] : 6
Al1 : [0.     0.     2.4404] : 33
!!!atention to nb coordination!!!
         [1.8810113183121393, 1.8810113183121402, 2.5118832049363795, 1.843520267100367]
         [1.8810113183121397, 1.8810113183121397, 2.5118832049363795, 1.843520267100367]

ce_symbol  = TL:3
ce_fraction=  0.0002127391097617696
species:coords:index
Al1 : [0.         1.41931125 0.        ] : 31
Al1 : [ 0.         -1.41931125  0.        ] : 29
Al1 : [0.     0.     2.4404] : 33
!!!atention to nb coordination!!!
         [1.8810113183121393, 1.8810113183121402, 1.843520267100367]
         [1.8810113183121397, 1.8810113183121397, 1.843520267100367]


**isite= 67
O1 : [11.46440483  0.          0.83608104]

ce_symbol  = TY:3
