cif name= ./4123969.cif
./4123969.cif
Full Formula (Sr18 Rh15 O45)
O1 : [4.1695344  9.62912723 7.9540608 ] : 65
O1 : [0.84162824 9.78905545 6.83497733] : 44
O1 : [4.053714   7.15497649 7.9540608 ] : 63
O1 : [0.84162824 6.92817933 6.21302267] : 54
O1 : [ 0.75331518  6.9791669  11.18431067] : 57
O1 : [ 3.23090658  8.40960496 10.562356  ] : 70
O1 : [-0.7914394   6.94322485  8.69866667] : 76
O1 : [-0.6563156   9.87431334  9.44327253] : 36
O1 : [1.5828788  5.57241159 8.69866667] : 45
!!!atention to nb coordination!!!
         [3.0248431114638525, 3.024843111463854, 2.502899551973878, 2.8320854473327315, 2.921911479522573, 2.921911479522575, 2.5028995519738824, 2.7107584272887233, 2.832085447332733, 2.7107584272887233]
         [3.0248431114638543, 3.0248431114638543, 2.5028995519738797, 2.832085447332732, 2.921911479522574, 2.921911479522574, 2.50289955197388, 2.7107584272887233, 2.832085447332731, 2.7107584272887233]


**isite= 15
Sr1 : [3.3973984 0.        6.524    ]


**isite= 16
Sr1 : [-1.6986992   2.94223332  6.524     ]


**isite= 17
Sr1 : [3.1271508  5.41638407 6.524     ]


**isite= 18
Rh1 : [ 4.82585     2.7862058  10.87333333]

ce_symbol  = T:6
ce_fraction=  1.0
species:coords:index
O1 : [ 6.2543016   2.71933686 12.30339413] : 34
O1 : [4.1695344  1.51569595 9.44327253] : 36
O1 : [ 4.053714    1.58256489 12.30339413] : 33
O1 : [6.2543016  2.85307474 9.44327253] : 37
O1 : [4.053714   3.9898467  9.44327253] : 38
O1 : [ 4.1695344   4.05671564 12.30339413] : 35
!!!atention to nb coordination!!!
         [2.0223796182363807, 2.022379618236378, 2.0223796182363807, 2.022379618236379, 2.0223796182363785, 2.0223796182363807]
         [2.0223796182363794, 2.0223796182363794, 2.02237961823638, 2.0223796182363794, 2.02237961823638, 2.0223796182363794]


**isite= 19
Rh1 : [4.82585    2.7862058  3.09894349]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [3.23090658 2.83719336 1.86368933] : 40
O1 : [5.66747824 4.14197354 1.86368933] : 39
O1 : [5.57916518 1.37945049 1.86368933] : 41
O1 : [4.0344106  1.41539254 4.34933333] : 62
O1 : [6.4087288  2.7862058  4.34933333] : 75
O1 : [4.0344106  4.15701905 4.34933333] : 61
!!!atention to nb coordination!!!
         [2.0179933351333217, 2.017993335133323, 2.017993335133323, 2.017171298493178, 2.0171712984931784, 2.017171298493178]
         [2.0179933351333226, 2.017993335133323, 2.0179933351333226, 2.0171712984931776, 2.017171298493178, 2.017171298493178]


**isite= 20
Rh1 : [4.82585    2.7862058  5.59972317]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [4.0344106  1.41539254 4.34933333] : 62
O1 : [5.57916518 4.1929611  6.83497733] : 42
O1 : [5.66747824 1.43043806 6.83497733] : 44
O1 : [4.0344106  4.15701905 4.34933333] : 61
O1 : [3.23090658 2.73521823 6.83497733] : 43
O1 : [6.4087288  2.7862058  4.34933333] : 75
!!!atention to nb coordination!!!
         [2.0171712984931767, 2.0179933351333244, 2.0179933351333235, 2.0171712984931776, 2.0179933351333244, 2.0171712984931784]
         [2.0171712984931776, 2.017993335133323, 2.017993335133322, 2.0171712984931784, 2.017993335133323, 2.017171298493179]


**isite= 21
Rh1 : [4.82585    2.7862058  0.54597181]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 6.2543016   2.71933686 -0.74460587] : 34
O1 : [ 4.1695344   4.05671564 -0.74460587] : 35
O1 : [3.23090658 2.83719336 1.86368933] : 40
O1 : [5.66747824 4.14197354 1.86368933] : 39
O1 : [5.57916518 1.37945049 1.86368933] : 41
O1 : [ 4.053714    1.58256489 -0.74460587] : 33
!!!atention to nb coordination!!!
         [1.9262752079273247, 1.9262752079273247, 2.06949842313546, 2.0694984231354607, 2.069498423135461, 1.9262752079273249]
         [1.9262752079273262, 1.9262752079273262, 2.0694984231354603, 2.0694984231354607, 2.0694984231354607, 1.9262752079273264]


**isite= 22
Rh1 : [4.82585    2.7862058  8.15269485]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [5.57916518 4.1929611  6.83497733] : 42
O1 : [4.1695344  1.51569595 9.44327253] : 36
O1 : [6.2543016  2.85307474 9.44327253] : 37
O1 : [3.23090658 2.73521823 6.83497733] : 43
O1 : [4.053714   3.9898467  9.44327253] : 38
O1 : [5.66747824 1.43043806 6.83497733] : 44
!!!atention to nb coordination!!!
         [2.0694984231354594, 1.9262752079273269, 1.9262752079273278, 2.0694984231354594, 1.9262752079273275, 2.0694984231354585]
         [2.0694984231354607, 1.9262752079273258, 1.926275207927326, 2.0694984231354607, 1.9262752079273264, 2.06949842313546]


**isite= 23
Rh1 : [-4.44089210e-16  5.57241159e+00  2.17466667e+00]

ce_symbol  = T:6
ce_fraction=  1.0
species:coords:index
O1 : [1.4284516  5.63928053 0.74460587] : 52
O1 : [-0.6563156   4.30190175  0.74460587] : 51
O1 : [-0.6563156   6.84292144  3.60472747] : 50
O1 : [-0.772136    6.7760525   0.74460587] : 53
O1 : [-0.772136    4.36877069  3.60472747] : 48
O1 : [1.4284516  5.50554265 3.60472747] : 49
!!!atention to nb coordination!!!
         [2.022379618236379, 2.022379618236379, 2.022379618236377, 2.022379618236381, 2.0223796182363776, 2.0223796182363776]
         [2.022379618236379, 2.0223796182363794, 2.0223796182363767, 2.0223796182363807, 2.022379618236377, 2.022379618236377]


**isite= 24
Rh1 : [-4.44089210e-16  5.57241159e+00  7.44827683e+00]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.75331518 4.16565629 6.21302267] : 56
O1 : [0.84162824 6.92817933 6.21302267] : 54
O1 : [1.5828788  5.57241159 8.69866667] : 45
O1 : [-0.7914394   4.20159834  8.69866667] : 77
O1 : [-0.7914394   6.94322485  8.69866667] : 76
O1 : [-1.59494342  5.62339916  6.21302267] : 55
!!!atention to nb coordination!!!
         [2.0179933351333217, 2.0179933351333226, 2.0171712984931798, 2.017171298493179, 2.017171298493179, 2.017993335133321]
         [2.017993335133322, 2.017993335133323, 2.0171712984931784, 2.0171712984931784, 2.0171712984931776, 2.0179933351333217]


**isite= 25
Rh1 : [0.         5.57241159 9.94905651]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [-1.59494343  5.52142403 11.18431067] : 58
O1 : [ 0.84162824  4.21664385 11.18431067] : 59
O1 : [-0.7914394   4.20159834  8.69866667] : 77
O1 : [1.5828788  5.57241159 8.69866667] : 45
O1 : [-0.7914394   6.94322485  8.69866667] : 76
O1 : [ 0.75331518  6.9791669  11.18431067] : 57
!!!atention to nb coordination!!!
         [2.0179933351333257, 2.017993335133323, 2.017171298493176, 2.0171712984931767, 2.0171712984931767, 2.017993335133324]
         [2.0179933351333244, 2.0179933351333217, 2.017171298493177, 2.0171712984931776, 2.017171298493178, 2.0179933351333226]


**isite= 26
Rh1 : [-4.44089210e-16  5.57241159e+00  4.89530515e+00]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.75331518 4.16565629 6.21302267] : 56
O1 : [1.4284516  5.50554265 3.60472747] : 49
O1 : [-0.772136    4.36877069  3.60472747] : 48
O1 : [-1.59494342  5.62339916  6.21302267] : 55
O1 : [0.84162824 6.92817933 6.21302267] : 54
O1 : [-0.6563156   6.84292144  3.60472747] : 50
!!!atention to nb coordination!!!
         [2.0694984231354603, 1.9262752079273258, 1.926275207927326, 2.0694984231354594, 2.069498423135461, 1.9262752079273253]
         [2.06949842313546, 1.9262752079273262, 1.9262752079273262, 2.069498423135459, 2.0694984231354607, 1.9262752079273258]


**isite= 27
Rh1 : [ 0.          5.57241159 12.50202819]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 1.4284516   5.63928053 13.79260587] : 52
O1 : [ 0.84162824  4.21664385 11.18431067] : 59
O1 : [-0.772136    6.7760525  13.79260587] : 53
O1 : [ 0.75331518  6.9791669  11.18431067] : 57
O1 : [-0.6563156   4.30190175 13.79260587] : 51
O1 : [-1.59494343  5.52142403 11.18431067] : 58
!!!atention to nb coordination!!!
         [1.9262752079273247, 2.0694984231354594, 1.9262752079273278, 2.0694984231354603, 1.9262752079273247, 2.069498423135462]
         [1.9262752079273247, 2.0694984231354607, 1.9262752079273278, 2.069498423135461, 1.926275207927325, 2.069498423135463]


**isite= 28
Rh1 : [0.    0.    6.524]

ce_symbol  = T:6
ce_fraction=  1.0
species:coords:index
O1 : [-0.6563156   1.27050984  7.9540608 ] : 65
O1 : [-0.772136  -1.2036409  7.9540608] : 63
O1 : [-0.772136   1.2036409  5.0939392] : 68
O1 : [1.4284516  0.06686894 5.0939392 ] : 67
O1 : [ 1.4284516  -0.06686894  7.9540608 ] : 64
O1 : [-0.6563156  -1.27050984  5.0939392 ] : 66
!!!atention to nb coordination!!!
         [2.02237961823638, 2.0223796182363794, 2.0223796182363785, 2.0223796182363785, 2.022379618236378, 2.022379618236378]
         [2.0223796182363785, 2.022379618236378, 2.02237961823638, 2.022379618236379, 2.0223796182363776, 2.02237961823638]


**isite= 29
Rh1 : [ 0.          0.         11.79761016]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 0.75331518 -1.40675531 10.562356  ] : 71
O1 : [-1.59494342  0.05098757 10.562356  ] : 70
O1 : [ 0.84162824  1.35576774 10.562356  ] : 69
O1 : [ 1.5828788  0.        13.048    ] : 60
O1 : [-0.7914394  -1.37081325 13.048     ] : 47
O1 : [-0.7914394   1.37081325 13.048     ] : 46
!!!atention to nb coordination!!!
         [2.0179933351333212, 2.01799333513332, 2.0179933351333217, 2.017171298493178, 2.0171712984931784, 2.0171712984931784]
         [2.0179933351333226, 2.0179933351333226, 2.0179933351333226, 2.017171298493178, 2.017171298493179, 2.0171712984931784]


**isite= 30
Rh1 : [ 5.35776978e-16 -9.27992948e-16  1.25038984e+00]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [-0.7914394  -1.37081325  0.        ] : 47
O1 : [0.75331518 1.40675531 2.485644  ] : 72
O1 : [ 0.84162824 -1.35576774  2.485644  ] : 74
O1 : [1.5828788 0.        0.       ] : 60
O1 : [-1.59494343 -0.05098757  2.485644  ] : 73
O1 : [-0.7914394   1.37081325  0.        ] : 46
!!!atention to nb coordination!!!
         [2.0171712984931776, 2.0179933351333212, 2.0179933351333204, 2.0171712984931776, 2.017993335133322, 2.0171712984931793]
         [2.0171712984931784, 2.017993335133321, 2.0179933351333204, 2.017171298493177, 2.017993335133322, 2.0171712984931793]


**isite= 31
Rh1 : [0.         0.         9.24463848]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 0.84162824  1.35576774 10.562356  ] : 69
O1 : [-1.59494342  0.05098757 10.562356  ] : 70
O1 : [-0.6563156   1.27050984  7.9540608 ] : 65
O1 : [ 0.75331518 -1.40675531 10.562356  ] : 71
O1 : [ 1.4284516  -0.06686894  7.9540608 ] : 64
O1 : [-0.772136  -1.2036409  7.9540608] : 63
!!!atention to nb coordination!!!
         [2.069498423135461, 2.0694984231354594, 1.9262752079273269, 2.069498423135461, 1.9262752079273249, 1.9262752079273264]
         [2.0694984231354603, 2.0694984231354603, 1.926275207927328, 2.0694984231354603, 1.9262752079273269, 1.9262752079273278]


**isite= 32
Rh1 : [ 5.35776978e-16 -9.27992948e-16  3.80336152e+00]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [-0.6563156  -1.27050984  5.0939392 ] : 66
O1 : [-0.772136   1.2036409  5.0939392] : 68
O1 : [ 0.84162824 -1.35576774  2.485644  ] : 74
O1 : [1.4284516  0.06686894 5.0939392 ] : 67
O1 : [-1.59494343 -0.05098757  2.485644  ] : 73
O1 : [0.75331518 1.40675531 2.485644  ] : 72
!!!atention to nb coordination!!!
         [1.9262752079273258, 1.9262752079273275, 2.06949842313546, 1.9262752079273264, 2.0694984231354616, 2.0694984231354607]
         [1.9262752079273266, 1.9262752079273275, 2.0694984231354603, 1.9262752079273255, 2.0694984231354625, 2.0694984231354607]


**isite= 33
O1 : [ 4.053714    1.58256489 12.30339413]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Rh1 : [ 4.82585     2.7862058  13.59397181] : 21
Sr1 : [ 3.1271508  -0.15602752 10.87333333] : 5
Rh1 : [ 4.82585     2.7862058  10.87333333] : 18
!!!atention to nb coordination!!!
         [1.9262752079273264, 2.434398662492567, 2.0223796182363785]
         [1.9262752079273262, 2.434398662492568, 2.02237961823638]


**isite= 34
O1 : [ 6.2543016   2.71933686 12.30339413]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Rh1 : [ 4.82585     2.7862058  13.59397181] : 21
Sr1 : [ 8.2232484   2.7862058  10.87333333] : 3
Rh1 : [ 4.82585     2.7862058  10.87333333] : 18
!!!atention to nb coordination!!!
         [1.926275207927325, 2.434398662492568, 2.0223796182363776]
         [1.926275207927326, 2.4343986624925678, 2.0223796182363794]


**isite= 35
O1 : [ 4.1695344   4.05671564 12.30339413]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Rh1 : [ 4.82585     2.7862058  13.59397181] : 21
Sr1 : [ 3.1271508   5.72843912 10.87333333] : 4
Rh1 : [ 4.82585     2.7862058  10.87333333] : 18
!!!atention to nb coordination!!!
         [1.9262752079273262, 2.434398662492567, 2.0223796182363785]
         [1.926275207927326, 2.4343986624925678, 2.0223796182363794]


**isite= 36
O1 : [4.1695344  1.51569595 9.44327253]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Rh1 : [4.82585    2.7862058  8.15269485] : 22
Rh1 : [ 4.82585     2.7862058  10.87333333] : 18
Sr1 : [ 3.1271508  -0.15602752 10.87333333] : 5
!!!atention to nb coordination!!!
         [1.9262752079273249, 2.022379618236381, 2.4343986624925686]
         [1.9262752079273258, 2.0223796182363794, 2.4343986624925678]


**isite= 37
O1 : [6.2543016  2.85307474 9.44327253]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Rh1 : [4.82585    2.7862058  8.15269485] : 22
Rh1 : [ 4.82585     2.7862058  10.87333333] : 18
Sr1 : [ 8.2232484   2.7862058  10.87333333] : 3
!!!atention to nb coordination!!!
         [1.926275207927324, 2.02237961823638, 2.43439866249257]
         [1.926275207927326, 2.0223796182363794, 2.4343986624925678]


**isite= 38
O1 : [4.053714   3.9898467  9.44327253]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Sr1 : [ 3.1271508   5.72843912 10.87333333] : 4
Rh1 : [ 4.82585     2.7862058  10.87333333] : 18
Rh1 : [4.82585    2.7862058  8.15269485] : 22
!!!atention to nb coordination!!!
         [2.4343986624925686, 2.022379618236381, 1.9262752079273253]
         [2.4343986624925678, 2.02237961823638, 1.9262752079273264]


**isite= 39
O1 : [5.66747824 4.14197354 1.86368933]

ce_symbol  = S:5
ce_fraction=  0.9952643898917322
species:coords:index
Sr1 : [3.3973984  5.57241159 2.17466667] : 9
Rh1 : [4.82585    2.7862058  3.09894349] : 19
Rh1 : [4.82585    2.7862058  0.54597181] : 21
Sr1 : [6.39087315 5.64791777 0.        ] : 1
Sr1 : [7.9530008  2.63017827 2.17466667] : 11
!!!atention to nb coordination!!!
         [2.70113354237727, 2.017993335133323, 2.0694984231354603, 2.5028995519738793, 2.757869684748037]
         [2.701133542377271, 2.017993335133323, 2.0694984231354607, 2.5028995519738793, 2.757869684748037]

ce_symbol  = TS:3
ce_fraction=  0.0047356101082678915
species:coords:index
Rh1 : [4.82585    2.7862058  3.09894349] : 19
Rh1 : [4.82585    2.7862058  0.54597181] : 21
Sr1 : [6.39087315 5.64791777 0.        ] : 1
!!!atention to nb coordination!!!
         [2.017993335133323, 2.0694984231354603, 2.5028995519738793]
         [2.017993335133323, 2.0694984231354607, 2.5028995519738793]


**isite= 40
O1 : [3.23090658 2.83719336 1.86368933]

ce_symbol  = S:5
ce_fraction=  0.9952643898917317
species:coords:index
Rh1 : [4.82585    2.7862058  0.54597181] : 21
Sr1 : [3.3973984  5.57241159 2.17466667] : 9
Rh1 : [4.82585    2.7862058  3.09894349] : 19
Sr1 : [3.1271508  0.15602752 2.17466667] : 10
Sr1 : [1.56502316 2.71069962 0.        ] : 2
!!!atention to nb coordination!!!
         [2.069498423135461, 2.7578696847480377, 2.0179933351333235, 2.7011335423772715, 2.5028995519738793]
         [2.0694984231354603, 2.7578696847480377, 2.0179933351333226, 2.701133542377271, 2.5028995519738797]

ce_symbol  = TS:3
ce_fraction=  0.004735610108268309
species:coords:index
Rh1 : [4.82585    2.7862058  0.54597181] : 21
Rh1 : [4.82585    2.7862058  3.09894349] : 19
Sr1 : [1.56502316 2.71069962 0.        ] : 2
!!!atention to nb coordination!!!
         [2.069498423135461, 2.0179933351333235, 2.5028995519738793]
         [2.0694984231354603, 2.0179933351333226, 2.5028995519738797]


**isite= 41
O1 : [5.57916518 1.37945049 1.86368933]

ce_symbol  = S:5
ce_fraction=  0.9952643898917317
species:coords:index
Sr1 : [6.52165369 0.         0.        ] : 6
Sr1 : [3.1271508  0.15602752 2.17466667] : 10
Rh1 : [4.82585    2.7862058  0.54597181] : 21
Sr1 : [7.9530008  2.63017827 2.17466667] : 11
Rh1 : [4.82585    2.7862058  3.09894349] : 19
!!!atention to nb coordination!!!
         [2.5028995519738797, 2.757869684748037, 2.06949842313546, 2.7011335423772698, 2.0179933351333226]
         [2.5028995519738797, 2.7578696847480373, 2.0694984231354607, 2.7011335423772693, 2.0179933351333226]

ce_symbol  = TS:3
ce_fraction=  0.00473561010826823
species:coords:index
Sr1 : [6.52165369 0.         0.        ] : 6
Rh1 : [4.82585    2.7862058  0.54597181] : 21
Rh1 : [4.82585    2.7862058  3.09894349] : 19
!!!atention to nb coordination!!!
         [2.5028995519738797, 2.06949842313546, 2.0179933351333226]
         [2.5028995519738797, 2.0694984231354607, 2.0179933351333226]


**isite= 42
O1 : [5.57916518 4.1929611  6.83497733]

ce_symbol  = S:5
ce_fraction=  0.9952643898917314
species:coords:index
Sr1 : [3.1271508  5.41638407 6.524     ] : 17
Rh1 : [4.82585    2.7862058  5.59972317] : 20
Rh1 : [4.82585    2.7862058  8.15269485] : 22
Sr1 : [7.9530008  2.94223332 6.524     ] : 16
Sr1 : [6.52165369 5.57241159 8.69866667] : 0
!!!atention to nb coordination!!!
         [2.757869684748037, 2.017993335133322, 2.0694984231354616, 2.7011335423772724, 2.5028995519738806]
         [2.7578696847480373, 2.017993335133323, 2.0694984231354607, 2.7011335423772738, 2.5028995519738793]

ce_symbol  = TS:3
ce_fraction=  0.004735610108268582
species:coords:index
Rh1 : [4.82585    2.7862058  5.59972317] : 20
Rh1 : [4.82585    2.7862058  8.15269485] : 22
Sr1 : [6.52165369 5.57241159 8.69866667] : 0
!!!atention to nb coordination!!!
         [2.017993335133322, 2.0694984231354616, 2.5028995519738806]
         [2.017993335133323, 2.0694984231354607, 2.5028995519738793]


**isite= 43
O1 : [3.23090658 2.73521823 6.83497733]

ce_symbol  = S:5
ce_fraction=  0.9952643898917314
species:coords:index
Rh1 : [4.82585    2.7862058  8.15269485] : 22
Sr1 : [3.3973984 0.        6.524    ] : 15
Rh1 : [4.82585    2.7862058  5.59972317] : 20
Sr1 : [3.1271508  5.41638407 6.524     ] : 17
Sr1 : [1.56502316 2.86171197 8.69866667] : 13
!!!atention to nb coordination!!!
         [2.0694984231354625, 2.7578696847480377, 2.0179933351333235, 2.7011335423772715, 2.5028995519738797]
         [2.0694984231354607, 2.7578696847480377, 2.017993335133323, 2.701133542377271, 2.502899551973879]

ce_symbol  = TS:3
ce_fraction=  0.004735610108268621
species:coords:index
Rh1 : [4.82585    2.7862058  8.15269485] : 22
Rh1 : [4.82585    2.7862058  5.59972317] : 20
Sr1 : [1.56502316 2.86171197 8.69866667] : 13
!!!atention to nb coordination!!!
         [2.0694984231354625, 2.0179933351333235, 2.5028995519738797]
         [2.0694984231354607, 2.017993335133323, 2.502899551973879]


**isite= 44
O1 : [5.66747824 1.43043806 6.83497733]

ce_symbol  = S:5
ce_fraction=  0.9952643898917314
species:coords:index
Sr1 : [7.9530008  2.94223332 6.524     ] : 16
Rh1 : [4.82585    2.7862058  5.59972317] : 20
Rh1 : [4.82585    2.7862058  8.15269485] : 22
Sr1 : [3.3973984 0.        6.524    ] : 15
Sr1 : [ 6.39087315 -0.07550618  8.69866667] : 14
!!!atention to nb coordination!!!
         [2.7578696847480386, 2.0179933351333212, 2.0694984231354603, 2.7011335423772698, 2.5028995519738806]
         [2.7578696847480395, 2.017993335133322, 2.06949842313546, 2.70113354237727, 2.5028995519738797]

ce_symbol  = TS:3
ce_fraction=  0.004735610108268683
species:coords:index
Rh1 : [4.82585    2.7862058  5.59972317] : 20
Rh1 : [4.82585    2.7862058  8.15269485] : 22
Sr1 : [ 6.39087315 -0.07550618  8.69866667] : 14
!!!atention to nb coordination!!!
         [2.0179933351333212, 2.0694984231354603, 2.5028995519738806]
         [2.017993335133322, 2.06949842313546, 2.5028995519738797]


**isite= 45
O1 : [1.5828788  5.57241159 8.69866667]


**isite= 46
O1 : [-0.7914394   1.37081325  0.        ]


**isite= 47
O1 : [4.0344106  6.98780414 0.        ]


**isite= 48
O1 : [-0.772136    4.36877069  3.60472747]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Rh1 : [-4.44089210e-16  5.57241159e+00  4.89530515e+00] : 26
Sr1 : [-1.6986992   2.63017827  2.17466667] : 11
Rh1 : [-4.44089210e-16  5.57241159e+00  2.17466667e+00] : 23
!!!atention to nb coordination!!!
         [1.9262752079273269, 2.434398662492568, 2.022379618236377]
         [1.9262752079273262, 2.434398662492568, 2.022379618236377]


**isite= 49
O1 : [1.4284516  5.50554265 3.60472747]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Rh1 : [-4.44089210e-16  5.57241159e+00  2.17466667e+00] : 23
Rh1 : [-4.44089210e-16  5.57241159e+00  4.89530515e+00] : 26
Sr1 : [3.3973984  5.57241159 2.17466667] : 9
!!!atention to nb coordination!!!
         [2.0223796182363767, 1.9262752079273266, 2.4343986624925704]
         [2.022379618236377, 1.9262752079273262, 2.4343986624925695]


**isite= 50
O1 : [-0.6563156   6.84292144  3.60472747]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Rh1 : [-4.44089210e-16  5.57241159e+00  4.89530515e+00] : 26
Sr1 : [-1.6986992   8.51464491  2.17466667] : 10
Rh1 : [-4.44089210e-16  5.57241159e+00  2.17466667e+00] : 23
!!!atention to nb coordination!!!
         [1.9262752079273264, 2.434398662492568, 2.0223796182363767]
         [1.9262752079273258, 2.434398662492568, 2.0223796182363767]


**isite= 51
O1 : [-0.6563156   4.30190175  0.74460587]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Sr1 : [-1.6986992   2.63017827  2.17466667] : 11
Rh1 : [ 0.          5.57241159 -0.54597181] : 27
Rh1 : [-4.44089210e-16  5.57241159e+00  2.17466667e+00] : 23
!!!atention to nb coordination!!!
         [2.4343986624925673, 1.9262752079273242, 2.02237961823638]
         [2.434398662492567, 1.9262752079273253, 2.0223796182363794]


**isite= 52
O1 : [1.4284516  5.63928053 0.74460587]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Rh1 : [ 0.          5.57241159 -0.54597181] : 27
Rh1 : [-4.44089210e-16  5.57241159e+00  2.17466667e+00] : 23
Sr1 : [3.3973984  5.57241159 2.17466667] : 9
!!!atention to nb coordination!!!
         [1.9262752079273235, 2.0223796182363794, 2.4343986624925695]
         [1.9262752079273249, 2.022379618236379, 2.4343986624925686]


**isite= 53
O1 : [-0.772136    6.7760525   0.74460587]

ce_symbol  = TS:3
ce_fraction=  1.0
species:coords:index
Rh1 : [ 0.          5.57241159 -0.54597181] : 27
Rh1 : [-4.44089210e-16  5.57241159e+00  2.17466667e+00] : 23
Sr1 : [-1.6986992   8.51464491  2.17466667] : 10
!!!atention to nb coordination!!!
         [1.9262752079273269, 2.022379618236381, 2.434398662492565]
         [1.926275207927328, 2.0223796182363807, 2.4343986624925646]


**isite= 54
O1 : [0.84162824 6.92817933 6.21302267]

ce_symbol  = S:5
ce_fraction=  0.9952643898917312
species:coords:index
Sr1 : [1.56502316 8.43412357 4.34933333] : 7
Sr1 : [3.1271508  5.41638407 6.524     ] : 17
Rh1 : [-4.44089210e-16  5.57241159e+00  4.89530515e+00] : 26
Sr1 : [-1.4284516   8.35861739  6.524     ] : 15
Rh1 : [-4.44089210e-16  5.57241159e+00  7.44827683e+00] : 24
!!!atention to nb coordination!!!
         [2.502899551973879, 2.7578696847480373, 2.06949842313546, 2.7011335423772724, 2.0179933351333235]
         [2.5028995519738793, 2.7578696847480373, 2.0694984231354607, 2.7011335423772724, 2.017993335133323]

ce_symbol  = TS:3
ce_fraction=  0.0047356101082688005
species:coords:index
Sr1 : [1.56502316 8.43412357 4.34933333] : 7
Rh1 : [-4.44089210e-16  5.57241159e+00  4.89530515e+00] : 26
Rh1 : [-4.44089210e-16  5.57241159e+00  7.44827683e+00] : 24
!!!atention to nb coordination!!!
         [2.502899551973879, 2.06949842313546, 2.0179933351333235]
         [2.5028995519738793, 2.0694984231354607, 2.017993335133323]


**isite= 55
O1 : [-1.59494342  5.62339916  6.21302267]

ce_symbol  = S:5
ce_fraction=  0.9952643898917309
species:coords:index
Rh1 : [-4.44089210e-16  5.57241159e+00  4.89530515e+00] : 26
Sr1 : [-1.6986992   2.94223332  6.524     ] : 16
Sr1 : [-1.4284516   8.35861739  6.524     ] : 15
Sr1 : [-3.26082684  5.49690542  4.34933333] : 8
Rh1 : [-4.44089210e-16  5.57241159e+00  7.44827683e+00] : 24
!!!atention to nb coordination!!!
         [2.0694984231354585, 2.7011335423772715, 2.7578696847480386, 2.5028995519738797, 2.017993335133322]
         [2.069498423135459, 2.7011335423772715, 2.7578696847480386, 2.50289955197388, 2.0179933351333217]

ce_symbol  = TS:3
ce_fraction=  0.004735610108268951
species:coords:index
Rh1 : [-4.44089210e-16  5.57241159e+00  4.89530515e+00] : 26
Sr1 : [-3.26082684  5.49690542  4.34933333] : 8
Rh1 : [-4.44089210e-16  5.57241159e+00  7.44827683e+00] : 24
!!!atention to nb coordination!!!
         [2.0694984231354585, 2.5028995519738797, 2.017993335133322]
         [2.069498423135459, 2.50289955197388, 2.0179933351333217]


**isite= 56
O1 : [0.75331518 4.16565629 6.21302267]

ce_symbol  = S:5
ce_fraction=  0.9952643898917315
species:coords:index
Sr1 : [3.1271508  5.41638407 6.524     ] : 17
Rh1 : [-4.44089210e-16  5.57241159e+00  7.44827683e+00] : 24
Rh1 : [-4.44089210e-16  5.57241159e+00  4.89530515e+00] : 26
Sr1 : [-1.6986992   2.94223332  6.524     ] : 16
Sr1 : [1.69580369 2.7862058  4.34933333] : 12
!!!atention to nb coordination!!!
         [2.7011335423772724, 2.0179933351333226, 2.069498423135459, 2.7578696847480373, 2.50289955197388]
         [2.7011335423772715, 2.017993335133322, 2.06949842313546, 2.7578696847480373, 2.502899551973881]

ce_symbol  = TS:3
ce_fraction=  0.004735610108268475
species:coords:index
Rh1 : [-4.44089210e-16  5.57241159e+00  7.44827683e+00] : 24
Rh1 : [-4.44089210e-16  5.57241159e+00  4.89530515e+00] : 26
Sr1 : [1.69580369 2.7862058  4.34933333] : 12
!!!atention to nb coordination!!!
