cif name= ./2300211.cif
./2300211.cif
Full Formula (Lu16 Si8 O40)
         [1.6140981070111613, 2.2625336246104246, 2.242136723247932]
         [1.6140981070111622, 2.262533624610425, 2.242136723247931]

ce_symbol  = S:1
ce_fraction=  0.1371622790175975
species:coords:index
Si1 : [0.74782358 6.03701595 6.01562136] : 17
!!!atention to nb coordination!!!
         [1.6140981070111613]
         [1.6140981070111622]

ce_symbol  = TY:3
ce_fraction=  0.05145661724126034
species:coords:index
Si1 : [0.74782358 6.03701595 6.01562136] : 17
Lu1 : [-2.01724981  5.02521926  4.05340942] : 6
Lu1 : [-2.55740031  5.83137324  7.26034043] : 1
!!!atention to nb coordination!!!
         [1.6140981070111613, 2.2625336246104246, 2.242136723247932]
         [1.6140981070111622, 2.262533624610425, 2.242136723247931]

ce_symbol  = TS:3
ce_fraction=  3.43021117115579e-09
species:coords:index
Si1 : [0.74782358 6.03701595 6.01562136] : 17
Lu1 : [-2.01724981  5.02521926  4.05340942] : 6
Lu1 : [-2.55740031  5.83137324  7.26034043] : 1
!!!atention to nb coordination!!!
         [1.6140981070111613, 2.2625336246104246, 2.242136723247932]
         [1.6140981070111622, 2.262533624610425, 2.242136723247931]


**isite= 26
O1 : [9.04875939 4.31158455 1.52161264]

ce_symbol  = TL:3
ce_fraction=  0.8113811003109324
species:coords:index
Si1 : [10.61019267  3.93273405  1.67559672] : 18
Lu1 : [ 7.84511929  4.94453074 -0.28661523] : 13
Lu1 : [7.30496878 4.13837676 2.92031578] : 10
!!!atention to nb coordination!!!
         [1.6140981070111635, 2.2625336246104255, 2.2421367232479295]
         [1.6140981070111635, 2.262533624610426, 2.24213672324793]

ce_symbol  = S:1
ce_fraction=  0.13716227901759628
species:coords:index
Si1 : [10.61019267  3.93273405  1.67559672] : 18

ce_symbol  = TY:3
ce_fraction=  0.05145661724126018
species:coords:index
Si1 : [10.61019267  3.93273405  1.67559672] : 18
Lu1 : [ 7.84511929  4.94453074 -0.28661523] : 13
Lu1 : [7.30496878 4.13837676 2.92031578] : 10
!!!atention to nb coordination!!!
         [1.6140981070111635, 2.2625336246104255, 2.2421367232479295]
         [1.6140981070111635, 2.262533624610426, 2.24213672324793]

ce_symbol  = TS:3
ce_fraction=  3.4302111711291573e-09
species:coords:index
Si1 : [10.61019267  3.93273405  1.67559672] : 18
Lu1 : [ 7.84511929  4.94453074 -0.28661523] : 13
Lu1 : [7.30496878 4.13837676 2.92031578] : 10
!!!atention to nb coordination!!!
         [1.6140981070111635, 2.2625336246104255, 2.2421367232479295]
         [1.6140981070111635, 2.262533624610426, 2.24213672324793]


**isite= 27
O1 : [9.61648555 0.98833455 2.818412  ]

ce_symbol  = TL:3
ce_fraction=  0.8113811003109345
species:coords:index
Lu1 : [11.36027615  0.81512676  1.41970886] : 3
Si1 : [8.05505227 0.60948405 2.66442793] : 19
Lu1 : [10.82012565  1.62128074  4.62663987] : 4
!!!atention to nb coordination!!!
         [2.2421367232479295, 1.6140981070111649, 2.2625336246104255]
         [2.2421367232479295, 1.614098107011165, 2.2625336246104255]

ce_symbol  = S:1
ce_fraction=  0.13716227901759445
species:coords:index
Si1 : [8.05505227 0.60948405 2.66442793] : 19
!!!atention to nb coordination!!!
         [1.6140981070111649]
         [1.614098107011165]

ce_symbol  = TY:3
ce_fraction=  0.051456617241259946
species:coords:index
Lu1 : [11.36027615  0.81512676  1.41970886] : 3
Si1 : [8.05505227 0.60948405 2.66442793] : 19
Lu1 : [10.82012565  1.62128074  4.62663987] : 4
!!!atention to nb coordination!!!
         [2.2421367232479295, 1.6140981070111649, 2.2625336246104255]
         [2.2421367232479295, 1.614098107011165, 2.2625336246104255]

ce_symbol  = TS:3
ce_fraction=  3.4302111712382814e-09
species:coords:index
Lu1 : [11.36027615  0.81512676  1.41970886] : 3
Si1 : [8.05505227 0.60948405 2.66442793] : 19
Lu1 : [10.82012565  1.62128074  4.62663987] : 4
!!!atention to nb coordination!!!
         [2.2421367232479295, 1.6140981070111649, 2.2625336246104255]
         [2.2421367232479295, 1.614098107011165, 2.2625336246104255]


**isite= 28
O1 : [8.85418679 1.40174685 5.8642413 ]

ce_symbol  = A:2
ce_fraction=  0.5954871182237992
species:coords:index
Si1 : [7.87972708 2.71376595 6.01562136] : 21
Lu1 : [ 8.62981056 -0.81512676  5.75973351] : 0
!!!atention to nb coordination!!!
         [1.6413048943892297, 2.2306490470753464]
         [1.6413048943892288, 2.230649047075347]

ce_symbol  = S:1
ce_fraction=  0.3898620767728526
species:coords:index
Si1 : [7.87972708 2.71376595 6.01562136] : 21
!!!atention to nb coordination!!!
         [1.6413048943892297]
         [1.6413048943892288]

ce_symbol  = L:2
ce_fraction=  0.014650805003348092
species:coords:index
Si1 : [7.87972708 2.71376595 6.01562136] : 21
Lu1 : [ 8.62981056 -0.81512676  5.75973351] : 0
!!!atention to nb coordination!!!
         [1.6413048943892297, 2.2306490470753464]
         [1.6413048943892288, 2.230649047075347]


**isite= 29
O1 : [-2.78177654  1.40174685  7.15583264]

ce_symbol  = A:2
ce_fraction=  0.5954871182238052
species:coords:index
Si1 : [-1.80731683  2.71376595  7.00445258] : 16
Lu1 : [-2.55740031 -0.81512676  7.26034043] : 1
!!!atention to nb coordination!!!
         [1.6413048943892292, 2.2306490470753464]
         [1.6413048943892297, 2.230649047075347]

ce_symbol  = S:1
ce_fraction=  0.38986207677284707
species:coords:index
Si1 : [-1.80731683  2.71376595  7.00445258] : 16
!!!atention to nb coordination!!!
         [1.6413048943892292]
         [1.6413048943892297]

ce_symbol  = L:2
ce_fraction=  0.014650805003347804
species:coords:index
Si1 : [-1.80731683  2.71376595  7.00445258] : 16
Lu1 : [-2.55740031 -0.81512676  7.26034043] : 1
!!!atention to nb coordination!!!
         [1.6413048943892292, 2.2306490470753464]
         [1.6413048943892297, 2.230649047075347]


**isite= 30
O1 : [-0.05131095  5.24475315  2.81580799]

ce_symbol  = A:2
ce_fraction=  0.5954871182238073
species:coords:index
Lu1 : [0.17306528 7.46162676 2.92031578] : 2
Si1 : [0.92314876 3.93273405 2.66442793] : 23
!!!atention to nb coordination!!!
         [2.230649047075347, 1.6413048943892292]
         [2.230649047075346, 1.6413048943892294]

ce_symbol  = S:1
ce_fraction=  0.389862076772845
species:coords:index
Si1 : [0.92314876 3.93273405 2.66442793] : 23
!!!atention to nb coordination!!!
         [1.6413048943892292]
         [1.6413048943892294]

ce_symbol  = L:2
ce_fraction=  0.014650805003347669
species:coords:index
Lu1 : [0.17306528 7.46162676 2.92031578] : 2
Si1 : [0.92314876 3.93273405 2.66442793] : 23
!!!atention to nb coordination!!!
         [2.230649047075347, 1.6413048943892292]
         [2.230649047075346, 1.6413048943892294]


**isite= 31
O1 : [11.58465238  5.24475315  1.52421666]

ce_symbol  = A:2
ce_fraction=  0.5954871182238085
species:coords:index
Lu1 : [11.36027615  7.46162676  1.41970886] : 3
Si1 : [10.61019267  3.93273405  1.67559672] : 18
!!!atention to nb coordination!!!
         [2.230649047075347, 1.6413048943892297]
         [2.230649047075346, 1.6413048943892297]

ce_symbol  = S:1
ce_fraction=  0.38986207677284374
species:coords:index
Si1 : [10.61019267  3.93273405  1.67559672] : 18

ce_symbol  = L:2
ce_fraction=  0.01465080500334762
species:coords:index
Lu1 : [11.36027615  7.46162676  1.41970886] : 3
Si1 : [10.61019267  3.93273405  1.67559672] : 18
!!!atention to nb coordination!!!
         [2.230649047075347, 1.6413048943892297]
         [2.230649047075346, 1.6413048943892297]


**isite= 32
O1 : [8.31129031 3.79714545 4.88165972]

ce_symbol  = TY:3
ce_fraction=  0.7283303811621736
species:coords:index
Lu1 : [7.30496878 4.13837676 2.92031578] : 10
Lu1 : [8.62981056 5.83137324 5.75973351] : 0
Si1 : [7.87972708 2.71376595 6.01562136] : 21
!!!atention to nb coordination!!!
         [2.230693133055767, 2.238426105756516, 1.6265998141203861]
         [2.2306931330557678, 2.238426105756516, 1.6265998141203846]

ce_symbol  = TL:3
ce_fraction=  0.17461535256864757
species:coords:index
Lu1 : [7.30496878 4.13837676 2.92031578] : 10
Lu1 : [8.62981056 5.83137324 5.75973351] : 0
Si1 : [7.87972708 2.71376595 6.01562136] : 21
!!!atention to nb coordination!!!
         [2.230693133055767, 2.238426105756516, 1.6265998141203861]
         [2.2306931330557678, 2.238426105756516, 1.6265998141203846]

ce_symbol  = S:1
ce_fraction=  0.09705426626917875
species:coords:index
Si1 : [7.87972708 2.71376595 6.01562136] : 21
!!!atention to nb coordination!!!
         [1.6265998141203861]
         [1.6265998141203846]


**isite= 33
O1 : [-2.23888005  3.79714545  8.13841422]

ce_symbol  = TY:3
ce_fraction=  0.7283303811621729
species:coords:index
Lu1 : [-2.55740031  5.83137324  7.26034043] : 1
Si1 : [-1.80731683  2.71376595  7.00445258] : 16
Lu1 : [-1.23255853  4.13837676 10.09975815] : 11
!!!atention to nb coordination!!!
         [2.2384261057565156, 1.6265998141203835, 2.2306931330557687]
         [2.238426105756516, 1.6265998141203843, 2.2306931330557687]

ce_symbol  = TL:3
ce_fraction=  0.1746153525686479
species:coords:index
Lu1 : [-2.55740031  5.83137324  7.26034043] : 1
Si1 : [-1.80731683  2.71376595  7.00445258] : 16
Lu1 : [-1.23255853  4.13837676 10.09975815] : 11
!!!atention to nb coordination!!!
         [2.2384261057565156, 1.6265998141203835, 2.2306931330557687]
         [2.238426105756516, 1.6265998141203843, 2.2306931330557687]

ce_symbol  = S:1
ce_fraction=  0.09705426626917929
species:coords:index
Si1 : [-1.80731683  2.71376595  7.00445258] : 16
!!!atention to nb coordination!!!
         [1.6265998141203835]
         [1.6265998141203843]


**isite= 34
O1 : [0.49158553 2.84935455 3.79838957]

ce_symbol  = TY:3
ce_fraction=  0.7283303811621742
species:coords:index
Si1 : [0.92314876 3.93273405 2.66442793] : 23
Lu1 : [0.17306528 0.81512676 2.92031578] : 2
Lu1 : [1.49790706 2.50812324 5.75973351] : 8
!!!atention to nb coordination!!!
         [1.6265998141203846, 2.238426105756516, 2.2306931330557678]
         [1.6265998141203852, 2.2384261057565156, 2.2306931330557673]

ce_symbol  = TL:3
ce_fraction=  0.17461535256864755
species:coords:index
Si1 : [0.92314876 3.93273405 2.66442793] : 23
Lu1 : [0.17306528 0.81512676 2.92031578] : 2
Lu1 : [1.49790706 2.50812324 5.75973351] : 8
!!!atention to nb coordination!!!
         [1.6265998141203846, 2.238426105756516, 2.2306931330557678]
         [1.6265998141203852, 2.2384261057565156, 2.2306931330557673]

ce_symbol  = S:1
ce_fraction=  0.09705426626917811
species:coords:index
Si1 : [0.92314876 3.93273405 2.66442793] : 23
!!!atention to nb coordination!!!
         [1.6265998141203846]
         [1.6265998141203852]


**isite= 35
O1 : [11.04175589  2.84935455  0.54163508]

ce_symbol  = TY:3
ce_fraction=  0.7283303811621719
species:coords:index
Si1 : [10.61019267  3.93273405  1.67559672] : 18
Lu1 : [11.36027615  0.81512676  1.41970886] : 3
Lu1 : [10.03543437  2.50812324 -1.41970886] : 9
!!!atention to nb coordination!!!
         [1.6265998141203843, 2.2384261057565156, 2.2306931330557678]
         [1.6265998141203843, 2.238426105756515, 2.230693133055768]

ce_symbol  = TL:3
ce_fraction=  0.17461535256864866
species:coords:index
Si1 : [10.61019267  3.93273405  1.67559672] : 18
Lu1 : [11.36027615  0.81512676  1.41970886] : 3
Lu1 : [10.03543437  2.50812324 -1.41970886] : 9
!!!atention to nb coordination!!!
         [1.6265998141203843, 2.2384261057565156, 2.2306931330557678]
         [1.6265998141203843, 2.238426105756515, 2.230693133055768]

ce_symbol  = S:1
ce_fraction=  0.09705426626917943
species:coords:index
Si1 : [10.61019267  3.93273405  1.67559672] : 18


**isite= 36
O1 : [10.71860803  6.0031188   5.23146571]

ce_symbol  = T:4
ce_fraction=  0.974521549449099
species:coords:index
Lu1 : [8.62981056 5.83137324 5.75973351] : 0
Lu1 : [11.7064067   5.83137324  7.26034043] : 1
Lu1 : [12.24655721  5.02521926  4.05340942] : 6
Lu1 : [10.82012565  8.26778074  4.62663987] : 4
!!!atention to nb coordination!!!
         [2.161397294687194, 2.2630897882900944, 2.1630378685916534, 2.3462339700688424]
         [2.1613972946871924, 2.2630897882900944, 2.163037868591655, 2.3462339700688424]

ce_symbol  = SS:4
ce_fraction=  0.025478450550901047
species:coords:index
Lu1 : [8.62981056 5.83137324 5.75973351] : 0
Lu1 : [11.7064067   5.83137324  7.26034043] : 1
Lu1 : [12.24655721  5.02521926  4.05340942] : 6
Lu1 : [10.82012565  8.26778074  4.62663987] : 4
!!!atention to nb coordination!!!
         [2.161397294687194, 2.2630897882900944, 2.1630378685916534, 2.3462339700688424]
         [2.1613972946871924, 2.2630897882900944, 2.163037868591655, 2.3462339700688424]


**isite= 37
O1 : [-4.64619778  6.0031188   7.78860823]

ce_symbol  = T:4
ce_fraction=  0.9745215494490994
species:coords:index
Lu1 : [-4.7477154   8.26778074  8.39343406] : 5
Lu1 : [-2.55740031  5.83137324  7.26034043] : 1
Lu1 : [-5.63399645  5.83137324  5.75973351] : 0
Lu1 : [-6.17414695  5.02521926  8.96666452] : 7
!!!atention to nb coordination!!!
         [2.346233970068843, 2.1613972946871933, 2.263089788290093, 2.163037868591654]
         [2.3462339700688424, 2.1613972946871947, 2.2630897882900936, 2.163037868591652]

ce_symbol  = SS:4
ce_fraction=  0.025478450550900564
species:coords:index
Lu1 : [-4.7477154   8.26778074  8.39343406] : 5
Lu1 : [-2.55740031  5.83137324  7.26034043] : 1
Lu1 : [-5.63399645  5.83137324  5.75973351] : 0
Lu1 : [-6.17414695  5.02521926  8.96666452] : 7
!!!atention to nb coordination!!!
         [2.346233970068843, 2.1613972946871933, 2.263089788290093, 2.163037868591654]
         [2.3462339700688424, 2.1613972946871947, 2.2630897882900936, 2.163037868591652]


**isite= 38
O1 : [-1.91573219  0.6433812   3.44858358]

ce_symbol  = T:4
ce_fraction=  0.9745215494490993
species:coords:index
Lu1 : [-3.44368137  1.62128074  4.62663987] : 4
Lu1 : [-2.90353086  0.81512676  1.41970886] : 3
Lu1 : [-2.01724981 -1.62128074  4.05340942] : 6
Lu1 : [0.17306528 0.81512676 2.92031578] : 2
!!!atention to nb coordination!!!
         [2.163037868591654, 2.2630897882900936, 2.346233970068843, 2.1613972946871938]
         [2.1630378685916534, 2.263089788290094, 2.346233970068843, 2.161397294687194]

ce_symbol  = SS:4
ce_fraction=  0.025478450550900665
species:coords:index
Lu1 : [-3.44368137  1.62128074  4.62663987] : 4
Lu1 : [-2.90353086  0.81512676  1.41970886] : 3
Lu1 : [-2.01724981 -1.62128074  4.05340942] : 6
Lu1 : [0.17306528 0.81512676 2.92031578] : 2
!!!atention to nb coordination!!!
         [2.163037868591654, 2.2630897882900936, 2.346233970068843, 2.1613972946871938]
         [2.1630378685916534, 2.263089788290094, 2.346233970068843, 2.161397294687194]


**isite= 39
O1 : [13.44907362  0.6433812   0.89144106]

ce_symbol  = T:4
ce_fraction=  0.9745215494490991
species:coords:index
Lu1 : [11.36027615  0.81512676  1.41970886] : 3
Lu1 : [13.55059124 -1.62128074  0.28661523] : 7
Lu1 : [14.97702279  1.62128074 -0.28661523] : 5
Lu1 : [14.43687229  0.81512676  2.92031578] : 2
!!!atention to nb coordination!!!
         [2.161397294687194, 2.3462339700688424, 2.1630378685916516, 2.2630897882900953]
         [2.161397294687194, 2.346233970068843, 2.1630378685916534, 2.2630897882900958]

ce_symbol  = SS:4
ce_fraction=  0.025478450550901005
species:coords:index
Lu1 : [11.36027615  0.81512676  1.41970886] : 3
Lu1 : [13.55059124 -1.62128074  0.28661523] : 7
Lu1 : [14.97702279  1.62128074 -0.28661523] : 5
Lu1 : [14.43687229  0.81512676  2.92031578] : 2
!!!atention to nb coordination!!!
         [2.161397294687194, 2.3462339700688424, 2.1630378685916516, 2.2630897882900953]
         [2.161397294687194, 2.346233970068843, 2.1630378685916534, 2.2630897882900958]


**isite= 40
O1 : [11.02405692  3.35714715  3.14304585]

ce_symbol  = S:1
ce_fraction=  0.5253965190534432
species:coords:index
Si1 : [10.61019267  3.93273405  1.67559672] : 18
!!!atention to nb coordination!!!
         [1.6297210961267306]
         [1.6297210961267308]

ce_symbol  = TL:3
ce_fraction=  0.43467771150691753
species:coords:index
Lu1 : [10.82012565  1.62128074  4.62663987] : 4
Lu1 : [12.24655721  5.02521926  4.05340942] : 6
Si1 : [10.61019267  3.93273405  1.67559672] : 18
!!!atention to nb coordination!!!
         [2.2925687269059734, 2.2595869830421647, 1.6297210961267306]
         [2.2925687269059734, 2.259586983042165, 1.6297210961267308]

ce_symbol  = TY:3
ce_fraction=  0.025247176928288675
species:coords:index
Lu1 : [10.82012565  1.62128074  4.62663987] : 4
Lu1 : [12.24655721  5.02521926  4.05340942] : 6
Si1 : [10.61019267  3.93273405  1.67559672] : 18
!!!atention to nb coordination!!!
         [2.2925687269059734, 2.2595869830421647, 1.6297210961267306]
         [2.2925687269059734, 2.259586983042165, 1.6297210961267308]

ce_symbol  = TS:3
ce_fraction=  0.014678082075110285
species:coords:index
Lu1 : [10.82012565  1.62128074  4.62663987] : 4
Lu1 : [12.24655721  5.02521926  4.05340942] : 6
Si1 : [10.61019267  3.93273405  1.67559672] : 18
!!!atention to nb coordination!!!
         [2.2925687269059734, 2.2595869830421647, 1.6297210961267306]
         [2.2925687269059734, 2.259586983042165, 1.6297210961267308]

ce_symbol  = A:2
ce_fraction=  5.104362401993814e-07
species:coords:index
Lu1 : [12.24655721  5.02521926  4.05340942] : 6
Si1 : [10.61019267  3.93273405  1.67559672] : 18
!!!atention to nb coordination!!!
         [2.2595869830421647, 1.6297210961267306]
         [2.259586983042165, 1.6297210961267308]


**isite= 41
O1 : [7.64118802 0.03389715 1.1969788 ]

ce_symbol  = S:1
ce_fraction=  0.525396519053445
species:coords:index
Si1 : [8.05505227 0.60948405 2.66442793] : 19
!!!atention to nb coordination!!!
         [1.6297210961267306]
         [1.6297210961267303]

ce_symbol  = TL:3
ce_fraction=  0.4346777115069162
species:coords:index
Si1 : [8.05505227 0.60948405 2.66442793] : 19
Lu1 : [ 7.84511929 -1.70196926 -0.28661523] : 13
Lu1 : [6.41868773 1.70196926 0.28661523] : 15
!!!atention to nb coordination!!!
         [1.6297210961267306, 2.292568726905973, 2.2595869830421647]
         [1.6297210961267303, 2.292568726905974, 2.2595869830421647]

ce_symbol  = TY:3
ce_fraction=  0.025247176928288158
species:coords:index
Si1 : [8.05505227 0.60948405 2.66442793] : 19
Lu1 : [ 7.84511929 -1.70196926 -0.28661523] : 13
Lu1 : [6.41868773 1.70196926 0.28661523] : 15
!!!atention to nb coordination!!!
         [1.6297210961267306, 2.292568726905973, 2.2595869830421647]
         [1.6297210961267303, 2.292568726905974, 2.2595869830421647]

ce_symbol  = TS:3
ce_fraction=  0.014678082075110491
species:coords:index
Si1 : [8.05505227 0.60948405 2.66442793] : 19
Lu1 : [ 7.84511929 -1.70196926 -0.28661523] : 13
Lu1 : [6.41868773 1.70196926 0.28661523] : 15
!!!atention to nb coordination!!!
         [1.6297210961267306, 2.292568726905973, 2.2595869830421647]
         [1.6297210961267303, 2.292568726905974, 2.2595869830421647]

ce_symbol  = A:2
ce_fraction=  5.104362401995109e-07
species:coords:index
Si1 : [8.05505227 0.60948405 2.66442793] : 19
Lu1 : [6.41868773 1.70196926 0.28661523] : 15
!!!atention to nb coordination!!!
         [1.6297210961267306, 2.2595869830421647]
         [1.6297210961267303, 2.2595869830421647]


**isite= 42
O1 : [-2.22118108  3.28935285  5.53700344]

ce_symbol  = S:1
ce_fraction=  0.525396519053442
species:coords:index
Si1 : [-1.80731683  2.71376595  7.00445258] : 16
!!!atention to nb coordination!!!
         [1.6297210961267317]
         [1.629721096126731]

ce_symbol  = TL:3
ce_fraction=  0.43467771150691875
species:coords:index
Lu1 : [-3.44368137  1.62128074  4.62663987] : 4
Si1 : [-1.80731683  2.71376595  7.00445258] : 16
Lu1 : [-2.01724981  5.02521926  4.05340942] : 6
!!!atention to nb coordination!!!
         [2.2595869830421647, 1.6297210961267317, 2.292568726905973]
         [2.2595869830421647, 1.629721096126731, 2.292568726905974]

ce_symbol  = TY:3
ce_fraction=  0.025247176928288404
species:coords:index
Lu1 : [-3.44368137  1.62128074  4.62663987] : 4
Si1 : [-1.80731683  2.71376595  7.00445258] : 16
Lu1 : [-2.01724981  5.02521926  4.05340942] : 6
!!!atention to nb coordination!!!
         [2.2595869830421647, 1.6297210961267317, 2.292568726905973]
         [2.2595869830421647, 1.629721096126731, 2.292568726905974]

ce_symbol  = TS:3
ce_fraction=  0.014678082075110463
species:coords:index
Lu1 : [-3.44368137  1.62128074  4.62663987] : 4
Si1 : [-1.80731683  2.71376595  7.00445258] : 16
Lu1 : [-2.01724981  5.02521926  4.05340942] : 6
!!!atention to nb coordination!!!
         [2.2595869830421647, 1.6297210961267317, 2.292568726905973]
         [2.2595869830421647, 1.629721096126731, 2.292568726905974]

ce_symbol  = A:2
ce_fraction=  5.10436240199481e-07
species:coords:index
Lu1 : [-3.44368137  1.62128074  4.62663987] : 4
Si1 : [-1.80731683  2.71376595  7.00445258] : 16
!!!atention to nb coordination!!!
         [2.2595869830421647, 1.6297210961267317]
         [2.2595869830421647, 1.629721096126731]


**isite= 43
O1 : [1.16168782 6.61260285 7.48307049]

ce_symbol  = S:1
ce_fraction=  0.5253965190534395
species:coords:index
Si1 : [0.74782358 6.03701595 6.01562136] : 17
!!!atention to nb coordination!!!
         [1.6297210961267303]
         [1.6297210961267317]

ce_symbol  = TL:3
ce_fraction=  0.434677711506921
species:coords:index
Lu1 : [2.38418811 4.94453074 8.39343406] : 13
Lu1 : [0.95775655 8.34846926 8.96666452] : 15
Si1 : [0.74782358 6.03701595 6.01562136] : 17
!!!atention to nb coordination!!!
         [2.2595869830421633, 2.292568726905973, 1.6297210961267303]
         [2.2595869830421638, 2.292568726905973, 1.6297210961267317]

ce_symbol  = TY:3
ce_fraction=  0.025247176928288734
species:coords:index
Lu1 : [2.38418811 4.94453074 8.39343406] : 13
Lu1 : [0.95775655 8.34846926 8.96666452] : 15
Si1 : [0.74782358 6.03701595 6.01562136] : 17
!!!atention to nb coordination!!!
         [2.2595869830421633, 2.292568726905973, 1.6297210961267303]
         [2.2595869830421638, 2.292568726905973, 1.6297210961267317]

ce_symbol  = TS:3
ce_fraction=  0.014678082075110321
species:coords:index
Lu1 : [2.38418811 4.94453074 8.39343406] : 13
Lu1 : [0.95775655 8.34846926 8.96666452] : 15
Si1 : [0.74782358 6.03701595 6.01562136] : 17
!!!atention to nb coordination!!!
         [2.2595869830421633, 2.292568726905973, 1.6297210961267303]
         [2.2595869830421638, 2.292568726905973, 1.6297210961267317]

ce_symbol  = A:2
ce_fraction=  5.104362401996147e-07
species:coords:index
Lu1 : [2.38418811 4.94453074 8.39343406] : 13
Si1 : [0.74782358 6.03701595 6.01562136] : 17
!!!atention to nb coordination!!!
         [2.2595869830421633, 1.6297210961267303]
         [2.2595869830421638, 1.6297210961267317]


**isite= 44
O1 : [6.88601996 5.65816545 7.15843665]

ce_symbol  = TL:3
ce_fraction=  0.811381100310933
species:coords:index
Si1 : [5.32458668 6.03701595 7.00445258] : 20
Lu1 : [8.62981056 5.83137324 5.75973351] : 0
Lu1 : [8.08966006 5.02521926 8.96666452] : 7
!!!atention to nb coordination!!!
         [1.6140981070111644, 2.242136723247929, 2.262533624610423]
         [1.6140981070111644, 2.242136723247931, 2.2625336246104237]

ce_symbol  = S:1
ce_fraction=  0.13716227901759573
species:coords:index
Si1 : [5.32458668 6.03701595 7.00445258] : 20

ce_symbol  = TY:3
ce_fraction=  0.05145661724126012
species:coords:index
Si1 : [5.32458668 6.03701595 7.00445258] : 20
Lu1 : [8.62981056 5.83137324 5.75973351] : 0
Lu1 : [8.08966006 5.02521926 8.96666452] : 7
!!!atention to nb coordination!!!
         [1.6140981070111644, 2.242136723247929, 2.262533624610423]
         [1.6140981070111644, 2.242136723247931, 2.2625336246104237]

ce_symbol  = TS:3
ce_fraction=  3.4302111712249853e-09
species:coords:index
Si1 : [5.32458668 6.03701595 7.00445258] : 20
Lu1 : [8.62981056 5.83137324 5.75973351] : 0
Lu1 : [8.08966006 5.02521926 8.96666452] : 7
!!!atention to nb coordination!!!
         [1.6140981070111644, 2.242136723247929, 2.262533624610423]
         [1.6140981070111644, 2.242136723247931, 2.2625336246104237]


**isite= 45
O1 : [6.3182938  2.33491545 5.86163729]

ce_symbol  = TL:3
ce_fraction=  0.8113811003109322
species:coords:index
Lu1 : [4.5745032  2.50812324 7.26034043] : 9
Lu1 : [5.1146537  1.70196926 4.05340942] : 14
Si1 : [7.87972708 2.71376595 6.01562136] : 21
!!!atention to nb coordination!!!
         [2.242136723247932, 2.262533624610425, 1.6140981070111624]
         [2.242136723247931, 2.2625336246104255, 1.614098107011163]

ce_symbol  = S:1
ce_fraction=  0.13716227901759676
species:coords:index
Si1 : [7.87972708 2.71376595 6.01562136] : 21
!!!atention to nb coordination!!!
         [1.6140981070111624]
         [1.614098107011163]

ce_symbol  = TY:3
ce_fraction=  0.051456617241259814
species:coords:index
Lu1 : [4.5745032  2.50812324 7.26034043] : 9
Lu1 : [5.1146537  1.70196926 4.05340942] : 14
Si1 : [7.87972708 2.71376595 6.01562136] : 21
!!!atention to nb coordination!!!
         [2.242136723247932, 2.262533624610425, 1.6140981070111624]
         [2.242136723247931, 2.2625336246104255, 1.614098107011163]

ce_symbol  = TS:3
ce_fraction=  3.430211171179747e-09
species:coords:index
Lu1 : [4.5745032  2.50812324 7.26034043] : 9
Lu1 : [5.1146537  1.70196926 4.05340942] : 14
Si1 : [7.87972708 2.71376595 6.01562136] : 21
!!!atention to nb coordination!!!
         [2.242136723247932, 2.262533624610425, 1.6140981070111624]
         [2.242136723247931, 2.2625336246104255, 1.614098107011163]


**isite= 46
O1 : [1.91685588 0.98833455 1.52161264]

ce_symbol  = TL:3
ce_fraction=  0.8113811003109365
species:coords:index
Lu1 : [ 0.71321578  1.62128074 -0.28661523] : 5
Si1 : [3.47828916 0.60948405 1.67559672] : 22
Lu1 : [0.17306528 0.81512676 2.92031578] : 2
!!!atention to nb coordination!!!
         [2.2625336246104246, 1.6140981070111637, 2.24213672324793]
         [2.262533624610425, 1.6140981070111646, 2.242136723247929]

ce_symbol  = S:1
ce_fraction=  0.13716227901759287
species:coords:index
Si1 : [3.47828916 0.60948405 1.67559672] : 22
!!!atention to nb coordination!!!
         [1.6140981070111637]
         [1.6140981070111646]

ce_symbol  = TY:3
ce_fraction=  0.05145661724125957
species:coords:index
Lu1 : [ 0.71321578  1.62128074 -0.28661523] : 5
Si1 : [3.47828916 0.60948405 1.67559672] : 22
Lu1 : [0.17306528 0.81512676 2.92031578] : 2
!!!atention to nb coordination!!!
         [2.2625336246104246, 1.6140981070111637, 2.24213672324793]
         [2.262533624610425, 1.6140981070111646, 2.242136723247929]

ce_symbol  = TS:3
ce_fraction=  3.4302111712036623e-09
species:coords:index
Lu1 : [ 0.71321578  1.62128074 -0.28661523] : 5
Si1 : [3.47828916 0.60948405 1.67559672] : 22
Lu1 : [0.17306528 0.81512676 2.92031578] : 2
!!!atention to nb coordination!!!
         [2.2625336246104246, 1.6140981070111637, 2.24213672324793]
         [2.262533624610425, 1.6140981070111646, 2.242136723247929]


**isite= 47
O1 : [2.48458204 4.31158455 2.818412  ]

ce_symbol  = TL:3
ce_fraction=  0.8113811003109374
species:coords:index
Si1 : [0.92314876 3.93273405 2.66442793] : 23
Lu1 : [4.22837264 4.13837676 1.41970886] : 11
