cif name= ./1530637.cif
./1530637.cif
Full Formula (Y16 Mo16 O56)
O1 : [ 7.296036 10.23      0.      ] : 69
O1 : [ 7.6725    7.6725   -0.376464] : 84
O1 : [10.23      7.296036  0.      ] : 63
O1 : [10.23     10.23      2.933964] : 72
O1 : [ 7.6725   10.606464  2.5575  ] : 82
O1 : [7.6725 7.6725 2.5575] : 75
O1 : [10.606464  7.6725    2.5575  ] : 78
O1 : [10.23 10.23  0.  ] : 60
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.4515579762257294, 2.4515579762257302, 2.4515579762257307, 2.45155797622573, 2.2148599701787015, 2.45155797622573, 2.2148599701787024]
         [2.4515579762257302, 2.45155797622573, 2.4515579762257302, 2.4515579762257307, 2.45155797622573, 2.2148599701787015, 2.45155797622573, 2.2148599701787024]

ce_symbol  = BO_1:8
ce_fraction=  0.012502472691880607
species:coords:index
O1 : [ 7.296036 10.23      0.      ] : 69
O1 : [ 7.6725    7.6725   -0.376464] : 84
O1 : [10.23      7.296036  0.      ] : 63
O1 : [10.23     10.23      2.933964] : 72
O1 : [ 7.6725   10.606464  2.5575  ] : 82
O1 : [7.6725 7.6725 2.5575] : 75
O1 : [10.606464  7.6725    2.5575  ] : 78
O1 : [10.23 10.23  0.  ] : 60
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.4515579762257294, 2.4515579762257302, 2.4515579762257307, 2.45155797622573, 2.2148599701787015, 2.45155797622573, 2.2148599701787024]
         [2.4515579762257302, 2.45155797622573, 2.4515579762257302, 2.4515579762257307, 2.45155797622573, 2.2148599701787015, 2.45155797622573, 2.2148599701787024]

ce_symbol  = L:2
ce_fraction=  0.00020209451078026595
species:coords:index
O1 : [7.6725 7.6725 2.5575] : 75
O1 : [10.23 10.23  0.  ] : 60


**isite= 11
Y1 : [8.95125 1.27875 8.95125]

ce_symbol  = C:8
ce_fraction=  0.9292681888674275
species:coords:index
O1 : [10.23      2.933964 10.23    ] : 65
O1 : [ 7.6725    2.5575   10.606464] : 71
O1 : [ 7.296036  0.       10.23    ] : 69
O1 : [10.23      0.        7.296036] : 73
O1 : [ 7.6725   -0.376464  7.6725  ] : 66
O1 : [7.6725 2.5575 7.6725] : 61
O1 : [10.606464  2.5575    7.6725  ] : 64
O1 : [10.23  0.   10.23] : 60
!!!atention to nb coordination!!!
         [2.4515579762257307, 2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.4515579762257294, 2.2148599701787015, 2.45155797622573, 2.2148599701787024]
         [2.4515579762257307, 2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.45155797622573, 2.2148599701787015, 2.45155797622573, 2.2148599701787024]

ce_symbol  = HB:8
ce_fraction=  0.05802724392991183
species:coords:index
O1 : [10.23      2.933964 10.23    ] : 65
O1 : [ 7.6725    2.5575   10.606464] : 71
O1 : [ 7.296036  0.       10.23    ] : 69
O1 : [10.23      0.        7.296036] : 73
O1 : [ 7.6725   -0.376464  7.6725  ] : 66
O1 : [7.6725 2.5575 7.6725] : 61
O1 : [10.606464  2.5575    7.6725  ] : 64
O1 : [10.23  0.   10.23] : 60
!!!atention to nb coordination!!!
         [2.4515579762257307, 2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.4515579762257294, 2.2148599701787015, 2.45155797622573, 2.2148599701787024]
         [2.4515579762257307, 2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.45155797622573, 2.2148599701787015, 2.45155797622573, 2.2148599701787024]

ce_symbol  = BO_1:8
ce_fraction=  0.012502472691880505
species:coords:index
O1 : [10.23      2.933964 10.23    ] : 65
O1 : [ 7.6725    2.5575   10.606464] : 71
O1 : [ 7.296036  0.       10.23    ] : 69
O1 : [10.23      0.        7.296036] : 73
O1 : [ 7.6725   -0.376464  7.6725  ] : 66
O1 : [7.6725 2.5575 7.6725] : 61
O1 : [10.606464  2.5575    7.6725  ] : 64
O1 : [10.23  0.   10.23] : 60
!!!atention to nb coordination!!!
         [2.4515579762257307, 2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.4515579762257294, 2.2148599701787015, 2.45155797622573, 2.2148599701787024]
         [2.4515579762257307, 2.45155797622573, 2.4515579762257302, 2.4515579762257302, 2.45155797622573, 2.2148599701787015, 2.45155797622573, 2.2148599701787024]

ce_symbol  = L:2
ce_fraction=  0.00020209451078025397
species:coords:index
O1 : [7.6725 2.5575 7.6725] : 61
O1 : [10.23  0.   10.23] : 60


**isite= 12
Y1 : [6.39375 6.39375 1.27875]

ce_symbol  = C:8
ce_fraction=  0.929268188867427
species:coords:index
O1 : [4.738536 7.6725   2.5575  ] : 48
O1 : [5.115    8.048964 0.      ] : 51
O1 : [5.115    5.115    2.933964] : 58
O1 : [7.6725 7.6725 2.5575] : 75
O1 : [7.6725   4.738536 2.5575  ] : 80
O1 : [ 7.6725    7.6725   -0.376464] : 84
O1 : [5.115 5.115 0.   ] : 46
O1 : [8.048964 5.115    0.      ] : 81
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.2148599701787015, 2.4515579762257302, 2.4515579762257294, 2.2148599701787024, 2.4515579762257302]
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.2148599701787015, 2.4515579762257302, 2.45155797622573, 2.2148599701787024, 2.4515579762257302]

ce_symbol  = HB:8
ce_fraction=  0.058027243929912216
species:coords:index
O1 : [4.738536 7.6725   2.5575  ] : 48
O1 : [5.115    8.048964 0.      ] : 51
O1 : [5.115    5.115    2.933964] : 58
O1 : [7.6725 7.6725 2.5575] : 75
O1 : [7.6725   4.738536 2.5575  ] : 80
O1 : [ 7.6725    7.6725   -0.376464] : 84
O1 : [5.115 5.115 0.   ] : 46
O1 : [8.048964 5.115    0.      ] : 81
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.2148599701787015, 2.4515579762257302, 2.4515579762257294, 2.2148599701787024, 2.4515579762257302]
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.2148599701787015, 2.4515579762257302, 2.45155797622573, 2.2148599701787024, 2.4515579762257302]

ce_symbol  = BO_1:8
ce_fraction=  0.012502472691880566
species:coords:index
O1 : [4.738536 7.6725   2.5575  ] : 48
O1 : [5.115    8.048964 0.      ] : 51
O1 : [5.115    5.115    2.933964] : 58
O1 : [7.6725 7.6725 2.5575] : 75
O1 : [7.6725   4.738536 2.5575  ] : 80
O1 : [ 7.6725    7.6725   -0.376464] : 84
O1 : [5.115 5.115 0.   ] : 46
O1 : [8.048964 5.115    0.      ] : 81
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.2148599701787015, 2.4515579762257302, 2.4515579762257294, 2.2148599701787024, 2.4515579762257302]
         [2.4515579762257302, 2.4515579762257302, 2.4515579762257307, 2.2148599701787015, 2.4515579762257302, 2.45155797622573, 2.2148599701787024, 2.4515579762257302]

ce_symbol  = L:2
ce_fraction=  0.00020209451078027666
species:coords:index
O1 : [7.6725 7.6725 2.5575] : 75
O1 : [5.115 5.115 0.   ] : 46


**isite= 13
Y1 : [6.39375 8.95125 3.83625]

ce_symbol  = C:8
ce_fraction=  0.9292681888674273
species:coords:index
O1 : [7.6725   7.6725   5.491464] : 85
O1 : [7.6725 7.6725 2.5575] : 75
O1 : [ 8.048964 10.23      5.115   ] : 67
O1 : [ 5.115 10.23   5.115] : 32
O1 : [5.115    7.296036 5.115   ] : 35
O1 : [4.738536 7.6725   2.5575  ] : 48
O1 : [ 7.6725   10.606464  2.5575  ] : 82
O1 : [ 5.115    10.23      2.181036] : 45

ce_symbol  = HB:8
ce_fraction=  0.05802724392991199
species:coords:index
O1 : [7.6725   7.6725   5.491464] : 85
O1 : [7.6725 7.6725 2.5575] : 75
O1 : [ 8.048964 10.23      5.115   ] : 67
O1 : [ 5.115 10.23   5.115] : 32
O1 : [5.115    7.296036 5.115   ] : 35
O1 : [4.738536 7.6725   2.5575  ] : 48
O1 : [ 7.6725   10.606464  2.5575  ] : 82
O1 : [ 5.115    10.23      2.181036] : 45

ce_symbol  = BO_1:8
ce_fraction=  0.012502472691880553
species:coords:index
O1 : [7.6725   7.6725   5.491464] : 85
O1 : [7.6725 7.6725 2.5575] : 75
O1 : [ 8.048964 10.23      5.115   ] : 67
O1 : [ 5.115 10.23   5.115] : 32
O1 : [5.115    7.296036 5.115   ] : 35
O1 : [4.738536 7.6725   2.5575  ] : 48
O1 : [ 7.6725   10.606464  2.5575  ] : 82
O1 : [ 5.115    10.23      2.181036] : 45

ce_symbol  = L:2
ce_fraction=  0.00020209451078026465
species:coords:index
O1 : [7.6725 7.6725 2.5575] : 75
O1 : [ 5.115 10.23   5.115] : 32


**isite= 14
Y1 : [8.95125 3.83625 6.39375]

ce_symbol  = C:8
ce_fraction=  0.9292681888674272
species:coords:index
O1 : [10.23      5.115     8.048964] : 86
O1 : [7.6725   5.491464 7.6725  ] : 68
O1 : [10.606464  2.5575    7.6725  ] : 64
O1 : [7.6725 2.5575 7.6725] : 61
O1 : [10.23      2.181036  5.115   ] : 77
O1 : [10.23   5.115  5.115] : 74
O1 : [7.296036 5.115    5.115   ] : 83
O1 : [7.6725   2.5575   4.738536] : 70

ce_symbol  = HB:8
ce_fraction=  0.05802724392991204
species:coords:index
O1 : [10.23      5.115     8.048964] : 86
O1 : [7.6725   5.491464 7.6725  ] : 68
O1 : [10.606464  2.5575    7.6725  ] : 64
O1 : [7.6725 2.5575 7.6725] : 61
O1 : [10.23      2.181036  5.115   ] : 77
O1 : [10.23   5.115  5.115] : 74
O1 : [7.296036 5.115    5.115   ] : 83
O1 : [7.6725   2.5575   4.738536] : 70

ce_symbol  = BO_1:8
ce_fraction=  0.012502472691880553
species:coords:index
O1 : [10.23      5.115     8.048964] : 86
O1 : [7.6725   5.491464 7.6725  ] : 68
O1 : [10.606464  2.5575    7.6725  ] : 64
O1 : [7.6725 2.5575 7.6725] : 61
O1 : [10.23      2.181036  5.115   ] : 77
O1 : [10.23   5.115  5.115] : 74
O1 : [7.296036 5.115    5.115   ] : 83
O1 : [7.6725   2.5575   4.738536] : 70

ce_symbol  = L:2
ce_fraction=  0.00020209451078027002
species:coords:index
O1 : [7.6725 2.5575 7.6725] : 61
O1 : [10.23   5.115  5.115] : 74


**isite= 15
Y1 : [8.95125 6.39375 3.83625]

ce_symbol  = C:8
ce_fraction=  0.929268188867427
species:coords:index
O1 : [7.6725   7.6725   5.491464] : 85
O1 : [7.296036 5.115    5.115   ] : 83
O1 : [10.23      8.048964  5.115   ] : 79
O1 : [10.23   5.115  5.115] : 74
O1 : [7.6725   4.738536 2.5575  ] : 80
O1 : [10.23      5.115     2.181036] : 87
O1 : [10.606464  7.6725    2.5575  ] : 78
O1 : [7.6725 7.6725 2.5575] : 75

ce_symbol  = HB:8
ce_fraction=  0.05802724392991217
species:coords:index
O1 : [7.6725   7.6725   5.491464] : 85
O1 : [7.296036 5.115    5.115   ] : 83
O1 : [10.23      8.048964  5.115   ] : 79
O1 : [10.23   5.115  5.115] : 74
O1 : [7.6725   4.738536 2.5575  ] : 80
O1 : [10.23      5.115     2.181036] : 87
O1 : [10.606464  7.6725    2.5575  ] : 78
O1 : [7.6725 7.6725 2.5575] : 75

ce_symbol  = BO_1:8
ce_fraction=  0.012502472691880566
species:coords:index
O1 : [7.6725   7.6725   5.491464] : 85
O1 : [7.296036 5.115    5.115   ] : 83
O1 : [10.23      8.048964  5.115   ] : 79
O1 : [10.23   5.115  5.115] : 74
O1 : [7.6725   4.738536 2.5575  ] : 80
O1 : [10.23      5.115     2.181036] : 87
O1 : [10.606464  7.6725    2.5575  ] : 78
O1 : [7.6725 7.6725 2.5575] : 75

ce_symbol  = L:2
ce_fraction=  0.0002020945107802753
species:coords:index
O1 : [10.23   5.115  5.115] : 74
O1 : [7.6725 7.6725 2.5575] : 75


**isite= 16
Mo1 : [1.27875 1.27875 6.39375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.376464 2.5575   7.6725  ] : 64
O1 : [0.       0.       7.296036] : 73
O1 : [0.       2.181036 5.115   ] : 77
O1 : [2.5575   2.5575   5.491464] : 43
O1 : [2.5575   0.376464 7.6725  ] : 54
O1 : [2.181036 0.       5.115   ] : 41


**isite= 17
Mo1 : [1.27875 8.95125 3.83625]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.376464 7.6725   2.5575  ] : 78
O1 : [2.5575   9.853536 2.5575  ] : 38
O1 : [ 0.       10.23      2.933964] : 72
O1 : [2.5575   7.6725   4.738536] : 56
O1 : [0.       8.048964 5.115   ] : 79
O1 : [ 2.181036 10.23      5.115   ] : 41


**isite= 18
Mo1 : [3.83625 3.83625 6.39375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.5575   4.738536 7.6725  ] : 52
O1 : [2.933964 5.115    5.115   ] : 53
O1 : [2.5575   2.5575   5.491464] : 43
O1 : [4.738536 2.5575   7.6725  ] : 34
O1 : [5.115    5.115    7.296036] : 59
O1 : [5.115    2.933964 5.115   ] : 37


**isite= 19
Mo1 : [3.83625 1.27875 8.95125]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 2.933964  0.       10.23    ] : 39
O1 : [2.5575   0.376464 7.6725  ] : 54
O1 : [2.5575   2.5575   9.853536] : 42
O1 : [ 5.115     2.181036 10.23    ] : 49
O1 : [5.115    0.       8.048964] : 44
O1 : [4.738536 2.5575   7.6725  ] : 34


**isite= 20
Mo1 : [1.27875 6.39375 1.27875]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.5575   5.491464 2.5575  ] : 40
O1 : [0.       7.296036 0.      ] : 63
O1 : [2.181036 5.115    0.      ] : 55
O1 : [2.5575   7.6725   0.376464] : 57
O1 : [0.       5.115    2.181036] : 87
O1 : [0.376464 7.6725   2.5575  ] : 78


**isite= 21
Mo1 : [1.27875 3.83625 8.95125]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.5575   4.738536 7.6725  ] : 52
O1 : [0.376464 2.5575   7.6725  ] : 64
O1 : [0.       5.115    8.048964] : 86
O1 : [2.5575   2.5575   9.853536] : 42
O1 : [ 2.181036  5.115    10.23    ] : 55
O1 : [ 0.        2.933964 10.23    ] : 65


**isite= 22
Mo1 : [3.83625 8.95125 1.27875]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [5.115    8.048964 0.      ] : 51
O1 : [4.738536 7.6725   2.5575  ] : 48
O1 : [2.5575   9.853536 2.5575  ] : 38
O1 : [2.5575   7.6725   0.376464] : 57
O1 : [ 5.115    10.23      2.181036] : 45
O1 : [ 2.933964 10.23      0.      ] : 39


**isite= 23
Mo1 : [3.83625 6.39375 3.83625]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.5575   5.491464 2.5575  ] : 40
O1 : [2.933964 5.115    5.115   ] : 53
O1 : [2.5575   7.6725   4.738536] : 56
O1 : [5.115    7.296036 5.115   ] : 35
O1 : [4.738536 7.6725   2.5575  ] : 48
O1 : [5.115    5.115    2.933964] : 58


**isite= 24
Mo1 : [6.39375 1.27875 1.27875]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [5.115    2.181036 0.      ] : 49
O1 : [7.6725   2.5575   0.376464] : 71
O1 : [7.296036 0.       0.      ] : 69
O1 : [5.491464 2.5575   2.5575  ] : 36
O1 : [7.6725   0.376464 2.5575  ] : 82
O1 : [5.115    0.       2.181036] : 45


**isite= 25
Mo1 : [6.39375 8.95125 8.95125]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 5.115     8.048964 10.23    ] : 51
O1 : [7.6725   9.853536 7.6725  ] : 66
O1 : [ 5.115    10.23      8.048964] : 44
O1 : [ 7.296036 10.23     10.23    ] : 69
O1 : [5.491464 7.6725   7.6725  ] : 50
O1 : [7.6725   7.6725   9.853536] : 84


**isite= 26
Mo1 : [8.95125 3.83625 1.27875]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [7.6725   4.738536 2.5575  ] : 80
O1 : [8.048964 5.115    0.      ] : 81
O1 : [7.6725   2.5575   0.376464] : 71
O1 : [9.853536 2.5575   2.5575  ] : 62
O1 : [10.23      2.933964  0.      ] : 65
O1 : [10.23      5.115     2.181036] : 87


**isite= 27
Mo1 : [8.95125 1.27875 3.83625]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [8.048964 0.       5.115   ] : 67
O1 : [10.23      2.181036  5.115   ] : 77
O1 : [10.23      0.        2.933964] : 72
O1 : [7.6725   0.376464 2.5575  ] : 82
O1 : [7.6725   2.5575   4.738536] : 70
O1 : [9.853536 2.5575   2.5575  ] : 62


**isite= 28
Mo1 : [6.39375 6.39375 6.39375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [7.6725   7.6725   5.491464] : 85
O1 : [7.296036 5.115    5.115   ] : 83
O1 : [5.115    5.115    7.296036] : 59
O1 : [5.115    7.296036 5.115   ] : 35
O1 : [7.6725   5.491464 7.6725  ] : 68
O1 : [5.491464 7.6725   7.6725  ] : 50


**isite= 29
Mo1 : [6.39375 3.83625 3.83625]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [5.115    2.933964 5.115   ] : 37
O1 : [5.491464 2.5575   2.5575  ] : 36
O1 : [5.115    5.115    2.933964] : 58
O1 : [7.296036 5.115    5.115   ] : 83
O1 : [7.6725   4.738536 2.5575  ] : 80
O1 : [7.6725   2.5575   4.738536] : 70


**isite= 30
Mo1 : [8.95125 8.95125 6.39375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [ 8.048964 10.23      5.115   ] : 67
O1 : [10.23      8.048964  5.115   ] : 79
O1 : [10.23     10.23      7.296036] : 73
O1 : [9.853536 7.6725   7.6725  ] : 76
O1 : [7.6725   9.853536 7.6725  ] : 66
O1 : [7.6725   7.6725   5.491464] : 85


**isite= 31
Mo1 : [8.95125 6.39375 8.95125]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [10.23      5.115     8.048964] : 86
O1 : [10.23      7.296036 10.23    ] : 63
O1 : [ 8.048964  5.115    10.23    ] : 81
O1 : [7.6725   5.491464 7.6725  ] : 68
O1 : [9.853536 7.6725   7.6725  ] : 76
O1 : [7.6725   7.6725   9.853536] : 84


**isite= 32
O1 : [5.115 0.    5.115]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [ 6.39375 -1.27875  3.83625] : 13
Y1 : [ 3.83625 -1.27875  6.39375] : 2
Y1 : [6.39375 1.27875 6.39375] : 8
Y1 : [3.83625 1.27875 3.83625] : 3


**isite= 33
O1 : [2.5575 2.5575 2.5575]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [3.83625 1.27875 3.83625] : 3
Y1 : [1.27875 1.27875 1.27875] : 0
Y1 : [3.83625 3.83625 1.27875] : 6
Y1 : [1.27875 3.83625 3.83625] : 1


**isite= 34
O1 : [4.738536 2.5575   7.6725  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [3.83625 3.83625 6.39375] : 18
Y1 : [6.39375 3.83625 8.95125] : 9
Y1 : [6.39375 1.27875 6.39375] : 8
Mo1 : [3.83625 1.27875 8.95125] : 19


**isite= 35
O1 : [5.115    7.296036 5.115   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [6.39375 6.39375 6.39375] : 28
Y1 : [6.39375 8.95125 3.83625] : 13
Mo1 : [3.83625 6.39375 3.83625] : 23
Y1 : [3.83625 8.95125 6.39375] : 2


**isite= 36
O1 : [5.491464 2.5575   2.5575  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [6.39375 1.27875 1.27875] : 24
Mo1 : [6.39375 3.83625 3.83625] : 29
Y1 : [3.83625 1.27875 3.83625] : 3
Y1 : [3.83625 3.83625 1.27875] : 6


**isite= 37
O1 : [5.115    2.933964 5.115   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [3.83625 3.83625 6.39375] : 18
Y1 : [3.83625 1.27875 3.83625] : 3
Mo1 : [6.39375 3.83625 3.83625] : 29
Y1 : [6.39375 1.27875 6.39375] : 8


**isite= 38
O1 : [2.5575   9.853536 2.5575  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [ 3.83625 11.50875  3.83625] : 3
Mo1 : [1.27875 8.95125 3.83625] : 17
Y1 : [ 1.27875 11.50875  1.27875] : 0
Mo1 : [3.83625 8.95125 1.27875] : 22


**isite= 39
O1 : [2.933964 0.       0.      ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [1.27875 1.27875 1.27875] : 0
Mo1 : [ 3.83625  1.27875 -1.27875] : 19
Mo1 : [ 3.83625 -1.27875  1.27875] : 22
Y1 : [ 1.27875 -1.27875 -1.27875] : 5
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.0210203241917193, 2.0210203241917193, 2.4515579762257307]
         [2.4515579762257302, 2.0210203241917193, 2.0210203241917193, 2.4515579762257302]


**isite= 40
O1 : [2.5575   5.491464 2.5575  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [3.83625 6.39375 3.83625] : 23
Mo1 : [1.27875 6.39375 1.27875] : 20
Y1 : [3.83625 3.83625 1.27875] : 6
Y1 : [1.27875 3.83625 3.83625] : 1


**isite= 41
O1 : [2.181036 0.       5.115   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [1.27875 1.27875 6.39375] : 16
Y1 : [3.83625 1.27875 3.83625] : 3
Y1 : [ 3.83625 -1.27875  6.39375] : 2
Mo1 : [ 1.27875 -1.27875  3.83625] : 17


**isite= 42
O1 : [2.5575   2.5575   9.853536]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [ 1.27875  1.27875 11.50875] : 0
Y1 : [ 3.83625  3.83625 11.50875] : 6
Mo1 : [1.27875 3.83625 8.95125] : 21
Mo1 : [3.83625 1.27875 8.95125] : 19


**isite= 43
O1 : [2.5575   2.5575   5.491464]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [1.27875 1.27875 6.39375] : 16
Y1 : [1.27875 3.83625 3.83625] : 1
Mo1 : [3.83625 3.83625 6.39375] : 18
Y1 : [3.83625 1.27875 3.83625] : 3


**isite= 44
O1 : [5.115    0.       8.048964]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [6.39375 1.27875 6.39375] : 8
Mo1 : [ 6.39375 -1.27875  8.95125] : 25
Y1 : [ 3.83625 -1.27875  6.39375] : 2
Mo1 : [3.83625 1.27875 8.95125] : 19
!!!atention to nb coordination!!!
         [2.4515579762257302, 2.0210203241917197, 2.4515579762257302, 2.021020324191719]
         [2.4515579762257302, 2.0210203241917193, 2.45155797622573, 2.021020324191719]


**isite= 45
O1 : [5.115    0.       2.181036]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [3.83625 1.27875 3.83625] : 3
Mo1 : [6.39375 1.27875 1.27875] : 24
Mo1 : [ 3.83625 -1.27875  1.27875] : 22
Y1 : [ 6.39375 -1.27875  3.83625] : 13


**isite= 46
O1 : [5.115 5.115 0.   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [ 3.83625  6.39375 -1.27875] : 7
Y1 : [3.83625 3.83625 1.27875] : 6
Y1 : [6.39375 6.39375 1.27875] : 12
Y1 : [ 6.39375  3.83625 -1.27875] : 9


**isite= 47
O1 : [2.5575 7.6725 7.6725]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [3.83625 8.95125 6.39375] : 2
Y1 : [1.27875 8.95125 8.95125] : 5
Y1 : [3.83625 6.39375 8.95125] : 7
Y1 : [1.27875 6.39375 6.39375] : 4


**isite= 48
O1 : [4.738536 7.6725   2.5575  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [3.83625 8.95125 1.27875] : 22
Y1 : [6.39375 8.95125 3.83625] : 13
Y1 : [6.39375 6.39375 1.27875] : 12
Mo1 : [3.83625 6.39375 3.83625] : 23


**isite= 49
O1 : [5.115    2.181036 0.      ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [3.83625 3.83625 1.27875] : 6
Mo1 : [ 3.83625  1.27875 -1.27875] : 19
Y1 : [ 6.39375  3.83625 -1.27875] : 9
Mo1 : [6.39375 1.27875 1.27875] : 24


**isite= 50
O1 : [5.491464 7.6725   7.6725  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [3.83625 6.39375 8.95125] : 7
Mo1 : [6.39375 6.39375 6.39375] : 28
Y1 : [3.83625 8.95125 6.39375] : 2
Mo1 : [6.39375 8.95125 8.95125] : 25


**isite= 51
O1 : [5.115    8.048964 0.      ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [ 6.39375  8.95125 -1.27875] : 25
Y1 : [6.39375 6.39375 1.27875] : 12
Mo1 : [3.83625 8.95125 1.27875] : 22
Y1 : [ 3.83625  6.39375 -1.27875] : 7
!!!atention to nb coordination!!!
         [2.0210203241917197, 2.4515579762257302, 2.021020324191719, 2.4515579762257302]
         [2.0210203241917193, 2.4515579762257302, 2.021020324191719, 2.45155797622573]


**isite= 52
O1 : [2.5575   4.738536 7.6725  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [3.83625 3.83625 6.39375] : 18
Mo1 : [1.27875 3.83625 8.95125] : 21
Y1 : [3.83625 6.39375 8.95125] : 7
Y1 : [1.27875 6.39375 6.39375] : 4


**isite= 53
O1 : [2.933964 5.115    5.115   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [1.27875 6.39375 6.39375] : 4
Mo1 : [3.83625 6.39375 3.83625] : 23
Y1 : [1.27875 3.83625 3.83625] : 1
Mo1 : [3.83625 3.83625 6.39375] : 18


**isite= 54
O1 : [2.5575   0.376464 7.6725  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Y1 : [ 1.27875 -1.27875  8.95125] : 5
Y1 : [ 3.83625 -1.27875  6.39375] : 2
Mo1 : [3.83625 1.27875 8.95125] : 19
Mo1 : [1.27875 1.27875 6.39375] : 16


**isite= 55
O1 : [2.181036 5.115    0.      ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [1.27875 6.39375 1.27875] : 20
Y1 : [3.83625 3.83625 1.27875] : 6
Mo1 : [ 1.27875  3.83625 -1.27875] : 21
Y1 : [ 3.83625  6.39375 -1.27875] : 7


**isite= 56
O1 : [2.5575   7.6725   4.738536]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mo1 : [3.83625 6.39375 3.83625] : 23
Y1 : [3.83625 8.95125 6.39375] : 2
Mo1 : [1.27875 8.95125 3.83625] : 17
Y1 : [1.27875 6.39375 6.39375] : 4
!!!atention to nb coordination!!!
         [2.021020324191719, 2.4515579762257307, 2.021020324191719, 2.4515579762257307]
         [2.021020324191719, 2.4515579762257302, 2.021020324191719, 2.4515579762257302]


**isite= 57
O1 : [2.5575   7.6725   0.376464]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
