cif name= ./7209493.cif
./7209493.cif
Full Formula (Ho16 B24 O60)
         [1.443109371516693, 1.491619192473993]
         [1.4431093715166938, 1.4916191924739928]


**isite= 60
O1 : [8.15198502 0.89165972 0.93483023]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [9.61700165 0.84319046 0.47489376] : 16
B1 : [ 7.84509835  1.34010954 -0.47489376] : 18
!!!atention to nb coordination!!!
         [1.5362827047918826, 1.510830365987342]
         [1.5362827047918808, 1.510830365987345]


**isite= 61
O1 : [8.21094938 3.07495972 8.41347209]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [8.51783604 3.52340954 9.82319608] : 19
B1 : [6.74593275 3.02649046 8.87340856] : 17
!!!atention to nb coordination!!!
         [1.5108303659873474, 1.536282704791881]
         [1.5108303659873457, 1.536282704791881]


**isite= 62
O1 : [ 7.11178377  1.29164028 17.76177441]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 5.64676714  1.34010954 18.22171088] : 18
B1 : [ 7.41867044  0.84319046 19.1714984 ] : 16
!!!atention to nb coordination!!!
         [1.5362827047918806, 1.510830365987344]
         [1.5362827047918794, 1.5108303659873439]


**isite= 63
O1 : [ 7.05281941  3.47494028 10.28313255]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [6.74593275 3.02649046 8.87340856] : 17
B1 : [8.51783604 3.52340954 9.82319608] : 19
!!!atention to nb coordination!!!
         [1.5108303659873454, 1.5362827047918812]
         [1.5108303659873454, 1.536282704791882]


**isite= 64
O1 : [ 5.15259241  2.70685534 18.3058456 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 4.94655166  3.4758136  17.06813038] : 24
B1 : [ 5.64676714  1.34010954 18.22171088] : 18
!!!atention to nb coordination!!!
         [1.4716278678353332, 1.4557751877559084]
         [1.4716278678353358, 1.4557751877559089]


**isite= 65
O1 : [9.01201077 0.52355534 9.73906136]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 8.51783604 -0.84319046  9.82319608] : 19
B1 : [ 9.21805153  1.2925136  10.97677658] : 25
!!!atention to nb coordination!!!
         [1.4557751877559075, 1.471627867835336]
         [1.4557751877559073, 1.471627867835336]


**isite= 66
O1 : [10.11117638  3.84304466  0.39075904]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [10.31721713  3.0740864   1.62847426] : 26
B1 : [9.61700165 5.20979046 0.47489376] : 16
!!!atention to nb coordination!!!
         [1.4716278678353372, 1.4557751877559078]
         [1.471627867835337, 1.4557751877559082]


**isite= 67
O1 : [6.25175802 1.65974466 8.95754328]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [6.04571726 0.8907864  7.71982806] : 27
B1 : [6.74593275 3.02649046 8.87340856] : 17
!!!atention to nb coordination!!!
         [1.4716278678353352, 1.4557751877559082]
         [1.4716278678353358, 1.4557751877559082]


**isite= 68
O1 : [-0.5495828   3.7902088   4.67415116]

ce_symbol  = A:2
ce_fraction=  0.9997324528874352
species:coords:index
B1 : [0.36193133 3.16884162 3.63461994] : 33
B1 : [-1.46109694  3.16884162  5.71368238] : 20
!!!atention to nb coordination!!!
         [1.5157771420363613, 1.5157771420363613]
         [1.5157771420363617, 1.515777142036362]

ce_symbol  = L:2
ce_fraction=  0.00026754711256480175
species:coords:index
B1 : [0.36193133 3.16884162 3.63461994] : 33
B1 : [-1.46109694  3.16884162  5.71368238] : 20
!!!atention to nb coordination!!!
         [1.5157771420363613, 1.5157771420363613]
         [1.5157771420363617, 1.515777142036362]


**isite= 69
O1 : [-1.64874841  0.5763912  14.02245348]

ce_symbol  = A:2
ce_fraction=  0.9997324528874352
species:coords:index
B1 : [-0.73723427  1.19775838 12.98292226] : 34
B1 : [-2.56026254  1.19775838 15.0619847 ] : 23
!!!atention to nb coordination!!!
         [1.5157771420363626, 1.515777142036361]
         [1.5157771420363626, 1.5157771420363617]

ce_symbol  = L:2
ce_fraction=  0.0002675471125647989
species:coords:index
B1 : [-0.73723427  1.19775838 12.98292226] : 34
B1 : [-2.56026254  1.19775838 15.0619847 ] : 23
!!!atention to nb coordination!!!
         [1.5157771420363626, 1.515777142036361]
         [1.5157771420363626, 1.5157771420363617]


**isite= 70
O1 : [4.40955604 3.93779988 5.66507121]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [4.35960306 5.35214162 5.71368238] : 32


**isite= 71
O1 : [0.31197835 1.75449988 3.68323111]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [0.36193133 3.16884162 3.63461994] : 33


**isite= 72
O1 : [-0.78718725  2.61210012 13.03153343]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [-0.73723427  1.19775838 12.98292226] : 34


**isite= 73
O1 : [ 3.31039044  0.42880012 15.01337353]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [ 3.26043746 -0.98554162 15.0619847 ] : 35


**isite= 74
O1 : [1.66045747 3.79370208 3.80849837]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [0.36193133 3.16884162 3.63461994] : 33
!!!atention to nb coordination!!!
         [1.451500753052469]
         [1.4515007530524688]


**isite= 75
O1 : [3.06107692 1.61040208 5.53980395]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [4.35960306 0.98554162 5.71368238] : 32


**isite= 76
O1 : [ 1.96191132  2.75619792 14.88810627]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [ 3.26043746  3.38105838 15.0619847 ] : 35


**isite= 77
O1 : [ 0.56129187  0.57289792 13.15680068]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [-0.73723427  1.19775838 12.98292226] : 34
!!!atention to nb coordination!!!
         [1.451500753052469]
         [1.4515007530524688]


**isite= 78
O1 : [-0.10556659  3.59982504  2.26415882]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [0.36193133 3.16884162 3.63461994] : 33
B1 : [-1.32418287  3.0740864   1.62847426] : 26
!!!atention to nb coordination!!!
         [1.5107828094514817, 1.4715711364531523]
         [1.5107828094514812, 1.471571136453154]


**isite= 79
O1 : [4.82710098 1.41652504 7.0841435 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [6.04571726 0.8907864  7.71982806] : 27
B1 : [4.35960306 0.98554162 5.71368238] : 32
!!!atention to nb coordination!!!
         [1.4715711364531554, 1.5107828094514797]
         [1.4715711364531545, 1.5107828094514806]


**isite= 80
O1 : [ 3.72793538  2.95007496 16.43244582]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 3.26043746  3.38105838 15.0619847 ] : 35
B1 : [ 4.94655166  3.4758136  17.06813038] : 24
!!!atention to nb coordination!!!
         [1.5107828094514775, 1.4715711364531565]
         [1.510782809451479, 1.471571136453155]


**isite= 81
O1 : [-1.20473219  0.76677496 11.61246114]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [-0.73723427  1.19775838 12.98292226] : 34
B1 : [-2.42334847  1.2925136  10.97677658] : 25
!!!atention to nb coordination!!!
         [1.5107828094514804, 1.4715711364531545]
         [1.5107828094514806, 1.471571136453154]


**isite= 82
O1 : [3.41080651 1.04405406 2.59508872]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [4.49651713 0.8907864  1.62847426] : 38


**isite= 83
O1 : [1.31072789 3.22735406 6.7532136 ]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [0.22501726 3.0740864  7.71982806] : 39
!!!atention to nb coordination!!!
         [1.4617120262710261]
         [1.4617120262710257]


**isite= 84
O1 : [ 0.21156228  1.13924594 16.10151592]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [-0.87414834  1.2925136  17.06813038] : 36
!!!atention to nb coordination!!!
         [1.4617120262710277]
         [1.4617120262710253]


**isite= 85
O1 : [ 2.3116409   3.32254594 11.94339104]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
B1 : [ 3.39735153  3.4758136  10.97677658] : 37


**isite= 86
O1 : [4.68072526 3.8142251  1.29941402]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [3.79630165 3.02649046 0.47489376] : 28
B1 : [4.49651713 5.2573864  1.62847426] : 38


**isite= 87
O1 : [0.04080913 1.6309251  8.0488883 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [0.22501726 3.0740864  7.71982806] : 39
B1 : [0.92523275 0.84319046 8.87340856] : 29
!!!atention to nb coordination!!!
         [1.4916191924739926, 1.4431093715166972]
         [1.4916191924739928, 1.443109371516697]


**isite= 88
O1 : [-1.05835647  2.7356749  17.39719062]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [-0.17393286  3.52340954 18.22171088] : 30
B1 : [-0.87414834  1.2925136  17.06813038] : 36
!!!atention to nb coordination!!!
         [1.4431093715166998, 1.4916191924739917]
         [1.4431093715166978, 1.4916191924739926]


**isite= 89
O1 : [ 3.58155966  0.5523749  10.64771634]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [2.69713604 1.34010954 9.82319608] : 31
B1 : [ 3.39735153 -0.8907864  10.97677658] : 37
!!!atention to nb coordination!!!
         [1.4431093715166958, 1.4916191924739923]
         [1.443109371516697, 1.491619192473993]


**isite= 90
O1 : [2.33128502 3.07495972 0.93483023]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [3.79630165 3.02649046 0.47489376] : 28
B1 : [ 2.02439835  3.52340954 -0.47489376] : 30
!!!atention to nb coordination!!!
         [1.5362827047918803, 1.5108303659873417]
         [1.5362827047918803, 1.5108303659873443]


**isite= 91
O1 : [2.39024938 0.89165972 8.41347209]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [0.92523275 0.84319046 8.87340856] : 29
B1 : [2.69713604 1.34010954 9.82319608] : 31
!!!atention to nb coordination!!!
         [1.5362827047918808, 1.5108303659873463]
         [1.536282704791881, 1.5108303659873448]


**isite= 92
O1 : [ 1.29108377  3.47494028 17.76177441]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 1.59797044  3.02649046 19.1714984 ] : 28
B1 : [-0.17393286  3.52340954 18.22171088] : 30
!!!atention to nb coordination!!!
         [1.510830365987343, 1.5362827047918814]
         [1.5108303659873432, 1.5362827047918803]


**isite= 93
O1 : [ 1.23211941  1.29164028 10.28313255]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [0.92523275 0.84319046 8.87340856] : 29
B1 : [2.69713604 1.34010954 9.82319608] : 31
!!!atention to nb coordination!!!
         [1.5108303659873448, 1.5362827047918803]
         [1.5108303659873448, 1.5362827047918808]


**isite= 94
O1 : [-0.66810759  0.52355534 18.3058456 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [-0.87414834  1.2925136  17.06813038] : 36
B1 : [-0.17393286 -0.84319046 18.22171088] : 30
!!!atention to nb coordination!!!
         [1.4716278678353332, 1.4557751877559082]
         [1.471627867835336, 1.4557751877559086]


**isite= 95
O1 : [3.19131077 2.70685534 9.73906136]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [2.69713604 1.34010954 9.82319608] : 31
B1 : [ 3.39735153  3.4758136  10.97677658] : 37
!!!atention to nb coordination!!!
         [1.4557751877559089, 1.4716278678353363]
         [1.4557751877559089, 1.471627867835336]


**isite= 96
O1 : [4.29047638 1.65974466 0.39075904]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [3.79630165 3.02649046 0.47489376] : 28
B1 : [4.49651713 0.8907864  1.62847426] : 38


**isite= 97
O1 : [0.43105802 3.84304466 8.95754328]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [0.92523275 5.20979046 8.87340856] : 29
B1 : [0.22501726 3.0740864  7.71982806] : 39
!!!atention to nb coordination!!!
         [1.4557751877559097, 1.4716278678353352]
         [1.4557751877559095, 1.4716278678353358]


**isite= 98
O1 : [5.2711172  1.6069088  4.67415116]

ce_symbol  = A:2
ce_fraction=  0.9997324528874352
species:coords:index
B1 : [6.18263133 0.98554162 3.63461994] : 21
B1 : [4.35960306 0.98554162 5.71368238] : 32
!!!atention to nb coordination!!!
         [1.5157771420363617, 1.515777142036363]
         [1.5157771420363615, 1.5157771420363624]

ce_symbol  = L:2
ce_fraction=  0.00026754711256480235
species:coords:index
B1 : [6.18263133 0.98554162 3.63461994] : 21
B1 : [4.35960306 0.98554162 5.71368238] : 32
!!!atention to nb coordination!!!
         [1.5157771420363617, 1.515777142036363]
         [1.5157771420363615, 1.5157771420363624]


**isite= 99
O1 : [ 4.17195159  2.7596912  14.02245348]

ce_symbol  = A:2
ce_fraction=  0.9997324528874352
species:coords:index
B1 : [ 5.08346573  3.38105838 12.98292226] : 22
B1 : [ 3.26043746  3.38105838 15.0619847 ] : 35
!!!atention to nb coordination!!!
         [1.515777142036363, 1.515777142036363]
         [1.515777142036363, 1.5157771420363617]

ce_symbol  = L:2
ce_fraction=  0.0002675471125648053
species:coords:index
B1 : [ 5.08346573  3.38105838 12.98292226] : 22
B1 : [ 3.26043746  3.38105838 15.0619847 ] : 35
!!!atention to nb coordination!!!
         [1.515777142036363, 1.515777142036363]
         [1.515777142036363, 1.5157771420363617]

END

