cif name= ./1514225.cif
./1514225.cif
Full Formula (Na32 Mn16 O40)
!!!atention to nb coordination!!!
         [2.3438904400631055, 2.3355175928221565, 2.4006956013928975, 2.411663811720571, 2.2693356617043663]
         [2.3438904400631055, 2.335517592822156, 2.4006956013928975, 2.411663811720571, 2.2693356617043663]


**isite= 27
Na+1 : [ 0.0183072  7.06498   16.5290944]

ce_symbol  = S:5
ce_fraction=  0.9725098452927927
species:coords:index
O2-1 : [ 0.       4.7125  16.05072] : 81
O2-1 : [ 1.43025  7.06875 14.7525 ] : 86
O2-1 : [-1.43025  7.06875 18.37178] : 49
O2-1 : [ 0.        9.425    16.033017] : 55
O2-1 : [ 1.43025   7.06875  18.389483] : 83
!!!atention to nb coordination!!!
         [2.400695601392898, 2.2693356617043676, 2.343890440063104, 2.411663811720572, 2.3355175928221565]
         [2.400695601392898, 2.2693356617043676, 2.343890440063104, 2.411663811720572, 2.335517592822156]

ce_symbol  = T:5
ce_fraction=  0.027490154707207243
species:coords:index
O2-1 : [ 0.       4.7125  16.05072] : 81
O2-1 : [ 1.43025  7.06875 14.7525 ] : 86
O2-1 : [-1.43025  7.06875 18.37178] : 49
O2-1 : [ 0.        9.425    16.033017] : 55
O2-1 : [ 1.43025   7.06875  18.389483] : 83
!!!atention to nb coordination!!!
         [2.400695601392898, 2.2693356617043676, 2.343890440063104, 2.411663811720572, 2.3355175928221565]
         [2.400695601392898, 2.2693356617043676, 2.343890440063104, 2.411663811720572, 2.335517592822156]


**isite= 28
Na+1 : [ 1.4485572  4.70873   17.8934056]

ce_symbol  = S:5
ce_fraction=  0.9725098452927928
species:coords:index
O2-1 : [ 2.8605    4.7125   16.033017] : 85
O2-1 : [ 1.43025   7.06875  18.389483] : 83
O2-1 : [ 0.       4.7125  16.05072] : 81
O2-1 : [ 1.43025  2.35625 18.37178] : 79
O2-1 : [ 2.8605  4.7125 19.67  ] : 87
!!!atention to nb coordination!!!
         [2.3355175928221565, 2.411663811720572, 2.343890440063104, 2.400695601392898, 2.2693356617043676]
         [2.335517592822156, 2.411663811720572, 2.343890440063104, 2.400695601392898, 2.2693356617043676]

ce_symbol  = T:5
ce_fraction=  0.027490154707207205
species:coords:index
O2-1 : [ 2.8605    4.7125   16.033017] : 85
O2-1 : [ 1.43025   7.06875  18.389483] : 83
O2-1 : [ 0.       4.7125  16.05072] : 81
O2-1 : [ 1.43025  2.35625 18.37178] : 79
O2-1 : [ 2.8605  4.7125 19.67  ] : 87
!!!atention to nb coordination!!!
         [2.3355175928221565, 2.411663811720572, 2.343890440063104, 2.400695601392898, 2.2693356617043676]
         [2.335517592822156, 2.411663811720572, 2.343890440063104, 2.400695601392898, 2.2693356617043676]


**isite= 29
Na+1 : [ 1.4119428  4.70873   11.6115944]

ce_symbol  = S:5
ce_fraction=  0.9725098452927935
species:coords:index
O2-1 : [ 2.8605   4.7125  13.45428] : 80
O2-1 : [ 1.43025  2.35625 11.13322] : 78
O2-1 : [ 0.        4.7125   13.471983] : 84
O2-1 : [0.     4.7125 9.835 ] : 67
O2-1 : [ 1.43025   7.06875  11.115517] : 82
!!!atention to nb coordination!!!
         [2.3438904400631055, 2.4006956013928975, 2.3355175928221565, 2.2693356617043663, 2.411663811720571]
         [2.3438904400631055, 2.4006956013928975, 2.335517592822156, 2.2693356617043663, 2.411663811720571]

ce_symbol  = T:5
ce_fraction=  0.02749015470720656
species:coords:index
O2-1 : [ 2.8605   4.7125  13.45428] : 80
O2-1 : [ 1.43025  2.35625 11.13322] : 78
O2-1 : [ 0.        4.7125   13.471983] : 84
O2-1 : [0.     4.7125 9.835 ] : 67
O2-1 : [ 1.43025   7.06875  11.115517] : 82
!!!atention to nb coordination!!!
         [2.3438904400631055, 2.4006956013928975, 2.3355175928221565, 2.2693356617043663, 2.411663811720571]
         [2.3438904400631055, 2.4006956013928975, 2.335517592822156, 2.2693356617043663, 2.411663811720571]


**isite= 30
Na+1 : [ 5.7026928  2.36002   16.5290944]

ce_symbol  = S:5
ce_fraction=  0.9725098452927928
species:coords:index
O2-1 : [ 5.721    4.7125  16.05072] : 81
O2-1 : [ 7.15125  2.35625 18.37178] : 79
O2-1 : [ 5.721     0.       16.033017] : 55
O2-1 : [ 4.29075  2.35625 14.7525 ] : 56
O2-1 : [ 4.29075   2.35625  18.389483] : 53
!!!atention to nb coordination!!!
         [2.400695601392898, 2.343890440063104, 2.411663811720572, 2.2693356617043676, 2.3355175928221565]
         [2.400695601392898, 2.343890440063104, 2.411663811720572, 2.2693356617043676, 2.335517592822156]

ce_symbol  = T:5
ce_fraction=  0.02749015470720718
species:coords:index
O2-1 : [ 5.721    4.7125  16.05072] : 81
O2-1 : [ 7.15125  2.35625 18.37178] : 79
O2-1 : [ 5.721     0.       16.033017] : 55
O2-1 : [ 4.29075  2.35625 14.7525 ] : 56
O2-1 : [ 4.29075   2.35625  18.389483] : 53
!!!atention to nb coordination!!!
         [2.400695601392898, 2.343890440063104, 2.411663811720572, 2.2693356617043676, 2.3355175928221565]
         [2.400695601392898, 2.343890440063104, 2.411663811720572, 2.2693356617043676, 2.335517592822156]


**isite= 31
Na+1 : [ 2.8788072  2.36002   12.9759056]

ce_symbol  = S:5
ce_fraction=  0.9725098452927934
species:coords:index
O2-1 : [ 1.43025  2.35625 11.13322] : 78
O2-1 : [ 4.29075   2.35625  11.115517] : 52
O2-1 : [ 2.8605    0.       13.471983] : 54
O2-1 : [ 4.29075  2.35625 14.7525 ] : 56
O2-1 : [ 2.8605   4.7125  13.45428] : 80
!!!atention to nb coordination!!!
         [2.3438904400631055, 2.3355175928221565, 2.411663811720571, 2.2693356617043663, 2.4006956013928975]
         [2.3438904400631055, 2.335517592822156, 2.411663811720571, 2.2693356617043663, 2.4006956013928975]

ce_symbol  = T:5
ce_fraction=  0.027490154707206577
species:coords:index
O2-1 : [ 1.43025  2.35625 11.13322] : 78
O2-1 : [ 4.29075   2.35625  11.115517] : 52
O2-1 : [ 2.8605    0.       13.471983] : 54
O2-1 : [ 4.29075  2.35625 14.7525 ] : 56
O2-1 : [ 2.8605   4.7125  13.45428] : 80
!!!atention to nb coordination!!!
         [2.3438904400631055, 2.3355175928221565, 2.411663811720571, 2.2693356617043663, 2.4006956013928975]
         [2.3438904400631055, 2.335517592822156, 2.411663811720571, 2.2693356617043663, 2.4006956013928975]


**isite= 32
Mn3+1 : [ 4.29075     4.42456625 14.7525    ]

ce_symbol  = S:5
ce_fraction=  0.9966940713233112
species:coords:index
O2-1 : [ 4.29075  2.35625 14.7525 ] : 56
O2-1 : [ 2.8605    4.7125   16.033017] : 85
O2-1 : [ 2.8605   4.7125  13.45428] : 80
O2-1 : [ 5.721    4.7125  16.05072] : 81
O2-1 : [ 5.721     4.7125   13.471983] : 84

ce_symbol  = T:5
ce_fraction=  0.0033059286766888144
species:coords:index
O2-1 : [ 4.29075  2.35625 14.7525 ] : 56
O2-1 : [ 2.8605    4.7125   16.033017] : 85
O2-1 : [ 2.8605   4.7125  13.45428] : 80
O2-1 : [ 5.721    4.7125  16.05072] : 81
O2-1 : [ 5.721     4.7125   13.471983] : 84


**isite= 33
Mn3+1 : [2.8605     2.64418375 0.        ]

ce_symbol  = S:5
ce_fraction=  0.9966940713233112
species:coords:index
O2-1 : [ 1.43025  2.35625 -1.29822] : 79
O2-1 : [4.29075 2.35625 1.29822] : 58
O2-1 : [ 4.29075   2.35625  -1.280517] : 53
O2-1 : [1.43025  2.35625  1.280517] : 72
O2-1 : [2.8605 4.7125 0.    ] : 87
!!!atention to nb coordination!!!
         [1.952919884503472, 1.952919884503472, 1.941196717022276, 1.9411967170222784, 2.0683162499999996]
         [1.952919884503472, 1.952919884503472, 1.9411967170222768, 1.9411967170222784, 2.0683162499999996]

ce_symbol  = T:5
ce_fraction=  0.0033059286766887893
species:coords:index
O2-1 : [ 1.43025  2.35625 -1.29822] : 79
O2-1 : [4.29075 2.35625 1.29822] : 58
O2-1 : [ 4.29075   2.35625  -1.280517] : 53
O2-1 : [1.43025  2.35625  1.280517] : 72
O2-1 : [2.8605 4.7125 0.    ] : 87
!!!atention to nb coordination!!!
         [1.952919884503472, 1.952919884503472, 1.941196717022276, 1.9411967170222784, 2.0683162499999996]
         [1.952919884503472, 1.952919884503472, 1.9411967170222768, 1.9411967170222784, 2.0683162499999996]


**isite= 34
Mn3+1 : [ 4.29075     0.28793375 14.7525    ]

ce_symbol  = S:5
ce_fraction=  0.9966940713233112
species:coords:index
O2-1 : [ 2.8605    0.       13.471983] : 54
O2-1 : [ 4.29075  2.35625 14.7525 ] : 56
O2-1 : [ 2.8605   0.      16.05072] : 51
O2-1 : [ 5.721    0.      13.45428] : 50
O2-1 : [ 5.721     0.       16.033017] : 55

ce_symbol  = T:5
ce_fraction=  0.0033059286766887962
species:coords:index
O2-1 : [ 2.8605    0.       13.471983] : 54
O2-1 : [ 4.29075  2.35625 14.7525 ] : 56
O2-1 : [ 2.8605   0.      16.05072] : 51
O2-1 : [ 5.721    0.      13.45428] : 50
O2-1 : [ 5.721     0.       16.033017] : 55


**isite= 35
Mn3+1 : [2.8605     6.78081625 0.        ]

ce_symbol  = S:5
ce_fraction=  0.9966940713233112
species:coords:index
O2-1 : [4.29075  7.06875  1.280517] : 62
O2-1 : [2.8605 4.7125 0.    ] : 87
O2-1 : [ 4.29075  7.06875 -1.29822] : 49
O2-1 : [1.43025 7.06875 1.29822] : 68
O2-1 : [ 1.43025   7.06875  -1.280517] : 83
!!!atention to nb coordination!!!
         [1.9411967170222784, 2.0683162499999996, 1.952919884503472, 1.952919884503472, 1.941196717022276]
         [1.9411967170222784, 2.0683162499999996, 1.952919884503472, 1.952919884503472, 1.9411967170222768]

ce_symbol  = T:5
ce_fraction=  0.0033059286766888136
species:coords:index
O2-1 : [4.29075  7.06875  1.280517] : 62
O2-1 : [2.8605 4.7125 0.    ] : 87
O2-1 : [ 4.29075  7.06875 -1.29822] : 49
O2-1 : [1.43025 7.06875 1.29822] : 68
O2-1 : [ 1.43025   7.06875  -1.280517] : 83
!!!atention to nb coordination!!!
         [1.9411967170222784, 2.0683162499999996, 1.952919884503472, 1.952919884503472, 1.941196717022276]
         [1.9411967170222784, 2.0683162499999996, 1.952919884503472, 1.952919884503472, 1.9411967170222768]


**isite= 36
Mn3+1 : [4.29075    9.13706625 4.9175    ]

ce_symbol  = S:5
ce_fraction=  0.9966940713233112
species:coords:index
O2-1 : [2.8605   9.425    6.198017] : 75
O2-1 : [2.8605  9.425   3.61928] : 70
O2-1 : [5.721   9.425   6.21572] : 71
O2-1 : [4.29075 7.06875 4.9175 ] : 66
O2-1 : [5.721    9.425    3.636983] : 74

ce_symbol  = T:5
ce_fraction=  0.0033059286766887763
species:coords:index
O2-1 : [2.8605   9.425    6.198017] : 75
O2-1 : [2.8605  9.425   3.61928] : 70
O2-1 : [5.721   9.425   6.21572] : 71
O2-1 : [4.29075 7.06875 4.9175 ] : 66
O2-1 : [5.721    9.425    3.636983] : 74


**isite= 37
Mn3+1 : [2.8605     7.35668375 9.835     ]

ce_symbol  = S:5
ce_fraction=  0.9966940713233112
species:coords:index
O2-1 : [ 4.29075  7.06875 11.13322] : 48
O2-1 : [ 1.43025   7.06875  11.115517] : 82
O2-1 : [2.8605 9.425  9.835 ] : 77
O2-1 : [1.43025 7.06875 8.53678] : 69
O2-1 : [4.29075  7.06875  8.554483] : 63

ce_symbol  = T:5
ce_fraction=  0.0033059286766888006
species:coords:index
O2-1 : [ 4.29075  7.06875 11.13322] : 48
O2-1 : [ 1.43025   7.06875  11.115517] : 82
O2-1 : [2.8605 9.425  9.835 ] : 77
O2-1 : [1.43025 7.06875 8.53678] : 69
O2-1 : [4.29075  7.06875  8.554483] : 63


**isite= 38
Mn3+1 : [4.29075    5.00043375 4.9175    ]

ce_symbol  = S:5
ce_fraction=  0.9966940713233113
species:coords:index
O2-1 : [5.721   4.7125  3.61928] : 60
O2-1 : [2.8605  4.7125  6.21572] : 61
O2-1 : [2.8605   4.7125   3.636983] : 64
O2-1 : [5.721    4.7125   6.198017] : 65
O2-1 : [4.29075 7.06875 4.9175 ] : 66

ce_symbol  = T:5
ce_fraction=  0.003305928676688774
species:coords:index
O2-1 : [5.721   4.7125  3.61928] : 60
O2-1 : [2.8605  4.7125  6.21572] : 61
O2-1 : [2.8605   4.7125   3.636983] : 64
O2-1 : [5.721    4.7125   6.198017] : 65
O2-1 : [4.29075 7.06875 4.9175 ] : 66


**isite= 39
Mn3+1 : [2.8605     2.06831625 9.835     ]

ce_symbol  = S:5
ce_fraction=  0.9966940713233112
species:coords:index
O2-1 : [ 1.43025  2.35625 11.13322] : 78
O2-1 : [4.29075 2.35625 8.53678] : 59
O2-1 : [1.43025  2.35625  8.554483] : 73
O2-1 : [ 4.29075   2.35625  11.115517] : 52
O2-1 : [2.8605 0.     9.835 ] : 77

ce_symbol  = T:5
ce_fraction=  0.003305928676688788
species:coords:index
O2-1 : [ 1.43025  2.35625 11.13322] : 78
O2-1 : [4.29075 2.35625 8.53678] : 59
O2-1 : [1.43025  2.35625  8.554483] : 73
O2-1 : [ 4.29075   2.35625  11.115517] : 52
O2-1 : [2.8605 0.     9.835 ] : 77


**isite= 40
Mn3+1 : [1.43025    4.42456625 4.9175    ]

ce_symbol  = S:5
ce_fraction=  0.9966940713233112
species:coords:index
O2-1 : [0.       4.7125   6.198017] : 65
O2-1 : [0.      4.7125  3.61928] : 60
O2-1 : [2.8605  4.7125  6.21572] : 61
O2-1 : [2.8605   4.7125   3.636983] : 64
O2-1 : [1.43025 2.35625 4.9175 ] : 76

ce_symbol  = T:5
ce_fraction=  0.00330592867668878
species:coords:index
O2-1 : [0.       4.7125   6.198017] : 65
O2-1 : [0.      4.7125  3.61928] : 60
O2-1 : [2.8605  4.7125  6.21572] : 61
O2-1 : [2.8605   4.7125   3.636983] : 64
O2-1 : [1.43025 2.35625 4.9175 ] : 76


**isite= 41
Mn3+1 : [0.         2.64418375 9.835     ]

ce_symbol  = S:5
ce_fraction=  0.9966940713233112
species:coords:index
O2-1 : [-1.43025   2.35625  11.115517] : 52
O2-1 : [ 1.43025  2.35625 11.13322] : 78
O2-1 : [-1.43025  2.35625  8.53678] : 59
O2-1 : [1.43025  2.35625  8.554483] : 73
O2-1 : [0.     4.7125 9.835 ] : 67

ce_symbol  = T:5
ce_fraction=  0.0033059286766888023
species:coords:index
O2-1 : [-1.43025   2.35625  11.115517] : 52
O2-1 : [ 1.43025  2.35625 11.13322] : 78
O2-1 : [-1.43025  2.35625  8.53678] : 59
O2-1 : [1.43025  2.35625  8.554483] : 73
O2-1 : [0.     4.7125 9.835 ] : 67


**isite= 42
Mn3+1 : [1.43025    0.28793375 4.9175    ]

ce_symbol  = S:5
ce_fraction=  0.9966940713233112
species:coords:index
O2-1 : [2.8605  0.      3.61928] : 70
O2-1 : [0.      0.      6.21572] : 71
O2-1 : [0.       0.       3.636983] : 74
O2-1 : [2.8605   0.       6.198017] : 75
O2-1 : [1.43025 2.35625 4.9175 ] : 76

ce_symbol  = T:5
ce_fraction=  0.003305928676688779
species:coords:index
O2-1 : [2.8605  0.      3.61928] : 70
O2-1 : [0.      0.      6.21572] : 71
O2-1 : [0.       0.       3.636983] : 74
O2-1 : [2.8605   0.       6.198017] : 75
O2-1 : [1.43025 2.35625 4.9175 ] : 76


**isite= 43
Mn3+1 : [0.         6.78081625 9.835     ]

ce_symbol  = S:5
ce_fraction=  0.9966940713233112
species:coords:index
O2-1 : [-1.43025   7.06875   8.554483] : 63
O2-1 : [ 1.43025   7.06875  11.115517] : 82
O2-1 : [1.43025 7.06875 8.53678] : 69
O2-1 : [-1.43025  7.06875 11.13322] : 48
O2-1 : [0.     4.7125 9.835 ] : 67

ce_symbol  = T:5
ce_fraction=  0.0033059286766887867
species:coords:index
O2-1 : [-1.43025   7.06875   8.554483] : 63
O2-1 : [ 1.43025   7.06875  11.115517] : 82
O2-1 : [1.43025 7.06875 8.53678] : 69
O2-1 : [-1.43025  7.06875 11.13322] : 48
O2-1 : [0.     4.7125 9.835 ] : 67


**isite= 44
Mn3+1 : [ 1.43025     9.13706625 14.7525    ]

ce_symbol  = S:5
ce_fraction=  0.9966940713233112
species:coords:index
O2-1 : [ 0.        9.425    16.033017] : 55
O2-1 : [ 0.       9.425   13.45428] : 50
O2-1 : [ 2.8605   9.425   16.05072] : 51
O2-1 : [ 1.43025  7.06875 14.7525 ] : 86
O2-1 : [ 2.8605    9.425    13.471983] : 54

ce_symbol  = T:5
ce_fraction=  0.0033059286766888144
species:coords:index
O2-1 : [ 0.        9.425    16.033017] : 55
O2-1 : [ 0.       9.425   13.45428] : 50
O2-1 : [ 2.8605   9.425   16.05072] : 51
O2-1 : [ 1.43025  7.06875 14.7525 ] : 86
O2-1 : [ 2.8605    9.425    13.471983] : 54


**isite= 45
Mn3+1 : [0.         7.35668375 0.        ]

ce_symbol  = S:5
ce_fraction=  0.9966940713233112
species:coords:index
O2-1 : [0.    9.425 0.   ] : 57
O2-1 : [ 1.43025   7.06875  -1.280517] : 83
O2-1 : [-1.43025  7.06875 -1.29822] : 49
O2-1 : [-1.43025   7.06875   1.280517] : 62
O2-1 : [1.43025 7.06875 1.29822] : 68
!!!atention to nb coordination!!!
         [2.0683162499999996, 1.941196717022276, 1.952919884503472, 1.9411967170222784, 1.952919884503472]
         [2.0683162499999996, 1.9411967170222768, 1.952919884503472, 1.9411967170222784, 1.952919884503472]

ce_symbol  = T:5
ce_fraction=  0.0033059286766887997
species:coords:index
O2-1 : [0.    9.425 0.   ] : 57
O2-1 : [ 1.43025   7.06875  -1.280517] : 83
O2-1 : [-1.43025  7.06875 -1.29822] : 49
O2-1 : [-1.43025   7.06875   1.280517] : 62
O2-1 : [1.43025 7.06875 1.29822] : 68
!!!atention to nb coordination!!!
         [2.0683162499999996, 1.941196717022276, 1.952919884503472, 1.9411967170222784, 1.952919884503472]
         [2.0683162499999996, 1.9411967170222768, 1.952919884503472, 1.9411967170222784, 1.952919884503472]


**isite= 46
Mn3+1 : [ 1.43025     5.00043375 14.7525    ]

ce_symbol  = S:5
ce_fraction=  0.9966940713233112
species:coords:index
O2-1 : [ 2.8605   4.7125  13.45428] : 80
O2-1 : [ 0.        4.7125   13.471983] : 84
O2-1 : [ 0.       4.7125  16.05072] : 81
O2-1 : [ 1.43025  7.06875 14.7525 ] : 86
O2-1 : [ 2.8605    4.7125   16.033017] : 85

ce_symbol  = T:5
ce_fraction=  0.003305928676688812
species:coords:index
O2-1 : [ 2.8605   4.7125  13.45428] : 80
O2-1 : [ 0.        4.7125   13.471983] : 84
O2-1 : [ 0.       4.7125  16.05072] : 81
O2-1 : [ 1.43025  7.06875 14.7525 ] : 86
O2-1 : [ 2.8605    4.7125   16.033017] : 85


**isite= 47
Mn3+1 : [0.         2.06831625 0.        ]

ce_symbol  = S:5
ce_fraction=  0.9966940713233112
species:coords:index
O2-1 : [0. 0. 0.] : 57
O2-1 : [-1.43025   2.35625  -1.280517] : 53
O2-1 : [ 1.43025  2.35625 -1.29822] : 79
O2-1 : [1.43025  2.35625  1.280517] : 72
O2-1 : [-1.43025  2.35625  1.29822] : 58
!!!atention to nb coordination!!!
         [2.0683162499999996, 1.941196717022276, 1.952919884503472, 1.9411967170222784, 1.952919884503472]
         [2.0683162499999996, 1.9411967170222768, 1.952919884503472, 1.9411967170222784, 1.952919884503472]

ce_symbol  = T:5
ce_fraction=  0.0033059286766887997
species:coords:index
O2-1 : [0. 0. 0.] : 57
O2-1 : [-1.43025   2.35625  -1.280517] : 53
O2-1 : [ 1.43025  2.35625 -1.29822] : 79
O2-1 : [1.43025  2.35625  1.280517] : 72
O2-1 : [-1.43025  2.35625  1.29822] : 58
!!!atention to nb coordination!!!
         [2.0683162499999996, 1.941196717022276, 1.952919884503472, 1.9411967170222784, 1.952919884503472]
         [2.0683162499999996, 1.9411967170222768, 1.952919884503472, 1.9411967170222784, 1.952919884503472]


**isite= 48
O2-1 : [ 4.29075  7.06875 11.13322]


**isite= 49
O2-1 : [ 4.29075  7.06875 18.37178]


**isite= 50
O2-1 : [ 0.       0.      13.45428]


**isite= 51
O2-1 : [ 2.8605   0.      16.05072]


**isite= 52
O2-1 : [ 4.29075   2.35625  11.115517]


**isite= 53
O2-1 : [ 4.29075   2.35625  18.389483]


**isite= 54
O2-1 : [ 2.8605    0.       13.471983]


**isite= 55
O2-1 : [ 0.        0.       16.033017]


**isite= 56
O2-1 : [ 4.29075  2.35625 14.7525 ]


**isite= 57
O2-1 : [0. 0. 0.]


**isite= 58
O2-1 : [4.29075 2.35625 1.29822]


**isite= 59
O2-1 : [4.29075 2.35625 8.53678]


**isite= 60
O2-1 : [0.      4.7125  3.61928]


**isite= 61
O2-1 : [2.8605  4.7125  6.21572]


**isite= 62
O2-1 : [4.29075  7.06875  1.280517]


**isite= 63
O2-1 : [4.29075  7.06875  8.554483]


**isite= 64
O2-1 : [2.8605   4.7125   3.636983]


**isite= 65
O2-1 : [0.       4.7125   6.198017]


**isite= 66
O2-1 : [4.29075 7.06875 4.9175 ]


**isite= 67
O2-1 : [0.     4.7125 9.835 ]


**isite= 68
O2-1 : [1.43025 7.06875 1.29822]


**isite= 69
O2-1 : [1.43025 7.06875 8.53678]


**isite= 70
O2-1 : [2.8605  0.      3.61928]


**isite= 71
O2-1 : [0.      0.      6.21572]


**isite= 72
O2-1 : [1.43025  2.35625  1.280517]


**isite= 73
O2-1 : [1.43025  2.35625  8.554483]


**isite= 74
O2-1 : [0.       0.       3.636983]


**isite= 75
O2-1 : [2.8605   0.       6.198017]


**isite= 76
O2-1 : [1.43025 2.35625 4.9175 ]


**isite= 77
O2-1 : [2.8605 0.     9.835 ]


**isite= 78
O2-1 : [ 1.43025  2.35625 11.13322]


**isite= 79
O2-1 : [ 1.43025  2.35625 18.37178]


**isite= 80
O2-1 : [ 2.8605   4.7125  13.45428]


**isite= 81
O2-1 : [ 0.       4.7125  16.05072]


**isite= 82
O2-1 : [ 1.43025   7.06875  11.115517]


**isite= 83
O2-1 : [ 1.43025   7.06875  18.389483]


**isite= 84
O2-1 : [ 0.        4.7125   13.471983]


**isite= 85
O2-1 : [ 2.8605    4.7125   16.033017]


**isite= 86
O2-1 : [ 1.43025  7.06875 14.7525 ]


**isite= 87
O2-1 : [2.8605 4.7125 0.    ]

END

