cif name= ./1511473.cif
./1511473.cif
Full Formula (Li16 B32 O56)
ce_symbol  = TY:3
ce_fraction=  4.440566933393874e-06
species:coords:index
O1 : [8.8429591 3.0560296 3.537702 ] : 94
O1 : [6.8087657 3.4389812 2.415063 ] : 74
O1 : [7.9983802 5.2779072 3.281481 ] : 58
!!!atention to nb coordination!!!
         [1.370587562171146, 1.354998717363591, 1.3741191952399243]
         [1.370587562171146, 1.3549987173635902, 1.3741191952399243]


**isite= 23
B1 : [8.6628581 1.5934199 0.507297 ]

ce_symbol  = TL:3
ce_fraction=  0.9999955594330666
species:coords:index
O1 : [ 8.1784812  2.6702343 -0.157437 ] : 75
O1 : [7.7955296 0.6360409 0.965202 ] : 67
O1 : [10.0174072  1.4806198  0.708981 ] : 59

ce_symbol  = TY:3
ce_fraction=  4.440566933393661e-06
species:coords:index
O1 : [ 8.1784812  2.6702343 -0.157437 ] : 75
O1 : [7.7955296 0.6360409 0.965202 ] : 67
O1 : [10.0174072  1.4806198  0.708981 ] : 59


**isite= 24
B1 : [5.2485223 1.0663875 4.297104 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [6.2201198 0.5384072 3.281481 ] : 54
O1 : [4.1034591 1.6834704 3.537702 ] : 60
O1 : [6.0400188 2.0692657 4.987563 ] : 73
O1 : [4.7395 0.     5.145 ] : 76
!!!atention to nb coordination!!!
         [1.5014176558584023, 1.5062046458136584, 1.4522276075837732, 1.4543774024886185]
         [1.5014176558584025, 1.5062046458136582, 1.4522276075837732, 1.4543774024886185]


**isite= 25
B1 : [5.8058875 4.2304777 1.724604 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [6.4229704 5.3755409 0.965202 ] : 61
O1 : [6.8087657 3.4389812 2.415063 ] : 74
O1 : [4.7395 4.7395 2.5725] : 49
O1 : [5.2779072 3.2588802 0.708981 ] : 83
!!!atention to nb coordination!!!
         [1.5062046458136575, 1.4522276075837732, 1.454377402488619, 1.5014176558584016]
         [1.5062046458136578, 1.452227607583774, 1.4543774024886191, 1.5014176558584016]


**isite= 26
B1 : [4.2304777 8.4126125 4.297104 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [3.2588802 8.9405928 3.281481 ] : 80
O1 : [4.7395 9.479  5.145 ] : 76
O1 : [5.3755409 7.7955296 3.537702 ] : 62
O1 : [3.4389812 7.4097343 4.987563 ] : 103
!!!atention to nb coordination!!!
         [1.501417655858402, 1.4543774024886185, 1.5062046458136582, 1.4522276075837732]
         [1.501417655858402, 1.4543774024886185, 1.506204645813658, 1.4522276075837732]


**isite= 27
B1 : [3.6731125 5.2485223 1.724604 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [4.7395 4.7395 2.5725] : 49
O1 : [3.0560296 4.1034591 0.965202 ] : 63
O1 : [4.2010928 6.2201198 0.708981 ] : 53
O1 : [2.6702343 6.0400188 2.415063 ] : 72
!!!atention to nb coordination!!!
         [1.454377402488619, 1.5062046458136582, 1.5014176558584018, 1.4522276075837746]
         [1.4543774024886191, 1.5062046458136582, 1.5014176558584018, 1.4522276075837741]


**isite= 28
B1 : [8.9699777 5.8058875 4.297104 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [8.1784812 6.8087657 4.987563 ] : 71
O1 : [9.479  4.7395 5.145 ] : 50
O1 : [7.9983802 5.2779072 3.281481 ] : 58
O1 : [10.1150409  6.4229704  3.537702 ] : 64
!!!atention to nb coordination!!!
         [1.4522276075837723, 1.4543774024886185, 1.501417655858403, 1.5062046458136584]
         [1.452227607583773, 1.4543774024886185, 1.5014176558584025, 1.5062046458136573]


**isite= 29
B1 : [1.0663875 0.5090223 1.724604 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [0.     0.     2.5725] : 51
O1 : [2.0692657 1.3005188 2.415063 ] : 68
O1 : [0.5384072 1.4806198 0.708981 ] : 59
O1 : [ 1.6834704 -0.6360409  0.965202 ] : 93
!!!atention to nb coordination!!!
         [1.4543774024886194, 1.4522276075837734, 1.501417655858401, 1.5062046458136598]
         [1.4543774024886194, 1.4522276075837734, 1.501417655858401, 1.506204645813659]


**isite= 30
B1 : [5.2485223 8.4126125 9.442104 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [4.1034591 7.7955296 8.682702 ] : 66
O1 : [ 4.7395  9.479  10.29  ] : 78
O1 : [ 6.0400188  7.4097343 10.132563 ] : 69
O1 : [6.2201198 8.9405928 8.426481 ] : 56
!!!atention to nb coordination!!!
         [1.5062046458136575, 1.454377402488619, 1.4522276075837732, 1.5014176558584016]
         [1.5062046458136575, 1.454377402488619, 1.4522276075837732, 1.5014176558584018]


**isite= 31
B1 : [8.4126125 8.9699777 1.724604 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [9.479  9.479  2.5725] : 51
O1 : [7.4097343 8.1784812 2.415063 ] : 70
O1 : [8.9405928 7.9983802 0.708981 ] : 57
O1 : [ 7.7955296 10.1150409  0.965202 ] : 67
!!!atention to nb coordination!!!
         [1.454377402488619, 1.4522276075837734, 1.5014176558584023, 1.5062046458136586]
         [1.4543774024886191, 1.4522276075837734, 1.5014176558584018, 1.5062046458136573]


**isite= 32
B1 : [3.1460801 0.8161419 3.079797 ]

ce_symbol  = TL:3
ce_fraction=  0.9999955594330666
species:coords:index
O1 : [2.0692657 1.3005188 2.415063 ] : 68
O1 : [ 3.2588802 -0.5384072  3.281481 ] : 80
O1 : [4.1034591 1.6834704 3.537702 ] : 60
!!!atention to nb coordination!!!
         [1.3549987173635905, 1.3741191952399254, 1.370587562171145]
         [1.3549987173635905, 1.3741191952399252, 1.3705875621711452]

ce_symbol  = TY:3
ce_fraction=  4.440566933392967e-06
species:coords:index
O1 : [2.0692657 1.3005188 2.415063 ] : 68
O1 : [ 3.2588802 -0.5384072  3.281481 ] : 80
O1 : [4.1034591 1.6834704 3.537702 ] : 60
!!!atention to nb coordination!!!
         [1.3549987173635905, 1.3741191952399254, 1.370587562171145]
         [1.3549987173635905, 1.3741191952399252, 1.3705875621711452]


**isite= 33
B1 : [0.8161419 1.5934199 5.652297 ]

ce_symbol  = TL:3
ce_fraction=  0.9999955594330666
species:coords:index
O1 : [-0.5384072  1.4806198  5.853981 ] : 81
O1 : [1.3005188 2.6702343 4.987563 ] : 97
O1 : [1.6834704 0.6360409 6.110202 ] : 89
!!!atention to nb coordination!!!
         [1.3741191952399254, 1.3549987173635898, 1.370587562171146]
         [1.3741191952399252, 1.35499871736359, 1.370587562171146]

ce_symbol  = TY:3
ce_fraction=  4.4405669333937785e-06
species:coords:index
O1 : [-0.5384072  1.4806198  5.853981 ] : 81
O1 : [1.3005188 2.6702343 4.987563 ] : 97
O1 : [1.6834704 0.6360409 6.110202 ] : 89
!!!atention to nb coordination!!!
         [1.3741191952399254, 1.3549987173635898, 1.370587562171146]
         [1.3741191952399252, 1.35499871736359, 1.370587562171146]


**isite= 34
B1 : [1.5934199 3.9233581 8.224797 ]

ce_symbol  = TL:3
ce_fraction=  0.9999955594330666
species:coords:index
O1 : [0.6360409 3.0560296 8.682702 ] : 90
O1 : [2.6702343 3.4389812 7.560063 ] : 98
O1 : [1.4806198 5.2779072 8.426481 ] : 82
!!!atention to nb coordination!!!
         [1.3705875621711463, 1.3549987173635896, 1.3741191952399257]
         [1.3705875621711463, 1.35499871736359, 1.3741191952399257]

ce_symbol  = TY:3
ce_fraction=  4.440566933393734e-06
species:coords:index
O1 : [0.6360409 3.0560296 8.682702 ] : 90
O1 : [2.6702343 3.4389812 7.560063 ] : 98
O1 : [1.4806198 5.2779072 8.426481 ] : 82
!!!atention to nb coordination!!!
         [1.3705875621711463, 1.3549987173635896, 1.3741191952399257]
         [1.3705875621711463, 1.35499871736359, 1.3741191952399257]


**isite= 35
B1 : [3.9233581 3.1460801 0.507297 ]

ce_symbol  = TL:3
ce_fraction=  0.9999955594330666
species:coords:index
O1 : [3.0560296 4.1034591 0.965202 ] : 63
O1 : [5.2779072 3.2588802 0.708981 ] : 83
O1 : [ 3.4389812  2.0692657 -0.157437 ] : 99
!!!atention to nb coordination!!!
         [1.3705875621711447, 1.3741191952399254, 1.3549987173635907]
         [1.3705875621711447, 1.3741191952399254, 1.3549987173635902]

ce_symbol  = TY:3
ce_fraction=  4.440566933393685e-06
species:coords:index
O1 : [3.0560296 4.1034591 0.965202 ] : 63
O1 : [5.2779072 3.2588802 0.708981 ] : 83
O1 : [ 3.4389812  2.0692657 -0.157437 ] : 99
!!!atention to nb coordination!!!
         [1.3705875621711447, 1.3741191952399254, 1.3549987173635907]
         [1.3705875621711447, 1.3741191952399254, 1.3549987173635902]


**isite= 36
B1 : [1.5934199 5.5556419 3.079797 ]

ce_symbol  = TL:3
ce_fraction=  0.9999955594330666
species:coords:index
O1 : [0.6360409 6.4229704 3.537702 ] : 64
O1 : [1.4806198 4.2010928 3.281481 ] : 84
O1 : [2.6702343 6.0400188 2.415063 ] : 72
!!!atention to nb coordination!!!
         [1.370587562171144, 1.3741191952399257, 1.3549987173635896]
         [1.3705875621711447, 1.3741191952399257, 1.35499871736359]

ce_symbol  = TY:3
ce_fraction=  4.440566933393041e-06
species:coords:index
O1 : [0.6360409 6.4229704 3.537702 ] : 64
O1 : [1.4806198 4.2010928 3.281481 ] : 84
O1 : [2.6702343 6.0400188 2.415063 ] : 72
!!!atention to nb coordination!!!
         [1.370587562171144, 1.3741191952399257, 1.3549987173635896]
         [1.3705875621711447, 1.3741191952399257, 1.35499871736359]


**isite= 37
B1 : [0.8161419 7.8855801 0.507297 ]

ce_symbol  = TL:3
ce_fraction=  0.9999955594330666
species:coords:index
O1 : [1.6834704 8.8429591 0.965202 ] : 93
O1 : [-0.5384072  7.9983802  0.708981 ] : 57
O1 : [ 1.3005188  6.8087657 -0.157437 ] : 101
!!!atention to nb coordination!!!
         [1.3705875621711447, 1.3741191952399252, 1.3549987173635918]
         [1.3705875621711447, 1.3741191952399252, 1.3549987173635907]

ce_symbol  = TY:3
ce_fraction=  4.440566933393532e-06
species:coords:index
O1 : [1.6834704 8.8429591 0.965202 ] : 93
O1 : [-0.5384072  7.9983802  0.708981 ] : 57
O1 : [ 1.3005188  6.8087657 -0.157437 ] : 101
!!!atention to nb coordination!!!
         [1.3705875621711447, 1.3741191952399252, 1.3549987173635918]
         [1.3705875621711447, 1.3741191952399252, 1.3549987173635907]


**isite= 38
B1 : [3.1460801 8.6628581 8.224797 ]

ce_symbol  = TL:3
ce_fraction=  0.9999955594330666
species:coords:index
O1 : [ 3.2588802 10.0174072  8.426481 ] : 86
O1 : [4.1034591 7.7955296 8.682702 ] : 66
O1 : [2.0692657 8.1784812 7.560063 ] : 102

ce_symbol  = TY:3
ce_fraction=  4.440566933393463e-06
species:coords:index
O1 : [ 3.2588802 10.0174072  8.426481 ] : 86
O1 : [4.1034591 7.7955296 8.682702 ] : 66
O1 : [2.0692657 8.1784812 7.560063 ] : 102


**isite= 39
B1 : [3.9233581 6.3329199 5.652297 ]

ce_symbol  = TL:3
ce_fraction=  0.9999955594330666
species:coords:index
O1 : [3.0560296 5.3755409 6.110202 ] : 95
O1 : [5.2779072 6.2201198 5.853981 ] : 87
O1 : [3.4389812 7.4097343 4.987563 ] : 103
!!!atention to nb coordination!!!
         [1.3705875621711459, 1.3741191952399257, 1.3549987173635898]
         [1.370587562171146, 1.3741191952399257, 1.3549987173635898]

ce_symbol  = TY:3
ce_fraction=  4.440566933393724e-06
species:coords:index
O1 : [3.0560296 5.3755409 6.110202 ] : 95
O1 : [5.2779072 6.2201198 5.853981 ] : 87
O1 : [3.4389812 7.4097343 4.987563 ] : 103
!!!atention to nb coordination!!!
         [1.3705875621711459, 1.3741191952399257, 1.3549987173635898]
         [1.370587562171146, 1.3741191952399257, 1.3549987173635898]


**isite= 40
B1 : [0.5090223 5.8058875 9.442104 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 1.3005188  6.8087657 10.132563 ] : 101
O1 : [ 0.      4.7395 10.29  ] : 48
O1 : [1.4806198 5.2779072 8.426481 ] : 82
O1 : [-0.6360409  6.4229704  8.682702 ] : 88
!!!atention to nb coordination!!!
         [1.4522276075837723, 1.4543774024886194, 1.5014176558584011, 1.5062046458136584]
         [1.452227607583773, 1.4543774024886194, 1.501417655858401, 1.5062046458136582]


**isite= 41
B1 : [1.0663875 8.9699777 6.869604 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [0.5384072 7.9983802 5.853981 ] : 55
O1 : [2.0692657 8.1784812 7.560063 ] : 102
O1 : [ 1.6834704 10.1150409  6.110202 ] : 89
O1 : [0.     9.479  7.7175] : 77
!!!atention to nb coordination!!!
         [1.5014176558584018, 1.4522276075837743, 1.5062046458136582, 1.454377402488618]
         [1.5014176558584011, 1.4522276075837743, 1.5062046458136582, 1.454377402488618]


**isite= 42
B1 : [8.9699777 3.6731125 9.442104 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [10.1150409  3.0560296  8.682702 ] : 90
O1 : [ 8.1784812  2.6702343 10.132563 ] : 75
O1 : [7.9983802 4.2010928 8.426481 ] : 52
O1 : [ 9.479   4.7395 10.29  ] : 48
!!!atention to nb coordination!!!
         [1.506204645813658, 1.4522276075837743, 1.5014176558584018, 1.454377402488618]
         [1.506204645813658, 1.4522276075837741, 1.5014176558584011, 1.454377402488618]


**isite= 43
B1 : [8.4126125 0.5090223 6.869604 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [8.9405928 1.4806198 5.853981 ] : 81
O1 : [7.4097343 1.3005188 7.560063 ] : 100
O1 : [9.479  0.     7.7175] : 77
O1 : [ 7.7955296 -0.6360409  6.110202 ] : 91
!!!atention to nb coordination!!!
         [1.5014176558584011, 1.4522276075837732, 1.4543774024886194, 1.5062046458136593]
         [1.501417655858401, 1.4522276075837732, 1.4543774024886194, 1.5062046458136586]


**isite= 44
B1 : [4.2304777 1.0663875 9.442104 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [3.2588802 0.5384072 8.426481 ] : 86
O1 : [ 3.4389812  2.0692657 10.132563 ] : 99
O1 : [ 4.7395  0.     10.29  ] : 78
O1 : [5.3755409 1.6834704 8.682702 ] : 92


**isite= 45
B1 : [5.8058875 5.2485223 6.869604 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [6.4229704 4.1034591 6.110202 ] : 65
O1 : [6.8087657 6.0400188 7.560063 ] : 96
O1 : [5.2779072 6.2201198 5.853981 ] : 87
O1 : [4.7395 4.7395 7.7175] : 79
!!!atention to nb coordination!!!
         [1.5062046458136578, 1.4522276075837728, 1.5014176558584011, 1.4543774024886194]
         [1.5062046458136582, 1.4522276075837732, 1.5014176558584011, 1.4543774024886194]


**isite= 46
B1 : [0.5090223 3.6731125 4.297104 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [1.4806198 4.2010928 3.281481 ] : 84
O1 : [0.     4.7395 5.145 ] : 50
O1 : [1.3005188 2.6702343 4.987563 ] : 97
O1 : [-0.6360409  3.0560296  3.537702 ] : 94
!!!atention to nb coordination!!!
         [1.5014176558584007, 1.4543774024886182, 1.4522276075837748, 1.5062046458136604]
         [1.5014176558584007, 1.4543774024886182, 1.4522276075837746, 1.5062046458136598]


**isite= 47
B1 : [3.6731125 4.2304777 6.869604 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [4.2010928 3.2588802 5.853981 ] : 85
O1 : [2.6702343 3.4389812 7.560063 ] : 98
O1 : [3.0560296 5.3755409 6.110202 ] : 95
O1 : [4.7395 4.7395 7.7175] : 79
!!!atention to nb coordination!!!
         [1.5014176558584005, 1.4522276075837748, 1.5062046458136598, 1.4543774024886182]
         [1.5014176558584003, 1.4522276075837746, 1.5062046458136598, 1.4543774024886182]


**isite= 48
O1 : [0.     4.7395 0.    ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [-0.5090223  3.6731125 -0.847896 ] : 42
B1 : [ 0.5090223  5.8058875 -0.847896 ] : 40
!!!atention to nb coordination!!!
         [1.4543774024886185, 1.4543774024886194]
         [1.4543774024886174, 1.4543774024886187]


**isite= 49
O1 : [4.7395 4.7395 2.5725]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [3.6731125 5.2485223 1.724604 ] : 27
B1 : [5.8058875 4.2304777 1.724604 ] : 25
!!!atention to nb coordination!!!
         [1.4543774024886194, 1.454377402488619]
         [1.4543774024886191, 1.4543774024886191]


**isite= 50
O1 : [0.     4.7395 5.145 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [0.5090223 3.6731125 4.297104 ] : 46
B1 : [-0.5090223  5.8058875  4.297104 ] : 28
!!!atention to nb coordination!!!
         [1.4543774024886182, 1.454377402488619]
         [1.4543774024886182, 1.4543774024886185]


**isite= 51
O1 : [0.     0.     2.5725]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [1.0663875 0.5090223 1.724604 ] : 29
B1 : [-1.0663875 -0.5090223  1.724604 ] : 31
!!!atention to nb coordination!!!
         [1.4543774024886194, 1.4543774024886198]
         [1.4543774024886194, 1.454377402488619]


**isite= 52
O1 : [7.9983802 4.2010928 8.426481 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [7.8855801 5.5556419 8.224797 ] : 16
B1 : [8.9699777 3.6731125 9.442104 ] : 42
!!!atention to nb coordination!!!
         [1.3741191952399252, 1.5014176558584003]
         [1.3741191952399252, 1.5014176558584011]


**isite= 53
O1 : [4.2010928 6.2201198 0.708981 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [5.5556419 6.3329199 0.507297 ] : 17
B1 : [3.6731125 5.2485223 1.724604 ] : 27
!!!atention to nb coordination!!!
         [1.3741191952399248, 1.501417655858402]
         [1.3741191952399248, 1.5014176558584018]


**isite= 54
O1 : [6.2201198 0.5384072 3.281481 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 6.3329199 -0.8161419  3.079797 ] : 18
B1 : [5.2485223 1.0663875 4.297104 ] : 24
!!!atention to nb coordination!!!
         [1.3741191952399248, 1.5014176558584023]
         [1.3741191952399245, 1.5014176558584025]


**isite= 55
O1 : [0.5384072 7.9983802 5.853981 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [-0.8161419  7.8855801  5.652297 ] : 19
B1 : [1.0663875 8.9699777 6.869604 ] : 41
!!!atention to nb coordination!!!
         [1.374119195239925, 1.5014176558584003]
         [1.3741191952399245, 1.5014176558584011]


**isite= 56
O1 : [6.2201198 8.9405928 8.426481 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 6.3329199 10.2951419  8.224797 ] : 20
B1 : [5.2485223 8.4126125 9.442104 ] : 30
!!!atention to nb coordination!!!
         [1.374119195239925, 1.5014176558584016]
         [1.3741191952399252, 1.5014176558584018]


**isite= 57
O1 : [8.9405928 7.9983802 0.708981 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [10.2951419  7.8855801  0.507297 ] : 37
B1 : [8.4126125 8.9699777 1.724604 ] : 31
!!!atention to nb coordination!!!
         [1.3741191952399248, 1.5014176558584007]
         [1.3741191952399248, 1.5014176558584018]


**isite= 58
O1 : [7.9983802 5.2779072 3.281481 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [8.9699777 5.8058875 4.297104 ] : 28
B1 : [7.8855801 3.9233581 3.079797 ] : 22
!!!atention to nb coordination!!!
         [1.5014176558584011, 1.3741191952399243]
         [1.5014176558584025, 1.3741191952399243]


**isite= 59
O1 : [0.5384072 1.4806198 0.708981 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [1.0663875 0.5090223 1.724604 ] : 29
B1 : [-0.8161419  1.5934199  0.507297 ] : 23
!!!atention to nb coordination!!!
         [1.501417655858401, 1.374119195239925]
         [1.501417655858401, 1.3741191952399245]


**isite= 60
O1 : [4.1034591 1.6834704 3.537702 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [5.2485223 1.0663875 4.297104 ] : 24
B1 : [3.1460801 0.8161419 3.079797 ] : 32


**isite= 61
O1 : [6.4229704 5.3755409 0.965202 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [5.5556419 6.3329199 0.507297 ] : 17
B1 : [5.8058875 4.2304777 1.724604 ] : 25
!!!atention to nb coordination!!!
         [1.370587562171145, 1.5062046458136578]
         [1.3705875621711456, 1.5062046458136578]


**isite= 62
O1 : [5.3755409 7.7955296 3.537702 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [4.2304777 8.4126125 4.297104 ] : 26
B1 : [6.3329199 8.6628581 3.079797 ] : 18
!!!atention to nb coordination!!!
         [1.506204645813658, 1.3705875621711452]
         [1.506204645813658, 1.3705875621711459]


**isite= 63
O1 : [3.0560296 4.1034591 0.965202 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [3.9233581 3.1460801 0.507297 ] : 35
B1 : [3.6731125 5.2485223 1.724604 ] : 27
!!!atention to nb coordination!!!
         [1.3705875621711445, 1.5062046458136578]
         [1.3705875621711447, 1.5062046458136582]


**isite= 64
O1 : [0.6360409 6.4229704 3.537702 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [-0.5090223  5.8058875  4.297104 ] : 28
B1 : [1.5934199 5.5556419 3.079797 ] : 36
!!!atention to nb coordination!!!
         [1.5062046458136593, 1.3705875621711447]
         [1.506204645813658, 1.3705875621711447]


**isite= 65
O1 : [6.4229704 4.1034591 6.110202 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [5.8058875 5.2485223 6.869604 ] : 45
B1 : [5.5556419 3.1460801 5.652297 ] : 21
!!!atention to nb coordination!!!
         [1.5062046458136582, 1.3705875621711454]
         [1.5062046458136582, 1.3705875621711452]


**isite= 66
O1 : [4.1034591 7.7955296 8.682702 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [5.2485223 8.4126125 9.442104 ] : 30
B1 : [3.1460801 8.6628581 8.224797 ] : 38


**isite= 67
O1 : [7.7955296 0.6360409 0.965202 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 8.4126125 -0.5090223  1.724604 ] : 31
B1 : [8.6628581 1.5934199 0.507297 ] : 23
!!!atention to nb coordination!!!
         [1.5062046458136593, 1.3705875621711459]
         [1.5062046458136578, 1.3705875621711459]


**isite= 68
O1 : [2.0692657 1.3005188 2.415063 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [1.0663875 0.5090223 1.724604 ] : 29
B1 : [3.1460801 0.8161419 3.079797 ] : 32


**isite= 69
O1 : [ 6.0400188  7.4097343 10.132563 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [5.2485223 8.4126125 9.442104 ] : 30
B1 : [ 5.5556419  6.3329199 10.797297 ] : 17
!!!atention to nb coordination!!!
         [1.4522276075837732, 1.3549987173635913]
         [1.4522276075837732, 1.3549987173635907]


**isite= 70
O1 : [7.4097343 8.1784812 2.415063 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [6.3329199 8.6628581 3.079797 ] : 18
B1 : [8.4126125 8.9699777 1.724604 ] : 31
!!!atention to nb coordination!!!
         [1.3549987173635905, 1.4522276075837723]
         [1.3549987173635898, 1.4522276075837734]


**isite= 71
O1 : [8.1784812 6.8087657 4.987563 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [8.6628581 7.8855801 5.652297 ] : 19
B1 : [8.9699777 5.8058875 4.297104 ] : 28
!!!atention to nb coordination!!!
         [1.3549987173635898, 1.452227607583772]
         [1.3549987173635898, 1.452227607583773]


**isite= 72
O1 : [2.6702343 6.0400188 2.415063 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [1.5934199 5.5556419 3.079797 ] : 36
B1 : [3.6731125 5.2485223 1.724604 ] : 27
!!!atention to nb coordination!!!
         [1.35499871736359, 1.452227607583774]
         [1.35499871736359, 1.4522276075837741]


**isite= 73
O1 : [6.0400188 2.0692657 4.987563 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [5.2485223 1.0663875 4.297104 ] : 24
B1 : [5.5556419 3.1460801 5.652297 ] : 21


**isite= 74
O1 : [6.8087657 3.4389812 2.415063 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [5.8058875 4.2304777 1.724604 ] : 25
B1 : [7.8855801 3.9233581 3.079797 ] : 22


**isite= 75
O1 : [ 8.1784812  2.6702343 10.132563 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 8.6628581  1.5934199 10.797297 ] : 23
B1 : [8.9699777 3.6731125 9.442104 ] : 42
!!!atention to nb coordination!!!
         [1.3549987173635896, 1.4522276075837732]
         [1.3549987173635896, 1.4522276075837741]


**isite= 76
O1 : [4.7395 0.     5.145 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [5.2485223 1.0663875 4.297104 ] : 24
B1 : [ 4.2304777 -1.0663875  4.297104 ] : 26


**isite= 77
O1 : [0.     0.     7.7175]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [-1.0663875  0.5090223  6.869604 ] : 43
B1 : [ 1.0663875 -0.5090223  6.869604 ] : 41
!!!atention to nb coordination!!!
         [1.4543774024886194, 1.4543774024886187]
         [1.4543774024886194, 1.454377402488618]


**isite= 78
O1 : [4.7395 0.     0.    ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 4.2304777  1.0663875 -0.847896 ] : 44
B1 : [ 5.2485223 -1.0663875 -0.847896 ] : 30
!!!atention to nb coordination!!!
         [1.4543774024886185, 1.454377402488619]
         [1.4543774024886178, 1.4543774024886185]


**isite= 79
O1 : [4.7395 4.7395 7.7175]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [3.6731125 4.2304777 6.869604 ] : 47
B1 : [5.8058875 5.2485223 6.869604 ] : 45


**isite= 80
O1 : [3.2588802 8.9405928 3.281481 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 3.1460801 10.2951419  3.079797 ] : 32
B1 : [4.2304777 8.4126125 4.297104 ] : 26


**isite= 81
O1 : [8.9405928 1.4806198 5.853981 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [10.2951419  1.5934199  5.652297 ] : 33
B1 : [8.4126125 0.5090223 6.869604 ] : 43
!!!atention to nb coordination!!!
         [1.3741191952399248, 1.5014176558584011]
         [1.3741191952399248, 1.501417655858401]


**isite= 82
O1 : [1.4806198 5.2779072 8.426481 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [1.5934199 3.9233581 8.224797 ] : 34
B1 : [0.5090223 5.8058875 9.442104 ] : 40
!!!atention to nb coordination!!!
         [1.374119195239926, 1.5014176558584011]
         [1.3741191952399257, 1.501417655858401]


**isite= 83
