cif name= ./1536817.cif
./1536817.cif
Full Formula (In10 Mo36 O56)
O1 : [8.38501565 7.28607027 6.00584496] : 77
O1 : [10.22856962  7.01516522  3.94399491] : 101
O1 : [7.39778592 6.99907845 3.37884633] : 69
O1 : [8.97757099 4.69609998 2.85779839] : 89
!!!atention to nb coordination!!!
         [2.0707265822446397, 2.088259866127012, 1.9917016573719812, 2.064325967234658]
         [2.0707265822446392, 2.0882598661270118, 1.9917016573719808, 2.0643259672346574]


**isite= 22
Mo1 : [9.22012445 1.08904591 1.42297378]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [ 9.6131407   2.44937762 -0.0644996 ] : 70
O1 : [7.72174151 2.22178311 2.01959505] : 78
O1 : [10.54297116  2.2789911   2.54190578] : 82
O1 : [ 8.94840029 -0.09556875  3.08529546] : 50
!!!atention to nb coordination!!!
         [2.053665300327599, 1.970837878793448, 2.1018805405382417, 2.0592375474286277]
         [2.053665300327599, 1.9708378787934477, 2.1018805405382417, 2.0592375474286286]


**isite= 23
Mo1 : [3.06920149 5.84844591 3.43392355]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [4.56758444 6.98118311 2.83730228] : 79
O1 : [2.67618525 7.20877762 4.92139692] : 71
O1 : [1.74635478 7.0383911  2.31499154] : 83
O1 : [3.34092566 4.66383125 1.77160187] : 51
!!!atention to nb coordination!!!
         [1.970837878793448, 2.0536653003276, 2.101880540538242, 2.0592375474286277]
         [1.9708378787934475, 2.0536653003275998, 2.1018805405382417, 2.059237547428628]


**isite= 24
Mo1 : [2.12722744 8.42975409 8.29082087]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [3.62561038 7.29701689 7.69419961] : 80
O1 : [0.80438073 7.2398089  7.17188887] : 84
O1 : [2.3989516  9.61436875 6.6284992 ] : 52
O1 : [1.7342112  7.06942238 9.77829425] : 72
!!!atention to nb coordination!!!
         [1.9708378787934457, 2.101880540538241, 2.0592375474286277, 2.053665300327599]
         [1.970837878793447, 2.101880540538241, 2.0592375474286277, 2.0536653003275993]


**isite= 25
Mo1 : [8.2781504  3.67035409 6.27987111]

ce_symbol  = SS:4
ce_fraction=  1.0
species:coords:index
O1 : [8.67116664 2.31002238 4.79239773] : 73
O1 : [9.60099711 2.4804089  7.39880311] : 85
O1 : [6.77976745 2.53761689 6.87649237] : 81
O1 : [8.00642624 4.85496875 7.94219278] : 53
!!!atention to nb coordination!!!
         [2.0536653003275984, 2.1018805405382426, 1.970837878793447, 2.0592375474286286]
         [2.0536653003275984, 2.1018805405382426, 1.9708378787934473, 2.059237547428628]


**isite= 26
Mo1 : [6.55326458 1.23116159 8.52191205]

ce_symbol  = S:5
ce_fraction=  0.9999648808922066
species:coords:index
O1 : [4.8808263  2.35599819 9.01925834] : 62
O1 : [5.19597071 0.23777962 7.30224799] : 54
O1 : [8.03559693 0.06330002 7.71469571] : 86
O1 : [6.77976745 2.53761689 6.87649237] : 81
O1 : [7.72919259 2.44937762 9.64929506] : 70
!!!atention to nb coordination!!!
         [2.07597218600538, 2.077651271184049, 2.052512619505606, 2.11318123033655, 2.034170443666974]
         [2.0759721860053792, 2.0776512711840494, 2.052512619505606, 2.1131812303365494, 2.034170443666974]

ce_symbol  = SS:9
ce_fraction=  3.506640828471011e-05
species:coords:index
O1 : [4.8808263  2.35599819 9.01925834] : 62
Mo1 : [ 4.58459954  1.03535988 10.55481499] : 14
Mo1 : [ 4.87880425 -1.03535988  8.87277431] : 16
O1 : [5.19597071 0.23777962 7.30224799] : 54
Mo1 : [ 7.33617634  1.08904591 11.13676843] : 22
Mo1 : [ 7.63832133 -1.10617975  9.36876067] : 18
O1 : [8.03559693 0.06330002 7.71469571] : 86
O1 : [6.77976745 2.53761689 6.87649237] : 81
O1 : [7.72919259 2.44937762 9.64929506] : 70
!!!atention to nb coordination!!!
         [2.07597218600538, 2.8366661353482594, 2.8397255709260962, 2.077651271184049, 2.7332437856746266, 2.7125016630143532, 2.052512619505606, 2.11318123033655, 2.034170443666974]
         [2.0759721860053792, 2.8366661353482585, 2.839725570926096, 2.0776512711840494, 2.733243785674627, 2.712501663014353, 2.052512619505606, 2.1131812303365494, 2.034170443666974]

ce_symbol  = T:5
ce_fraction=  5.269950875893978e-08
species:coords:index
O1 : [4.8808263  2.35599819 9.01925834] : 62
O1 : [5.19597071 0.23777962 7.30224799] : 54
O1 : [8.03559693 0.06330002 7.71469571] : 86
O1 : [6.77976745 2.53761689 6.87649237] : 81
O1 : [7.72919259 2.44937762 9.64929506] : 70
!!!atention to nb coordination!!!
         [2.07597218600538, 2.077651271184049, 2.052512619505606, 2.11318123033655, 2.034170443666974]
         [2.0759721860053792, 2.0776512711840494, 2.052512619505606, 2.1131812303365494, 2.034170443666974]


**isite= 27
Mo1 : [3.85211325 5.99056159 6.04877993]

ce_symbol  = S:5
ce_fraction=  0.9999648808922066
species:coords:index
O1 : [2.36978091 4.82270002 6.85599627] : 87
O1 : [5.20940713 4.99717962 7.26844399] : 55
O1 : [5.52455154 7.11539819 5.55143364] : 63
O1 : [3.62561038 7.29701689 7.69419961] : 80
O1 : [2.67618525 7.20877762 4.92139692] : 71
!!!atention to nb coordination!!!
         [2.0525126195056056, 2.077651271184049, 2.075972186005379, 2.11318123033655, 2.034170443666976]
         [2.0525126195056065, 2.077651271184049, 2.075972186005379, 2.113181230336549, 2.034170443666975]

ce_symbol  = SS:9
ce_fraction=  3.506640828470925e-05
species:coords:index
Mo1 : [2.7670565  3.65322025 5.20193131] : 19
O1 : [2.36978091 4.82270002 6.85599627] : 87
O1 : [5.20940713 4.99717962 7.26844399] : 55
O1 : [5.52455154 7.11539819 5.55143364] : 63
Mo1 : [5.8207783  5.79475988 4.01587699] : 15
O1 : [3.62561038 7.29701689 7.69419961] : 80
Mo1 : [3.06920149 5.84844591 3.43392355] : 23
Mo1 : [5.52657359 3.72404012 5.69791767] : 17
O1 : [2.67618525 7.20877762 4.92139692] : 71
!!!atention to nb coordination!!!
         [2.712501663014351, 2.0525126195056056, 2.077651271184049, 2.075972186005379, 2.8366661353482594, 2.11318123033655, 2.7332437856746274, 2.8397255709260945, 2.034170443666976]
         [2.7125016630143515, 2.0525126195056065, 2.077651271184049, 2.075972186005379, 2.8366661353482594, 2.113181230336549, 2.7332437856746274, 2.839725570926095, 2.034170443666975]

ce_symbol  = T:5
ce_fraction=  5.269950875891876e-08
species:coords:index
O1 : [2.36978091 4.82270002 6.85599627] : 87
O1 : [5.20940713 4.99717962 7.26844399] : 55
O1 : [5.52455154 7.11539819 5.55143364] : 63
O1 : [3.62561038 7.29701689 7.69419961] : 80
O1 : [2.67618525 7.20877762 4.92139692] : 71
!!!atention to nb coordination!!!
         [2.0525126195056056, 2.077651271184049, 2.075972186005379, 2.11318123033655, 2.034170443666976]
         [2.0525126195056065, 2.077651271184049, 2.075972186005379, 2.113181230336549, 2.034170443666975]


**isite= 28
Mo1 : [4.79408731 8.28763841 1.1918826 ]

ce_symbol  = S:5
ce_fraction=  0.9999648808922066
species:coords:index
O1 : [3.6181593  7.06942238 0.0644996 ] : 72
O1 : [6.46652559 7.16280181 0.69453632] : 64
O1 : [3.31175496 9.45549998 1.99909894] : 88
O1 : [6.15138118 9.28102038 2.41154666] : 56
O1 : [4.56758444 6.98118311 2.83730228] : 79
!!!atention to nb coordination!!!
         [2.034170443666975, 2.0759721860053784, 2.052512619505608, 2.077651271184048, 2.1131812303365494]
         [2.0341704436669756, 2.0759721860053792, 2.0525126195056065, 2.0776512711840485, 2.1131812303365503]

ce_symbol  = SS:9
ce_fraction=  3.506640828471011e-05
species:coords:index
O1 : [3.6181593  7.06942238 0.0644996 ] : 72
O1 : [6.46652559 7.16280181 0.69453632] : 64
O1 : [3.31175496 9.45549998 1.99909894] : 88
Mo1 : [ 3.70903056 10.62497975  0.34503399] : 20
O1 : [6.15138118 9.28102038 2.41154666] : 56
Mo1 : [ 6.46854765 10.55415988  0.84102034] : 14
O1 : [4.56758444 6.98118311 2.83730228] : 79
Mo1 : [ 4.01117555  8.42975409 -1.42297378] : 24
Mo1 : [ 6.76275235  8.48344012 -0.84102034] : 16
!!!atention to nb coordination!!!
         [2.034170443666975, 2.0759721860053784, 2.052512619505608, 2.7125016630143524, 2.077651271184048, 2.839725570926094, 2.1131812303365494, 2.7332437856746274, 2.836666135348259]
         [2.0341704436669756, 2.0759721860053792, 2.0525126195056065, 2.7125016630143506, 2.0776512711840485, 2.839725570926095, 2.1131812303365503, 2.733243785674627, 2.8366661353482585]

ce_symbol  = T:5
ce_fraction=  5.269950875892721e-08
species:coords:index
O1 : [3.6181593  7.06942238 0.0644996 ] : 72
O1 : [6.46652559 7.16280181 0.69453632] : 64
O1 : [3.31175496 9.45549998 1.99909894] : 88
O1 : [6.15138118 9.28102038 2.41154666] : 56
O1 : [4.56758444 6.98118311 2.83730228] : 79
!!!atention to nb coordination!!!
         [2.034170443666975, 2.0759721860053784, 2.052512619505608, 2.077651271184048, 2.1131812303365494]
         [2.0341704436669756, 2.0759721860053792, 2.0525126195056065, 2.0776512711840485, 2.1131812303365503]


**isite= 29
Mo1 : [7.49523864 3.52823841 3.66501472]

ce_symbol  = S:5
ce_fraction=  0.9999648808922066
species:coords:index
O1 : [8.97757099 4.69609998 2.85779839] : 89
O1 : [8.67116664 2.31002238 4.79239773] : 73
O1 : [6.13794477 4.52162038 2.44535067] : 57
O1 : [5.82280035 2.40340181 4.16236101] : 65
O1 : [7.72174151 2.22178311 2.01959505] : 78
!!!atention to nb coordination!!!
         [2.052512619505606, 2.034170443666974, 2.0776512711840485, 2.075972186005379, 2.1131812303365494]
         [2.052512619505606, 2.0341704436669743, 2.0776512711840485, 2.075972186005379, 2.1131812303365494]

ce_symbol  = SS:9
ce_fraction=  3.506640828471309e-05
species:coords:index
Mo1 : [8.58029539 5.86557975 4.51186334] : 21
Mo1 : [5.52657359 3.72404012 5.69791767] : 17
Mo1 : [5.8207783  5.79475988 4.01587699] : 15
O1 : [8.97757099 4.69609998 2.85779839] : 89
Mo1 : [8.2781504  3.67035409 6.27987111] : 25
O1 : [8.67116664 2.31002238 4.79239773] : 73
O1 : [6.13794477 4.52162038 2.44535067] : 57
O1 : [5.82280035 2.40340181 4.16236101] : 65
O1 : [7.72174151 2.22178311 2.01959505] : 78
!!!atention to nb coordination!!!
         [2.712501663014353, 2.836666135348259, 2.839725570926095, 2.052512619505606, 2.7332437856746266, 2.034170443666974, 2.0776512711840485, 2.075972186005379, 2.1131812303365494]
         [2.712501663014353, 2.8366661353482585, 2.839725570926095, 2.052512619505606, 2.733243785674626, 2.0341704436669743, 2.0776512711840485, 2.075972186005379, 2.1131812303365494]

ce_symbol  = T:5
ce_fraction=  5.2699508758934795e-08
species:coords:index
O1 : [8.97757099 4.69609998 2.85779839] : 89
O1 : [8.67116664 2.31002238 4.79239773] : 73
O1 : [6.13794477 4.52162038 2.44535067] : 57
O1 : [5.82280035 2.40340181 4.16236101] : 65
O1 : [7.72174151 2.22178311 2.01959505] : 78
!!!atention to nb coordination!!!
         [2.052512619505606, 2.034170443666974, 2.0776512711840485, 2.075972186005379, 2.1131812303365494]
         [2.052512619505606, 2.0341704436669743, 2.0776512711840485, 2.075972186005379, 2.1131812303365494]


**isite= 30
Mo1 : [7.84987578 8.27297946 1.78189849]

ce_symbol  = S:5
ce_fraction=  0.9998542290981082
species:coords:index
O1 : [9.32698971 6.99212973 1.14894763] : 74
O1 : [6.46652559 7.16280181 0.69453632] : 64
O1 : [8.94840029 9.42323125 3.08529546] : 50
O1 : [6.15138118 9.28102038 2.41154666] : 56
O1 : [7.39778592 6.99907845 3.37884633] : 69
!!!atention to nb coordination!!!
         [2.055010552019058, 2.08050682144494, 2.0563751945209137, 2.073038160364833, 2.0922359842131226]
         [2.0550105520190582, 2.08050682144494, 2.0563751945209128, 2.073038160364833, 2.092235984213123]

ce_symbol  = SS:9
ce_fraction=  0.00014577090189196588
species:coords:index
Mo1 : [ 6.46854765 10.55415988  0.84102034] : 14
Mo1 : [ 9.52226944  8.41262025 -0.34503399] : 18
Mo1 : [ 9.22012445 10.60784591  1.42297378] : 22
O1 : [9.32698971 6.99212973 1.14894763] : 74
O1 : [6.46652559 7.16280181 0.69453632] : 64
Mo1 : [ 6.76275235  8.48344012 -0.84102034] : 16
O1 : [8.94840029 9.42323125 3.08529546] : 50
O1 : [6.15138118 9.28102038 2.41154666] : 56
O1 : [7.39778592 6.99907845 3.37884633] : 69
!!!atention to nb coordination!!!
         [2.8279149940682413, 2.709288076478352, 2.7309356862834915, 2.055010552019058, 2.08050682144494, 2.847074680155677, 2.0563751945209137, 2.073038160364833, 2.0922359842131226]
         [2.827914994068241, 2.709288076478353, 2.730935686283492, 2.0550105520190582, 2.08050682144494, 2.8470746801556768, 2.0563751945209128, 2.073038160364833, 2.092235984213123]


**isite= 31
Mo1 : [4.43945017 3.51357946 3.07499884]

ce_symbol  = S:5
ce_fraction=  0.9998542290981082
species:coords:index
O1 : [2.96233624 2.23272973 3.7079497 ] : 75
O1 : [3.34092566 4.66383125 1.77160187] : 51
O1 : [4.89154002 2.23967845 1.47805099] : 68
O1 : [5.82280035 2.40340181 4.16236101] : 65
O1 : [6.13794477 4.52162038 2.44535067] : 57
!!!atention to nb coordination!!!
         [2.055010552019058, 2.0563751945209137, 2.0922359842131226, 2.08050682144494, 2.073038160364834]
         [2.055010552019058, 2.056375194520913, 2.092235984213123, 2.08050682144494, 2.073038160364834]

ce_symbol  = SS:9
ce_fraction=  0.00014577090189196994
species:coords:index
O1 : [2.96233624 2.23272973 3.7079497 ] : 75
Mo1 : [3.06920149 5.84844591 3.43392355] : 23
Mo1 : [5.8207783  5.79475988 4.01587699] : 15
O1 : [3.34092566 4.66383125 1.77160187] : 51
O1 : [4.89154002 2.23967845 1.47805099] : 68
O1 : [5.82280035 2.40340181 4.16236101] : 65
Mo1 : [5.52657359 3.72404012 5.69791767] : 17
O1 : [6.13794477 4.52162038 2.44535067] : 57
Mo1 : [2.7670565  3.65322025 5.20193131] : 19
!!!atention to nb coordination!!!
         [2.055010552019058, 2.7309356862834915, 2.8279149940682413, 2.0563751945209137, 2.0922359842131226, 2.08050682144494, 2.8470746801556768, 2.073038160364834, 2.709288076478352]
         [2.055010552019058, 2.7309356862834906, 2.82791499406824, 2.056375194520913, 2.092235984213123, 2.08050682144494, 2.8470746801556768, 2.073038160364834, 2.709288076478352]


**isite= 32
Mo1 : [3.49747611 1.24582054 7.93189616]

ce_symbol  = S:5
ce_fraction=  0.9998542290981082
species:coords:index
O1 : [5.19597071 0.23777962 7.30224799] : 54
O1 : [2.02036219 2.52667027 8.56484702] : 76
O1 : [3.94956597 2.51972155 6.33494832] : 67
O1 : [4.8808263  2.35599819 9.01925834] : 62
O1 : [2.3989516  0.09556875 6.6284992 ] : 52
!!!atention to nb coordination!!!
         [2.0730381603648333, 2.0550105520190582, 2.0922359842131226, 2.0805068214449394, 2.0563751945209123]
         [2.0730381603648333, 2.0550105520190582, 2.0922359842131226, 2.08050682144494, 2.0563751945209123]

ce_symbol  = SS:9
ce_fraction=  0.0001457709018919614
species:coords:index
O1 : [5.19597071 0.23777962 7.30224799] : 54
O1 : [2.02036219 2.52667027 8.56484702] : 76
Mo1 : [ 2.12722744 -1.08904591  8.29082087] : 24
Mo1 : [ 4.58459954  1.03535988 10.55481499] : 14
Mo1 : [ 4.87880425 -1.03535988  8.87277431] : 16
O1 : [3.94956597 2.51972155 6.33494832] : 67
O1 : [4.8808263  2.35599819 9.01925834] : 62
O1 : [2.3989516  0.09556875 6.6284992 ] : 52
Mo1 : [ 1.82508245  1.10617975 10.05882864] : 20
!!!atention to nb coordination!!!
         [2.0730381603648333, 2.0550105520190582, 2.730935686283491, 2.8470746801556768, 2.827914994068241, 2.0922359842131226, 2.0805068214449394, 2.0563751945209123, 2.7092880764783516]
         [2.0730381603648333, 2.0550105520190582, 2.7309356862834906, 2.8470746801556777, 2.82791499406824, 2.0922359842131226, 2.08050682144494, 2.0563751945209123, 2.7092880764783516]


**isite= 33
Mo1 : [6.90790173 6.00522054 6.63879582]

ce_symbol  = S:5
ce_fraction=  0.9998542290981082
species:coords:index
O1 : [5.20940713 4.99717962 7.26844399] : 55
O1 : [8.38501565 7.28607027 6.00584496] : 77
O1 : [6.45581187 7.27912155 8.23574366] : 66
O1 : [5.52455154 7.11539819 5.55143364] : 63
O1 : [8.00642624 4.85496875 7.94219278] : 53
!!!atention to nb coordination!!!
         [2.073038160364833, 2.0550105520190582, 2.0922359842131235, 2.08050682144494, 2.0563751945209123]
         [2.073038160364833, 2.0550105520190574, 2.0922359842131226, 2.08050682144494, 2.0563751945209128]

ce_symbol  = SS:9
ce_fraction=  0.00014577090189195972
species:coords:index
Mo1 : [5.52657359 3.72404012 5.69791767] : 17
Mo1 : [5.8207783  5.79475988 4.01587699] : 15
Mo1 : [8.58029539 5.86557975 4.51186334] : 21
O1 : [5.20940713 4.99717962 7.26844399] : 55
O1 : [8.38501565 7.28607027 6.00584496] : 77
O1 : [6.45581187 7.27912155 8.23574366] : 66
O1 : [5.52455154 7.11539819 5.55143364] : 63
Mo1 : [8.2781504  3.67035409 6.27987111] : 25
O1 : [8.00642624 4.85496875 7.94219278] : 53
!!!atention to nb coordination!!!
         [2.82791499406824, 2.8470746801556768, 2.7092880764783525, 2.073038160364833, 2.0550105520190582, 2.0922359842131235, 2.08050682144494, 2.7309356862834906, 2.0563751945209123]
         [2.82791499406824, 2.847074680155677, 2.7092880764783525, 2.073038160364833, 2.0550105520190574, 2.0922359842131226, 2.08050682144494, 2.730935686283491, 2.0563751945209128]


**isite= 34
Mo1 : [11.93369524  1.06886605  1.89593844]

ce_symbol  = S:5
ce_fraction=  0.9999984219937319
species:coords:index
O1 : [13.64427412 -0.04721325  1.27561551] : 48
O1 : [11.75303275 -0.11432079  3.51717077] : 58
O1 : [13.36301886  2.34038736  3.01914452] : 95
O1 : [12.48021971  2.25500372  0.32988047] : 90
O1 : [10.54297116  2.2789911   2.54190578] : 82
!!!atention to nb coordination!!!
         [2.1345991704474336, 2.0151834398031574, 2.2184058055323312, 2.039154025712555, 1.9534046949348909]
         [2.134599170447436, 2.0151834398031583, 2.2184058055323295, 2.039154025712555, 1.9534046949348904]

ce_symbol  = T:5
ce_fraction=  1.5780062680777755e-06
species:coords:index
O1 : [13.64427412 -0.04721325  1.27561551] : 48
O1 : [11.75303275 -0.11432079  3.51717077] : 58
O1 : [13.36301886  2.34038736  3.01914452] : 95
O1 : [12.48021971  2.25500372  0.32988047] : 90
O1 : [10.54297116  2.2789911   2.54190578] : 82
!!!atention to nb coordination!!!
         [2.1345991704474336, 2.0151834398031574, 2.2184058055323312, 2.039154025712555, 1.9534046949348909]
         [2.134599170447436, 2.0151834398031583, 2.2184058055323295, 2.039154025712555, 1.9534046949348904]


**isite= 35
Mo1 : [0.3556307  5.82826605 2.96095889]

ce_symbol  = S:5
ce_fraction=  0.9999984219937319
species:coords:index
O1 : [-1.07369292  7.09978736  1.83775281] : 94
O1 : [-0.19089377  7.01440372  4.52701686] : 91
O1 : [-1.35494817  4.71218675  3.58128181] : 49
O1 : [0.5362932  4.64507921 1.33972656] : 59
O1 : [1.74635478 7.0383911  2.31499154] : 83
!!!atention to nb coordination!!!
         [2.218405805532331, 2.039154025712556, 2.1345991704474354, 2.0151834398031587, 1.9534046949348916]
         [2.2184058055323312, 2.039154025712555, 2.1345991704474354, 2.015183439803159, 1.9534046949348904]

ce_symbol  = T:5
ce_fraction=  1.5780062680777526e-06
species:coords:index
O1 : [-1.07369292  7.09978736  1.83775281] : 94
O1 : [-0.19089377  7.01440372  4.52701686] : 91
O1 : [-1.35494817  4.71218675  3.58128181] : 49
O1 : [0.5362932  4.64507921 1.33972656] : 59
O1 : [1.74635478 7.0383911  2.31499154] : 83
!!!atention to nb coordination!!!
         [2.218405805532331, 2.039154025712556, 2.1345991704474354, 2.0151834398031587, 1.9534046949348916]
         [2.2184058055323312, 2.039154025712555, 2.1345991704474354, 2.015183439803159, 1.9534046949348904]


**isite= 36
Mo1 : [-0.58634335  8.44993395  7.81785621]

ce_symbol  = S:5
ce_fraction=  0.9999984219937319
species:coords:index
O1 : [0.80438073 7.2398089  7.17188887] : 84
O1 : [-1.13286782  7.26379628  9.38391419] : 92
O1 : [-0.40568086  9.63312079  6.19662389] : 60
O1 : [-2.01566697  7.17841264  6.69465014] : 97
O1 : [-2.29692223  9.56601325  8.43817914] : 46
!!!atention to nb coordination!!!
         [1.9534046949348916, 2.039154025712556, 2.0151834398031587, 2.2184058055323304, 2.1345991704474345]
         [1.9534046949348913, 2.0391540257125564, 2.0151834398031587, 2.2184058055323312, 2.1345991704474345]

ce_symbol  = T:5
ce_fraction=  1.5780062680777683e-06
species:coords:index
O1 : [0.80438073 7.2398089  7.17188887] : 84
O1 : [-1.13286782  7.26379628  9.38391419] : 92
O1 : [-0.40568086  9.63312079  6.19662389] : 60
O1 : [-2.01566697  7.17841264  6.69465014] : 97
O1 : [-2.29692223  9.56601325  8.43817914] : 46
!!!atention to nb coordination!!!
         [1.9534046949348916, 2.039154025712556, 2.0151834398031587, 2.2184058055323304, 2.1345991704474345]
         [1.9534046949348913, 2.0391540257125564, 2.0151834398031587, 2.2184058055323312, 2.1345991704474345]


**isite= 37
Mo1 : [10.99172119  3.69053395  6.75283577]

ce_symbol  = S:5
ce_fraction=  0.9999984219937319
species:coords:index
O1 : [12.70230006  4.80661325  6.13251284] : 47
O1 : [9.60099711 2.4804089  7.39880311] : 85
O1 : [10.81105869  4.87372079  8.37406809] : 61
O1 : [12.42104481  2.41901264  7.87604184] : 96
O1 : [11.53824566  2.50439628  5.18677779] : 93
!!!atention to nb coordination!!!
         [2.1345991704474354, 1.953404694934889, 2.0151834398031587, 2.2184058055323317, 2.039154025712556]
         [2.1345991704474367, 1.9534046949348893, 2.015183439803158, 2.2184058055323317, 2.039154025712556]

ce_symbol  = T:5
ce_fraction=  1.5780062680778087e-06
species:coords:index
O1 : [12.70230006  4.80661325  6.13251284] : 47
O1 : [9.60099711 2.4804089  7.39880311] : 85
O1 : [10.81105869  4.87372079  8.37406809] : 61
O1 : [12.42104481  2.41901264  7.87604184] : 96
O1 : [11.53824566  2.50439628  5.18677779] : 93
!!!atention to nb coordination!!!
         [2.1345991704474354, 1.953404694934889, 2.0151834398031587, 2.2184058055323317, 2.039154025712556]
         [2.1345991704474367, 1.9534046949348893, 2.015183439803158, 2.2184058055323317, 2.039154025712556]


**isite= 38
Mo1 : [10.45848587  8.24994396  2.31576865]

ce_symbol  = S:5
ce_fraction=  0.9999962297655132
species:coords:index
O1 : [12.15760708  7.09978736  1.83775281] : 94
O1 : [11.75303275  9.40447921  3.51717077] : 58
O1 : [8.94840029 9.42323125 3.08529546] : 50
O1 : [10.22856962  7.01516522  3.94399491] : 101
O1 : [9.32698971 6.99212973 1.14894763] : 74
!!!atention to nb coordination!!!
         [2.1067444720078843, 2.110016668383089, 2.0613425276752424, 2.0563707738590926, 2.0552010798886537]
         [2.1067444720078847, 2.110016668383088, 2.061342527675241, 2.056370773859093, 2.055201079888654]

ce_symbol  = T:5
ce_fraction=  3.7702344868915834e-06
species:coords:index
O1 : [12.15760708  7.09978736  1.83775281] : 94
O1 : [11.75303275  9.40447921  3.51717077] : 58
O1 : [8.94840029 9.42323125 3.08529546] : 50
O1 : [10.22856962  7.01516522  3.94399491] : 101
O1 : [9.32698971 6.99212973 1.14894763] : 74
!!!atention to nb coordination!!!
         [2.1067444720078843, 2.110016668383089, 2.0613425276752424, 2.0563707738590926, 2.0552010798886537]
         [2.1067444720078847, 2.110016668383088, 2.061342527675241, 2.056370773859093, 2.055201079888654]


**isite= 39
Mo1 : [1.83084008 3.49054396 2.54112868]

ce_symbol  = S:5
ce_fraction=  0.9999962297655132
species:coords:index
O1 : [2.96233624 2.23272973 3.7079497 ] : 75
O1 : [0.13171886 2.34038736 3.01914452] : 95
O1 : [2.06075633 2.25576522 0.91290242] : 100
O1 : [0.5362932  4.64507921 1.33972656] : 59
O1 : [3.34092566 4.66383125 1.77160187] : 51
!!!atention to nb coordination!!!
         [2.0552010798886524, 2.1067444720078834, 2.0563707738590926, 2.110016668383087, 2.061342527675242]
         [2.0552010798886533, 2.106744472007884, 2.056370773859093, 2.1100166683830865, 2.0613425276752415]

ce_symbol  = T:5
ce_fraction=  3.7702344868919065e-06
species:coords:index
O1 : [2.96233624 2.23272973 3.7079497 ] : 75
O1 : [0.13171886 2.34038736 3.01914452] : 95
O1 : [2.06075633 2.25576522 0.91290242] : 100
O1 : [0.5362932  4.64507921 1.33972656] : 59
O1 : [3.34092566 4.66383125 1.77160187] : 51
!!!atention to nb coordination!!!
         [2.0552010798886524, 2.1067444720078834, 2.0563707738590926, 2.110016668383087, 2.061342527675242]
         [2.0552010798886533, 2.106744472007884, 2.056370773859093, 2.1100166683830865, 2.0613425276752415]


**isite= 40
Mo1 : [0.88886603 1.26885604 7.39802601]

ce_symbol  = S:5
ce_fraction=  0.9999962297655132
species:coords:index
O1 : [2.02036219 2.52667027 8.56484702] : 76
O1 : [-0.40568086  0.11432079  6.19662389] : 60
O1 : [1.11878227 2.50363478 5.76979975] : 99
O1 : [-0.81025519  2.41901264  7.87604184] : 96
O1 : [2.3989516  0.09556875 6.6284992 ] : 52
!!!atention to nb coordination!!!
         [2.0552010798886533, 2.110016668383087, 2.056370773859093, 2.1067444720078825, 2.061342527675241]
         [2.0552010798886533, 2.110016668383087, 2.0563707738590926, 2.106744472007883, 2.061342527675241]

ce_symbol  = T:5
ce_fraction=  3.7702344868916643e-06
species:coords:index
O1 : [2.02036219 2.52667027 8.56484702] : 76
O1 : [-0.40568086  0.11432079  6.19662389] : 60
O1 : [1.11878227 2.50363478 5.76979975] : 99
O1 : [-0.81025519  2.41901264  7.87604184] : 96
O1 : [2.3989516  0.09556875 6.6284992 ] : 52
!!!atention to nb coordination!!!
         [2.0552010798886533, 2.110016668383087, 2.056370773859093, 2.1067444720078825, 2.061342527675241]
         [2.0552010798886533, 2.110016668383087, 2.0563707738590926, 2.106744472007883, 2.061342527675241]


**isite= 41
Mo1 : [9.51651181 6.02825604 7.17266597]

ce_symbol  = S:5
ce_fraction=  0.9999962297655132
species:coords:index
O1 : [11.21563303  7.17841264  6.69465014] : 97
O1 : [8.00642624 4.85496875 7.94219278] : 53
O1 : [9.28659557 7.26303478 8.80089223] : 98
O1 : [8.38501565 7.28607027 6.00584496] : 77
O1 : [10.81105869  4.87372079  8.37406809] : 61
!!!atention to nb coordination!!!
         [2.106744472007885, 2.0613425276752393, 2.056370773859094, 2.0552010798886546, 2.110016668383087]
         [2.1067444720078843, 2.0613425276752397, 2.056370773859093, 2.055201079888654, 2.1100166683830874]

ce_symbol  = T:5
ce_fraction=  3.7702344868916617e-06
species:coords:index
O1 : [11.21563303  7.17841264  6.69465014] : 97
O1 : [8.00642624 4.85496875 7.94219278] : 53
O1 : [9.28659557 7.26303478 8.80089223] : 98
O1 : [8.38501565 7.28607027 6.00584496] : 77
O1 : [10.81105869  4.87372079  8.37406809] : 61
!!!atention to nb coordination!!!
         [2.106744472007885, 2.0613425276752393, 2.056370773859094, 2.0552010798886546, 2.110016668383087]
         [2.1067444720078843, 2.0613425276752397, 2.056370773859093, 2.055201079888654, 2.1100166683830874]


**isite= 42
Mo1 : [9.16533072 1.1684327  8.99225399]

ce_symbol  = S:5
ce_fraction=  0.9999905808145543
species:coords:index
O1 : [10.59627161  2.25500372 10.04367512] : 90
