cif name= ./1530846.cif
./1530846.cif
Full Formula (Er16 Mn16 O56)
!!!atention to nb coordination!!!
         [2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.4349357217196204, 2.138000215592833, 2.434935721719621, 2.43493572171962, 2.4349357217196204]
         [2.43493572171962, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.434935721719621, 2.43493572171962, 2.43493572171962]

ce_symbol  = HB:8
ce_fraction=  0.26551115906050904
species:coords:index
O1 : [4.4743625 2.46875   7.40625  ] : 32
O1 : [7.40625 2.46875 7.40625] : 73
O1 : [4.9375    2.0056125 9.875    ] : 47
O1 : [4.9375    4.9375    6.9431125] : 57
O1 : [4.9375 4.9375 9.875 ] : 58
O1 : [ 7.40625    2.46875   10.3381375] : 69
O1 : [7.8693875 4.9375    9.875    ] : 79
O1 : [7.40625   5.4006375 7.40625  ] : 66
!!!atention to nb coordination!!!
         [2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.4349357217196204, 2.138000215592833, 2.434935721719621, 2.43493572171962, 2.4349357217196204]
         [2.43493572171962, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.434935721719621, 2.43493572171962, 2.43493572171962]

ce_symbol  = L:2
ce_fraction=  0.10106830630637713
species:coords:index
O1 : [7.40625 2.46875 7.40625] : 73
O1 : [4.9375 4.9375 9.875 ] : 58

ce_symbol  = BO_1:8
ce_fraction=  0.018202489353965547
species:coords:index
O1 : [4.4743625 2.46875   7.40625  ] : 32
O1 : [7.40625 2.46875 7.40625] : 73
O1 : [4.9375    2.0056125 9.875    ] : 47
O1 : [4.9375    4.9375    6.9431125] : 57
O1 : [4.9375 4.9375 9.875 ] : 58
O1 : [ 7.40625    2.46875   10.3381375] : 69
O1 : [7.8693875 4.9375    9.875    ] : 79
O1 : [7.40625   5.4006375 7.40625  ] : 66
!!!atention to nb coordination!!!
         [2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.4349357217196204, 2.138000215592833, 2.434935721719621, 2.43493572171962, 2.4349357217196204]
         [2.43493572171962, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.434935721719621, 2.43493572171962, 2.43493572171962]


**isite= 10
Er1 : [8.640625 8.640625 1.234375]

ce_symbol  = C:8
ce_fraction=  0.615218045279148
species:coords:index
O1 : [ 7.40625    7.40625   -0.4631375] : 82
O1 : [9.875     6.9431125 0.       ] : 61
O1 : [9.875 9.875 0.   ] : 72
O1 : [6.9431125 9.875     0.       ] : 67
O1 : [10.3381375  7.40625    2.46875  ] : 76
O1 : [ 7.40625   10.3381375  2.46875  ] : 80
O1 : [7.40625 7.40625 2.46875] : 87
O1 : [9.875     9.875     2.9318875] : 70
!!!atention to nb coordination!!!
         [2.434935721719621, 2.4349357217196204, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.434935721719621, 2.138000215592833, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.434935721719621, 2.138000215592833, 2.43493572171962]

ce_symbol  = HB:8
ce_fraction=  0.2655111590605088
species:coords:index
O1 : [ 7.40625    7.40625   -0.4631375] : 82
O1 : [9.875     6.9431125 0.       ] : 61
O1 : [9.875 9.875 0.   ] : 72
O1 : [6.9431125 9.875     0.       ] : 67
O1 : [10.3381375  7.40625    2.46875  ] : 76
O1 : [ 7.40625   10.3381375  2.46875  ] : 80
O1 : [7.40625 7.40625 2.46875] : 87
O1 : [9.875     9.875     2.9318875] : 70
!!!atention to nb coordination!!!
         [2.434935721719621, 2.4349357217196204, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.434935721719621, 2.138000215592833, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.434935721719621, 2.138000215592833, 2.43493572171962]

ce_symbol  = L:2
ce_fraction=  0.1010683063063776
species:coords:index
O1 : [9.875 9.875 0.   ] : 72
O1 : [7.40625 7.40625 2.46875] : 87

ce_symbol  = BO_1:8
ce_fraction=  0.018202489353965578
species:coords:index
O1 : [ 7.40625    7.40625   -0.4631375] : 82
O1 : [9.875     6.9431125 0.       ] : 61
O1 : [9.875 9.875 0.   ] : 72
O1 : [6.9431125 9.875     0.       ] : 67
O1 : [10.3381375  7.40625    2.46875  ] : 76
O1 : [ 7.40625   10.3381375  2.46875  ] : 80
O1 : [7.40625 7.40625 2.46875] : 87
O1 : [9.875     9.875     2.9318875] : 70
!!!atention to nb coordination!!!
         [2.434935721719621, 2.4349357217196204, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.434935721719621, 2.138000215592833, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.434935721719621, 2.138000215592833, 2.43493572171962]


**isite= 11
Er1 : [8.640625 1.234375 8.640625]

ce_symbol  = C:8
ce_fraction=  0.6152180452791473
species:coords:index
O1 : [ 7.40625    2.46875   10.3381375] : 69
O1 : [6.9431125 0.        9.875    ] : 67
O1 : [ 7.40625   -0.4631375  7.40625  ] : 64
O1 : [9.875     0.        6.9431125] : 71
O1 : [7.40625 2.46875 7.40625] : 73
O1 : [9.875 0.    9.875] : 72
O1 : [9.875     2.9318875 9.875    ] : 63
O1 : [10.3381375  2.46875    7.40625  ] : 62
!!!atention to nb coordination!!!
         [2.434935721719621, 2.43493572171962, 2.434935721719621, 2.4349357217196204, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.434935721719621]
         [2.434935721719621, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.434935721719621]

ce_symbol  = HB:8
ce_fraction=  0.2655111590605095
species:coords:index
O1 : [ 7.40625    2.46875   10.3381375] : 69
O1 : [6.9431125 0.        9.875    ] : 67
O1 : [ 7.40625   -0.4631375  7.40625  ] : 64
O1 : [9.875     0.        6.9431125] : 71
O1 : [7.40625 2.46875 7.40625] : 73
O1 : [9.875 0.    9.875] : 72
O1 : [9.875     2.9318875 9.875    ] : 63
O1 : [10.3381375  2.46875    7.40625  ] : 62
!!!atention to nb coordination!!!
         [2.434935721719621, 2.43493572171962, 2.434935721719621, 2.4349357217196204, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.434935721719621]
         [2.434935721719621, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.434935721719621]

ce_symbol  = L:2
ce_fraction=  0.10106830630637774
species:coords:index
O1 : [7.40625 2.46875 7.40625] : 73
O1 : [9.875 0.    9.875] : 72

ce_symbol  = BO_1:8
ce_fraction=  0.018202489353965522
species:coords:index
O1 : [ 7.40625    2.46875   10.3381375] : 69
O1 : [6.9431125 0.        9.875    ] : 67
O1 : [ 7.40625   -0.4631375  7.40625  ] : 64
O1 : [9.875     0.        6.9431125] : 71
O1 : [7.40625 2.46875 7.40625] : 73
O1 : [9.875 0.    9.875] : 72
O1 : [9.875     2.9318875 9.875    ] : 63
O1 : [10.3381375  2.46875    7.40625  ] : 62
!!!atention to nb coordination!!!
         [2.434935721719621, 2.43493572171962, 2.434935721719621, 2.4349357217196204, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.434935721719621]
         [2.434935721719621, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.434935721719621]


**isite= 12
Er1 : [6.171875 6.171875 1.234375]

ce_symbol  = C:8
ce_fraction=  0.6152180452791494
species:coords:index
O1 : [4.4743625 7.40625   2.46875  ] : 46
O1 : [4.9375    4.9375    2.9318875] : 56
O1 : [7.40625   4.4743625 2.46875  ] : 78
O1 : [7.8693875 4.9375    0.       ] : 79
O1 : [4.9375 4.9375 0.    ] : 58
O1 : [4.9375    7.8693875 0.       ] : 49
O1 : [7.40625 7.40625 2.46875] : 87
O1 : [ 7.40625    7.40625   -0.4631375] : 82
!!!atention to nb coordination!!!
         [2.43493572171962, 2.4349357217196204, 2.4349357217196204, 2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.138000215592833, 2.434935721719621]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.43493572171962]

ce_symbol  = HB:8
ce_fraction=  0.2655111590605084
species:coords:index
O1 : [4.4743625 7.40625   2.46875  ] : 46
O1 : [4.9375    4.9375    2.9318875] : 56
O1 : [7.40625   4.4743625 2.46875  ] : 78
O1 : [7.8693875 4.9375    0.       ] : 79
O1 : [4.9375 4.9375 0.    ] : 58
O1 : [4.9375    7.8693875 0.       ] : 49
O1 : [7.40625 7.40625 2.46875] : 87
O1 : [ 7.40625    7.40625   -0.4631375] : 82
!!!atention to nb coordination!!!
         [2.43493572171962, 2.4349357217196204, 2.4349357217196204, 2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.138000215592833, 2.434935721719621]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.43493572171962]

ce_symbol  = L:2
ce_fraction=  0.10106830630637685
species:coords:index
O1 : [4.9375 4.9375 0.    ] : 58
O1 : [7.40625 7.40625 2.46875] : 87

ce_symbol  = BO_1:8
ce_fraction=  0.018202489353965522
species:coords:index
O1 : [4.4743625 7.40625   2.46875  ] : 46
O1 : [4.9375    4.9375    2.9318875] : 56
O1 : [7.40625   4.4743625 2.46875  ] : 78
O1 : [7.8693875 4.9375    0.       ] : 79
O1 : [4.9375 4.9375 0.    ] : 58
O1 : [4.9375    7.8693875 0.       ] : 49
O1 : [7.40625 7.40625 2.46875] : 87
O1 : [ 7.40625    7.40625   -0.4631375] : 82
!!!atention to nb coordination!!!
         [2.43493572171962, 2.4349357217196204, 2.4349357217196204, 2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.138000215592833, 2.434935721719621]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.43493572171962]


**isite= 13
Er1 : [6.171875 8.640625 3.703125]

ce_symbol  = C:8
ce_fraction=  0.6152180452791475
species:coords:index
O1 : [4.9375    6.9431125 4.9375   ] : 33
O1 : [4.4743625 7.40625   2.46875  ] : 46
O1 : [7.40625 7.40625 2.46875] : 87
O1 : [7.40625   7.40625   5.4006375] : 83
O1 : [4.9375 9.875  4.9375] : 44
O1 : [7.8693875 9.875     4.9375   ] : 65
O1 : [ 7.40625   10.3381375  2.46875  ] : 80
O1 : [4.9375    9.875     2.0056125] : 43
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.43493572171962]

ce_symbol  = HB:8
ce_fraction=  0.2655111590605089
species:coords:index
O1 : [4.9375    6.9431125 4.9375   ] : 33
O1 : [4.4743625 7.40625   2.46875  ] : 46
O1 : [7.40625 7.40625 2.46875] : 87
O1 : [7.40625   7.40625   5.4006375] : 83
O1 : [4.9375 9.875  4.9375] : 44
O1 : [7.8693875 9.875     4.9375   ] : 65
O1 : [ 7.40625   10.3381375  2.46875  ] : 80
O1 : [4.9375    9.875     2.0056125] : 43
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.43493572171962]

ce_symbol  = L:2
ce_fraction=  0.10106830630637807
species:coords:index
O1 : [7.40625 7.40625 2.46875] : 87
O1 : [4.9375 9.875  4.9375] : 44

ce_symbol  = BO_1:8
ce_fraction=  0.018202489353965595
species:coords:index
O1 : [4.9375    6.9431125 4.9375   ] : 33
O1 : [4.4743625 7.40625   2.46875  ] : 46
O1 : [7.40625 7.40625 2.46875] : 87
O1 : [7.40625   7.40625   5.4006375] : 83
O1 : [4.9375 9.875  4.9375] : 44
O1 : [7.8693875 9.875     4.9375   ] : 65
O1 : [ 7.40625   10.3381375  2.46875  ] : 80
O1 : [4.9375    9.875     2.0056125] : 43
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.43493572171962, 2.138000215592833, 2.4349357217196204, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.138000215592833, 2.43493572171962, 2.434935721719621, 2.43493572171962]


**isite= 14
Er1 : [8.640625 3.703125 6.171875]

ce_symbol  = C:8
ce_fraction=  0.6152180452791473
species:coords:index
O1 : [6.9431125 4.9375    4.9375   ] : 81
O1 : [7.40625   5.4006375 7.40625  ] : 66
O1 : [9.875     4.9375    7.8693875] : 84
O1 : [7.40625   2.46875   4.4743625] : 68
O1 : [7.40625 2.46875 7.40625] : 73
O1 : [10.3381375  2.46875    7.40625  ] : 62
O1 : [9.875  4.9375 4.9375] : 86
O1 : [9.875     2.0056125 4.9375   ] : 75
!!!atention to nb coordination!!!
         [2.43493572171962, 2.4349357217196204, 2.4349357217196204, 2.4349357217196204, 2.138000215592833, 2.434935721719621, 2.138000215592833, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.434935721719621, 2.138000215592833, 2.43493572171962]

ce_symbol  = HB:8
ce_fraction=  0.265511159060509
species:coords:index
O1 : [6.9431125 4.9375    4.9375   ] : 81
O1 : [7.40625   5.4006375 7.40625  ] : 66
O1 : [9.875     4.9375    7.8693875] : 84
O1 : [7.40625   2.46875   4.4743625] : 68
O1 : [7.40625 2.46875 7.40625] : 73
O1 : [10.3381375  2.46875    7.40625  ] : 62
O1 : [9.875  4.9375 4.9375] : 86
O1 : [9.875     2.0056125 4.9375   ] : 75
!!!atention to nb coordination!!!
         [2.43493572171962, 2.4349357217196204, 2.4349357217196204, 2.4349357217196204, 2.138000215592833, 2.434935721719621, 2.138000215592833, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.434935721719621, 2.138000215592833, 2.43493572171962]

ce_symbol  = L:2
ce_fraction=  0.10106830630637807
species:coords:index
O1 : [7.40625 2.46875 7.40625] : 73
O1 : [9.875  4.9375 4.9375] : 86

ce_symbol  = BO_1:8
ce_fraction=  0.018202489353965588
species:coords:index
O1 : [6.9431125 4.9375    4.9375   ] : 81
O1 : [7.40625   5.4006375 7.40625  ] : 66
O1 : [9.875     4.9375    7.8693875] : 84
O1 : [7.40625   2.46875   4.4743625] : 68
O1 : [7.40625 2.46875 7.40625] : 73
O1 : [10.3381375  2.46875    7.40625  ] : 62
O1 : [9.875  4.9375 4.9375] : 86
O1 : [9.875     2.0056125 4.9375   ] : 75
!!!atention to nb coordination!!!
         [2.43493572171962, 2.4349357217196204, 2.4349357217196204, 2.4349357217196204, 2.138000215592833, 2.434935721719621, 2.138000215592833, 2.4349357217196204]
         [2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.138000215592833, 2.434935721719621, 2.138000215592833, 2.43493572171962]


**isite= 15
Er1 : [8.640625 6.171875 3.703125]

ce_symbol  = C:8
ce_fraction=  0.6152180452791477
species:coords:index
O1 : [9.875     7.8693875 4.9375   ] : 77
O1 : [10.3381375  7.40625    2.46875  ] : 76
O1 : [9.875  4.9375 4.9375] : 86
O1 : [7.40625 7.40625 2.46875] : 87
O1 : [7.40625   4.4743625 2.46875  ] : 78
O1 : [6.9431125 4.9375    4.9375   ] : 81
O1 : [9.875     4.9375    2.0056125] : 85
O1 : [7.40625   7.40625   5.4006375] : 83
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.434935721719621, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.43493572171962, 2.4349357217196204, 2.4349357217196204]
         [2.43493572171962, 2.434935721719621, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962]

ce_symbol  = HB:8
ce_fraction=  0.265511159060509
species:coords:index
O1 : [9.875     7.8693875 4.9375   ] : 77
O1 : [10.3381375  7.40625    2.46875  ] : 76
O1 : [9.875  4.9375 4.9375] : 86
O1 : [7.40625 7.40625 2.46875] : 87
O1 : [7.40625   4.4743625 2.46875  ] : 78
O1 : [6.9431125 4.9375    4.9375   ] : 81
O1 : [9.875     4.9375    2.0056125] : 85
O1 : [7.40625   7.40625   5.4006375] : 83
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.434935721719621, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.43493572171962, 2.4349357217196204, 2.4349357217196204]
         [2.43493572171962, 2.434935721719621, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962]

ce_symbol  = L:2
ce_fraction=  0.10106830630637774
species:coords:index
O1 : [9.875  4.9375 4.9375] : 86
O1 : [7.40625 7.40625 2.46875] : 87

ce_symbol  = BO_1:8
ce_fraction=  0.01820248935396564
species:coords:index
O1 : [9.875     7.8693875 4.9375   ] : 77
O1 : [10.3381375  7.40625    2.46875  ] : 76
O1 : [9.875  4.9375 4.9375] : 86
O1 : [7.40625 7.40625 2.46875] : 87
O1 : [7.40625   4.4743625 2.46875  ] : 78
O1 : [6.9431125 4.9375    4.9375   ] : 81
O1 : [9.875     4.9375    2.0056125] : 85
O1 : [7.40625   7.40625   5.4006375] : 83
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.434935721719621, 2.138000215592833, 2.138000215592833, 2.4349357217196204, 2.43493572171962, 2.4349357217196204, 2.4349357217196204]
         [2.43493572171962, 2.434935721719621, 2.138000215592833, 2.138000215592833, 2.43493572171962, 2.43493572171962, 2.43493572171962, 2.43493572171962]


**isite= 16
Mn1 : [1.234375 1.234375 6.171875]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.46875   2.46875   5.4006375] : 41
O1 : [2.0056125 0.        4.9375   ] : 39
O1 : [0.        2.0056125 4.9375   ] : 75
O1 : [0.4631375 2.46875   7.40625  ] : 62
O1 : [2.46875   0.4631375 7.40625  ] : 52
O1 : [0.        0.        6.9431125] : 71


**isite= 17
Mn1 : [1.234375 8.640625 3.703125]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.0056125 9.875     4.9375   ] : 39
O1 : [0.        9.875     2.9318875] : 70
O1 : [0.        7.8693875 4.9375   ] : 77
O1 : [2.46875   9.4118625 2.46875  ] : 36
O1 : [2.46875   7.40625   4.4743625] : 54
O1 : [0.4631375 7.40625   2.46875  ] : 76


**isite= 18
Mn1 : [3.703125 3.703125 6.171875]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.46875   2.46875   5.4006375] : 41
O1 : [2.9318875 4.9375    4.9375   ] : 51
O1 : [2.46875   4.4743625 7.40625  ] : 50
O1 : [4.9375    2.9318875 4.9375   ] : 35
O1 : [4.4743625 2.46875   7.40625  ] : 32
O1 : [4.9375    4.9375    6.9431125] : 57


**isite= 19
Mn1 : [3.703125 1.234375 8.640625]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.46875   2.46875   9.4118625] : 40
O1 : [2.9318875 0.        9.875    ] : 37
O1 : [4.9375    2.0056125 9.875    ] : 47
O1 : [4.9375    0.        7.8693875] : 42
O1 : [2.46875   0.4631375 7.40625  ] : 52
O1 : [4.4743625 2.46875   7.40625  ] : 32


**isite= 20
Mn1 : [1.234375 6.171875 1.234375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [0.        4.9375    2.0056125] : 85
O1 : [2.46875   5.4006375 2.46875  ] : 38
O1 : [0.4631375 7.40625   2.46875  ] : 76
O1 : [0.        6.9431125 0.       ] : 61
O1 : [2.0056125 4.9375    0.       ] : 53
O1 : [2.46875   7.40625   0.4631375] : 55


**isite= 21
Mn1 : [1.234375 3.703125 8.640625]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [2.46875   4.4743625 7.40625  ] : 50
O1 : [2.46875   2.46875   9.4118625] : 40
O1 : [2.0056125 4.9375    9.875    ] : 53
O1 : [0.        4.9375    7.8693875] : 84
O1 : [0.4631375 2.46875   7.40625  ] : 62
O1 : [0.        2.9318875 9.875    ] : 63


**isite= 22
Mn1 : [3.703125 8.640625 1.234375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [4.9375    9.875     2.0056125] : 43
O1 : [4.9375    7.8693875 0.       ] : 49
O1 : [2.9318875 9.875     0.       ] : 37
O1 : [4.4743625 7.40625   2.46875  ] : 46
O1 : [2.46875   7.40625   0.4631375] : 55
O1 : [2.46875   9.4118625 2.46875  ] : 36


**isite= 23
Mn1 : [3.703125 6.171875 3.703125]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [4.4743625 7.40625   2.46875  ] : 46
O1 : [4.9375    6.9431125 4.9375   ] : 33
O1 : [2.46875   7.40625   4.4743625] : 54
O1 : [4.9375    4.9375    2.9318875] : 56
O1 : [2.46875   5.4006375 2.46875  ] : 38
O1 : [2.9318875 4.9375    4.9375   ] : 51


**isite= 24
Mn1 : [6.171875 1.234375 1.234375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [4.9375    2.0056125 0.       ] : 47
O1 : [6.9431125 0.        0.       ] : 67
O1 : [4.9375    0.        2.0056125] : 43
O1 : [7.40625   0.4631375 2.46875  ] : 80
O1 : [5.4006375 2.46875   2.46875  ] : 34
O1 : [7.40625   2.46875   0.4631375] : 69


**isite= 25
Mn1 : [6.171875 8.640625 8.640625]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [7.40625   7.40625   9.4118625] : 82
O1 : [4.9375    7.8693875 9.875    ] : 49
O1 : [5.4006375 7.40625   7.40625  ] : 48
O1 : [6.9431125 9.875     9.875    ] : 67
O1 : [7.40625   9.4118625 7.40625  ] : 64
O1 : [4.9375    9.875     7.8693875] : 42


**isite= 26
Mn1 : [8.640625 3.703125 1.234375]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [9.4118625 2.46875   2.46875  ] : 60
O1 : [7.40625   2.46875   0.4631375] : 69
O1 : [9.875     2.9318875 0.       ] : 63
O1 : [7.40625   4.4743625 2.46875  ] : 78
O1 : [9.875     4.9375    2.0056125] : 85
O1 : [7.8693875 4.9375    0.       ] : 79


**isite= 27
Mn1 : [8.640625 1.234375 3.703125]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [9.875     0.        2.9318875] : 70
O1 : [9.875     2.0056125 4.9375   ] : 75
O1 : [9.4118625 2.46875   2.46875  ] : 60
O1 : [7.40625   0.4631375 2.46875  ] : 80
O1 : [7.40625   2.46875   4.4743625] : 68
O1 : [7.8693875 0.        4.9375   ] : 65


**isite= 28
Mn1 : [6.171875 6.171875 6.171875]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [7.40625   7.40625   5.4006375] : 83
O1 : [7.40625   5.4006375 7.40625  ] : 66
O1 : [5.4006375 7.40625   7.40625  ] : 48
O1 : [4.9375    6.9431125 4.9375   ] : 33
O1 : [6.9431125 4.9375    4.9375   ] : 81
O1 : [4.9375    4.9375    6.9431125] : 57


**isite= 29
Mn1 : [6.171875 3.703125 3.703125]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [6.9431125 4.9375    4.9375   ] : 81
O1 : [4.9375    4.9375    2.9318875] : 56
O1 : [4.9375    2.9318875 4.9375   ] : 35
O1 : [7.40625   2.46875   4.4743625] : 68
O1 : [5.4006375 2.46875   2.46875  ] : 34
O1 : [7.40625   4.4743625 2.46875  ] : 78


**isite= 30
Mn1 : [8.640625 8.640625 6.171875]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [9.875     7.8693875 4.9375   ] : 77
O1 : [7.40625   9.4118625 7.40625  ] : 64
O1 : [9.4118625 7.40625   7.40625  ] : 74
O1 : [9.875     9.875     6.9431125] : 71
O1 : [7.8693875 9.875     4.9375   ] : 65
O1 : [7.40625   7.40625   5.4006375] : 83


**isite= 31
Mn1 : [8.640625 6.171875 8.640625]

ce_symbol  = O:6
ce_fraction=  1.0
species:coords:index
O1 : [9.875     4.9375    7.8693875] : 84
O1 : [7.8693875 4.9375    9.875    ] : 79
O1 : [7.40625   5.4006375 7.40625  ] : 66
O1 : [9.4118625 7.40625   7.40625  ] : 74
O1 : [9.875     6.9431125 9.875    ] : 61
O1 : [7.40625   7.40625   9.4118625] : 82


**isite= 32
O1 : [4.4743625 2.46875   7.40625  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [3.703125 3.703125 6.171875] : 18
Mn1 : [3.703125 1.234375 8.640625] : 19
Er1 : [6.171875 3.703125 8.640625] : 9
Er1 : [6.171875 1.234375 6.171875] : 8


**isite= 33
O1 : [4.9375    6.9431125 4.9375   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [3.703125 8.640625 6.171875] : 2
Er1 : [6.171875 8.640625 3.703125] : 13
Mn1 : [6.171875 6.171875 6.171875] : 28
Mn1 : [3.703125 6.171875 3.703125] : 23
!!!atention to nb coordination!!!
         [2.4349357217196204, 2.4349357217196204, 1.9084471600377757, 1.9084471600377757]
         [2.43493572171962, 2.43493572171962, 1.9084471600377757, 1.9084471600377757]


**isite= 34
O1 : [5.4006375 2.46875   2.46875  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [3.703125 1.234375 3.703125] : 3
Er1 : [3.703125 3.703125 1.234375] : 6
Mn1 : [6.171875 1.234375 1.234375] : 24
Mn1 : [6.171875 3.703125 3.703125] : 29


**isite= 35
O1 : [4.9375    2.9318875 4.9375   ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [3.703125 3.703125 6.171875] : 18
Er1 : [3.703125 1.234375 3.703125] : 3
Mn1 : [6.171875 3.703125 3.703125] : 29
Er1 : [6.171875 1.234375 6.171875] : 8
!!!atention to nb coordination!!!
         [1.9084471600377757, 2.4349357217196204, 1.9084471600377757, 2.4349357217196204]
         [1.9084471600377757, 2.43493572171962, 1.9084471600377757, 2.43493572171962]


**isite= 36
O1 : [2.46875   9.4118625 2.46875  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [ 3.703125 11.109375  3.703125] : 3
Mn1 : [1.234375 8.640625 3.703125] : 17
Mn1 : [3.703125 8.640625 1.234375] : 22
Er1 : [ 1.234375 11.109375  1.234375] : 0


**isite= 37
O1 : [2.9318875 0.        0.       ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Er1 : [1.234375 1.234375 1.234375] : 0
Er1 : [ 1.234375 -1.234375 -1.234375] : 5
Mn1 : [ 3.703125 -1.234375  1.234375] : 22
Mn1 : [ 3.703125  1.234375 -1.234375] : 19


**isite= 38
O1 : [2.46875   5.4006375 2.46875  ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Mn1 : [1.234375 6.171875 1.234375] : 20
Er1 : [1.234375 3.703125 3.703125] : 1
Mn1 : [3.703125 6.171875 3.703125] : 23
Er1 : [3.703125 3.703125 1.234375] : 6
!!!atention to nb coordination!!!
