cif name= ./1510920.cif
./1510920.cif
Full Formula (K12 B36 O60)
O1 : [5.20963017 4.7154264  9.85094255] : 98
!!!atention to nb coordination!!!
         [1.4555734410266399, 1.4773858609294097, 1.4917225269180032, 1.4681121946353086]
         [1.4555734410266374, 1.4773858609294086, 1.4917225269180026, 1.4681121946353106]


**isite= 27
B1 : [ 1.5372404   1.6593408  20.26260874]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 0.63631288  0.6395376  19.65140736] : 71
O1 : [ 1.69291544  1.3914264  21.69764901] : 99
O1 : [ 2.83621397  1.5283752  19.61901747] : 63
O1 : [ 0.96880602  3.0175272  20.14062085] : 107
!!!atention to nb coordination!!!
         [1.4917225269180006, 1.4681121946353086, 1.4555734410266352, 1.4773858609294093]
         [1.491722526918002, 1.4681121946353086, 1.4555734410266363, 1.477385860929409]


**isite= 28
B1 : [-0.82189899  1.9771152  12.87182536]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [-1.18111123  3.3552456  13.25461493] : 50
O1 : [-1.99605154  1.2837288  12.34811874] : 90
O1 : [-0.31038467  1.289712   14.07761252] : 80
O1 : [ 0.21737881  2.0482488  11.83492831] : 72
!!!atention to nb coordination!!!
         [1.4747219053483431, 1.4607147398284546, 1.4792203182861194, 1.4698006030422344]
         [1.4747219053483411, 1.460714739828455, 1.4792203182861168, 1.4698006030422357]


**isite= 29
B1 : [ 7.72444461  5.3011152  18.6767662 ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 7.21293029  4.613712   17.47097903] : 81
O1 : [ 8.89859716  4.6077288  19.20047282] : 91
O1 : [ 6.68516681  5.3722488  19.71366324] : 73
O1 : [ 8.08365685  6.6792456  18.29397662] : 51
!!!atention to nb coordination!!!
         [1.4792203182861139, 1.460714739828456, 1.4698006030422384, 1.4747219053483405]
         [1.4792203182861174, 1.460714739828455, 1.469800603042235, 1.4747219053483418]


**isite= 30
B1 : [8.5299294  4.6708848  8.16056902]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [7.4906516  4.5997512  9.19746606] : 74
O1 : [8.88914165 3.2927544  7.77777944] : 48
O1 : [9.70408196 5.3642712  8.68427564] : 88
O1 : [8.01841509 5.358288   6.95478185] : 82
!!!atention to nb coordination!!!
         [1.469800603042235, 1.4747219053483405, 1.460714739828456, 1.479220318286117]
         [1.469800603042235, 1.4747219053483411, 1.4607147398284563, 1.4792203182861172]


**isite= 31
B1 : [-0.01641419  1.3468848   2.35562817]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [1.02286361 1.2757512  1.31873113] : 75
O1 : [0.49510012 2.034288   3.56141534] : 83
O1 : [-0.37562644 -0.0312456   2.73841775] : 49
O1 : [-1.19056675  2.0402712   1.83192155] : 89
!!!atention to nb coordination!!!
         [1.4698006030422335, 1.4792203182861203, 1.4747219053483402, 1.4607147398284548]
         [1.4698006030422335, 1.4792203182861197, 1.4747219053483418, 1.4607147398284543]


**isite= 32
B1 : [ 1.45680356  1.5915312  12.00529071]

ce_symbol  = TL:3
ce_fraction=  0.999884195227811
species:coords:index
O1 : [ 2.49840024  1.9325736  11.18145182] : 96
O1 : [ 1.78557733  0.767844   13.09056226] : 64
O1 : [ 0.21737881  2.0482488  11.83492831] : 72
!!!atention to nb coordination!!!
         [1.371110525201548, 1.401558821852926, 1.331836331322899]
         [1.3711105252015496, 1.4015588218529234, 1.331836331322899]

ce_symbol  = TY:3
ce_fraction=  0.00011580477218896857
species:coords:index
O1 : [ 2.49840024  1.9325736  11.18145182] : 96
O1 : [ 1.78557733  0.767844   13.09056226] : 64
O1 : [ 0.21737881  2.0482488  11.83492831] : 72
!!!atention to nb coordination!!!
         [1.371110525201548, 1.401558821852926, 1.331836331322899]
         [1.3711105252015496, 1.4015588218529234, 1.331836331322899]


**isite= 33
B1 : [ 5.44574206  4.9155312  19.54330085]

ce_symbol  = TL:3
ce_fraction=  0.999884195227811
species:coords:index
O1 : [ 5.11696829  4.091844   18.4580293 ] : 65
O1 : [ 4.40414538  5.2565736  20.36713974] : 97
O1 : [ 6.68516681  5.3722488  19.71366324] : 73
!!!atention to nb coordination!!!
         [1.4015588218529214, 1.3711105252015496, 1.331836331322899]
         [1.4015588218529245, 1.3711105252015472, 1.3318363313228991]

ce_symbol  = TY:3
ce_fraction=  0.00011580477218897946
species:coords:index
O1 : [ 5.11696829  4.091844   18.4580293 ] : 65
O1 : [ 4.40414538  5.2565736  20.36713974] : 97
O1 : [ 6.68516681  5.3722488  19.71366324] : 73
!!!atention to nb coordination!!!
         [1.4015588218529214, 1.3711105252015496, 1.331836331322899]
         [1.4015588218529245, 1.3711105252015472, 1.3318363313228991]


**isite= 34
B1 : [6.25122685 5.0564688  9.02710366]

ce_symbol  = TL:3
ce_fraction=  0.999884195227811
species:coords:index
O1 : [5.20963017 4.7154264  9.85094255] : 98
O1 : [7.4906516  4.5997512  9.19746606] : 74
O1 : [5.92245308 5.880156   7.94183211] : 66
!!!atention to nb coordination!!!
         [1.3711105252015503, 1.331836331322901, 1.401558821852923]
         [1.3711105252015494, 1.3318363313228994, 1.4015588218529231]

ce_symbol  = TY:3
ce_fraction=  0.00011580477218896586
species:coords:index
O1 : [5.20963017 4.7154264  9.85094255] : 98
O1 : [7.4906516  4.5997512  9.19746606] : 74
O1 : [5.92245308 5.880156   7.94183211] : 66
!!!atention to nb coordination!!!
         [1.3711105252015503, 1.331836331322901, 1.401558821852923]
         [1.3711105252015494, 1.3318363313228994, 1.4015588218529231]


**isite= 35
B1 : [2.26228835 1.7324688  1.48909352]

ce_symbol  = TL:3
ce_fraction=  0.999884195227811
species:coords:index
O1 : [2.59106212 2.556156   2.57436507] : 67
O1 : [3.30388503 1.3914264  0.66525463] : 99
O1 : [1.02286361 1.2757512  1.31873113] : 75
!!!atention to nb coordination!!!
         [1.401558821852925, 1.3711105252015485, 1.3318363313228985]
         [1.4015588218529242, 1.3711105252015487, 1.3318363313228987]

ce_symbol  = TY:3
ce_fraction=  0.00011580477218897619
species:coords:index
O1 : [2.59106212 2.556156   2.57436507] : 67
O1 : [3.30388503 1.3914264  0.66525463] : 99
O1 : [1.02286361 1.2757512  1.31873113] : 75
!!!atention to nb coordination!!!
         [1.401558821852925, 1.3711105252015485, 1.3318363313228985]
         [1.4015588218529242, 1.3711105252015487, 1.3318363313228987]


**isite= 36
B1 : [0.34294287 2.3779896  8.41926747]

ce_symbol  = TL:3
ce_fraction=  0.9997902759737461
species:coords:index
O1 : [1.44179767 2.6844624  9.13521017] : 68
O1 : [-0.42985835  3.2927544   7.77777944] : 48
O1 : [-0.05857736  1.043736    8.25942127] : 84
!!!atention to nb coordination!!!
         [1.3468412654008377, 1.3585003743756123, 1.4024984748273914]
         [1.3468412654008366, 1.3585003743756128, 1.4024984748273919]

ce_symbol  = TY:3
ce_fraction=  0.00020972402625384434
species:coords:index
O1 : [1.44179767 2.6844624  9.13521017] : 68
O1 : [-0.42985835  3.2927544   7.77777944] : 48
O1 : [-0.05857736  1.043736    8.25942127] : 84
!!!atention to nb coordination!!!
         [1.3468412654008377, 1.3585003743756123, 1.4024984748273914]
         [1.3468412654008366, 1.3585003743756128, 1.4024984748273919]


**isite= 37
B1 : [8.17057233 5.7019896  2.09692972]

ce_symbol  = TL:3
ce_fraction=  0.9997902759737461
species:coords:index
O1 : [8.94337356 6.6167544  2.73841775] : 49
O1 : [7.07171754 6.0084624  1.38098701] : 69
O1 : [8.57209256 4.367736   2.25677592] : 85
!!!atention to nb coordination!!!
         [1.358500374375615, 1.3468412654008362, 1.4024984748273928]
         [1.3585003743756132, 1.346841265400836, 1.4024984748273932]

ce_symbol  = TY:3
ce_fraction=  0.00020972402625386199
species:coords:index
O1 : [8.94337356 6.6167544  2.73841775] : 49
O1 : [7.07171754 6.0084624  1.38098701] : 69
O1 : [8.57209256 4.367736   2.25677592] : 85
!!!atention to nb coordination!!!
         [1.358500374375615, 1.3468412654008362, 1.4024984748273928]
         [1.3585003743756132, 1.346841265400836, 1.4024984748273932]


**isite= 38
B1 : [ 7.36508754  4.2700104  12.6131269 ]

ce_symbol  = TL:3
ce_fraction=  0.9997902759737461
species:coords:index
O1 : [ 8.13788877  3.3552456  13.25461493] : 50
O1 : [ 6.26623274  3.9635376  11.8971842 ] : 70
O1 : [ 7.76660777  5.604264   12.7729731 ] : 86
!!!atention to nb coordination!!!
         [1.3585003743756134, 1.3468412654008342, 1.402498474827395]
         [1.3585003743756123, 1.346841265400836, 1.4024984748273928]

ce_symbol  = TY:3
ce_fraction=  0.00020972402625385017
species:coords:index
O1 : [ 8.13788877  3.3552456  13.25461493] : 50
O1 : [ 6.26623274  3.9635376  11.8971842 ] : 70
O1 : [ 7.76660777  5.604264   12.7729731 ] : 86
!!!atention to nb coordination!!!
         [1.3585003743756134, 1.3468412654008342, 1.402498474827395]
         [1.3585003743756123, 1.346841265400836, 1.4024984748273928]


**isite= 39
B1 : [-0.46254192  0.9460104  18.93546465]

ce_symbol  = TL:3
ce_fraction=  0.9997902759737461
species:coords:index
O1 : [-0.86406215  2.280264   18.77561846] : 87
O1 : [ 0.63631288  0.6395376  19.65140736] : 71
O1 : [-1.23534315  0.0312456  18.29397662] : 51
!!!atention to nb coordination!!!
         [1.4024984748273928, 1.3468412654008384, 1.3585003743756117]
         [1.4024984748273928, 1.3468412654008362, 1.3585003743756132]

ce_symbol  = TY:3
ce_fraction=  0.00020972402625386654
species:coords:index
O1 : [-0.86406215  2.280264   18.77561846] : 87
O1 : [ 0.63631288  0.6395376  19.65140736] : 71
O1 : [-1.23534315  0.0312456  18.29397662] : 51
!!!atention to nb coordination!!!
         [1.4024984748273928, 1.3468412654008384, 1.3585003743756117]
         [1.4024984748273928, 1.3468412654008362, 1.3585003743756132]


**isite= 40
B1 : [3.42817539 0.1043736  5.86803803]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
O1 : [3.02997317 0.651504   7.10053634] : 52
O1 : [4.56442467 0.5125608  5.28060325] : 100
!!!atention to nb coordination!!!
         [1.40604721307821, 1.3426685489947028]
         [1.4060472130782093, 1.3426685489947032]


**isite= 41
B1 : [5.08533982 3.4283736  4.64815916]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
O1 : [3.94909054 3.8365608  5.23559393] : 101
O1 : [5.48354204 3.975504   3.41566085] : 53
!!!atention to nb coordination!!!
         [1.342668548994703, 1.4060472130782091]
         [1.3426685489947032, 1.4060472130782091]


**isite= 42
B1 : [ 4.27985503  6.5436264  15.16435634]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
O1 : [ 3.14360575  6.1354392  15.75179112] : 102
O1 : [ 4.67805725  5.996496   13.93185803] : 54
!!!atention to nb coordination!!!
         [1.3426685489947032, 1.4060472130782071]
         [1.3426685489947032, 1.4060472130782087]


**isite= 43
B1 : [ 2.62269059  3.2196264  16.38423522]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
O1 : [ 2.22448837  2.672496   17.61673353] : 55
O1 : [ 3.75893987  2.8114392  15.79680044] : 103
!!!atention to nb coordination!!!
         [1.4060472130782098, 1.3426685489947028]
         [1.406047213078207, 1.342668548994704]


**isite= 44
B1 : [3.92383972 1.4273256  7.82825718]

ce_symbol  = TL:3
ce_fraction=  0.9999826371395929
species:coords:index
O1 : [3.02997317 0.651504   7.10053634] : 52
O1 : [3.64169876 1.7956248  9.10282028] : 60
O1 : [5.09581601 1.8401664  7.2732123 ] : 56
!!!atention to nb coordination!!!
         [1.3894150556754021, 1.3563771280143098, 1.3608970466082506]
         [1.389415055675403, 1.356377128014308, 1.3608970466082513]

ce_symbol  = TY:3
ce_fraction=  1.736286040717164e-05
species:coords:index
O1 : [3.02997317 0.651504   7.10053634] : 52
O1 : [3.64169876 1.7956248  9.10282028] : 60
O1 : [5.09581601 1.8401664  7.2732123 ] : 56
!!!atention to nb coordination!!!
         [1.3894150556754021, 1.3563771280143098, 1.3608970466082506]
         [1.389415055675403, 1.356377128014308, 1.3608970466082513]


**isite= 45
B1 : [4.58967549 4.7513256  2.68794   ]

ce_symbol  = TL:3
ce_fraction=  0.9999826371395929
species:coords:index
O1 : [4.87181644 5.1196248  1.4133769 ] : 61
O1 : [3.4176992  5.1641664  3.24298489] : 57
O1 : [5.48354204 3.975504   3.41566085] : 53
!!!atention to nb coordination!!!
         [1.3563771280143069, 1.3608970466082522, 1.3894150556754032]
         [1.356377128014307, 1.3608970466082515, 1.3894150556754035]

ce_symbol  = TY:3
ce_fraction=  1.7362860407174772e-05
species:coords:index
O1 : [4.87181644 5.1196248  1.4133769 ] : 61
O1 : [3.4176992  5.1641664  3.24298489] : 57
O1 : [5.48354204 3.975504   3.41566085] : 53
!!!atention to nb coordination!!!
         [1.3563771280143069, 1.3608970466082522, 1.3894150556754032]
         [1.356377128014307, 1.3608970466082515, 1.3894150556754035]


**isite= 46
B1 : [ 3.78419069  5.2206744  13.20413719]

ce_symbol  = TL:3
ce_fraction=  0.9999826371395929
species:coords:index
O1 : [ 4.67805725  5.996496   13.93185803] : 54
O1 : [ 4.06633165  4.8523752  11.92957409] : 62
O1 : [ 2.61221441  4.8078336  13.75918207] : 58
!!!atention to nb coordination!!!
         [1.3894150556754046, 1.3563771280143049, 1.3608970466082522]
         [1.3894150556754026, 1.3563771280143087, 1.3608970466082508]

ce_symbol  = TY:3
ce_fraction=  1.7362860407173488e-05
species:coords:index
O1 : [ 4.67805725  5.996496   13.93185803] : 54
O1 : [ 4.06633165  4.8523752  11.92957409] : 62
O1 : [ 2.61221441  4.8078336  13.75918207] : 58
!!!atention to nb coordination!!!
         [1.3894150556754046, 1.3563771280143049, 1.3608970466082522]
         [1.3894150556754026, 1.3563771280143087, 1.3608970466082508]


**isite= 47
B1 : [ 3.11835493  1.8966744  18.34445437]

ce_symbol  = TL:3
ce_fraction=  0.9999826371395929
species:coords:index
O1 : [ 2.22448837  2.672496   17.61673353] : 55
O1 : [ 4.29033121  1.4838336  17.78940948] : 59
O1 : [ 2.83621397  1.5283752  19.61901747] : 63
!!!atention to nb coordination!!!
         [1.389415055675402, 1.3608970466082488, 1.356377128014312]
         [1.3894150556754035, 1.3608970466082506, 1.3563771280143089]

ce_symbol  = TY:3
ce_fraction=  1.736286040717415e-05
species:coords:index
O1 : [ 2.22448837  2.672496   17.61673353] : 55
O1 : [ 4.29033121  1.4838336  17.78940948] : 59
O1 : [ 2.83621397  1.5283752  19.61901747] : 63
!!!atention to nb coordination!!!
         [1.389415055675402, 1.3608970466082488, 1.356377128014312]
         [1.3894150556754035, 1.3608970466082506, 1.3563771280143089]


**isite= 48
O1 : [-0.42985835  3.2927544   7.77777944]

ce_symbol  = A:2
ce_fraction=  0.9998882355202742
species:coords:index
B1 : [-0.7890706   4.6708848   8.16056902] : 30
B1 : [0.34294287 2.3779896  8.41926747] : 36
!!!atention to nb coordination!!!
         [1.4747219053483427, 1.3585003743756134]
         [1.4747219053483411, 1.3585003743756128]

ce_symbol  = L:2
ce_fraction=  0.0001117644797258325
species:coords:index
B1 : [-0.7890706   4.6708848   8.16056902] : 30
B1 : [0.34294287 2.3779896  8.41926747] : 36
!!!atention to nb coordination!!!
         [1.4747219053483427, 1.3585003743756134]
         [1.4747219053483411, 1.3585003743756128]


**isite= 49
O1 : [8.94337356 6.6167544  2.73841775]

ce_symbol  = A:2
ce_fraction=  0.9998882355202742
species:coords:index
B1 : [9.30258581 7.9948848  2.35562817] : 31
B1 : [8.17057233 5.7019896  2.09692972] : 37
!!!atention to nb coordination!!!
         [1.474721905348341, 1.3585003743756123]
         [1.4747219053483407, 1.3585003743756132]

ce_symbol  = L:2
ce_fraction=  0.00011176447972582786
species:coords:index
B1 : [9.30258581 7.9948848  2.35562817] : 31
B1 : [8.17057233 5.7019896  2.09692972] : 37
!!!atention to nb coordination!!!
         [1.474721905348341, 1.3585003743756123]
         [1.4747219053483407, 1.3585003743756132]


**isite= 50
O1 : [ 8.13788877  3.3552456  13.25461493]

ce_symbol  = A:2
ce_fraction=  0.9998882355202742
species:coords:index
B1 : [ 8.49710101  1.9771152  12.87182536] : 28
B1 : [ 7.36508754  4.2700104  12.6131269 ] : 38
!!!atention to nb coordination!!!
         [1.4747219053483405, 1.358500374375612]
         [1.4747219053483414, 1.3585003743756123]

ce_symbol  = L:2
ce_fraction=  0.00011176447972583639
species:coords:index
B1 : [ 8.49710101  1.9771152  12.87182536] : 28
B1 : [ 7.36508754  4.2700104  12.6131269 ] : 38
!!!atention to nb coordination!!!
         [1.4747219053483405, 1.358500374375612]
         [1.4747219053483414, 1.3585003743756123]


**isite= 51
O1 : [-1.23534315  0.0312456  18.29397662]

ce_symbol  = A:2
ce_fraction=  0.9998882355202742
species:coords:index
B1 : [-1.59455539 -1.3468848  18.6767662 ] : 29
B1 : [-0.46254192  0.9460104  18.93546465] : 39
!!!atention to nb coordination!!!
         [1.4747219053483416, 1.3585003743756148]
         [1.4747219053483416, 1.3585003743756132]

ce_symbol  = L:2
ce_fraction=  0.00011176447972582945
species:coords:index
B1 : [-1.59455539 -1.3468848  18.6767662 ] : 29
B1 : [-0.46254192  0.9460104  18.93546465] : 39
!!!atention to nb coordination!!!
         [1.4747219053483416, 1.3585003743756148]
         [1.4747219053483416, 1.3585003743756132]


**isite= 52
O1 : [3.02997317 0.651504   7.10053634]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [3.92383972 1.4273256  7.82825718] : 44
B1 : [3.42817539 0.1043736  5.86803803] : 40
!!!atention to nb coordination!!!
         [1.3894150556754041, 1.4060472130782078]
         [1.389415055675403, 1.4060472130782093]


**isite= 53
O1 : [5.48354204 3.975504   3.41566085]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [5.08533982 3.4283736  4.64815916] : 41
B1 : [4.58967549 4.7513256  2.68794   ] : 45
!!!atention to nb coordination!!!
         [1.4060472130782096, 1.389415055675403]
         [1.4060472130782091, 1.3894150556754035]


**isite= 54
O1 : [ 4.67805725  5.996496   13.93185803]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 3.78419069  5.2206744  13.20413719] : 46
B1 : [ 4.27985503  6.5436264  15.16435634] : 42
!!!atention to nb coordination!!!
         [1.3894150556754008, 1.4060472130782122]
         [1.3894150556754026, 1.4060472130782087]


**isite= 55
O1 : [ 2.22448837  2.672496   17.61673353]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 3.11835493  1.8966744  18.34445437] : 47
B1 : [ 2.62269059  3.2196264  16.38423522] : 43
!!!atention to nb coordination!!!
         [1.3894150556754052, 1.4060472130782038]
         [1.3894150556754035, 1.406047213078207]


**isite= 56
O1 : [5.09581601 1.8401664  7.2732123 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [5.57544414 1.3502088  5.97530324] : 20
B1 : [3.92383972 1.4273256  7.82825718] : 44
!!!atention to nb coordination!!!
         [1.467879257741548, 1.3608970466082506]
         [1.467879257741549, 1.3608970466082513]


**isite= 57
O1 : [3.4176992  5.1641664  3.24298489]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [4.58967549 4.7513256  2.68794   ] : 45
B1 : [2.93807107 4.6742088  4.54089394] : 21
!!!atention to nb coordination!!!
         [1.3608970466082517, 1.4678792577415496]
         [1.3608970466082515, 1.4678792577415491]


**isite= 58
O1 : [ 2.61221441  4.8078336  13.75918207]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 2.13258627  5.2977912  15.05709113] : 22
B1 : [ 3.78419069  5.2206744  13.20413719] : 46
!!!atention to nb coordination!!!
         [1.4678792577415514, 1.3608970466082508]
         [1.4678792577415496, 1.3608970466082508]


**isite= 59
O1 : [ 4.29033121  1.4838336  17.78940948]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 3.11835493  1.8966744  18.34445437] : 47
B1 : [ 4.76995935  1.9737912  16.49150043] : 23
!!!atention to nb coordination!!!
         [1.360897046608252, 1.4678792577415452]
         [1.3608970466082506, 1.467879257741548]


**isite= 60
O1 : [3.64169876 1.7956248  9.10282028]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [2.34272519 1.6646592  9.74641155] : 24
B1 : [3.92383972 1.4273256  7.82825718] : 44
!!!atention to nb coordination!!!
         [1.4555734410266374, 1.3563771280143073]
         [1.4555734410266368, 1.356377128014308]


**isite= 61
O1 : [4.87181644 5.1196248  1.4133769 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [4.58967549 4.7513256  2.68794   ] : 45
B1 : [6.17079001 4.9886592  0.76978563] : 25
!!!atention to nb coordination!!!
         [1.3563771280143075, 1.4555734410266368]
         [1.356377128014307, 1.455573441026637]


**isite= 62
O1 : [ 4.06633165  4.8523752  11.92957409]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 5.36530522  4.9833408  11.28598282] : 26
B1 : [ 3.78419069  5.2206744  13.20413719] : 46
!!!atention to nb coordination!!!
         [1.455573441026636, 1.3563771280143104]
         [1.4555734410266374, 1.3563771280143087]


**isite= 63
O1 : [ 2.83621397  1.5283752  19.61901747]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 1.5372404   1.6593408  20.26260874] : 27
B1 : [ 3.11835493  1.8966744  18.34445437] : 47
!!!atention to nb coordination!!!
         [1.4555734410266379, 1.3563771280143055]
         [1.4555734410266363, 1.3563771280143089]


**isite= 64
O1 : [ 1.78557733  0.767844   13.09056226]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 1.45680356  1.5915312  12.00529071] : 32
B1 : [ 0.79455249  0.4846392  14.03281352] : 16
!!!atention to nb coordination!!!
         [1.401558821852922, 1.396485817691356]
         [1.4015588218529234, 1.3964858176913535]


**isite= 65
O1 : [ 5.11696829  4.091844   18.4580293 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 5.44574206  4.9155312  19.54330085] : 33
B1 : [ 6.10799313  3.8086392  17.51577803] : 17
!!!atention to nb coordination!!!
         [1.4015588218529278, 1.3964858176913517]
         [1.4015588218529245, 1.3964858176913544]


**isite= 66
O1 : [5.92245308 5.880156   7.94183211]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [6.25122685 5.0564688  9.02710366] : 34
B1 : [6.91347792 6.1633608  6.99958085] : 18
!!!atention to nb coordination!!!
         [1.4015588218529236, 1.3964858176913515]
         [1.4015588218529231, 1.396485817691353]


**isite= 67
O1 : [2.59106212 2.556156   2.57436507]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [1.60003729 2.8393608  3.51661634] : 19
B1 : [2.26228835 1.7324688  1.48909352] : 35
!!!atention to nb coordination!!!
         [1.3964858176913535, 1.401558821852924]
         [1.3964858176913533, 1.4015588218529242]


**isite= 68
O1 : [1.44179767 2.6844624  9.13521017]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [2.34272519 1.6646592  9.74641155] : 24
B1 : [0.34294287 2.3779896  8.41926747] : 36
!!!atention to nb coordination!!!
         [1.491722526918003, 1.3468412654008355]
         [1.4917225269180026, 1.3468412654008366]


**isite= 69
O1 : [7.07171754 6.0084624  1.38098701]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [6.17079001 4.9886592  0.76978563] : 25
B1 : [8.17057233 5.7019896  2.09692972] : 37
!!!atention to nb coordination!!!
         [1.4917225269180021, 1.346841265400836]
         [1.4917225269180028, 1.346841265400836]


**isite= 70
O1 : [ 6.26623274  3.9635376  11.8971842 ]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 5.36530522  4.9833408  11.28598282] : 26
B1 : [ 7.36508754  4.2700104  12.6131269 ] : 38
!!!atention to nb coordination!!!
         [1.4917225269180017, 1.346841265400837]
         [1.4917225269180026, 1.346841265400836]


**isite= 71
O1 : [ 0.63631288  0.6395376  19.65140736]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 1.5372404   1.6593408  20.26260874] : 27
B1 : [-0.46254192  0.9460104  18.93546465] : 39
!!!atention to nb coordination!!!
         [1.4917225269180037, 1.3468412654008346]
         [1.491722526918002, 1.3468412654008362]


**isite= 72
O1 : [ 0.21737881  2.0482488  11.83492831]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 1.45680356  1.5915312  12.00529071] : 32
B1 : [-0.82189899  1.9771152  12.87182536] : 28
!!!atention to nb coordination!!!
         [1.3318363313228987, 1.4698006030422368]
         [1.331836331322899, 1.4698006030422357]


**isite= 73
O1 : [ 6.68516681  5.3722488  19.71366324]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 5.44574206  4.9155312  19.54330085] : 33
B1 : [ 7.72444461  5.3011152  18.6767662 ] : 29
!!!atention to nb coordination!!!
         [1.3318363313228982, 1.4698006030422326]
         [1.3318363313228991, 1.469800603042235]


**isite= 74
O1 : [7.4906516  4.5997512  9.19746606]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [6.25122685 5.0564688  9.02710366] : 34
B1 : [8.5299294  4.6708848  8.16056902] : 30
!!!atention to nb coordination!!!
         [1.3318363313228998, 1.469800603042234]
         [1.3318363313228994, 1.469800603042235]


**isite= 75
O1 : [1.02286361 1.2757512  1.31873113]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [-0.01641419  1.3468848   2.35562817] : 31
B1 : [2.26228835 1.7324688  1.48909352] : 35
!!!atention to nb coordination!!!
         [1.469800603042234, 1.3318363313228987]
         [1.4698006030422335, 1.3318363313228987]


**isite= 76
O1 : [5.92450644 0.5364936  5.09236333]


**isite= 77
O1 : [2.58900876 3.8604936  5.42383386]


**isite= 78
O1 : [ 1.78352397  6.1115064  15.94003105]


**isite= 79
O1 : [ 5.11902165  2.7875064  15.60856051]


**isite= 80
O1 : [-0.31038467  1.289712   14.07761252]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 0.79455249  0.4846392  14.03281352] : 16
B1 : [-0.82189899  1.9771152  12.87182536] : 28
!!!atention to nb coordination!!!
         [1.367857924927435, 1.4792203182861154]
         [1.3678579249274352, 1.4792203182861168]


**isite= 81
O1 : [ 7.21293029  4.613712   17.47097903]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [ 6.10799313  3.8086392  17.51577803] : 17
B1 : [ 7.72444461  5.3011152  18.6767662 ] : 29
!!!atention to nb coordination!!!
         [1.367857924927436, 1.4792203182861208]
         [1.3678579249274365, 1.4792203182861174]


**isite= 82
O1 : [8.01841509 5.358288   6.95478185]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [8.5299294  4.6708848  8.16056902] : 30
B1 : [6.91347792 6.1633608  6.99958085] : 18
!!!atention to nb coordination!!!
         [1.4792203182861183, 1.3678579249274367]
         [1.4792203182861172, 1.3678579249274354]


**isite= 83
O1 : [0.49510012 2.034288   3.56141534]

ce_symbol  = A:2
ce_fraction=  1.0
species:coords:index
B1 : [1.60003729 2.8393608  3.51661634] : 19
B1 : [-0.01641419  1.3468848   2.35562817] : 31
!!!atention to nb coordination!!!
         [1.3678579249274367, 1.4792203182861192]
