cif name= ./1528994.cif
./1528994.cif
Full Formula (La16 Zr16 O56)
O1 : [2.7019 8.1057 2.7019] : 32
O1 : [5.4038 5.4038 5.4038] : 33

ce_symbol  = BO_1:8
ce_fraction=  0.01801443165093698
species:coords:index
O1 : [2.7019 8.1057 2.7019] : 32
O1 : [2.22744636 5.4038     5.4038    ] : 53
O1 : [5.4038 5.4038 5.4038] : 33
O1 : [2.7019     8.1057     5.87825364] : 56
O1 : [5.4038     8.58015364 5.4038    ] : 35
O1 : [2.7019     4.92934636 2.7019    ] : 40
O1 : [5.87825364 8.1057     2.7019    ] : 48
O1 : [5.4038     5.4038     2.22744636] : 58


**isite= 24
Zr1 : [6.75475 1.35095 1.35095]

ce_symbol  = C:8
ce_fraction=  0.7426354425093955
species:coords:index
O1 : [4.92934636 2.7019     2.7019    ] : 36
O1 : [5.4038 0.     0.    ] : 47
O1 : [ 8.1057      2.7019     -0.47445364] : 71
O1 : [8.58015364 0.         0.        ] : 69
O1 : [5.4038     3.17635364 0.        ] : 49
O1 : [ 8.1057     -0.47445364  2.7019    ] : 82
O1 : [5.4038     0.         3.17635364] : 45
O1 : [8.1057 2.7019 2.7019] : 74

ce_symbol  = HB:8
ce_fraction=  0.18618000293132672
species:coords:index
O1 : [4.92934636 2.7019     2.7019    ] : 36
O1 : [5.4038 0.     0.    ] : 47
O1 : [ 8.1057      2.7019     -0.47445364] : 71
O1 : [8.58015364 0.         0.        ] : 69
O1 : [5.4038     3.17635364 0.        ] : 49
O1 : [ 8.1057     -0.47445364  2.7019    ] : 82
O1 : [5.4038     0.         3.17635364] : 45
O1 : [8.1057 2.7019 2.7019] : 74

ce_symbol  = L:2
ce_fraction=  0.0531701229083409
species:coords:index
O1 : [5.4038 0.     0.    ] : 47
O1 : [8.1057 2.7019 2.7019] : 74

ce_symbol  = BO_1:8
ce_fraction=  0.018014431650936916
species:coords:index
O1 : [4.92934636 2.7019     2.7019    ] : 36
O1 : [5.4038 0.     0.    ] : 47
O1 : [ 8.1057      2.7019     -0.47445364] : 71
O1 : [8.58015364 0.         0.        ] : 69
O1 : [5.4038     3.17635364 0.        ] : 49
O1 : [ 8.1057     -0.47445364  2.7019    ] : 82
O1 : [5.4038     0.         3.17635364] : 45
O1 : [8.1057 2.7019 2.7019] : 74


**isite= 25
Zr1 : [6.75475 9.45665 9.45665]

ce_symbol  = C:8
ce_fraction=  0.7426354425093957
species:coords:index
O1 : [4.92934636 8.1057     8.1057    ] : 50
O1 : [ 5.4038      7.63124636 10.8076    ] : 51
O1 : [8.1057 8.1057 8.1057] : 60
O1 : [ 5.4038 10.8076 10.8076] : 47
O1 : [ 8.58015364 10.8076     10.8076    ] : 69
O1 : [ 8.1057     11.28205364  8.1057    ] : 66
O1 : [ 5.4038     10.8076      7.63124636] : 44
O1 : [ 8.1057      8.1057     11.28205364] : 84

ce_symbol  = HB:8
ce_fraction=  0.18618000293132667
species:coords:index
O1 : [4.92934636 8.1057     8.1057    ] : 50
O1 : [ 5.4038      7.63124636 10.8076    ] : 51
O1 : [8.1057 8.1057 8.1057] : 60
O1 : [ 5.4038 10.8076 10.8076] : 47
O1 : [ 8.58015364 10.8076     10.8076    ] : 69
O1 : [ 8.1057     11.28205364  8.1057    ] : 66
O1 : [ 5.4038     10.8076      7.63124636] : 44
O1 : [ 8.1057      8.1057     11.28205364] : 84

ce_symbol  = L:2
ce_fraction=  0.053170122908340695
species:coords:index
O1 : [8.1057 8.1057 8.1057] : 60
O1 : [ 5.4038 10.8076 10.8076] : 47

ce_symbol  = BO_1:8
ce_fraction=  0.018014431650936937
species:coords:index
O1 : [4.92934636 8.1057     8.1057    ] : 50
O1 : [ 5.4038      7.63124636 10.8076    ] : 51
O1 : [8.1057 8.1057 8.1057] : 60
O1 : [ 5.4038 10.8076 10.8076] : 47
O1 : [ 8.58015364 10.8076     10.8076    ] : 69
O1 : [ 8.1057     11.28205364  8.1057    ] : 66
O1 : [ 5.4038     10.8076      7.63124636] : 44
O1 : [ 8.1057      8.1057     11.28205364] : 84


**isite= 26
Zr1 : [9.45665 4.05285 1.35095]

ce_symbol  = C:8
ce_fraction=  0.7426354425093951
species:coords:index
O1 : [ 8.1057      2.7019     -0.47445364] : 71
O1 : [10.8076      2.22744636  0.        ] : 65
O1 : [8.1057 2.7019 2.7019] : 74
O1 : [10.8076  5.4038  0.    ] : 61
O1 : [10.8076      5.4038      3.17635364] : 87
O1 : [8.1057     5.87825364 2.7019    ] : 80
O1 : [11.28205364  2.7019      2.7019    ] : 62
O1 : [7.63124636 5.4038     0.        ] : 81
!!!atention to nb coordination!!!
         [2.642391010794059, 2.6423910107940602, 2.3399140384851744, 2.3399140384851753, 2.6423910107940602, 2.6423910107940594, 2.6423910107940602, 2.6423910107940594]
         [2.6423910107940594, 2.6423910107940602, 2.3399140384851744, 2.3399140384851753, 2.6423910107940602, 2.6423910107940594, 2.6423910107940602, 2.6423910107940594]

ce_symbol  = HB:8
ce_fraction=  0.18618000293132697
species:coords:index
O1 : [ 8.1057      2.7019     -0.47445364] : 71
O1 : [10.8076      2.22744636  0.        ] : 65
O1 : [8.1057 2.7019 2.7019] : 74
O1 : [10.8076  5.4038  0.    ] : 61
O1 : [10.8076      5.4038      3.17635364] : 87
O1 : [8.1057     5.87825364 2.7019    ] : 80
O1 : [11.28205364  2.7019      2.7019    ] : 62
O1 : [7.63124636 5.4038     0.        ] : 81
!!!atention to nb coordination!!!
         [2.642391010794059, 2.6423910107940602, 2.3399140384851744, 2.3399140384851753, 2.6423910107940602, 2.6423910107940594, 2.6423910107940602, 2.6423910107940594]
         [2.6423910107940594, 2.6423910107940602, 2.3399140384851744, 2.3399140384851753, 2.6423910107940602, 2.6423910107940594, 2.6423910107940602, 2.6423910107940594]

ce_symbol  = L:2
ce_fraction=  0.0531701229083409
species:coords:index
O1 : [8.1057 2.7019 2.7019] : 74
O1 : [10.8076  5.4038  0.    ] : 61

ce_symbol  = BO_1:8
ce_fraction=  0.018014431650937048
species:coords:index
O1 : [ 8.1057      2.7019     -0.47445364] : 71
O1 : [10.8076      2.22744636  0.        ] : 65
O1 : [8.1057 2.7019 2.7019] : 74
O1 : [10.8076  5.4038  0.    ] : 61
O1 : [10.8076      5.4038      3.17635364] : 87
O1 : [8.1057     5.87825364 2.7019    ] : 80
O1 : [11.28205364  2.7019      2.7019    ] : 62
O1 : [7.63124636 5.4038     0.        ] : 81
!!!atention to nb coordination!!!
         [2.642391010794059, 2.6423910107940602, 2.3399140384851744, 2.3399140384851753, 2.6423910107940602, 2.6423910107940594, 2.6423910107940602, 2.6423910107940594]
         [2.6423910107940594, 2.6423910107940602, 2.3399140384851744, 2.3399140384851753, 2.6423910107940602, 2.6423910107940594, 2.6423910107940602, 2.6423910107940594]


**isite= 27
Zr1 : [9.45665 1.35095 4.05285]

ce_symbol  = C:8
ce_fraction=  0.7426354425093956
species:coords:index
O1 : [8.1057     2.7019     5.87825364] : 70
O1 : [11.28205364  2.7019      2.7019    ] : 62
O1 : [10.8076      0.          2.22744636] : 72
O1 : [8.1057 2.7019 2.7019] : 74
O1 : [10.8076      3.17635364  5.4038    ] : 77
O1 : [10.8076  0.      5.4038] : 75
O1 : [7.63124636 0.         5.4038    ] : 67
O1 : [ 8.1057     -0.47445364  2.7019    ] : 82
!!!atention to nb coordination!!!
         [2.6423910107940594, 2.6423910107940602, 2.6423910107940602, 2.3399140384851744, 2.6423910107940602, 2.3399140384851753, 2.6423910107940594, 2.642391010794059]
         [2.6423910107940594, 2.6423910107940602, 2.6423910107940602, 2.3399140384851744, 2.6423910107940602, 2.3399140384851753, 2.6423910107940594, 2.6423910107940594]

ce_symbol  = HB:8
ce_fraction=  0.18618000293132686
species:coords:index
O1 : [8.1057     2.7019     5.87825364] : 70
O1 : [11.28205364  2.7019      2.7019    ] : 62
O1 : [10.8076      0.          2.22744636] : 72
O1 : [8.1057 2.7019 2.7019] : 74
O1 : [10.8076      3.17635364  5.4038    ] : 77
O1 : [10.8076  0.      5.4038] : 75
O1 : [7.63124636 0.         5.4038    ] : 67
O1 : [ 8.1057     -0.47445364  2.7019    ] : 82
!!!atention to nb coordination!!!
         [2.6423910107940594, 2.6423910107940602, 2.6423910107940602, 2.3399140384851744, 2.6423910107940602, 2.3399140384851753, 2.6423910107940594, 2.642391010794059]
         [2.6423910107940594, 2.6423910107940602, 2.6423910107940602, 2.3399140384851744, 2.6423910107940602, 2.3399140384851753, 2.6423910107940594, 2.6423910107940594]

ce_symbol  = L:2
ce_fraction=  0.05317012290834061
species:coords:index
O1 : [8.1057 2.7019 2.7019] : 74
O1 : [10.8076  0.      5.4038] : 75

ce_symbol  = BO_1:8
ce_fraction=  0.018014431650937038
species:coords:index
O1 : [8.1057     2.7019     5.87825364] : 70
O1 : [11.28205364  2.7019      2.7019    ] : 62
O1 : [10.8076      0.          2.22744636] : 72
O1 : [8.1057 2.7019 2.7019] : 74
O1 : [10.8076      3.17635364  5.4038    ] : 77
O1 : [10.8076  0.      5.4038] : 75
O1 : [7.63124636 0.         5.4038    ] : 67
O1 : [ 8.1057     -0.47445364  2.7019    ] : 82
!!!atention to nb coordination!!!
         [2.6423910107940594, 2.6423910107940602, 2.6423910107940602, 2.3399140384851744, 2.6423910107940602, 2.3399140384851753, 2.6423910107940594, 2.642391010794059]
         [2.6423910107940594, 2.6423910107940602, 2.6423910107940602, 2.3399140384851744, 2.6423910107940602, 2.3399140384851753, 2.6423910107940594, 2.6423910107940594]


**isite= 28
Zr1 : [6.75475 6.75475 6.75475]

ce_symbol  = C:8
ce_fraction=  0.7426354425093963
species:coords:index
O1 : [4.92934636 8.1057     8.1057    ] : 50
O1 : [5.4038     8.58015364 5.4038    ] : 35
O1 : [8.58015364 5.4038     5.4038    ] : 83
O1 : [8.1057 8.1057 8.1057] : 60
O1 : [8.1057     8.1057     4.92934636] : 85
O1 : [5.4038     5.4038     8.58015364] : 59
O1 : [8.1057     4.92934636 8.1057    ] : 68
O1 : [5.4038 5.4038 5.4038] : 33

ce_symbol  = HB:8
ce_fraction=  0.18618000293132628
species:coords:index
O1 : [4.92934636 8.1057     8.1057    ] : 50
O1 : [5.4038     8.58015364 5.4038    ] : 35
O1 : [8.58015364 5.4038     5.4038    ] : 83
O1 : [8.1057 8.1057 8.1057] : 60
O1 : [8.1057     8.1057     4.92934636] : 85
O1 : [5.4038     5.4038     8.58015364] : 59
O1 : [8.1057     4.92934636 8.1057    ] : 68
O1 : [5.4038 5.4038 5.4038] : 33

ce_symbol  = L:2
ce_fraction=  0.05317012290834038
species:coords:index
O1 : [8.1057 8.1057 8.1057] : 60
O1 : [5.4038 5.4038 5.4038] : 33

ce_symbol  = BO_1:8
ce_fraction=  0.018014431650936958
species:coords:index
O1 : [4.92934636 8.1057     8.1057    ] : 50
O1 : [5.4038     8.58015364 5.4038    ] : 35
O1 : [8.58015364 5.4038     5.4038    ] : 83
O1 : [8.1057 8.1057 8.1057] : 60
O1 : [8.1057     8.1057     4.92934636] : 85
O1 : [5.4038     5.4038     8.58015364] : 59
O1 : [8.1057     4.92934636 8.1057    ] : 68
O1 : [5.4038 5.4038 5.4038] : 33


**isite= 29
Zr1 : [6.75475 4.05285 4.05285]

ce_symbol  = C:8
ce_fraction=  0.7426354425093948
species:coords:index
O1 : [5.4038 5.4038 5.4038] : 33
O1 : [8.58015364 5.4038     5.4038    ] : 83
O1 : [8.1057     2.7019     5.87825364] : 70
O1 : [5.4038     2.22744636 5.4038    ] : 37
O1 : [4.92934636 2.7019     2.7019    ] : 36
O1 : [5.4038     5.4038     2.22744636] : 58
O1 : [8.1057     5.87825364 2.7019    ] : 80
O1 : [8.1057 2.7019 2.7019] : 74

ce_symbol  = HB:8
ce_fraction=  0.18618000293132722
species:coords:index
O1 : [5.4038 5.4038 5.4038] : 33
O1 : [8.58015364 5.4038     5.4038    ] : 83
O1 : [8.1057     2.7019     5.87825364] : 70
O1 : [5.4038     2.22744636 5.4038    ] : 37
O1 : [4.92934636 2.7019     2.7019    ] : 36
O1 : [5.4038     5.4038     2.22744636] : 58
O1 : [8.1057     5.87825364 2.7019    ] : 80
O1 : [8.1057 2.7019 2.7019] : 74

ce_symbol  = L:2
ce_fraction=  0.05317012290834102
species:coords:index
O1 : [5.4038 5.4038 5.4038] : 33
O1 : [8.1057 2.7019 2.7019] : 74

ce_symbol  = BO_1:8
ce_fraction=  0.018014431650936958
species:coords:index
O1 : [5.4038 5.4038 5.4038] : 33
O1 : [8.58015364 5.4038     5.4038    ] : 83
O1 : [8.1057     2.7019     5.87825364] : 70
O1 : [5.4038     2.22744636 5.4038    ] : 37
O1 : [4.92934636 2.7019     2.7019    ] : 36
O1 : [5.4038     5.4038     2.22744636] : 58
O1 : [8.1057     5.87825364 2.7019    ] : 80
O1 : [8.1057 2.7019 2.7019] : 74


**isite= 30
Zr1 : [9.45665 9.45665 6.75475]

ce_symbol  = C:8
ce_fraction=  0.7426354425093952
species:coords:index
O1 : [10.8076 10.8076  5.4038] : 75
O1 : [8.1057 8.1057 8.1057] : 60
O1 : [10.8076      7.63124636  5.4038    ] : 79
O1 : [11.28205364  8.1057      8.1057    ] : 76
O1 : [10.8076     10.8076      8.58015364] : 73
O1 : [ 8.1057     11.28205364  8.1057    ] : 66
O1 : [8.1057     8.1057     4.92934636] : 85
O1 : [ 7.63124636 10.8076      5.4038    ] : 67

ce_symbol  = HB:8
ce_fraction=  0.1861800029313269
species:coords:index
O1 : [10.8076 10.8076  5.4038] : 75
O1 : [8.1057 8.1057 8.1057] : 60
O1 : [10.8076      7.63124636  5.4038    ] : 79
O1 : [11.28205364  8.1057      8.1057    ] : 76
O1 : [10.8076     10.8076      8.58015364] : 73
O1 : [ 8.1057     11.28205364  8.1057    ] : 66
O1 : [8.1057     8.1057     4.92934636] : 85
O1 : [ 7.63124636 10.8076      5.4038    ] : 67

ce_symbol  = L:2
ce_fraction=  0.0531701229083409
species:coords:index
O1 : [10.8076 10.8076  5.4038] : 75
O1 : [8.1057 8.1057 8.1057] : 60

ce_symbol  = BO_1:8
ce_fraction=  0.018014431650937027
species:coords:index
O1 : [10.8076 10.8076  5.4038] : 75
O1 : [8.1057 8.1057 8.1057] : 60
O1 : [10.8076      7.63124636  5.4038    ] : 79
O1 : [11.28205364  8.1057      8.1057    ] : 76
O1 : [10.8076     10.8076      8.58015364] : 73
O1 : [ 8.1057     11.28205364  8.1057    ] : 66
O1 : [8.1057     8.1057     4.92934636] : 85
O1 : [ 7.63124636 10.8076      5.4038    ] : 67


**isite= 31
Zr1 : [9.45665 6.75475 9.45665]

ce_symbol  = C:8
ce_fraction=  0.7426354425093957
species:coords:index
O1 : [10.8076  5.4038 10.8076] : 61
O1 : [11.28205364  8.1057      8.1057    ] : 76
O1 : [10.8076      8.58015364 10.8076    ] : 63
O1 : [ 7.63124636  5.4038     10.8076    ] : 81
O1 : [8.1057     4.92934636 8.1057    ] : 68
O1 : [10.8076      5.4038      7.63124636] : 86
O1 : [ 8.1057      8.1057     11.28205364] : 84
O1 : [8.1057 8.1057 8.1057] : 60
!!!atention to nb coordination!!!
         [2.339914038485176, 2.6423910107940594, 2.6423910107940602, 2.64239101079406, 2.642391010794059, 2.64239101079406, 2.6423910107940594, 2.339914038485174]
         [2.3399140384851758, 2.6423910107940594, 2.6423910107940602, 2.64239101079406, 2.642391010794059, 2.64239101079406, 2.6423910107940594, 2.339914038485174]

ce_symbol  = HB:8
ce_fraction=  0.1861800029313266
species:coords:index
O1 : [10.8076  5.4038 10.8076] : 61
O1 : [11.28205364  8.1057      8.1057    ] : 76
O1 : [10.8076      8.58015364 10.8076    ] : 63
O1 : [ 7.63124636  5.4038     10.8076    ] : 81
O1 : [8.1057     4.92934636 8.1057    ] : 68
O1 : [10.8076      5.4038      7.63124636] : 86
O1 : [ 8.1057      8.1057     11.28205364] : 84
O1 : [8.1057 8.1057 8.1057] : 60
!!!atention to nb coordination!!!
         [2.339914038485176, 2.6423910107940594, 2.6423910107940602, 2.64239101079406, 2.642391010794059, 2.64239101079406, 2.6423910107940594, 2.339914038485174]
         [2.3399140384851758, 2.6423910107940594, 2.6423910107940602, 2.64239101079406, 2.642391010794059, 2.64239101079406, 2.6423910107940594, 2.339914038485174]

ce_symbol  = L:2
ce_fraction=  0.053170122908340695
species:coords:index
O1 : [10.8076  5.4038 10.8076] : 61
O1 : [8.1057 8.1057 8.1057] : 60
!!!atention to nb coordination!!!
         [2.339914038485176, 2.339914038485174]
         [2.3399140384851758, 2.339914038485174]

ce_symbol  = BO_1:8
ce_fraction=  0.01801443165093699
species:coords:index
O1 : [10.8076  5.4038 10.8076] : 61
O1 : [11.28205364  8.1057      8.1057    ] : 76
O1 : [10.8076      8.58015364 10.8076    ] : 63
O1 : [ 7.63124636  5.4038     10.8076    ] : 81
O1 : [8.1057     4.92934636 8.1057    ] : 68
O1 : [10.8076      5.4038      7.63124636] : 86
O1 : [ 8.1057      8.1057     11.28205364] : 84
O1 : [8.1057 8.1057 8.1057] : 60
!!!atention to nb coordination!!!
         [2.339914038485176, 2.6423910107940594, 2.6423910107940602, 2.64239101079406, 2.642391010794059, 2.64239101079406, 2.6423910107940594, 2.339914038485174]
         [2.3399140384851758, 2.6423910107940594, 2.6423910107940602, 2.64239101079406, 2.642391010794059, 2.64239101079406, 2.6423910107940594, 2.339914038485174]


**isite= 32
O1 : [2.7019 8.1057 2.7019]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Zr1 : [1.35095 9.45665 4.05285] : 17
Zr1 : [4.05285 6.75475 4.05285] : 23
Zr1 : [4.05285 9.45665 1.35095] : 22
Zr1 : [1.35095 6.75475 1.35095] : 20


**isite= 33
O1 : [5.4038 5.4038 5.4038]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Zr1 : [6.75475 6.75475 6.75475] : 28
Zr1 : [4.05285 6.75475 4.05285] : 23
Zr1 : [4.05285 4.05285 6.75475] : 18
Zr1 : [6.75475 4.05285 4.05285] : 29


**isite= 34
O1 : [5.87825364 2.7019     8.1057    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [6.75475 1.35095 6.75475] : 8
Zr1 : [4.05285 1.35095 9.45665] : 19
La1 : [6.75475 4.05285 9.45665] : 9
Zr1 : [4.05285 4.05285 6.75475] : 18


**isite= 35
O1 : [5.4038     8.58015364 5.4038    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Zr1 : [4.05285 6.75475 4.05285] : 23
La1 : [4.05285 9.45665 6.75475] : 2
Zr1 : [6.75475 6.75475 6.75475] : 28
La1 : [6.75475 9.45665 4.05285] : 13


**isite= 36
O1 : [4.92934636 2.7019     2.7019    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [4.05285 4.05285 1.35095] : 6
La1 : [4.05285 1.35095 4.05285] : 3
Zr1 : [6.75475 1.35095 1.35095] : 24
Zr1 : [6.75475 4.05285 4.05285] : 29


**isite= 37
O1 : [5.4038     2.22744636 5.4038    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [4.05285 1.35095 4.05285] : 3
Zr1 : [6.75475 4.05285 4.05285] : 29
Zr1 : [4.05285 4.05285 6.75475] : 18
La1 : [6.75475 1.35095 6.75475] : 8


**isite= 38
O1 : [2.7019     0.47445364 2.7019    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [1.35095 1.35095 1.35095] : 0
Zr1 : [ 4.05285 -1.35095  1.35095] : 22
La1 : [4.05285 1.35095 4.05285] : 3
Zr1 : [ 1.35095 -1.35095  4.05285] : 17
!!!atention to nb coordination!!!
         [2.10199373788155, 2.6423910107940602, 2.10199373788155, 2.6423910107940602]
         [2.10199373788155, 2.64239101079406, 2.10199373788155, 2.64239101079406]


**isite= 39
O1 : [2.22744636 0.         0.        ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [1.35095 1.35095 1.35095] : 0
La1 : [ 1.35095 -1.35095 -1.35095] : 5
Zr1 : [ 4.05285 -1.35095  1.35095] : 22
Zr1 : [ 4.05285  1.35095 -1.35095] : 19
!!!atention to nb coordination!!!
         [2.10199373788155, 2.1019937378815508, 2.6423910107940602, 2.6423910107940602]
         [2.10199373788155, 2.10199373788155, 2.64239101079406, 2.64239101079406]


**isite= 40
O1 : [2.7019     4.92934636 2.7019    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [1.35095 4.05285 4.05285] : 1
La1 : [4.05285 4.05285 1.35095] : 6
Zr1 : [1.35095 6.75475 1.35095] : 20
Zr1 : [4.05285 6.75475 4.05285] : 23


**isite= 41
O1 : [3.17635364 0.         5.4038    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Zr1 : [ 1.35095 -1.35095  4.05285] : 17
La1 : [4.05285 1.35095 4.05285] : 3
Zr1 : [1.35095 1.35095 6.75475] : 16
La1 : [ 4.05285 -1.35095  6.75475] : 2
!!!atention to nb coordination!!!
         [2.6423910107940602, 2.10199373788155, 2.64239101079406, 2.1019937378815503]
         [2.64239101079406, 2.10199373788155, 2.64239101079406, 2.10199373788155]


**isite= 42
O1 : [2.7019     2.7019     0.47445364]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [1.35095 1.35095 1.35095] : 0
Zr1 : [ 4.05285  1.35095 -1.35095] : 19
Zr1 : [ 1.35095  4.05285 -1.35095] : 21
La1 : [4.05285 4.05285 1.35095] : 6
!!!atention to nb coordination!!!
         [2.10199373788155, 2.6423910107940602, 2.6423910107940602, 2.10199373788155]
         [2.10199373788155, 2.6423910107940594, 2.6423910107940594, 2.10199373788155]


**isite= 43
O1 : [2.7019     2.7019     4.92934636]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [4.05285 1.35095 4.05285] : 3
Zr1 : [1.35095 1.35095 6.75475] : 16
Zr1 : [4.05285 4.05285 6.75475] : 18
La1 : [1.35095 4.05285 4.05285] : 1


**isite= 44
O1 : [5.4038     0.         7.63124636]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [ 4.05285 -1.35095  6.75475] : 2
Zr1 : [4.05285 1.35095 9.45665] : 19
La1 : [6.75475 1.35095 6.75475] : 8
Zr1 : [ 6.75475 -1.35095  9.45665] : 25
!!!atention to nb coordination!!!
         [2.1019937378815503, 2.6423910107940594, 2.1019937378815494, 2.64239101079406]
         [2.1019937378815494, 2.6423910107940594, 2.1019937378815494, 2.6423910107940594]


**isite= 45
O1 : [5.4038     0.         3.17635364]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [ 6.75475 -1.35095  4.05285] : 13
Zr1 : [ 4.05285 -1.35095  1.35095] : 22
Zr1 : [6.75475 1.35095 1.35095] : 24
La1 : [4.05285 1.35095 4.05285] : 3
!!!atention to nb coordination!!!
         [2.1019937378815503, 2.6423910107940602, 2.64239101079406, 2.10199373788155]
         [2.10199373788155, 2.6423910107940594, 2.6423910107940594, 2.10199373788155]


**isite= 46
O1 : [2.7019 2.7019 8.1057]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Zr1 : [1.35095 4.05285 9.45665] : 21
Zr1 : [4.05285 4.05285 6.75475] : 18
Zr1 : [4.05285 1.35095 9.45665] : 19
Zr1 : [1.35095 1.35095 6.75475] : 16


**isite= 47
O1 : [5.4038 0.     0.    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Zr1 : [ 4.05285 -1.35095  1.35095] : 22
Zr1 : [6.75475 1.35095 1.35095] : 24
Zr1 : [ 4.05285  1.35095 -1.35095] : 19
Zr1 : [ 6.75475 -1.35095 -1.35095] : 25
!!!atention to nb coordination!!!
         [2.3399140384851753, 2.339914038485175, 2.3399140384851753, 2.3399140384851758]
         [2.339914038485175, 2.339914038485175, 2.339914038485175, 2.339914038485175]


**isite= 48
O1 : [5.87825364 8.1057     2.7019    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [6.75475 6.75475 1.35095] : 12
Zr1 : [4.05285 9.45665 1.35095] : 22
La1 : [6.75475 9.45665 4.05285] : 13
Zr1 : [4.05285 6.75475 4.05285] : 23


**isite= 49
O1 : [5.4038     3.17635364 0.        ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Zr1 : [ 4.05285  1.35095 -1.35095] : 19
La1 : [ 6.75475  4.05285 -1.35095] : 9
Zr1 : [6.75475 1.35095 1.35095] : 24
La1 : [4.05285 4.05285 1.35095] : 6
!!!atention to nb coordination!!!
         [2.6423910107940602, 2.1019937378815503, 2.64239101079406, 2.10199373788155]
         [2.64239101079406, 2.10199373788155, 2.64239101079406, 2.10199373788155]


**isite= 50
O1 : [4.92934636 8.1057     8.1057    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [4.05285 6.75475 9.45665] : 7
Zr1 : [6.75475 9.45665 9.45665] : 25
La1 : [4.05285 9.45665 6.75475] : 2
Zr1 : [6.75475 6.75475 6.75475] : 28


**isite= 51
O1 : [5.4038     7.63124636 0.        ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Zr1 : [4.05285 9.45665 1.35095] : 22
La1 : [ 4.05285  6.75475 -1.35095] : 7
La1 : [6.75475 6.75475 1.35095] : 12
Zr1 : [ 6.75475  9.45665 -1.35095] : 25
!!!atention to nb coordination!!!
         [2.6423910107940594, 2.1019937378815503, 2.1019937378815494, 2.64239101079406]
         [2.6423910107940594, 2.1019937378815494, 2.1019937378815494, 2.6423910107940594]


**isite= 52
O1 : [2.7019     5.87825364 8.1057    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [4.05285 6.75475 9.45665] : 7
La1 : [1.35095 6.75475 6.75475] : 4
Zr1 : [4.05285 4.05285 6.75475] : 18
Zr1 : [1.35095 4.05285 9.45665] : 21


**isite= 53
O1 : [2.22744636 5.4038     5.4038    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [1.35095 4.05285 4.05285] : 1
Zr1 : [4.05285 4.05285 6.75475] : 18
Zr1 : [4.05285 6.75475 4.05285] : 23
La1 : [1.35095 6.75475 6.75475] : 4


**isite= 54
O1 : [ 2.7019     10.33314636  8.1057    ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
La1 : [4.05285 9.45665 6.75475] : 2
La1 : [1.35095 9.45665 9.45665] : 5
Zr1 : [ 4.05285 12.15855  9.45665] : 19
Zr1 : [ 1.35095 12.15855  6.75475] : 16


**isite= 55
O1 : [3.17635364 5.4038     0.        ]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Zr1 : [1.35095 6.75475 1.35095] : 20
La1 : [4.05285 4.05285 1.35095] : 6
Zr1 : [ 1.35095  4.05285 -1.35095] : 21
La1 : [ 4.05285  6.75475 -1.35095] : 7
!!!atention to nb coordination!!!
         [2.64239101079406, 2.10199373788155, 2.6423910107940602, 2.1019937378815503]
         [2.64239101079406, 2.10199373788155, 2.64239101079406, 2.10199373788155]


**isite= 56
O1 : [2.7019     8.1057     5.87825364]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
Zr1 : [1.35095 9.45665 4.05285] : 17
Zr1 : [4.05285 6.75475 4.05285] : 23
La1 : [1.35095 6.75475 6.75475] : 4
La1 : [4.05285 9.45665 6.75475] : 2


**isite= 57
O1 : [ 2.7019      8.1057     10.33314636]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
