cif name= ./2102936.cif
./2102936.cif
Full Formula (Rb16 Fe16 O32)
O1 : [ 5.44823552 -0.19688256  3.61264265] : 56
!!!atention to nb coordination!!!
         [2.994915894616669, 3.029477508321875, 3.3219612496438984, 3.55430576483881, 3.5161357082737417, 3.1592321345879486, 3.000530697387502, 2.9609866148086614, 3.55430576483881, 3.2071237184775288, 3.3440690954642567]
         [2.994915894616669, 3.029477508321875, 3.3219612496438975, 3.55430576483881, 3.5161357082737412, 3.1592321345879486, 3.000530697387501, 2.9609866148086614, 3.5543057648388103, 3.2071237184775296, 3.3440690954642562]


**isite= 14
Rb1 : [ 1.72070752  2.77247488 13.25460628]

ce_symbol  = PCPA:11
ce_fraction=  0.9137224965999765
species:coords:index
Rb1 : [ 1.45226794  5.6429305  15.26747365] : 3
O1 : [-1.1312112   3.9837056  13.87123213] : 35
Rb1 : [-1.15769248  2.77247488 11.16944372] : 11
O1 : [ 0.30856448  0.19688256 12.67005735] : 60
O1 : [ 0.43981952  2.46851584 15.98309832] : 48
O1 : [ 3.18696448  0.19688256 11.75399265] : 57
O1 : [ 2.56983552  5.95368256 12.67005735] : 59
O1 : [ 1.7471888   3.9837056  10.55281787] : 38
Rb1 : [ 4.59910752  2.77247488 11.16944372] : 11
O1 : [ 4.6255888   3.9837056  13.87123213] : 35
O1 : [ 3.89217248  1.15596544 14.54875528] : 45
!!!atention to nb coordination!!!
         [3.51613570827374, 3.159232134587948, 3.5543057648388103, 2.9949158946166707, 3.029477508321876, 3.321961249643899, 3.3440690954642562, 2.9609866148086628, 3.55430576483881, 3.207123718477528, 3.0005306973875]
         [3.516135708273741, 3.1592321345879486, 3.5543057648388103, 2.9949158946166703, 3.029477508321876, 3.3219612496438984, 3.344069095464256, 2.9609866148086614, 3.55430576483881, 3.2071237184775283, 3.000530697387501]

ce_symbol  = DI:11
ce_fraction=  0.08627750340002359
species:coords:index
Rb1 : [ 1.45226794  5.6429305  15.26747365] : 3
O1 : [-1.1312112   3.9837056  13.87123213] : 35
Rb1 : [-1.15769248  2.77247488 11.16944372] : 11
O1 : [ 0.30856448  0.19688256 12.67005735] : 60
O1 : [ 0.43981952  2.46851584 15.98309832] : 48
O1 : [ 3.18696448  0.19688256 11.75399265] : 57
O1 : [ 2.56983552  5.95368256 12.67005735] : 59
O1 : [ 1.7471888   3.9837056  10.55281787] : 38
Rb1 : [ 4.59910752  2.77247488 11.16944372] : 11
O1 : [ 4.6255888   3.9837056  13.87123213] : 35
O1 : [ 3.89217248  1.15596544 14.54875528] : 45
!!!atention to nb coordination!!!
         [3.51613570827374, 3.159232134587948, 3.5543057648388103, 2.9949158946166707, 3.029477508321876, 3.321961249643899, 3.3440690954642562, 2.9609866148086628, 3.55430576483881, 3.207123718477528, 3.0005306973875]
         [3.516135708273741, 3.1592321345879486, 3.5543057648388103, 2.9949158946166703, 3.029477508321876, 3.3219612496438984, 3.344069095464256, 2.9609866148086614, 3.55430576483881, 3.2071237184775283, 3.000530697387501]


**isite= 15
Rb1 : [1.15769248 8.74112512 5.11325628]

ce_symbol  = PCPA:11
ce_fraction=  0.9137224965999766
species:coords:index
Rb1 : [-1.72070752  8.74112512  3.02809372] : 10
O1 : [-1.7471888   7.5298944   5.72988213] : 34
O1 : [-0.30856448 11.31671744  3.61264265] : 56
O1 : [2.43858048 9.04508416 7.84174832] : 49
O1 : [ 2.56983552 11.31671744  4.52870735] : 61
O1 : [-1.01377248 10.35763456  6.40740528] : 44
O1 : [0.30856448 5.55991744 4.52870735] : 58
Rb1 : [1.42613206 5.8706695  7.12612365] : 2
Rb1 : [4.03609248 8.74112512 3.02809372] : 10
O1 : [4.0096112  7.5298944  5.72988213] : 34
O1 : [1.1312112  7.5298944  2.41146787] : 39
!!!atention to nb coordination!!!
         [3.5543057648388103, 3.207123718477528, 3.321961249643899, 3.0294775083218743, 2.9949158946166703, 3.0005306973875006, 3.3440690954642567, 3.516135708273741, 3.554305764838811, 3.159232134587948, 2.9609866148086614]
         [3.5543057648388103, 3.207123718477528, 3.3219612496438984, 3.0294775083218752, 2.9949158946166703, 3.000530697387501, 3.344069095464257, 3.5161357082737412, 3.5543057648388108, 3.159232134587948, 2.960986614808661]

ce_symbol  = DI:11
ce_fraction=  0.08627750340002349
species:coords:index
Rb1 : [-1.72070752  8.74112512  3.02809372] : 10
O1 : [-1.7471888   7.5298944   5.72988213] : 34
O1 : [-0.30856448 11.31671744  3.61264265] : 56
O1 : [2.43858048 9.04508416 7.84174832] : 49
O1 : [ 2.56983552 11.31671744  4.52870735] : 61
O1 : [-1.01377248 10.35763456  6.40740528] : 44
O1 : [0.30856448 5.55991744 4.52870735] : 58
Rb1 : [1.42613206 5.8706695  7.12612365] : 2
Rb1 : [4.03609248 8.74112512 3.02809372] : 10
O1 : [4.0096112  7.5298944  5.72988213] : 34
O1 : [1.1312112  7.5298944  2.41146787] : 39
!!!atention to nb coordination!!!
         [3.5543057648388103, 3.207123718477528, 3.321961249643899, 3.0294775083218743, 2.9949158946166703, 3.0005306973875006, 3.3440690954642567, 3.516135708273741, 3.554305764838811, 3.159232134587948, 2.9609866148086614]
         [3.5543057648388103, 3.207123718477528, 3.3219612496438984, 3.0294775083218752, 2.9949158946166703, 3.000530697387501, 3.344069095464257, 3.5161357082737412, 3.5543057648388108, 3.159232134587948, 2.960986614808661]


**isite= 16
Fe1 : [1.46073043 0.06505184 3.06977743]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [-0.30856448 -0.19688256  3.61264265] : 56
O1 : [ 2.56983552 -0.19688256  4.52870735] : 61
O1 : [1.7471888  1.7730944  2.41146787] : 32
O1 : [ 1.86462752 -1.15596544  1.73394472] : 41
!!!atention to nb coordination!!!
         [1.8691486726439492, 1.8512698986377036, 1.852792287730222, 1.8543098661000796]
         [1.8691486726439486, 1.8512698986377036, 1.852792287730222, 1.8543098661000792]


**isite= 17
Fe1 : [ 1.41766957 11.44854816 11.21112743]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 0.30856448 11.71048256 12.67005735] : 60
O1 : [ 1.1312112   9.7405056  10.55281787] : 33
O1 : [ 3.18696448 11.71048256 11.75399265] : 57
O1 : [ 1.01377248 12.66956544  9.87529472] : 40
!!!atention to nb coordination!!!
         [1.8512698986377008, 1.8527922877302223, 1.8691486726439486, 1.8543098661000796]
         [1.851269898637702, 1.8527922877302216, 1.8691486726439486, 1.8543098661000796]


**isite= 18
Fe1 : [4.29606957 5.82185184 5.07157257]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [4.0096112  7.5298944  5.72988213] : 34
O1 : [6.06536448 5.55991744 4.52870735] : 58
O1 : [3.89217248 4.60083456 6.40740528] : 43
O1 : [3.18696448 5.55991744 3.61264265] : 63
!!!atention to nb coordination!!!
         [1.852792287730222, 1.869148672643949, 1.8543098661000783, 1.851269898637703]
         [1.852792287730222, 1.8691486726439484, 1.8543098661000783, 1.851269898637703]


**isite= 19
Fe1 : [ 4.33913043  5.69174816 13.21292257]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 5.44823552  5.95368256 11.75399265] : 62
O1 : [ 2.56983552  5.95368256 12.67005735] : 59
O1 : [ 4.74302752  6.91276544 14.54875528] : 42
O1 : [ 4.6255888   3.9837056  13.87123213] : 35
!!!atention to nb coordination!!!
         [1.8512698986377014, 1.8691486726439484, 1.8543098661000772, 1.8527922877302223]
         [1.8512698986377014, 1.869148672643948, 1.8543098661000783, 1.8527922877302228]


**isite= 20
Fe1 : [ 4.29606957 11.44854816 13.21292257]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 4.0096112   9.7405056  13.87123213] : 36
O1 : [ 3.18696448 11.71048256 11.75399265] : 57
O1 : [ 6.06536448 11.71048256 12.67005735] : 60
O1 : [ 3.89217248 12.66956544 14.54875528] : 45
!!!atention to nb coordination!!!
         [1.852792287730221, 1.851269898637702, 1.8691486726439495, 1.8543098661000772]
         [1.8527922877302216, 1.851269898637702, 1.8691486726439481, 1.8543098661000796]


**isite= 21
Fe1 : [4.33913043 0.06505184 5.07157257]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [4.6255888  1.7730944  5.72988213] : 37
O1 : [ 5.44823552 -0.19688256  3.61264265] : 56
O1 : [ 4.74302752 -1.15596544  6.40740528] : 44
O1 : [ 2.56983552 -0.19688256  4.52870735] : 61
!!!atention to nb coordination!!!
         [1.852792287730222, 1.8512698986377025, 1.8543098661000785, 1.8691486726439481]
         [1.852792287730222, 1.8512698986377023, 1.854309866100078, 1.8691486726439481]


**isite= 22
Fe1 : [ 1.46073043  5.69174816 11.21112743]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [1.86462752 6.91276544 9.87529472] : 47
O1 : [-0.30856448  5.95368256 11.75399265] : 62
O1 : [ 1.7471888   3.9837056  10.55281787] : 38
O1 : [ 2.56983552  5.95368256 12.67005735] : 59
!!!atention to nb coordination!!!
         [1.8543098661000796, 1.8691486726439488, 1.8527922877302234, 1.8512698986377008]
         [1.8543098661000783, 1.8691486726439484, 1.8527922877302228, 1.851269898637702]


**isite= 23
Fe1 : [1.41766957 5.82185184 3.06977743]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [1.1312112  7.5298944  2.41146787] : 39
O1 : [1.01377248 4.60083456 1.73394472] : 46
O1 : [3.18696448 5.55991744 3.61264265] : 63
O1 : [0.30856448 5.55991744 4.52870735] : 58
!!!atention to nb coordination!!!
         [1.852792287730222, 1.8543098661000796, 1.8691486726439488, 1.8512698986377036]
         [1.852792287730222, 1.8543098661000794, 1.8691486726439488, 1.8512698986377036]


**isite= 24
Fe1 : [4.51074064 2.98847002 7.11081792]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [6.19661952 3.28828416 7.84174832] : 54
O1 : [4.6255888  1.7730944  5.72988213] : 37
O1 : [3.31821952 2.46851584 8.44095168] : 53
O1 : [3.89217248 4.60083456 6.40740528] : 43
!!!atention to nb coordination!!!
         [1.8618097037566042, 1.843179762161053, 1.8605684062292391, 1.8647078413054106]
         [1.8618097037566046, 1.843179762161053, 1.8605684062292405, 1.8647078413054106]


**isite= 25
Fe1 : [ 4.12445936  8.52512998 15.25216792]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 4.0096112   9.7405056  13.87123213] : 36
O1 : [ 4.74302752  6.91276544 14.54875528] : 42
O1 : [ 5.31698048  9.04508416 16.58230168] : 52
O1 : [ 2.43858048  8.22531584 15.98309832] : 55
!!!atention to nb coordination!!!
         [1.8431797621610548, 1.8647078413054108, 1.8605684062292405, 1.8618097037566048]
         [1.8431797621610535, 1.86470784130541, 1.8605684062292405, 1.8618097037566048]


**isite= 26
Fe1 : [1.24605936 8.74527002 1.03053208]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 2.43858048  8.22531584 -0.29960168] : 55
O1 : [1.1312112  7.5298944  2.41146787] : 39
O1 : [ 1.86462752 10.35763456  1.73394472] : 41
O1 : [-0.43981952  9.04508416  0.29960168] : 52
!!!atention to nb coordination!!!
         [1.8605684062292405, 1.8431797621610526, 1.8647078413054086, 1.8618097037566046]
         [1.8605684062292411, 1.843179762161053, 1.8647078413054086, 1.8618097037566044]


**isite= 27
Fe1 : [1.63234064 2.76832998 9.17188208]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [3.31821952 2.46851584 8.44095168] : 53
O1 : [ 1.7471888   3.9837056  10.55281787] : 38
O1 : [1.01377248 1.15596544 9.87529472] : 40
O1 : [0.43981952 3.28828416 7.84174832] : 54
!!!atention to nb coordination!!!
         [1.8618097037566057, 1.8431797621610517, 1.86470784130541, 1.860568406229242]
         [1.861809703756605, 1.843179762161053, 1.8647078413054106, 1.8605684062292411]


**isite= 28
Fe1 : [1.24605936 8.52512998 9.17188208]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [-0.43981952  8.22531584  8.44095168] : 50
O1 : [ 1.1312112   9.7405056  10.55281787] : 33
O1 : [2.43858048 9.04508416 7.84174832] : 49
O1 : [1.86462752 6.91276544 9.87529472] : 47
!!!atention to nb coordination!!!
         [1.8618097037566055, 1.8431797621610522, 1.8605684062292418, 1.8647078413054095]
         [1.8618097037566046, 1.8431797621610535, 1.8605684062292411, 1.86470784130541]


**isite= 29
Fe1 : [1.63234064 2.98847002 1.03053208]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [3.31821952 3.28828416 0.29960168] : 51
O1 : [1.01377248 4.60083456 1.73394472] : 46
O1 : [1.7471888  1.7730944  2.41146787] : 32
O1 : [ 0.43981952  2.46851584 -0.29960168] : 48
!!!atention to nb coordination!!!
         [1.8618097037566046, 1.86470784130541, 1.8431797621610528, 1.8605684062292407]
         [1.8618097037566046, 1.86470784130541, 1.843179762161053, 1.8605684062292414]


**isite= 30
Fe1 : [ 4.51074064  2.76832998 15.25216792]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [ 6.19661952  2.46851584 15.98309832] : 48
O1 : [ 4.6255888   3.9837056  13.87123213] : 35
O1 : [ 3.89217248  1.15596544 14.54875528] : 45
O1 : [ 3.31821952  3.28828416 16.58230168] : 51
!!!atention to nb coordination!!!
         [1.861809703756605, 1.8431797621610544, 1.8647078413054112, 1.8605684062292402]
         [1.861809703756605, 1.843179762161053, 1.8647078413054106, 1.8605684062292402]


**isite= 31
Fe1 : [4.12445936 8.74527002 7.11081792]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [5.31698048 8.22531584 8.44095168] : 50
O1 : [2.43858048 9.04508416 7.84174832] : 49
O1 : [4.0096112  7.5298944  5.72988213] : 34
O1 : [ 4.74302752 10.35763456  6.40740528] : 44
!!!atention to nb coordination!!!
         [1.8605684062292394, 1.8618097037566042, 1.843179762161053, 1.8647078413054092]
         [1.8605684062292405, 1.8618097037566046, 1.843179762161053, 1.8647078413054092]


**isite= 32
O1 : [1.7471888  1.7730944  2.41146787]

ce_symbol  = L:2
ce_fraction=  0.6148066430801575
species:coords:index
Fe1 : [1.46073043 0.06505184 3.06977743] : 16
Fe1 : [1.63234064 2.98847002 1.03053208] : 29
!!!atention to nb coordination!!!
         [1.8527922877302219, 1.8431797621610533]
         [1.852792287730222, 1.843179762161053]

ce_symbol  = A:2
ce_fraction=  0.38519335691984247
species:coords:index
Fe1 : [1.46073043 0.06505184 3.06977743] : 16
Fe1 : [1.63234064 2.98847002 1.03053208] : 29
!!!atention to nb coordination!!!
         [1.8527922877302219, 1.8431797621610533]
         [1.852792287730222, 1.843179762161053]


**isite= 33
O1 : [ 1.1312112   9.7405056  10.55281787]

ce_symbol  = L:2
ce_fraction=  0.6148066430801612
species:coords:index
Fe1 : [ 1.41766957 11.44854816 11.21112743] : 17
Fe1 : [1.24605936 8.52512998 9.17188208] : 28
!!!atention to nb coordination!!!
         [1.852792287730221, 1.8431797621610548]
         [1.8527922877302216, 1.8431797621610535]

ce_symbol  = A:2
ce_fraction=  0.3851933569198389
species:coords:index
Fe1 : [ 1.41766957 11.44854816 11.21112743] : 17
Fe1 : [1.24605936 8.52512998 9.17188208] : 28
!!!atention to nb coordination!!!
         [1.852792287730221, 1.8431797621610548]
         [1.8527922877302216, 1.8431797621610535]


**isite= 34
O1 : [4.0096112  7.5298944  5.72988213]

ce_symbol  = L:2
ce_fraction=  0.6148066430801569
species:coords:index
Fe1 : [4.29606957 5.82185184 5.07157257] : 18
Fe1 : [4.12445936 8.74527002 7.11081792] : 31
!!!atention to nb coordination!!!
         [1.852792287730222, 1.8431797621610522]
         [1.852792287730222, 1.843179762161053]

ce_symbol  = A:2
ce_fraction=  0.3851933569198432
species:coords:index
Fe1 : [4.29606957 5.82185184 5.07157257] : 18
Fe1 : [4.12445936 8.74527002 7.11081792] : 31
!!!atention to nb coordination!!!
         [1.852792287730222, 1.8431797621610522]
         [1.852792287730222, 1.843179762161053]


**isite= 35
O1 : [ 4.6255888   3.9837056  13.87123213]

ce_symbol  = L:2
ce_fraction=  0.6148066430801589
species:coords:index
Fe1 : [ 4.33913043  5.69174816 13.21292257] : 19
Fe1 : [ 4.51074064  2.76832998 15.25216792] : 30
!!!atention to nb coordination!!!
         [1.8527922877302234, 1.8431797621610517]
         [1.8527922877302228, 1.843179762161053]

ce_symbol  = A:2
ce_fraction=  0.38519335691984125
species:coords:index
Fe1 : [ 4.33913043  5.69174816 13.21292257] : 19
Fe1 : [ 4.51074064  2.76832998 15.25216792] : 30
!!!atention to nb coordination!!!
         [1.8527922877302234, 1.8431797621610517]
         [1.8527922877302228, 1.843179762161053]


**isite= 36
O1 : [ 4.0096112   9.7405056  13.87123213]

ce_symbol  = L:2
ce_fraction=  0.6148066430801611
species:coords:index
Fe1 : [ 4.29606957 11.44854816 13.21292257] : 20
Fe1 : [ 4.12445936  8.52512998 15.25216792] : 25
!!!atention to nb coordination!!!
         [1.8527922877302223, 1.8431797621610522]
         [1.8527922877302216, 1.8431797621610535]

ce_symbol  = A:2
ce_fraction=  0.3851933569198389
species:coords:index
Fe1 : [ 4.29606957 11.44854816 13.21292257] : 20
Fe1 : [ 4.12445936  8.52512998 15.25216792] : 25
!!!atention to nb coordination!!!
         [1.8527922877302223, 1.8431797621610522]
         [1.8527922877302216, 1.8431797621610535]


**isite= 37
O1 : [4.6255888  1.7730944  5.72988213]

ce_symbol  = L:2
ce_fraction=  0.614806643080158
species:coords:index
Fe1 : [4.51074064 2.98847002 7.11081792] : 24
Fe1 : [4.33913043 0.06505184 5.07157257] : 21
!!!atention to nb coordination!!!
         [1.8431797621610526, 1.852792287730222]
         [1.843179762161053, 1.852792287730222]

ce_symbol  = A:2
ce_fraction=  0.38519335691984197
species:coords:index
Fe1 : [4.51074064 2.98847002 7.11081792] : 24
Fe1 : [4.33913043 0.06505184 5.07157257] : 21
!!!atention to nb coordination!!!
         [1.8431797621610526, 1.852792287730222]
         [1.843179762161053, 1.852792287730222]


**isite= 38
O1 : [ 1.7471888   3.9837056  10.55281787]

ce_symbol  = L:2
ce_fraction=  0.6148066430801589
species:coords:index
Fe1 : [1.63234064 2.76832998 9.17188208] : 27
Fe1 : [ 1.46073043  5.69174816 11.21112743] : 22
!!!atention to nb coordination!!!
         [1.8431797621610544, 1.8527922877302223]
         [1.843179762161053, 1.8527922877302228]

ce_symbol  = A:2
ce_fraction=  0.38519335691984125
species:coords:index
Fe1 : [1.63234064 2.76832998 9.17188208] : 27
Fe1 : [ 1.46073043  5.69174816 11.21112743] : 22
!!!atention to nb coordination!!!
         [1.8431797621610544, 1.8527922877302223]
         [1.843179762161053, 1.8527922877302228]


**isite= 39
O1 : [1.1312112  7.5298944  2.41146787]

ce_symbol  = L:2
ce_fraction=  0.6148066430801574
species:coords:index
Fe1 : [1.24605936 8.74527002 1.03053208] : 26
Fe1 : [1.41766957 5.82185184 3.06977743] : 23
!!!atention to nb coordination!!!
         [1.843179762161053, 1.8527922877302219]
         [1.843179762161053, 1.852792287730222]

ce_symbol  = A:2
ce_fraction=  0.38519335691984247
species:coords:index
Fe1 : [1.24605936 8.74527002 1.03053208] : 26
Fe1 : [1.41766957 5.82185184 3.06977743] : 23
!!!atention to nb coordination!!!
         [1.843179762161053, 1.8527922877302219]
         [1.843179762161053, 1.852792287730222]


**isite= 40
O1 : [1.01377248 1.15596544 9.87529472]

ce_symbol  = A:2
ce_fraction=  0.9671139730134362
species:coords:index
Fe1 : [ 1.41766957 -0.06505184 11.21112743] : 17
Fe1 : [1.63234064 2.76832998 9.17188208] : 27
!!!atention to nb coordination!!!
         [1.8543098661000776, 1.8647078413054112]
         [1.8543098661000788, 1.8647078413054106]

ce_symbol  = L:2
ce_fraction=  0.03288602698656388
species:coords:index
Fe1 : [ 1.41766957 -0.06505184 11.21112743] : 17
Fe1 : [1.63234064 2.76832998 9.17188208] : 27
!!!atention to nb coordination!!!
         [1.8543098661000776, 1.8647078413054112]
         [1.8543098661000788, 1.8647078413054106]


**isite= 41
O1 : [ 1.86462752 10.35763456  1.73394472]

ce_symbol  = A:2
ce_fraction=  0.9671139730134364
species:coords:index
Fe1 : [ 1.46073043 11.57865184  3.06977743] : 16
Fe1 : [1.24605936 8.74527002 1.03053208] : 26
!!!atention to nb coordination!!!
         [1.8543098661000796, 1.8647078413054088]
         [1.8543098661000788, 1.8647078413054086]

ce_symbol  = L:2
ce_fraction=  0.03288602698656354
species:coords:index
Fe1 : [ 1.46073043 11.57865184  3.06977743] : 16
Fe1 : [1.24605936 8.74527002 1.03053208] : 26
!!!atention to nb coordination!!!
         [1.8543098661000796, 1.8647078413054088]
         [1.8543098661000788, 1.8647078413054086]


**isite= 42
O1 : [ 4.74302752  6.91276544 14.54875528]

ce_symbol  = A:2
ce_fraction=  0.9671139730134362
species:coords:index
Fe1 : [ 4.12445936  8.52512998 15.25216792] : 25
Fe1 : [ 4.33913043  5.69174816 13.21292257] : 19
!!!atention to nb coordination!!!
         [1.8647078413054095, 1.8543098661000796]
         [1.86470784130541, 1.8543098661000783]

ce_symbol  = L:2
ce_fraction=  0.03288602698656388
species:coords:index
Fe1 : [ 4.12445936  8.52512998 15.25216792] : 25
Fe1 : [ 4.33913043  5.69174816 13.21292257] : 19
!!!atention to nb coordination!!!
         [1.8647078413054095, 1.8543098661000796]
         [1.86470784130541, 1.8543098661000783]


**isite= 43
O1 : [3.89217248 4.60083456 6.40740528]

ce_symbol  = A:2
ce_fraction=  0.9671139730134359
species:coords:index
Fe1 : [4.51074064 2.98847002 7.11081792] : 24
Fe1 : [4.29606957 5.82185184 5.07157257] : 18
!!!atention to nb coordination!!!
         [1.8647078413054101, 1.8543098661000783]
         [1.8647078413054106, 1.8543098661000783]

ce_symbol  = L:2
ce_fraction=  0.03288602698656407
species:coords:index
Fe1 : [4.51074064 2.98847002 7.11081792] : 24
Fe1 : [4.29606957 5.82185184 5.07157257] : 18
!!!atention to nb coordination!!!
         [1.8647078413054101, 1.8543098661000783]
         [1.8647078413054106, 1.8543098661000783]


**isite= 44
O1 : [ 4.74302752 10.35763456  6.40740528]

ce_symbol  = A:2
ce_fraction=  0.9671139730134362
species:coords:index
Fe1 : [ 4.33913043 11.57865184  5.07157257] : 21
Fe1 : [4.12445936 8.74527002 7.11081792] : 31
!!!atention to nb coordination!!!
         [1.854309866100079, 1.864707841305409]
         [1.8543098661000776, 1.8647078413054092]

ce_symbol  = L:2
ce_fraction=  0.032886026986563774
species:coords:index
Fe1 : [ 4.33913043 11.57865184  5.07157257] : 21
Fe1 : [4.12445936 8.74527002 7.11081792] : 31
!!!atention to nb coordination!!!
         [1.854309866100079, 1.864707841305409]
         [1.8543098661000776, 1.8647078413054092]


**isite= 45
O1 : [ 3.89217248  1.15596544 14.54875528]

ce_symbol  = A:2
ce_fraction=  0.967113973013436
species:coords:index
Fe1 : [ 4.51074064  2.76832998 15.25216792] : 30
Fe1 : [ 4.29606957 -0.06505184 13.21292257] : 20
!!!atention to nb coordination!!!
         [1.86470784130541, 1.8543098661000803]
         [1.8647078413054106, 1.8543098661000788]

ce_symbol  = L:2
ce_fraction=  0.032886026986563954
species:coords:index
Fe1 : [ 4.51074064  2.76832998 15.25216792] : 30
Fe1 : [ 4.29606957 -0.06505184 13.21292257] : 20
!!!atention to nb coordination!!!
         [1.86470784130541, 1.8543098661000803]
         [1.8647078413054106, 1.8543098661000788]


**isite= 46
O1 : [1.01377248 4.60083456 1.73394472]

ce_symbol  = A:2
ce_fraction=  0.9671139730134364
species:coords:index
Fe1 : [1.41766957 5.82185184 3.06977743] : 23
Fe1 : [1.63234064 2.98847002 1.03053208] : 29
!!!atention to nb coordination!!!
         [1.8543098661000792, 1.86470784130541]
         [1.8543098661000794, 1.86470784130541]

ce_symbol  = L:2
ce_fraction=  0.03288602698656356
species:coords:index
Fe1 : [1.41766957 5.82185184 3.06977743] : 23
Fe1 : [1.63234064 2.98847002 1.03053208] : 29
!!!atention to nb coordination!!!
         [1.8543098661000792, 1.86470784130541]
         [1.8543098661000794, 1.86470784130541]


**isite= 47
O1 : [1.86462752 6.91276544 9.87529472]

ce_symbol  = A:2
ce_fraction=  0.9671139730134362
species:coords:index
Fe1 : [ 1.46073043  5.69174816 11.21112743] : 22
Fe1 : [1.24605936 8.52512998 9.17188208] : 28
!!!atention to nb coordination!!!
         [1.854309866100077, 1.8647078413054108]
         [1.8543098661000783, 1.86470784130541]

ce_symbol  = L:2
ce_fraction=  0.03288602698656395
species:coords:index
Fe1 : [ 1.46073043  5.69174816 11.21112743] : 22
Fe1 : [1.24605936 8.52512998 9.17188208] : 28
!!!atention to nb coordination!!!
         [1.854309866100077, 1.8647078413054108]
         [1.8543098661000783, 1.86470784130541]


**isite= 48
O1 : [ 0.43981952  2.46851584 15.98309832]

ce_symbol  = A:2
ce_fraction=  0.8212926332691134
species:coords:index
Fe1 : [-1.24605936  2.76832998 15.25216792] : 30
Fe1 : [ 1.63234064  2.98847002 17.31323208] : 29
!!!atention to nb coordination!!!
         [1.8618097037566053, 1.8605684062292394]
         [1.8618097037566044, 1.8605684062292396]

ce_symbol  = L:2
ce_fraction=  0.17870736673088664
species:coords:index
Fe1 : [-1.24605936  2.76832998 15.25216792] : 30
Fe1 : [ 1.63234064  2.98847002 17.31323208] : 29
!!!atention to nb coordination!!!
         [1.8618097037566053, 1.8605684062292394]
         [1.8618097037566044, 1.8605684062292396]


**isite= 49
O1 : [2.43858048 9.04508416 7.84174832]

ce_symbol  = A:2
ce_fraction=  0.8212926332691168
species:coords:index
Fe1 : [1.24605936 8.52512998 9.17188208] : 28
Fe1 : [4.12445936 8.74527002 7.11081792] : 31
!!!atention to nb coordination!!!
         [1.8605684062292398, 1.8618097037566048]
         [1.8605684062292411, 1.8618097037566046]

ce_symbol  = L:2
ce_fraction=  0.17870736673088322
species:coords:index
Fe1 : [1.24605936 8.52512998 9.17188208] : 28
Fe1 : [4.12445936 8.74527002 7.11081792] : 31
!!!atention to nb coordination!!!
         [1.8605684062292398, 1.8618097037566048]
         [1.8605684062292411, 1.8618097037566046]


**isite= 50
O1 : [5.31698048 8.22531584 8.44095168]

ce_symbol  = A:2
ce_fraction=  0.821292633269115
species:coords:index
Fe1 : [7.00285936 8.52512998 9.17188208] : 28
Fe1 : [4.12445936 8.74527002 7.11081792] : 31
!!!atention to nb coordination!!!
         [1.8618097037566042, 1.8605684062292411]
         [1.8618097037566048, 1.8605684062292405]

ce_symbol  = L:2
ce_fraction=  0.17870736673088503
species:coords:index
Fe1 : [7.00285936 8.52512998 9.17188208] : 28
Fe1 : [4.12445936 8.74527002 7.11081792] : 31
!!!atention to nb coordination!!!
         [1.8618097037566042, 1.8605684062292411]
         [1.8618097037566048, 1.8605684062292405]


**isite= 51
O1 : [3.31821952 3.28828416 0.29960168]

ce_symbol  = A:2
ce_fraction=  0.8212926332691161
species:coords:index
Fe1 : [1.63234064 2.98847002 1.03053208] : 29
Fe1 : [ 4.51074064  2.76832998 -1.03053208] : 30
!!!atention to nb coordination!!!
         [1.8618097037566044, 1.8605684062292422]
         [1.8618097037566046, 1.860568406229241]

ce_symbol  = L:2
ce_fraction=  0.17870736673088383
species:coords:index
Fe1 : [1.63234064 2.98847002 1.03053208] : 29
Fe1 : [ 4.51074064  2.76832998 -1.03053208] : 30
!!!atention to nb coordination!!!
         [1.8618097037566044, 1.8605684062292422]
