cif name= ./1534542.cif
./1534542.cif
Full Formula (Na36 Fe8 O28)
         [2.308395463256235, 2.324257258103847, 2.384597844086207]
         [2.3083954632562356, 2.324257258103847, 2.384597844086208]

ce_symbol  = TS:3
ce_fraction=  0.019440880802892527
species:coords:index
O1 : [2.8972254  2.8863999  3.46013552] : 68
O1 : [5.19396976 2.2030155  0.4851622 ] : 51
O1 : [6.32321834 4.1782362  4.22297566] : 59
!!!atention to nb coordination!!!
         [2.308395463256235, 2.324257258103847, 2.384597844086207]
         [2.3083954632562356, 2.324257258103847, 2.384597844086208]


**isite= 16
Na1 : [ 4.91189666  7.5721789  10.2090514 ]

ce_symbol  = FO:7
ce_fraction=  0.9999766339603581
species:coords:index
O1 : [3.23858166 5.8127638  9.38427566] : 58
O1 : [3.90025822 9.2386777  8.44491906] : 54
O1 : [6.6645746  7.1046001  8.62143552] : 69
Na1 : [ 3.25196818  6.084519   11.66144122] : 28
O1 : [ 5.57261704  5.7997755  11.8813126 ] : 63
O1 : [ 3.28639066  8.3434841  12.03511934] : 44
O1 : [ 6.39110712  9.3275976  10.96982702] : 67
!!!atention to nb coordination!!!
         [2.5643282950171495, 2.6292191800458444, 2.410608653016963, 2.660438070322774, 2.5247619202420553, 2.56353380884257, 2.4183337117258015]
         [2.5643282950171487, 2.6292191800458444, 2.410608653016962, 2.660438070322774, 2.5247619202420557, 2.5635338088425703, 2.4183337117258015]

ce_symbol  = PB:7
ce_fraction=  1.4705911767215783e-05
species:coords:index
O1 : [3.23858166 5.8127638  9.38427566] : 58
O1 : [3.90025822 9.2386777  8.44491906] : 54
O1 : [6.6645746  7.1046001  8.62143552] : 69
Na1 : [ 3.25196818  6.084519   11.66144122] : 28
O1 : [ 5.57261704  5.7997755  11.8813126 ] : 63
O1 : [ 3.28639066  8.3434841  12.03511934] : 44
O1 : [ 6.39110712  9.3275976  10.96982702] : 67
!!!atention to nb coordination!!!
         [2.5643282950171495, 2.6292191800458444, 2.410608653016963, 2.660438070322774, 2.5247619202420553, 2.56353380884257, 2.4183337117258015]
         [2.5643282950171487, 2.6292191800458444, 2.410608653016962, 2.660438070322774, 2.5247619202420557, 2.5635338088425703, 2.4183337117258015]

ce_symbol  = ST:7
ce_fraction=  8.660127874714329e-06
species:coords:index
O1 : [3.23858166 5.8127638  9.38427566] : 58
O1 : [3.90025822 9.2386777  8.44491906] : 54
O1 : [6.6645746  7.1046001  8.62143552] : 69
Na1 : [ 3.25196818  6.084519   11.66144122] : 28
O1 : [ 5.57261704  5.7997755  11.8813126 ] : 63
O1 : [ 3.28639066  8.3434841  12.03511934] : 44
O1 : [ 6.39110712  9.3275976  10.96982702] : 67
!!!atention to nb coordination!!!
         [2.5643282950171495, 2.6292191800458444, 2.410608653016963, 2.660438070322774, 2.5247619202420553, 2.56353380884257, 2.4183337117258015]
         [2.5643282950171487, 2.6292191800458444, 2.410608653016962, 2.660438070322774, 2.5247619202420557, 2.5635338088425703, 2.4183337117258015]


**isite= 17
Na1 : [4.64990334 2.4188211  5.0477514 ]

ce_symbol  = FO:7
ce_fraction=  0.9999766339603581
species:coords:index
O1 : [2.8972254  2.8863999  3.46013552] : 68
O1 : [3.17069288 0.6634024  5.80852702] : 66
O1 : [6.32321834 4.1782362  4.22297566] : 59
O1 : [3.98918296 4.1912245  6.7200126 ] : 62
O1 : [6.27540934 1.6475159  6.87381934] : 45
Na1 : [6.30983182 3.906481   6.50014122] : 29
O1 : [5.66154178 0.7523223  3.28361906] : 55
!!!atention to nb coordination!!!
         [2.4106086530169617, 2.4183337117258015, 2.5643282950171495, 2.5247619202420553, 2.5635338088425685, 2.660438070322774, 2.629219180045844]
         [2.4106086530169613, 2.418333711725802, 2.5643282950171495, 2.5247619202420566, 2.5635338088425694, 2.6604380703227744, 2.6292191800458435]

ce_symbol  = PB:7
ce_fraction=  1.4705911767215738e-05
species:coords:index
O1 : [2.8972254  2.8863999  3.46013552] : 68
O1 : [3.17069288 0.6634024  5.80852702] : 66
O1 : [6.32321834 4.1782362  4.22297566] : 59
O1 : [3.98918296 4.1912245  6.7200126 ] : 62
O1 : [6.27540934 1.6475159  6.87381934] : 45
Na1 : [6.30983182 3.906481   6.50014122] : 29
O1 : [5.66154178 0.7523223  3.28361906] : 55
!!!atention to nb coordination!!!
         [2.4106086530169617, 2.4183337117258015, 2.5643282950171495, 2.5247619202420553, 2.5635338088425685, 2.660438070322774, 2.629219180045844]
         [2.4106086530169613, 2.418333711725802, 2.5643282950171495, 2.5247619202420566, 2.5635338088425694, 2.6604380703227744, 2.6292191800458435]

ce_symbol  = ST:7
ce_fraction=  8.660127874714622e-06
species:coords:index
O1 : [2.8972254  2.8863999  3.46013552] : 68
O1 : [3.17069288 0.6634024  5.80852702] : 66
O1 : [6.32321834 4.1782362  4.22297566] : 59
O1 : [3.98918296 4.1912245  6.7200126 ] : 62
O1 : [6.27540934 1.6475159  6.87381934] : 45
Na1 : [6.30983182 3.906481   6.50014122] : 29
O1 : [5.66154178 0.7523223  3.28361906] : 55
!!!atention to nb coordination!!!
         [2.4106086530169617, 2.4183337117258015, 2.5643282950171495, 2.5247619202420553, 2.5635338088425685, 2.660438070322774, 2.629219180045844]
         [2.4106086530169613, 2.418333711725802, 2.5643282950171495, 2.5247619202420566, 2.5635338088425694, 2.6604380703227744, 2.6292191800458435]


**isite= 18
Na1 : [9.43080334 7.5721789  5.0477514 ]

ce_symbol  = FO:7
ce_fraction=  0.9999766339603581
species:coords:index
O1 : [8.77008296 5.7997755  6.7200126 ] : 61
O1 : [7.6781254  7.1046001  3.46013552] : 71
O1 : [10.44244178  9.2386777   3.28361906] : 52
Na1 : [11.09073182  6.084519    6.50014122] : 30
O1 : [11.05630934  8.3434841   6.87381934] : 46
O1 : [11.10411834  5.8127638   4.22297566] : 56
O1 : [7.95159288 9.3275976  5.80852702] : 65
!!!atention to nb coordination!!!
         [2.524761920242055, 2.4106086530169613, 2.629219180045845, 2.6604380703227744, 2.56353380884257, 2.56432829501715, 2.418333711725801]
         [2.5247619202420557, 2.410608653016961, 2.629219180045845, 2.6604380703227744, 2.5635338088425694, 2.5643282950171495, 2.418333711725801]

ce_symbol  = PB:7
ce_fraction=  1.4705911767215919e-05
species:coords:index
O1 : [8.77008296 5.7997755  6.7200126 ] : 61
O1 : [7.6781254  7.1046001  3.46013552] : 71
O1 : [10.44244178  9.2386777   3.28361906] : 52
Na1 : [11.09073182  6.084519    6.50014122] : 30
O1 : [11.05630934  8.3434841   6.87381934] : 46
O1 : [11.10411834  5.8127638   4.22297566] : 56
O1 : [7.95159288 9.3275976  5.80852702] : 65
!!!atention to nb coordination!!!
         [2.524761920242055, 2.4106086530169613, 2.629219180045845, 2.6604380703227744, 2.56353380884257, 2.56432829501715, 2.418333711725801]
         [2.5247619202420557, 2.410608653016961, 2.629219180045845, 2.6604380703227744, 2.5635338088425694, 2.5643282950171495, 2.418333711725801]

ce_symbol  = ST:7
ce_fraction=  8.660127874714647e-06
species:coords:index
O1 : [8.77008296 5.7997755  6.7200126 ] : 61
O1 : [7.6781254  7.1046001  3.46013552] : 71
O1 : [10.44244178  9.2386777   3.28361906] : 52
Na1 : [11.09073182  6.084519    6.50014122] : 30
O1 : [11.05630934  8.3434841   6.87381934] : 46
O1 : [11.10411834  5.8127638   4.22297566] : 56
O1 : [7.95159288 9.3275976  5.80852702] : 65
!!!atention to nb coordination!!!
         [2.524761920242055, 2.4106086530169613, 2.629219180045845, 2.6604380703227744, 2.56353380884257, 2.56432829501715, 2.418333711725801]
         [2.5247619202420557, 2.410608653016961, 2.629219180045845, 2.6604380703227744, 2.5635338088425694, 2.5643282950171495, 2.418333711725801]


**isite= 19
Na1 : [ 0.13099666  2.4188211  10.2090514 ]

ce_symbol  = FO:7
ce_fraction=  0.9999766339603581
species:coords:index
O1 : [-1.54231834  4.1782362   9.38427566] : 57
O1 : [1.8836746  2.8863999  8.62143552] : 70
O1 : [-0.88064178  0.7523223   8.44491906] : 53
O1 : [-1.49450934  1.6475159  12.03511934] : 47
O1 : [ 0.79171704  4.1912245  11.8813126 ] : 60
Na1 : [-1.52893182  3.906481   11.66144122] : 31
O1 : [ 1.61020712  0.6634024  10.96982702] : 64
!!!atention to nb coordination!!!
         [2.56432829501715, 2.410608653016962, 2.629219180045844, 2.5635338088425708, 2.5247619202420557, 2.6604380703227735, 2.4183337117258015]
         [2.5643282950171495, 2.4106086530169613, 2.629219180045844, 2.5635338088425703, 2.5247619202420557, 2.660438070322774, 2.4183337117258015]

ce_symbol  = PB:7
ce_fraction=  1.4705911767215683e-05
species:coords:index
O1 : [-1.54231834  4.1782362   9.38427566] : 57
O1 : [1.8836746  2.8863999  8.62143552] : 70
O1 : [-0.88064178  0.7523223   8.44491906] : 53
O1 : [-1.49450934  1.6475159  12.03511934] : 47
O1 : [ 0.79171704  4.1912245  11.8813126 ] : 60
Na1 : [-1.52893182  3.906481   11.66144122] : 31
O1 : [ 1.61020712  0.6634024  10.96982702] : 64
!!!atention to nb coordination!!!
         [2.56432829501715, 2.410608653016962, 2.629219180045844, 2.5635338088425708, 2.5247619202420557, 2.6604380703227735, 2.4183337117258015]
         [2.5643282950171495, 2.4106086530169613, 2.629219180045844, 2.5635338088425703, 2.5247619202420557, 2.660438070322774, 2.4183337117258015]

ce_symbol  = ST:7
ce_fraction=  8.660127874714108e-06
species:coords:index
O1 : [-1.54231834  4.1782362   9.38427566] : 57
O1 : [1.8836746  2.8863999  8.62143552] : 70
O1 : [-0.88064178  0.7523223   8.44491906] : 53
O1 : [-1.49450934  1.6475159  12.03511934] : 47
O1 : [ 0.79171704  4.1912245  11.8813126 ] : 60
Na1 : [-1.52893182  3.906481   11.66144122] : 31
O1 : [ 1.61020712  0.6634024  10.96982702] : 64
!!!atention to nb coordination!!!
         [2.56432829501715, 2.410608653016962, 2.629219180045844, 2.5635338088425708, 2.5247619202420557, 2.6604380703227735, 2.4183337117258015]
         [2.5643282950171495, 2.4106086530169613, 2.629219180045844, 2.5635338088425703, 2.5247619202420557, 2.660438070322774, 2.4183337117258015]


**isite= 20
Na1 : [8.71462452 9.8531242  0.22812946]

ce_symbol  = PP:6
ce_fraction=  0.5052662414613487
species:coords:index
O1 : [11.17200712 10.6544024   0.64722702] : 64
O1 : [6.39110712 9.3275976  0.64722702] : 67
O1 : [ 8.06729066 11.6385159   1.71251934] : 47
O1 : [ 8.68115822 10.7433223  -1.87768094] : 53
Na1 : [7.53661076 7.2714498  0.59045272] : 5
O1 : [9.97486976 7.7879845  0.4851622 ] : 48
!!!atention to nb coordination!!!
         [2.618476419862505, 2.418791863763451, 2.410410331163102, 2.2864842206381986, 2.860775641517823, 2.4329171533142397]
         [2.618476419862505, 2.418791863763451, 2.4104103311631033, 2.2864842206381986, 2.860775641517823, 2.432917153314239]

ce_symbol  = T:5
ce_fraction=  0.3599568819221897
species:coords:index
O1 : [11.17200712 10.6544024   0.64722702] : 64
O1 : [6.39110712 9.3275976  0.64722702] : 67
O1 : [ 8.06729066 11.6385159   1.71251934] : 47
O1 : [ 8.68115822 10.7433223  -1.87768094] : 53
O1 : [9.97486976 7.7879845  0.4851622 ] : 48
!!!atention to nb coordination!!!
         [2.618476419862505, 2.418791863763451, 2.410410331163102, 2.2864842206381986, 2.4329171533142397]
         [2.618476419862505, 2.418791863763451, 2.4104103311631033, 2.2864842206381986, 2.432917153314239]

ce_symbol  = S:5
ce_fraction=  0.13477687661646154
species:coords:index
O1 : [11.17200712 10.6544024   0.64722702] : 64
O1 : [6.39110712 9.3275976  0.64722702] : 67
O1 : [ 8.06729066 11.6385159   1.71251934] : 47
O1 : [ 8.68115822 10.7433223  -1.87768094] : 53
O1 : [9.97486976 7.7879845  0.4851622 ] : 48
!!!atention to nb coordination!!!
         [2.618476419862505, 2.418791863763451, 2.410410331163102, 2.2864842206381986, 2.4329171533142397]
         [2.618476419862505, 2.418791863763451, 2.4104103311631033, 2.2864842206381986, 2.432917153314239]


**isite= 21
Na1 : [0.84717548 0.1378758  5.38942946]

ce_symbol  = PP:6
ce_fraction=  0.5052662414613548
species:coords:index
Na1 : [2.02518924 2.7195502  5.75175272] : 4
O1 : [-0.41306976  2.2030155   5.6464622 ] : 49
O1 : [ 0.88064178 -0.7523223   3.28361906] : 52
O1 : [-1.61020712 -0.6634024   5.80852702] : 65
O1 : [3.17069288 0.6634024  5.80852702] : 66
O1 : [ 1.49450934 -1.6475159   6.87381934] : 46
!!!atention to nb coordination!!!
         [2.8607756415178236, 2.4329171533142397, 2.2864842206381986, 2.6184764198625046, 2.418791863763451, 2.4104103311631015]
         [2.8607756415178236, 2.4329171533142393, 2.286484220638198, 2.6184764198625037, 2.418791863763451, 2.410410331163102]

ce_symbol  = T:5
ce_fraction=  0.35995688192218556
species:coords:index
O1 : [-0.41306976  2.2030155   5.6464622 ] : 49
O1 : [ 0.88064178 -0.7523223   3.28361906] : 52
O1 : [-1.61020712 -0.6634024   5.80852702] : 65
O1 : [3.17069288 0.6634024  5.80852702] : 66
O1 : [ 1.49450934 -1.6475159   6.87381934] : 46
!!!atention to nb coordination!!!
         [2.4329171533142397, 2.2864842206381986, 2.6184764198625046, 2.418791863763451, 2.4104103311631015]
         [2.4329171533142393, 2.286484220638198, 2.6184764198625037, 2.418791863763451, 2.410410331163102]

ce_symbol  = S:5
ce_fraction=  0.13477687661645965
species:coords:index
O1 : [-0.41306976  2.2030155   5.6464622 ] : 49
O1 : [ 0.88064178 -0.7523223   3.28361906] : 52
O1 : [-1.61020712 -0.6634024   5.80852702] : 65
O1 : [3.17069288 0.6634024  5.80852702] : 66
O1 : [ 1.49450934 -1.6475159   6.87381934] : 46
!!!atention to nb coordination!!!
         [2.4329171533142397, 2.2864842206381986, 2.6184764198625046, 2.418791863763451, 2.4104103311631015]
         [2.4329171533142393, 2.286484220638198, 2.6184764198625037, 2.418791863763451, 2.410410331163102]


**isite= 22
Na1 : [5.62807548 9.8531242  5.38942946]

ce_symbol  = PP:6
ce_fraction=  0.5052662414613482
species:coords:index
O1 : [7.95159288 9.3275976  5.80852702] : 65
O1 : [ 6.27540934 11.6385159   6.87381934] : 45
Na1 : [6.80608924 7.2714498  5.75175272] : 7
O1 : [4.36783024 7.7879845  5.6464622 ] : 50
O1 : [ 3.17069288 10.6544024   5.80852702] : 66
O1 : [ 5.66154178 10.7433223   3.28361906] : 55
!!!atention to nb coordination!!!
         [2.418791863763452, 2.410410331163101, 2.8607756415178236, 2.432917153314239, 2.6184764198625037, 2.2864842206381986]
         [2.418791863763452, 2.4104103311631033, 2.8607756415178236, 2.432917153314239, 2.618476419862504, 2.286484220638198]

ce_symbol  = T:5
ce_fraction=  0.35995688192219033
species:coords:index
O1 : [7.95159288 9.3275976  5.80852702] : 65
O1 : [ 6.27540934 11.6385159   6.87381934] : 45
O1 : [4.36783024 7.7879845  5.6464622 ] : 50
O1 : [ 3.17069288 10.6544024   5.80852702] : 66
O1 : [ 5.66154178 10.7433223   3.28361906] : 55
!!!atention to nb coordination!!!
         [2.418791863763452, 2.410410331163101, 2.432917153314239, 2.6184764198625037, 2.2864842206381986]
         [2.418791863763452, 2.4104103311631033, 2.432917153314239, 2.618476419862504, 2.286484220638198]

ce_symbol  = S:5
ce_fraction=  0.13477687661646154
species:coords:index
O1 : [7.95159288 9.3275976  5.80852702] : 65
O1 : [ 6.27540934 11.6385159   6.87381934] : 45
O1 : [4.36783024 7.7879845  5.6464622 ] : 50
O1 : [ 3.17069288 10.6544024   5.80852702] : 66
O1 : [ 5.66154178 10.7433223   3.28361906] : 55
!!!atention to nb coordination!!!
         [2.418791863763452, 2.410410331163101, 2.432917153314239, 2.6184764198625037, 2.2864842206381986]
         [2.418791863763452, 2.4104103311631033, 2.432917153314239, 2.618476419862504, 2.286484220638198]


**isite= 23
Na1 : [3.93372452 0.1378758  0.22812946]

ce_symbol  = PP:6
ce_fraction=  0.5052662414613508
species:coords:index
O1 : [5.19396976 2.2030155  0.4851622 ] : 51
Na1 : [2.75571076 2.7195502  0.59045272] : 6
O1 : [ 6.39110712 -0.6634024   0.64722702] : 67
O1 : [ 3.90025822 -0.7523223  -1.87768094] : 54
O1 : [ 3.28639066 -1.6475159   1.71251934] : 44
O1 : [1.61020712 0.6634024  0.64722702] : 64
!!!atention to nb coordination!!!
         [2.4329171533142393, 2.8607756415178236, 2.6184764198625046, 2.2864842206381986, 2.410410331163102, 2.418791863763452]
         [2.432917153314239, 2.8607756415178236, 2.6184764198625046, 2.2864842206381986, 2.410410331163102, 2.418791863763452]

ce_symbol  = T:5
ce_fraction=  0.35995688192218933
species:coords:index
O1 : [5.19396976 2.2030155  0.4851622 ] : 51
O1 : [ 6.39110712 -0.6634024   0.64722702] : 67
O1 : [ 3.90025822 -0.7523223  -1.87768094] : 54
O1 : [ 3.28639066 -1.6475159   1.71251934] : 44
O1 : [1.61020712 0.6634024  0.64722702] : 64
!!!atention to nb coordination!!!
         [2.4329171533142393, 2.6184764198625046, 2.2864842206381986, 2.410410331163102, 2.418791863763452]
         [2.432917153314239, 2.6184764198625046, 2.2864842206381986, 2.410410331163102, 2.418791863763452]

ce_symbol  = S:5
ce_fraction=  0.13477687661645996
species:coords:index
O1 : [5.19396976 2.2030155  0.4851622 ] : 51
O1 : [ 6.39110712 -0.6634024   0.64722702] : 67
O1 : [ 3.90025822 -0.7523223  -1.87768094] : 54
O1 : [ 3.28639066 -1.6475159   1.71251934] : 44
O1 : [1.61020712 0.6634024  0.64722702] : 64
!!!atention to nb coordination!!!
         [2.4329171533142393, 2.6184764198625046, 2.2864842206381986, 2.410410331163102, 2.418791863763452]
         [2.432917153314239, 2.6184764198625046, 2.2864842206381986, 2.410410331163102, 2.418791863763452]


**isite= 24
Na1 : [3.31125134 0.6214402  3.36413534]


**isite= 25
Na1 : [6.25054866 9.3695598  8.52543534]


**isite= 26
Na1 : [1.46964866 0.6214402  8.52543534]


**isite= 27
Na1 : [8.09215134 9.3695598  3.36413534]


**isite= 28
Na1 : [3.25196818 6.084519   1.33884122]

ce_symbol  = T:4
ce_fraction=  0.7534138975216316
species:coords:index
O1 : [ 3.23858166  5.8127638  -0.93832434] : 58
Fe1 : [1.77677368 4.31391398 3.12196714] : 40
O1 : [3.28639066 8.3434841  1.71251934] : 44
O1 : [5.57261704 5.7997755  1.5587126 ] : 63
!!!atention to nb coordination!!!
         [2.2933628311488063, 2.2899221749906915, 2.6604380703227752, 2.34836824538969]
         [2.293362831148806, 2.9138941336846553, 2.2899221749906915, 2.34836824538969]

ce_symbol  = TY:3
ce_fraction=  0.24651579387032158
species:coords:index
O1 : [ 3.23858166  5.8127638  -0.93832434] : 58
O1 : [3.28639066 8.3434841  1.71251934] : 44
O1 : [5.57261704 5.7997755  1.5587126 ] : 63
!!!atention to nb coordination!!!
         [2.2933628311488063, 2.2899221749906915, 2.34836824538969]
         [2.293362831148806, 2.2899221749906915, 2.34836824538969]

ce_symbol  = TL:3
ce_fraction=  7.03086080469215e-05
species:coords:index
O1 : [ 3.23858166  5.8127638  -0.93832434] : 58
O1 : [3.28639066 8.3434841  1.71251934] : 44
O1 : [5.57261704 5.7997755  1.5587126 ] : 63
!!!atention to nb coordination!!!
         [2.2933628311488063, 2.2899221749906915, 2.34836824538969]
         [2.293362831148806, 2.2899221749906915, 2.34836824538969]


**isite= 29
Na1 : [6.30983182 3.906481   6.50014122]

ce_symbol  = T:4
ce_fraction=  0.753413897521629
species:coords:index
O1 : [6.32321834 4.1782362  4.22297566] : 59
O1 : [3.98918296 4.1912245  6.7200126 ] : 62
Fe1 : [7.78502632 5.67708602 8.28326714] : 41
O1 : [6.27540934 1.6475159  6.87381934] : 45
!!!atention to nb coordination!!!
         [2.2933628311488077, 2.3483682453896897, 2.6604380703227752, 2.289922174990691]
         [2.2933628311488063, 2.3483682453896897, 2.913894133684656, 2.2899221749906915]

ce_symbol  = TY:3
ce_fraction=  0.2465157938703242
species:coords:index
O1 : [6.32321834 4.1782362  4.22297566] : 59
O1 : [3.98918296 4.1912245  6.7200126 ] : 62
O1 : [6.27540934 1.6475159  6.87381934] : 45
!!!atention to nb coordination!!!
         [2.2933628311488077, 2.3483682453896897, 2.289922174990691]
         [2.2933628311488063, 2.3483682453896897, 2.2899221749906915]

ce_symbol  = TL:3
ce_fraction=  7.03086080469208e-05
species:coords:index
O1 : [6.32321834 4.1782362  4.22297566] : 59
O1 : [3.98918296 4.1912245  6.7200126 ] : 62
O1 : [6.27540934 1.6475159  6.87381934] : 45
!!!atention to nb coordination!!!
         [2.2933628311488077, 2.3483682453896897, 2.289922174990691]
         [2.2933628311488063, 2.3483682453896897, 2.2899221749906915]


**isite= 30
Na1 : [1.52893182 6.084519   6.50014122]

ce_symbol  = T:4
ce_fraction=  0.7534138975216295
species:coords:index
O1 : [-0.79171704  5.7997755   6.7200126 ] : 61
O1 : [1.49450934 8.3434841  6.87381934] : 46
O1 : [1.54231834 5.8127638  4.22297566] : 56
Fe1 : [3.00412632 4.31391398 8.28326714] : 42
!!!atention to nb coordination!!!
         [2.34836824538969, 2.289922174990691, 2.2933628311488077, 2.6604380703227757]
         [2.34836824538969, 2.2899221749906915, 2.2933628311488063, 2.9138941336846553]

ce_symbol  = TY:3
ce_fraction=  0.24651579387032369
species:coords:index
O1 : [-0.79171704  5.7997755   6.7200126 ] : 61
O1 : [1.49450934 8.3434841  6.87381934] : 46
O1 : [1.54231834 5.8127638  4.22297566] : 56
!!!atention to nb coordination!!!
         [2.34836824538969, 2.289922174990691, 2.2933628311488077]
         [2.34836824538969, 2.2899221749906915, 2.2933628311488063]

ce_symbol  = TL:3
ce_fraction=  7.03086080469198e-05
species:coords:index
O1 : [-0.79171704  5.7997755   6.7200126 ] : 61
O1 : [1.49450934 8.3434841  6.87381934] : 46
O1 : [1.54231834 5.8127638  4.22297566] : 56
!!!atention to nb coordination!!!
         [2.34836824538969, 2.289922174990691, 2.2933628311488077]
         [2.34836824538969, 2.2899221749906915, 2.2933628311488063]


**isite= 31
Na1 : [8.03286818 3.906481   1.33884122]

ce_symbol  = T:4
ce_fraction=  0.7534138975216271
species:coords:index
Fe1 : [6.55767368 5.67708602 3.12196714] : 43
O1 : [8.06729066 1.6475159  1.71251934] : 47
O1 : [10.35351704  4.1912245   1.5587126 ] : 60
O1 : [ 8.01948166  4.1782362  -0.93832434] : 57
!!!atention to nb coordination!!!
         [2.6604380703227752, 2.2899221749906915, 2.348368245389689, 2.2933628311488063]
         [2.913894133684656, 2.2899221749906915, 2.348368245389689, 2.293362831148806]

ce_symbol  = TY:3
ce_fraction=  0.24651579387032593
species:coords:index
O1 : [8.06729066 1.6475159  1.71251934] : 47
O1 : [10.35351704  4.1912245   1.5587126 ] : 60
O1 : [ 8.01948166  4.1782362  -0.93832434] : 57
!!!atention to nb coordination!!!
         [2.2899221749906915, 2.348368245389689, 2.2933628311488063]
         [2.2899221749906915, 2.348368245389689, 2.293362831148806]

ce_symbol  = TL:3
ce_fraction=  7.030860804692407e-05
species:coords:index
O1 : [8.06729066 1.6475159  1.71251934] : 47
O1 : [10.35351704  4.1912245   1.5587126 ] : 60
O1 : [ 8.01948166  4.1782362  -0.93832434] : 57
!!!atention to nb coordination!!!
         [2.2899221749906915, 2.348368245389689, 2.2933628311488063]
         [2.2899221749906915, 2.348368245389689, 2.293362831148806]


**isite= 32
Na1 : [4.04368522 5.435104   4.85471878]

ce_symbol  = TY:3
ce_fraction=  0.9988762358360198
species:coords:index
O1 : [1.54231834 5.8127638  4.22297566] : 56
O1 : [3.98918296 4.1912245  6.7200126 ] : 62
O1 : [4.36783024 7.7879845  5.6464622 ] : 50
!!!atention to nb coordination!!!
         [2.6074053314673393, 2.2426608619663253, 2.5035922759875144]
         [2.6074053314673393, 2.242660861966327, 2.5035922759875153]

ce_symbol  = TL:3
ce_fraction=  0.0011237641639802631
species:coords:index
O1 : [1.54231834 5.8127638  4.22297566] : 56
O1 : [3.98918296 4.1912245  6.7200126 ] : 62
O1 : [4.36783024 7.7879845  5.6464622 ] : 50
!!!atention to nb coordination!!!
         [2.6074053314673393, 2.2426608619663253, 2.5035922759875144]
         [2.6074053314673393, 2.242660861966327, 2.5035922759875153]


**isite= 33
Na1 : [ 5.51811478  4.555896   10.01601878]

ce_symbol  = TY:3
ce_fraction=  0.9988762358360197
species:coords:index
O1 : [ 5.57261704  5.7997755  11.8813126 ] : 63
O1 : [8.01948166 4.1782362  9.38427566] : 57
O1 : [ 5.19396976  2.2030155  10.8077622 ] : 51
!!!atention to nb coordination!!!
         [2.242660861966326, 2.607405331467341, 2.5035922759875144]
         [2.242660861966326, 2.6074053314673407, 2.5035922759875144]

ce_symbol  = TL:3
ce_fraction=  0.0011237641639802688
species:coords:index
O1 : [ 5.57261704  5.7997755  11.8813126 ] : 63
O1 : [8.01948166 4.1782362  9.38427566] : 57
O1 : [ 5.19396976  2.2030155  10.8077622 ] : 51
!!!atention to nb coordination!!!
         [2.242660861966326, 2.607405331467341, 2.5035922759875144]
         [2.242660861966326, 2.6074053314673407, 2.5035922759875144]


**isite= 34
Na1 : [ 0.73721478  5.435104   10.01601878]

ce_symbol  = TY:3
ce_fraction=  0.9988762358360197
species:coords:index
O1 : [ 0.79171704  4.1912245  11.8813126 ] : 60
O1 : [ 0.41306976  7.7879845  10.8077622 ] : 48
O1 : [3.23858166 5.8127638  9.38427566] : 58
!!!atention to nb coordination!!!
         [2.242660861966326, 2.5035922759875144, 2.60740533146734]
         [2.242660861966326, 2.5035922759875144, 2.6074053314673398]

ce_symbol  = TL:3
ce_fraction=  0.0011237641639802772
species:coords:index
O1 : [ 0.79171704  4.1912245  11.8813126 ] : 60
O1 : [ 0.41306976  7.7879845  10.8077622 ] : 48
O1 : [3.23858166 5.8127638  9.38427566] : 58
!!!atention to nb coordination!!!
         [2.242660861966326, 2.5035922759875144, 2.60740533146734]
         [2.242660861966326, 2.5035922759875144, 2.6074053314673398]


**isite= 35
Na1 : [8.82458522 4.555896   4.85471878]

ce_symbol  = TY:3
ce_fraction=  0.9988762358360197
species:coords:index
O1 : [6.32321834 4.1782362  4.22297566] : 59
O1 : [9.14873024 2.2030155  5.6464622 ] : 49
O1 : [8.77008296 5.7997755  6.7200126 ] : 61
!!!atention to nb coordination!!!
         [2.6074053314673415, 2.5035922759875144, 2.2426608619663253]
         [2.6074053314673415, 2.503592275987515, 2.242660861966327]

ce_symbol  = TL:3
ce_fraction=  0.0011237641639802573
species:coords:index
O1 : [6.32321834 4.1782362  4.22297566] : 59
O1 : [9.14873024 2.2030155  5.6464622 ] : 49
O1 : [8.77008296 5.7997755  6.7200126 ] : 61
!!!atention to nb coordination!!!
         [2.6074053314673415, 2.5035922759875144, 2.2426608619663253]
         [2.6074053314673415, 2.503592275987515, 2.242660861966327]


**isite= 36
Fe1 : [1.52204732 8.9839072  1.51525445]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [0.41306976 7.7879845  0.4851622 ] : 48
O1 : [ 1.61020712 10.6544024   0.64722702] : 64
O1 : [0.88064178 9.2386777  3.28361906] : 52
O1 : [3.28639066 8.3434841  1.71251934] : 44
!!!atention to nb coordination!!!
         [1.9290288731850205, 1.8846214444896965, 1.8982682790632406, 1.887316239942266]
         [1.9290288731850205, 1.8846214444896965, 1.8982682790632417, 1.8873162399422663]


**isite= 37
Fe1 : [8.03975268 1.0070928  6.67655445]

ce_symbol  = T:4
ce_fraction=  1.0
species:coords:index
O1 : [8.68115822 0.7523223  8.44491906] : 53
O1 : [ 7.95159288 -0.6634024   5.80852702] : 65
