cif name= ./1529026.cif
./1529026.cif
Full Formula (K8 Os16 O48)
Os1 : [6.30375 8.82525 8.82525] : 17
Os1 : [6.30375 6.30375 6.30375] : 20
!!!atention to nb coordination!!!
         [1.8962216481772403, 1.896221648177239]
         [1.8962216481772378, 1.896221648177239]

ce_symbol  = L:2
ce_fraction=  0.032090252712327405
species:coords:index
Os1 : [6.30375 8.82525 8.82525] : 17
Os1 : [6.30375 6.30375 6.30375] : 20
!!!atention to nb coordination!!!
         [1.8962216481772403, 1.896221648177239]
         [1.8962216481772378, 1.896221648177239]


**isite= 39
O1 : [5.043    8.179746 0.      ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876729
species:coords:index
Os1 : [ 6.30375  8.82525 -1.26075] : 17
Os1 : [3.78225 8.82525 1.26075] : 14
!!!atention to nb coordination!!!
         [1.8962216481772372, 1.8962216481772383]
         [1.8962216481772378, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.03209025271232723
species:coords:index
Os1 : [ 6.30375  8.82525 -1.26075] : 17
Os1 : [3.78225 8.82525 1.26075] : 14
!!!atention to nb coordination!!!
         [1.8962216481772372, 1.8962216481772383]
         [1.8962216481772378, 1.8962216481772378]


**isite= 40
O1 : [2.5215   4.427754 7.5645  ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [3.78225 3.78225 6.30375] : 10
Os1 : [1.26075 3.78225 8.82525] : 13
!!!atention to nb coordination!!!
         [1.8962216481772387, 1.896221648177239]
         [1.8962216481772387, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.032090252712327176
species:coords:index
Os1 : [3.78225 3.78225 6.30375] : 10
Os1 : [1.26075 3.78225 8.82525] : 13
!!!atention to nb coordination!!!
         [1.8962216481772387, 1.896221648177239]
         [1.8962216481772387, 1.8962216481772378]


**isite= 41
O1 : [3.136746 5.043    5.043   ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876727
species:coords:index
Os1 : [3.78225 6.30375 3.78225] : 15
Os1 : [3.78225 3.78225 6.30375] : 10
!!!atention to nb coordination!!!
         [1.8962216481772374, 1.8962216481772374]
         [1.8962216481772376, 1.8962216481772376]

ce_symbol  = L:2
ce_fraction=  0.032090252712327405
species:coords:index
Os1 : [3.78225 6.30375 3.78225] : 15
Os1 : [3.78225 3.78225 6.30375] : 10
!!!atention to nb coordination!!!
         [1.8962216481772374, 1.8962216481772374]
         [1.8962216481772376, 1.8962216481772376]


**isite= 42
O1 : [2.5215   0.615246 7.5645  ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [3.78225 1.26075 8.82525] : 11
Os1 : [1.26075 1.26075 6.30375] : 8
!!!atention to nb coordination!!!
         [1.8962216481772394, 1.8962216481772385]
         [1.896221648177238, 1.8962216481772385]

ce_symbol  = L:2
ce_fraction=  0.03209025271232731
species:coords:index
Os1 : [3.78225 1.26075 8.82525] : 11
Os1 : [1.26075 1.26075 6.30375] : 8
!!!atention to nb coordination!!!
         [1.8962216481772394, 1.8962216481772385]
         [1.896221648177238, 1.8962216481772385]


**isite= 43
O1 : [1.906254 5.043    0.      ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876725
species:coords:index
Os1 : [1.26075 6.30375 1.26075] : 12
Os1 : [ 1.26075  3.78225 -1.26075] : 13
!!!atention to nb coordination!!!
         [1.8962216481772378, 1.8962216481772363]
         [1.8962216481772378, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.03209025271232736
species:coords:index
Os1 : [1.26075 6.30375 1.26075] : 12
Os1 : [ 1.26075  3.78225 -1.26075] : 13
!!!atention to nb coordination!!!
         [1.8962216481772378, 1.8962216481772363]
         [1.8962216481772378, 1.8962216481772378]


**isite= 44
O1 : [2.5215   7.5645   4.427754]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [1.26075 8.82525 3.78225] : 9
Os1 : [3.78225 6.30375 3.78225] : 15
!!!atention to nb coordination!!!
         [1.896221648177239, 1.8962216481772387]
         [1.8962216481772378, 1.8962216481772387]

ce_symbol  = L:2
ce_fraction=  0.032090252712327176
species:coords:index
Os1 : [1.26075 8.82525 3.78225] : 9
Os1 : [3.78225 6.30375 3.78225] : 15
!!!atention to nb coordination!!!
         [1.896221648177239, 1.8962216481772387]
         [1.8962216481772378, 1.8962216481772387]


**isite= 45
O1 : [2.5215   7.5645   0.615246]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [3.78225 8.82525 1.26075] : 14
Os1 : [1.26075 6.30375 1.26075] : 12
!!!atention to nb coordination!!!
         [1.8962216481772394, 1.8962216481772385]
         [1.8962216481772378, 1.8962216481772385]

ce_symbol  = L:2
ce_fraction=  0.03209025271232727
species:coords:index
Os1 : [3.78225 8.82525 1.26075] : 14
Os1 : [1.26075 6.30375 1.26075] : 12
!!!atention to nb coordination!!!
         [1.8962216481772394, 1.8962216481772385]
         [1.8962216481772378, 1.8962216481772385]


**isite= 46
O1 : [5.043    5.043    3.136746]

ce_symbol  = A:2
ce_fraction=  0.9679097472876729
species:coords:index
Os1 : [3.78225 6.30375 3.78225] : 15
Os1 : [6.30375 3.78225 3.78225] : 21

ce_symbol  = L:2
ce_fraction=  0.032090252712327155
species:coords:index
Os1 : [3.78225 6.30375 3.78225] : 15
Os1 : [6.30375 3.78225 3.78225] : 21


**isite= 47
O1 : [5.043    5.043    6.949254]

ce_symbol  = A:2
ce_fraction=  0.9679097472876729
species:coords:index
Os1 : [6.30375 6.30375 6.30375] : 20
Os1 : [3.78225 3.78225 6.30375] : 10
!!!atention to nb coordination!!!
         [1.8962216481772378, 1.8962216481772372]
         [1.8962216481772376, 1.8962216481772376]

ce_symbol  = L:2
ce_fraction=  0.03209025271232713
species:coords:index
Os1 : [6.30375 6.30375 6.30375] : 20
Os1 : [3.78225 3.78225 6.30375] : 10
!!!atention to nb coordination!!!
         [1.8962216481772378, 1.8962216481772372]
         [1.8962216481772376, 1.8962216481772376]


**isite= 48
O1 : [9.470754 2.5215   2.5215  ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876727
species:coords:index
Os1 : [8.82525 1.26075 3.78225] : 19
Os1 : [8.82525 3.78225 1.26075] : 18
!!!atention to nb coordination!!!
         [1.8962216481772378, 1.8962216481772378]
         [1.8962216481772383, 1.8962216481772383]

ce_symbol  = L:2
ce_fraction=  0.03209025271232738
species:coords:index
Os1 : [8.82525 1.26075 3.78225] : 19
Os1 : [8.82525 3.78225 1.26075] : 18
!!!atention to nb coordination!!!
         [1.8962216481772378, 1.8962216481772378]
         [1.8962216481772383, 1.8962216481772383]


**isite= 49
O1 : [0.       6.949254 0.      ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876729
species:coords:index
Os1 : [1.26075 6.30375 1.26075] : 12
Os1 : [-1.26075  6.30375 -1.26075] : 23
!!!atention to nb coordination!!!
         [1.896221648177238, 1.8962216481772354]
         [1.8962216481772383, 1.8962216481772383]

ce_symbol  = L:2
ce_fraction=  0.03209025271232705
species:coords:index
Os1 : [1.26075 6.30375 1.26075] : 12
Os1 : [-1.26075  6.30375 -1.26075] : 23
!!!atention to nb coordination!!!
         [1.896221648177238, 1.8962216481772354]
         [1.8962216481772383, 1.8962216481772383]


**isite= 50
O1 : [0.615246 2.5215   7.5645  ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876727
species:coords:index
Os1 : [1.26075 3.78225 8.82525] : 13
Os1 : [1.26075 1.26075 6.30375] : 8
!!!atention to nb coordination!!!
         [1.8962216481772394, 1.8962216481772385]
         [1.896221648177238, 1.8962216481772385]

ce_symbol  = L:2
ce_fraction=  0.03209025271232737
species:coords:index
Os1 : [1.26075 3.78225 8.82525] : 13
Os1 : [1.26075 1.26075 6.30375] : 8
!!!atention to nb coordination!!!
         [1.8962216481772394, 1.8962216481772385]
         [1.896221648177238, 1.8962216481772385]


**isite= 51
O1 : [0.       3.136746 0.      ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876725
species:coords:index
Os1 : [ 1.26075  3.78225 -1.26075] : 13
Os1 : [-1.26075  3.78225  1.26075] : 18
!!!atention to nb coordination!!!
         [1.8962216481772367, 1.8962216481772367]
         [1.8962216481772378, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.032090252712327384
species:coords:index
Os1 : [ 1.26075  3.78225 -1.26075] : 13
Os1 : [-1.26075  3.78225  1.26075] : 18
!!!atention to nb coordination!!!
         [1.8962216481772367, 1.8962216481772367]
         [1.8962216481772378, 1.8962216481772378]


**isite= 52
O1 : [7.5645   9.470754 7.5645  ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [6.30375 8.82525 8.82525] : 17
Os1 : [8.82525 8.82525 6.30375] : 22
!!!atention to nb coordination!!!
         [1.896221648177239, 1.896221648177239]
         [1.8962216481772383, 1.8962216481772385]

ce_symbol  = L:2
ce_fraction=  0.032090252712327294
species:coords:index
Os1 : [6.30375 8.82525 8.82525] : 17
Os1 : [8.82525 8.82525 6.30375] : 22
!!!atention to nb coordination!!!
         [1.896221648177239, 1.896221648177239]
         [1.8962216481772383, 1.8962216481772385]


**isite= 53
O1 : [8.179746 0.       5.043   ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [8.82525 1.26075 3.78225] : 19
Os1 : [ 8.82525 -1.26075  6.30375] : 22
!!!atention to nb coordination!!!
         [1.8962216481772383, 1.8962216481772372]
         [1.8962216481772378, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.03209025271232733
species:coords:index
Os1 : [8.82525 1.26075 3.78225] : 19
Os1 : [ 8.82525 -1.26075  6.30375] : 22
!!!atention to nb coordination!!!
         [1.8962216481772383, 1.8962216481772372]
         [1.8962216481772378, 1.8962216481772378]


**isite= 54
O1 : [7.5645   5.658246 7.5645  ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [6.30375 6.30375 6.30375] : 20
Os1 : [8.82525 6.30375 8.82525] : 23
!!!atention to nb coordination!!!
         [1.896221648177239, 1.8962216481772403]
         [1.896221648177239, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.03209025271232726
species:coords:index
Os1 : [6.30375 6.30375 6.30375] : 20
Os1 : [8.82525 6.30375 8.82525] : 23
!!!atention to nb coordination!!!
         [1.896221648177239, 1.8962216481772403]
         [1.896221648177239, 1.8962216481772378]


**isite= 55
O1 : [6.949254 0.       0.      ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [ 6.30375 -1.26075 -1.26075] : 17
Os1 : [6.30375 1.26075 1.26075] : 16
!!!atention to nb coordination!!!
         [1.8962216481772354, 1.896221648177238]
         [1.8962216481772383, 1.8962216481772383]

ce_symbol  = L:2
ce_fraction=  0.03209025271232718
species:coords:index
Os1 : [ 6.30375 -1.26075 -1.26075] : 17
Os1 : [6.30375 1.26075 1.26075] : 16
!!!atention to nb coordination!!!
         [1.8962216481772354, 1.896221648177238]
         [1.8962216481772383, 1.8962216481772383]


**isite= 56
O1 : [7.5645   2.5215   4.427754]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [6.30375 3.78225 3.78225] : 21
Os1 : [8.82525 1.26075 3.78225] : 19
!!!atention to nb coordination!!!
         [1.8962216481772387, 1.896221648177239]
         [1.8962216481772387, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.03209025271232725
species:coords:index
Os1 : [6.30375 3.78225 3.78225] : 21
Os1 : [8.82525 1.26075 3.78225] : 19
!!!atention to nb coordination!!!
         [1.8962216481772387, 1.896221648177239]
         [1.8962216481772387, 1.8962216481772378]


**isite= 57
O1 : [7.5645   2.5215   0.615246]

ce_symbol  = A:2
ce_fraction=  0.9679097472876727
species:coords:index
Os1 : [6.30375 1.26075 1.26075] : 16
Os1 : [8.82525 3.78225 1.26075] : 18
!!!atention to nb coordination!!!
         [1.8962216481772385, 1.8962216481772394]
         [1.8962216481772385, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.03209025271232743
species:coords:index
Os1 : [6.30375 1.26075 1.26075] : 16
Os1 : [8.82525 3.78225 1.26075] : 18
!!!atention to nb coordination!!!
         [1.8962216481772385, 1.8962216481772394]
         [1.8962216481772385, 1.8962216481772378]


**isite= 58
O1 : [0.       0.       3.136746]

ce_symbol  = A:2
ce_fraction=  0.9679097472876729
species:coords:index
Os1 : [-1.26075  1.26075  3.78225] : 19
Os1 : [ 1.26075 -1.26075  3.78225] : 9
!!!atention to nb coordination!!!
         [1.896221648177237, 1.896221648177237]
         [1.8962216481772383, 1.8962216481772383]

ce_symbol  = L:2
ce_fraction=  0.03209025271232711
species:coords:index
Os1 : [-1.26075  1.26075  3.78225] : 19
Os1 : [ 1.26075 -1.26075  3.78225] : 9
!!!atention to nb coordination!!!
         [1.896221648177237, 1.896221648177237]
         [1.8962216481772383, 1.8962216481772383]


**isite= 59
O1 : [0.       0.       6.949254]

ce_symbol  = A:2
ce_fraction=  0.9679097472876729
species:coords:index
Os1 : [-1.26075 -1.26075  6.30375] : 22
Os1 : [1.26075 1.26075 6.30375] : 8
!!!atention to nb coordination!!!
         [1.8962216481772354, 1.8962216481772383]
         [1.8962216481772383, 1.8962216481772383]

ce_symbol  = L:2
ce_fraction=  0.032090252712327086
species:coords:index
Os1 : [-1.26075 -1.26075  6.30375] : 22
Os1 : [1.26075 1.26075 6.30375] : 8
!!!atention to nb coordination!!!
         [1.8962216481772354, 1.8962216481772383]
         [1.8962216481772383, 1.8962216481772383]


**isite= 60
O1 : [9.470754 7.5645   7.5645  ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [8.82525 8.82525 6.30375] : 22
Os1 : [8.82525 6.30375 8.82525] : 23
!!!atention to nb coordination!!!
         [1.896221648177239, 1.896221648177239]
         [1.8962216481772385, 1.8962216481772383]

ce_symbol  = L:2
ce_fraction=  0.03209025271232728
species:coords:index
Os1 : [8.82525 8.82525 6.30375] : 22
Os1 : [8.82525 6.30375 8.82525] : 23
!!!atention to nb coordination!!!
         [1.896221648177239, 1.896221648177239]
         [1.8962216481772385, 1.8962216481772383]


**isite= 61
O1 : [0.       1.906254 5.043   ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [-1.26075  1.26075  3.78225] : 19
Os1 : [1.26075 1.26075 6.30375] : 8
!!!atention to nb coordination!!!
         [1.8962216481772363, 1.8962216481772378]
         [1.8962216481772378, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.032090252712327225
species:coords:index
Os1 : [-1.26075  1.26075  3.78225] : 19
Os1 : [1.26075 1.26075 6.30375] : 8
!!!atention to nb coordination!!!
         [1.8962216481772363, 1.8962216481772378]
         [1.8962216481772378, 1.8962216481772378]


**isite= 62
O1 : [0.615246 7.5645   2.5215  ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876727
species:coords:index
Os1 : [1.26075 8.82525 3.78225] : 9
Os1 : [1.26075 6.30375 1.26075] : 12
!!!atention to nb coordination!!!
         [1.8962216481772394, 1.8962216481772385]
         [1.8962216481772378, 1.8962216481772385]

ce_symbol  = L:2
ce_fraction=  0.03209025271232738
species:coords:index
Os1 : [1.26075 8.82525 3.78225] : 9
Os1 : [1.26075 6.30375 1.26075] : 12
!!!atention to nb coordination!!!
         [1.8962216481772394, 1.8962216481772385]
         [1.8962216481772378, 1.8962216481772385]


**isite= 63
O1 : [0.       8.179746 5.043   ]

ce_symbol  = A:2
ce_fraction=  0.967909747287673
species:coords:index
Os1 : [-1.26075  8.82525  6.30375] : 22
Os1 : [1.26075 8.82525 3.78225] : 9
!!!atention to nb coordination!!!
         [1.8962216481772372, 1.8962216481772383]
         [1.8962216481772378, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.03209025271232705
species:coords:index
Os1 : [-1.26075  8.82525  6.30375] : 22
Os1 : [1.26075 8.82525 3.78225] : 9
!!!atention to nb coordination!!!
         [1.8962216481772372, 1.8962216481772383]
         [1.8962216481772378, 1.8962216481772378]


**isite= 64
O1 : [7.5645   4.427754 2.5215  ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [6.30375 3.78225 3.78225] : 21
Os1 : [8.82525 3.78225 1.26075] : 18
!!!atention to nb coordination!!!
         [1.8962216481772387, 1.896221648177239]
         [1.8962216481772387, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.03209025271232726
species:coords:index
Os1 : [6.30375 3.78225 3.78225] : 21
Os1 : [8.82525 3.78225 1.26075] : 18
!!!atention to nb coordination!!!
         [1.8962216481772387, 1.896221648177239]
         [1.8962216481772387, 1.8962216481772378]


**isite= 65
O1 : [8.179746 5.043    0.      ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [8.82525 3.78225 1.26075] : 18
Os1 : [ 8.82525  6.30375 -1.26075] : 23
!!!atention to nb coordination!!!
         [1.8962216481772383, 1.8962216481772372]
         [1.8962216481772378, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.03209025271232724
species:coords:index
Os1 : [8.82525 3.78225 1.26075] : 18
Os1 : [ 8.82525  6.30375 -1.26075] : 23
!!!atention to nb coordination!!!
         [1.8962216481772383, 1.8962216481772372]
         [1.8962216481772378, 1.8962216481772378]


**isite= 66
O1 : [7.5645   0.615246 2.5215  ]

ce_symbol  = A:2
ce_fraction=  0.9679097472876727
species:coords:index
Os1 : [6.30375 1.26075 1.26075] : 16
Os1 : [8.82525 1.26075 3.78225] : 19
!!!atention to nb coordination!!!
         [1.8962216481772385, 1.8962216481772394]
         [1.8962216481772385, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.03209025271232739
species:coords:index
Os1 : [6.30375 1.26075 1.26075] : 16
Os1 : [8.82525 1.26075 3.78225] : 19
!!!atention to nb coordination!!!
         [1.8962216481772385, 1.8962216481772394]
         [1.8962216481772385, 1.8962216481772378]


**isite= 67
O1 : [6.949254 5.043    5.043   ]

ce_symbol  = A:2
ce_fraction=  0.967909747287673
species:coords:index
Os1 : [6.30375 6.30375 6.30375] : 20
Os1 : [6.30375 3.78225 3.78225] : 21
!!!atention to nb coordination!!!
         [1.8962216481772376, 1.8962216481772372]
         [1.8962216481772378, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.03209025271232706
species:coords:index
Os1 : [6.30375 6.30375 6.30375] : 20
Os1 : [6.30375 3.78225 3.78225] : 21
!!!atention to nb coordination!!!
         [1.8962216481772376, 1.8962216481772372]
         [1.8962216481772378, 1.8962216481772378]


**isite= 68
O1 : [7.5645   7.5645   9.470754]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [8.82525 6.30375 8.82525] : 23
Os1 : [6.30375 8.82525 8.82525] : 17
!!!atention to nb coordination!!!
         [1.896221648177239, 1.896221648177239]
         [1.8962216481772385, 1.8962216481772385]

ce_symbol  = L:2
ce_fraction=  0.03209025271232728
species:coords:index
Os1 : [8.82525 6.30375 8.82525] : 23
Os1 : [6.30375 8.82525 8.82525] : 17
!!!atention to nb coordination!!!
         [1.896221648177239, 1.896221648177239]
         [1.8962216481772385, 1.8962216481772385]


**isite= 69
O1 : [7.5645   7.5645   5.658246]

ce_symbol  = A:2
ce_fraction=  0.9679097472876728
species:coords:index
Os1 : [8.82525 8.82525 6.30375] : 22
Os1 : [6.30375 6.30375 6.30375] : 20
!!!atention to nb coordination!!!
         [1.8962216481772403, 1.896221648177239]
         [1.8962216481772376, 1.896221648177239]

ce_symbol  = L:2
ce_fraction=  0.03209025271232726
species:coords:index
Os1 : [8.82525 8.82525 6.30375] : 22
Os1 : [6.30375 6.30375 6.30375] : 20
!!!atention to nb coordination!!!
         [1.8962216481772403, 1.896221648177239]
         [1.8962216481772376, 1.896221648177239]


**isite= 70
O1 : [0.       5.043    8.179746]

ce_symbol  = A:2
ce_fraction=  0.9679097472876729
species:coords:index
Os1 : [-1.26075  6.30375  8.82525] : 23
Os1 : [1.26075 3.78225 8.82525] : 13
!!!atention to nb coordination!!!
         [1.8962216481772372, 1.8962216481772383]
         [1.8962216481772378, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.03209025271232713
species:coords:index
Os1 : [-1.26075  6.30375  8.82525] : 23
Os1 : [1.26075 3.78225 8.82525] : 13
!!!atention to nb coordination!!!
         [1.8962216481772372, 1.8962216481772383]
         [1.8962216481772378, 1.8962216481772378]


**isite= 71
O1 : [0.       5.043    1.906254]

ce_symbol  = A:2
ce_fraction=  0.9679097472876727
species:coords:index
Os1 : [-1.26075  3.78225  1.26075] : 18
Os1 : [1.26075 6.30375 1.26075] : 12
!!!atention to nb coordination!!!
         [1.8962216481772363, 1.8962216481772378]
         [1.8962216481772378, 1.8962216481772378]

ce_symbol  = L:2
ce_fraction=  0.032090252712327315
species:coords:index
Os1 : [-1.26075  3.78225  1.26075] : 18
Os1 : [1.26075 6.30375 1.26075] : 12
!!!atention to nb coordination!!!
         [1.8962216481772363, 1.8962216481772378]
         [1.8962216481772378, 1.8962216481772378]

END

