cif name= ./1562439.cif
./1562439.cif
Full Formula (U12 W4 O68)
U1 : [4.94172156 8.95681668 6.92340315] : 0
W1 : [ 1.32420268 11.08509212  7.26715818] : 12
!!!atention to nb coordination!!!
         [2.416063151407284, 2.4317089938252043, 1.9101676674070565]
         [2.4160631514072852, 2.4317089938252043, 1.9101676674070567]


**isite= 17
O1 : [4.02566258 0.2549262  2.08242597]

ce_symbol  = S:1
ce_fraction=  0.6469489349259959
species:coords:index
W1 : [ 2.50335612 -0.84709212  1.74054999] : 13
!!!atention to nb coordination!!!
         [1.9101676674070565]
         [1.910167667407056]

ce_symbol  = TL:3
ce_fraction=  0.21928226605902018
species:coords:index
U1 : [3.49997126 1.46495542 4.10649095] : 5
U1 : [6.120875   1.28118332 1.39679496] : 1
W1 : [ 2.50335612 -0.84709212  1.74054999] : 13
!!!atention to nb coordination!!!
         [2.4160631514072852, 2.4317089938252043, 1.9101676674070565]
         [2.4160631514072852, 2.4317089938252043, 1.910167667407056]

ce_symbol  = TS:3
ce_fraction=  0.10935447007144083
species:coords:index
U1 : [3.49997126 1.46495542 4.10649095] : 5
U1 : [6.120875   1.28118332 1.39679496] : 1
W1 : [ 2.50335612 -0.84709212  1.74054999] : 13
!!!atention to nb coordination!!!
         [2.4160631514072852, 2.4317089938252043, 1.9101676674070565]
         [2.4160631514072852, 2.4317089938252043, 1.910167667407056]

ce_symbol  = TY:3
ce_fraction=  0.024414328943543076
species:coords:index
U1 : [3.49997126 1.46495542 4.10649095] : 5
U1 : [6.120875   1.28118332 1.39679496] : 1
W1 : [ 2.50335612 -0.84709212  1.74054999] : 13
!!!atention to nb coordination!!!
         [2.4160631514072852, 2.4317089938252043, 1.9101676674070565]
         [2.4160631514072852, 2.4317089938252043, 1.910167667407056]


**isite= 18
O1 : [ 5.83844271 10.1724768   7.88757522]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
U1 : [4.94172156 8.95681668 6.92340315] : 0
!!!atention to nb coordination!!!
         [1.7920842953923166]
         [1.792084295392316]


**isite= 19
O1 : [7.01759615 0.0655232  2.36096702]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
U1 : [6.120875   1.28118332 1.39679496] : 1


**isite= 20
O1 : [7.85974395 2.421287   8.74309417]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
U1 : [8.81031781 3.65404458 9.63309915] : 10
!!!atention to nb coordination!!!
         [1.793151077058209]
         [1.7931510770582098]


**isite= 21
O1 : [9.0388974  7.816713   3.21648597]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
U1 : [9.98947126 6.58395542 4.10649095] : 11


**isite= 22
O1 : [6.43520597 7.197314   7.63335124]

ce_symbol  = S:1
ce_fraction=  0.6254225906446909
species:coords:index
W1 : [7.81370268 5.96609212 7.26715818] : 14

ce_symbol  = TL:3
ce_fraction=  0.2671256302440852
species:coords:index
W1 : [7.81370268 5.96609212 7.26715818] : 14
U1 : [4.94172156 8.95681668 6.92340315] : 0
U1 : [5.47440111 6.50788708 9.75501613] : 2
!!!atention to nb coordination!!!
         [1.884212799390539, 2.4146162529830475, 2.4289745453253286]
         [1.884212799390539, 2.414616252983047, 2.4289745453253286]

ce_symbol  = TS:3
ce_fraction=  0.07715451362023011
species:coords:index
W1 : [7.81370268 5.96609212 7.26715818] : 14
U1 : [4.94172156 8.95681668 6.92340315] : 0
U1 : [5.47440111 6.50788708 9.75501613] : 2
!!!atention to nb coordination!!!
         [1.884212799390539, 2.4146162529830475, 2.4289745453253286]
         [1.884212799390539, 2.414616252983047, 2.4289745453253286]

ce_symbol  = TY:3
ce_fraction=  0.03029726549099389
species:coords:index
W1 : [7.81370268 5.96609212 7.26715818] : 14
U1 : [4.94172156 8.95681668 6.92340315] : 0
U1 : [5.47440111 6.50788708 9.75501613] : 2
!!!atention to nb coordination!!!
         [1.884212799390539, 2.4146162529830475, 2.4289745453253286]
         [1.884212799390539, 2.414616252983047, 2.4289745453253286]


**isite= 23
O1 : [7.61435941 3.040686   2.10674304]

ce_symbol  = S:1
ce_fraction=  0.6254225906446909
species:coords:index
W1 : [8.99285612 4.27190788 1.74054999] : 15
!!!atention to nb coordination!!!
         [1.8842127993905393]
         [1.884212799390539]

ce_symbol  = TL:3
ce_fraction=  0.26712563024408464
species:coords:index
U1 : [6.120875   1.28118332 1.39679496] : 1
W1 : [8.99285612 4.27190788 1.74054999] : 15
U1 : [6.65355455 3.73011292 4.22840793] : 3
!!!atention to nb coordination!!!
         [2.4146162529830475, 1.8842127993905393, 2.428974545325331]
         [2.4146162529830475, 1.884212799390539, 2.4289745453253304]

ce_symbol  = TS:3
ce_fraction=  0.0771545136202309
species:coords:index
U1 : [6.120875   1.28118332 1.39679496] : 1
W1 : [8.99285612 4.27190788 1.74054999] : 15
U1 : [6.65355455 3.73011292 4.22840793] : 3
!!!atention to nb coordination!!!
         [2.4146162529830475, 1.8842127993905393, 2.428974545325331]
         [2.4146162529830475, 1.884212799390539, 2.4289745453253304]

ce_symbol  = TY:3
ce_fraction=  0.030297265490993642
species:coords:index
U1 : [6.120875   1.28118332 1.39679496] : 1
W1 : [8.99285612 4.27190788 1.74054999] : 15
U1 : [6.65355455 3.73011292 4.22840793] : 3
!!!atention to nb coordination!!!
         [2.4146162529830475, 1.8842127993905393, 2.428974545325331]
         [2.4146162529830475, 1.884212799390539, 2.4289745453253304]


**isite= 24
O1 : [ 3.3014289   9.9472408  10.67188043]

ce_symbol  = L:2
ce_fraction=  0.6512320913677335
species:coords:index
U1 : [2.32081781 8.77304458 9.63309915] : 4
U1 : [ 3.76256811 11.51918332 12.45001135] : 1
!!!atention to nb coordination!!!
         [1.849162354018674, 2.4177266659709775]
         [1.8491623540186732, 2.4177266659709766]

ce_symbol  = S:1
ce_fraction=  0.32769406592566847
species:coords:index
U1 : [2.32081781 8.77304458 9.63309915] : 4
!!!atention to nb coordination!!!
         [1.849162354018674]
         [1.8491623540186732]

ce_symbol  = A:2
ce_fraction=  0.02107384270659788
species:coords:index
U1 : [2.32081781 8.77304458 9.63309915] : 4
U1 : [ 3.76256811 11.51918332 12.45001135] : 1
!!!atention to nb coordination!!!
         [1.849162354018674, 2.4177266659709775]
         [1.8491623540186732, 2.4177266659709766]


**isite= 25
O1 : [4.48058235 0.2907592  5.14527223]

ce_symbol  = L:2
ce_fraction=  0.6512320913677343
species:coords:index
U1 : [ 4.94172156 -1.28118332  6.92340315] : 0
U1 : [3.49997126 1.46495542 4.10649095] : 5
!!!atention to nb coordination!!!
         [2.4177266659709766, 1.8491623540186726]
         [2.4177266659709766, 1.849162354018673]

ce_symbol  = S:1
ce_fraction=  0.3276940659256678
species:coords:index
U1 : [3.49997126 1.46495542 4.10649095] : 5
!!!atention to nb coordination!!!
         [1.8491623540186726]
         [1.849162354018673]

ce_symbol  = A:2
ce_fraction=  0.02107384270659779
species:coords:index
U1 : [ 4.94172156 -1.28118332  6.92340315] : 0
U1 : [3.49997126 1.46495542 4.10649095] : 5
!!!atention to nb coordination!!!
         [2.4177266659709766, 1.8491623540186726]
         [2.4177266659709766, 1.849162354018673]


**isite= 26
O1 : [ 6.38875681  7.8095464  10.50939815]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
U1 : [5.47440111 6.50788708 9.75501613] : 2


**isite= 27
O1 : [7.56791026 2.4284536  4.98278995]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
U1 : [6.65355455 3.73011292 4.22840793] : 3


**isite= 28
O1 : [4.16214228 8.0081636  8.7243037 ]

ce_symbol  = TL:3
ce_fraction=  0.9987600238497091
species:coords:index
U1 : [5.47440111 6.50788708 9.75501613] : 2
U1 : [2.32081781 8.77304458 9.63309915] : 4
U1 : [4.94172156 8.95681668 6.92340315] : 0
!!!atention to nb coordination!!!
         [2.243929809907912, 2.1912160691158746, 2.1796626576658906]
         [2.243929809907912, 2.191216069115876, 2.1796626576658897]

ce_symbol  = TY:3
ce_fraction=  0.0012399761502910514
species:coords:index
U1 : [5.47440111 6.50788708 9.75501613] : 2
U1 : [2.32081781 8.77304458 9.63309915] : 4
U1 : [4.94172156 8.95681668 6.92340315] : 0
!!!atention to nb coordination!!!
         [2.243929809907912, 2.1912160691158746, 2.1796626576658906]
         [2.243929809907912, 2.191216069115876, 2.1796626576658897]


**isite= 29
O1 : [5.34129572 2.2298364  3.1976955 ]

ce_symbol  = TL:3
ce_fraction=  0.9987600238497091
species:coords:index
U1 : [3.49997126 1.46495542 4.10649095] : 5
U1 : [6.65355455 3.73011292 4.22840793] : 3
U1 : [6.120875   1.28118332 1.39679496] : 1
!!!atention to nb coordination!!!
         [2.191216069115876, 2.243929809907911, 2.1796626576658893]
         [2.1912160691158764, 2.243929809907911, 2.1796626576658893]

ce_symbol  = TY:3
ce_fraction=  0.0012399761502910483
species:coords:index
U1 : [3.49997126 1.46495542 4.10649095] : 5
U1 : [6.65355455 3.73011292 4.22840793] : 3
U1 : [6.120875   1.28118332 1.39679496] : 1
!!!atention to nb coordination!!!
         [2.191216069115876, 2.243929809907911, 2.1796626576658893]
         [2.1912160691158764, 2.243929809907911, 2.1796626576658893]


**isite= 30
O1 : [2.50021493 2.400811   8.53860966]

ce_symbol  = TY:3
ce_fraction=  0.6117897610313562
species:coords:index
O1 : [ 2.93563959  2.4642866  11.40691932] : 33
O1 : [5.13665001 2.6536896  8.01358189] : 46
W1 : [1.32420268 0.84709212 7.26715818] : 12

ce_symbol  = S:1
ce_fraction=  0.30184207657446427
species:coords:index
W1 : [1.32420268 0.84709212 7.26715818] : 12

ce_symbol  = TL:3
ce_fraction=  0.0837108842736721
species:coords:index
O1 : [ 2.93563959  2.4642866  11.40691932] : 33
O1 : [5.13665001 2.6536896  8.01358189] : 46
W1 : [1.32420268 0.84709212 7.26715818] : 12

ce_symbol  = TS:3
ce_fraction=  0.0026572781205075344
species:coords:index
O1 : [ 2.93563959  2.4642866  11.40691932] : 33
O1 : [5.13665001 2.6536896  8.01358189] : 46
W1 : [1.32420268 0.84709212 7.26715818] : 12


**isite= 31
O1 : [3.67936837 7.837189   3.01200147]

ce_symbol  = TY:3
ce_fraction=  0.6117897610313525
species:coords:index
W1 : [2.50335612 9.39090788 1.74054999] : 13
O1 : [6.31580345 7.5843104  2.48697369] : 47
O1 : [4.11479304 7.7737134  5.88031112] : 32
!!!atention to nb coordination!!!
         [2.3267221661089823, 2.7000725305371187, 2.9018656172797366]
         [2.3267221661089823, 2.7000725305371187, 2.901865617279736]

ce_symbol  = S:1
ce_fraction=  0.30184207657446793
species:coords:index
W1 : [2.50335612 9.39090788 1.74054999] : 13

ce_symbol  = TL:3
ce_fraction=  0.08371088427367206
species:coords:index
W1 : [2.50335612 9.39090788 1.74054999] : 13
O1 : [6.31580345 7.5843104  2.48697369] : 47
O1 : [4.11479304 7.7737134  5.88031112] : 32
!!!atention to nb coordination!!!
         [2.3267221661089823, 2.7000725305371187, 2.9018656172797366]
         [2.3267221661089823, 2.7000725305371187, 2.901865617279736]

ce_symbol  = TS:3
ce_fraction=  0.00265727812050759
species:coords:index
W1 : [2.50335612 9.39090788 1.74054999] : 13
O1 : [6.31580345 7.5843104  2.48697369] : 47
O1 : [4.11479304 7.7737134  5.88031112] : 32
!!!atention to nb coordination!!!
         [2.3267221661089823, 2.7000725305371187, 2.9018656172797366]
         [2.3267221661089823, 2.7000725305371187, 2.901865617279736]


**isite= 32
O1 : [4.11479304 7.7737134  5.88031112]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
U1 : [4.94172156 8.95681668 6.92340315] : 0
!!!atention to nb coordination!!!
         [1.7808944753451452]
         [1.7808944753451457]


**isite= 33
O1 : [5.29394648 2.4642866  0.35370292]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
U1 : [6.120875   1.28118332 1.39679496] : 1
!!!atention to nb coordination!!!
         [1.780894475345147]
         [1.7808944753451472]


**isite= 34
O1 : [2.10635465 1.786531   5.90131223]

ce_symbol  = A:2
ce_fraction=  0.5936658418124827
species:coords:index
U1 : [3.49997126 1.46495542 4.10649095] : 5
W1 : [1.32420268 0.84709212 7.26715818] : 12
!!!atention to nb coordination!!!
         [2.2949861670008653, 1.8329872543387689]
         [2.2949861670008644, 1.832987254338769]

ce_symbol  = S:1
ce_fraction=  0.3738479916551602
species:coords:index
W1 : [1.32420268 0.84709212 7.26715818] : 12
!!!atention to nb coordination!!!
         [1.8329872543387689]
         [1.832987254338769]

ce_symbol  = L:2
ce_fraction=  0.03248616653235703
species:coords:index
U1 : [3.49997126 1.46495542 4.10649095] : 5
W1 : [1.32420268 0.84709212 7.26715818] : 12
!!!atention to nb coordination!!!
         [2.2949861670008653, 1.8329872543387689]
         [2.2949861670008644, 1.832987254338769]


**isite= 35
O1 : [3.2855081  8.451469   0.37470404]

ce_symbol  = A:2
ce_fraction=  0.5936658418124837
species:coords:index
U1 : [ 4.6791247   8.77304458 -1.42011724] : 4
W1 : [2.50335612 9.39090788 1.74054999] : 13
!!!atention to nb coordination!!!
         [2.2949861670008675, 1.832987254338768]
         [2.294986167000865, 1.8329872543387682]

ce_symbol  = S:1
ce_fraction=  0.3738479916551595
species:coords:index
W1 : [2.50335612 9.39090788 1.74054999] : 13
!!!atention to nb coordination!!!
         [1.832987254338768]
         [1.8329872543387682]

ce_symbol  = L:2
ce_fraction=  0.03248616653235684
species:coords:index
U1 : [ 4.6791247   8.77304458 -1.42011724] : 4
W1 : [2.50335612 9.39090788 1.74054999] : 13
!!!atention to nb coordination!!!
         [2.2949861670008675, 1.832987254338768]
         [2.294986167000865, 1.8329872543387682]


**isite= 36
O1 : [0.85184132 0.1781412  9.10453434]

ce_symbol  = TS:3
ce_fraction=  0.7457863229887862
species:coords:index
W1 : [1.32420268 0.84709212 7.26715818] : 12
U1 : [-1.01509889  1.38888708  9.75501613] : 8
U1 : [ 2.32081781 -1.46495542  9.63309915] : 4
!!!atention to nb coordination!!!
         [2.0116092434390938, 2.318296332788033, 2.266503739459859]
         [2.0116092434390938, 2.3182963327880333, 2.266503739459859]

ce_symbol  = TL:3
ce_fraction=  0.24149445251923432
species:coords:index
W1 : [1.32420268 0.84709212 7.26715818] : 12
U1 : [-1.01509889  1.38888708  9.75501613] : 8
U1 : [ 2.32081781 -1.46495542  9.63309915] : 4
!!!atention to nb coordination!!!
         [2.0116092434390938, 2.318296332788033, 2.266503739459859]
         [2.0116092434390938, 2.3182963327880333, 2.266503739459859]

ce_symbol  = TY:3
ce_fraction=  0.01271922449197935
species:coords:index
W1 : [1.32420268 0.84709212 7.26715818] : 12
U1 : [-1.01509889  1.38888708  9.75501613] : 8
U1 : [ 2.32081781 -1.46495542  9.63309915] : 4
!!!atention to nb coordination!!!
         [2.0116092434390938, 2.318296332788033, 2.266503739459859]
         [2.0116092434390938, 2.3182963327880333, 2.266503739459859]


**isite= 37
O1 : [ 2.03099476 10.0598588   3.57792615]

ce_symbol  = TS:3
ce_fraction=  0.7457863229887819
species:coords:index
U1 : [ 3.49997126 11.70295542  4.10649095] : 5
W1 : [2.50335612 9.39090788 1.74054999] : 13
U1 : [0.16405455 8.84911292 4.22840793] : 9
!!!atention to nb coordination!!!
         [2.266503739459859, 2.011609243439095, 2.3182963327880346]
         [2.2665037394598584, 2.011609243439095, 2.3182963327880346]

ce_symbol  = TL:3
ce_fraction=  0.24149445251923873
species:coords:index
U1 : [ 3.49997126 11.70295542  4.10649095] : 5
W1 : [2.50335612 9.39090788 1.74054999] : 13
U1 : [0.16405455 8.84911292 4.22840793] : 9
!!!atention to nb coordination!!!
         [2.266503739459859, 2.011609243439095, 2.3182963327880346]
         [2.2665037394598584, 2.011609243439095, 2.3182963327880346]

ce_symbol  = TY:3
ce_fraction=  0.012719224491979507
species:coords:index
U1 : [ 3.49997126 11.70295542  4.10649095] : 5
W1 : [2.50335612 9.39090788 1.74054999] : 13
U1 : [0.16405455 8.84911292 4.22840793] : 9
!!!atention to nb coordination!!!
         [2.266503739459859, 2.011609243439095, 2.3182963327880346]
         [2.2665037394598584, 2.011609243439095, 2.3182963327880346]


**isite= 38
O1 : [5.72220527e+00 6.96593520e+00 1.10532164e-03]

ce_symbol  = SBSA:10
ce_fraction=  1.0
species:coords:index
O1 : [ 6.52044916  8.0081636  -2.32891269] : 28
O1 : [8.04000482 5.3923546  0.76267193] : 75
U1 : [ 7.83270799  6.50788708 -1.29820027] : 2
O1 : [ 6.85818388  5.1783804  -2.00173749] : 44
U1 : [ 4.6791247   8.77304458 -1.42011724] : 4
O1 : [ 5.65973579  9.9472408  -0.38133597] : 24
O1 : [6.31580345 7.5843104  2.48697369] : 47
O1 : [3.96980372 5.0289056  0.85994024] : 82
O1 : [ 3.72855084  7.540287   -2.31012223] : 54
O1 : [3.2855081  8.451469   0.37470404] : 35
!!!atention to nb coordination!!!
         [2.674400362948459, 2.9031593799578688, 2.5203620450512805, 2.9149920897405126, 2.5245860976183168, 3.006384349165164, 2.629503418213202, 2.749653115423952, 3.10585105174637, 2.878172993693036]
         [2.6744003629484574, 2.9031593799578688, 2.52036204505128, 2.9149920897405113, 2.5245860976183163, 3.0063843491651623, 2.629503418213202, 2.7496531154239525, 3.105851051746369, 2.878172993693036]


**isite= 39
O1 : [4.54305183 3.2720648  5.52771352]

ce_symbol  = SBSA:10
ce_fraction=  1.0
species:coords:index
U1 : [6.65355455 3.73011292 4.22840793] : 3
O1 : [4.48058235 0.2907592  5.14527223] : 25
O1 : [2.5493974  2.697713   3.21648597] : 55
O1 : [2.10635465 1.786531   5.90131223] : 34
U1 : [3.49997126 1.46495542 4.10649095] : 5
O1 : [5.67903043 5.0596196  3.52487071] : 45
O1 : [5.34129572 2.2298364  3.1976955 ] : 29
O1 : [2.79065028 5.2090944  6.38654843] : 83
O1 : [5.13665001 2.6536896  8.01358189] : 46
O1 : [6.86085138 4.8456454  6.28928013] : 74
!!!atention to nb coordination!!!
         [2.520362045051279, 3.0063843491651614, 3.105851051746369, 2.8781729936930365, 2.5245860976183154, 2.914992089740512, 2.6744003629484574, 2.7496531154239525, 2.629503418213201, 2.9031593799578697]
         [2.520362045051279, 3.0063843491651614, 3.105851051746369, 2.878172993693037, 2.524586097618316, 2.9149920897405113, 2.6744003629484574, 2.7496531154239525, 2.629503418213201, 2.9031593799578688]


**isite= 40
O1 : [0.37135138 9.9646454  6.28928013]

ce_symbol  = S:1
ce_fraction=  0.7284582470512072
species:coords:index
W1 : [ 1.32420268 11.08509212  7.26715818] : 12
!!!atention to nb coordination!!!
         [1.7662309988078841]
         [1.766230998807884]

ce_symbol  = A:2
ce_fraction=  0.17423374512820622
species:coords:index
W1 : [ 1.32420268 11.08509212  7.26715818] : 12
U1 : [0.16405455 8.84911292 4.22840793] : 9
!!!atention to nb coordination!!!
         [1.7662309988078841, 2.3525685751099568]
         [1.766230998807884, 2.3525685751099568]

ce_symbol  = L:2
ce_fraction=  0.0973080078205866
species:coords:index
W1 : [ 1.32420268 11.08509212  7.26715818] : 12
U1 : [0.16405455 8.84911292 4.22840793] : 9
!!!atention to nb coordination!!!
         [1.7662309988078841, 2.3525685751099568]
         [1.766230998807884, 2.3525685751099568]


**isite= 41
O1 : [1.55050482 0.2733546  0.76267193]

ce_symbol  = S:1
ce_fraction=  0.7284582470512068
species:coords:index
W1 : [ 2.50335612 -0.84709212  1.74054999] : 13
!!!atention to nb coordination!!!
         [1.766230998807884]
         [1.7662309988078837]

ce_symbol  = A:2
ce_fraction=  0.17423374512820652
species:coords:index
U1 : [ 1.34320799  1.38888708 -1.29820027] : 8
W1 : [ 2.50335612 -0.84709212  1.74054999] : 13
!!!atention to nb coordination!!!
         [2.3525685751099554, 1.766230998807884]
         [2.3525685751099563, 1.7662309988078837]

ce_symbol  = L:2
ce_fraction=  0.09730800782058668
species:coords:index
U1 : [ 1.34320799  1.38888708 -1.29820027] : 8
W1 : [ 2.50335612 -0.84709212  1.74054999] : 13
!!!atention to nb coordination!!!
         [2.3525685751099554, 1.766230998807884]
         [2.3525685751099563, 1.7662309988078837]


**isite= 42
O1 : [6.88313727 9.040154   5.32101837]

ce_symbol  = BS_1:10
ce_fraction=  1.0
species:coords:index
O1 : [ 7.01759615 10.3035232   2.36096702] : 19
O1 : [ 9.28015028 10.3280944   6.38654843] : 49
U1 : [4.94172156 8.95681668 6.92340315] : 0
O1 : [ 4.48058235 10.5287592   5.14527223] : 25
O1 : [ 5.83844271 10.1724768   7.88757522] : 18
O1 : [4.11479304 7.7737134  5.88031112] : 32
O1 : [8.59585465 6.905531   5.90131223] : 68
O1 : [9.0388974  7.816713   3.21648597] : 21
O1 : [6.43520597 7.197314   7.63335124] : 22
O1 : [6.31580345 7.5843104  2.48697369] : 47
!!!atention to nb coordination!!!
         [3.221193089873758, 2.922296388734757, 2.51866572799968, 2.831801951686555, 2.99345213604026, 3.0952237301664067, 2.7976342094397975, 3.2516405475556858, 2.9905827215868808, 3.2362258128083554]
         [3.2211930898737577, 2.9222963887347557, 2.5186657279996805, 2.831801951686555, 2.9934521360402595, 3.0952237301664067, 2.797634209439798, 3.2516405475556853, 2.9905827215868817, 3.2362258128083554]


**isite= 43
O1 : [ 5.70398382  1.197846   10.84762657]

ce_symbol  = BS_1:10
ce_fraction=  1.0
species:coords:index
O1 : [ 5.25605252  3.040686   13.15995944] : 23
U1 : [ 3.76256811  1.28118332 12.45001135] : 1
O1 : [ 4.65928926  0.0655232  13.41418341] : 19
O1 : [ 2.93563959  2.4642866  11.40691932] : 33
O1 : [ 3.3014289  -0.2907592  10.67188043] : 24
O1 : [ 5.83844271 -0.0655232   7.88757522] : 18
O1 : [ 8.10099684 -0.0900944  11.91315663] : 48
O1 : [7.85974395 2.421287   8.74309417] : 20
O1 : [ 7.41670121  3.332469   11.42792043] : 69
O1 : [5.13665001 2.6536896  8.01358189] : 46
!!!atention to nb coordination!!!
         [2.990582721586879, 2.51866572799968, 2.9934521360402564, 3.0952237301664054, 2.831801951686554, 3.221193089873757, 2.9222963887347566, 3.2516405475556884, 2.7976342094397975, 3.2362258128083563]
         [2.990582721586879, 2.51866572799968, 2.9934521360402573, 3.0952237301664054, 2.8318019516865554, 3.2211930898737577, 2.922296388734758, 3.251640547555686, 2.797634209439796, 3.2362258128083563]


**isite= 44
O1 : [4.49987699 5.1783804  9.0514789 ]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
U1 : [5.47440111 6.50788708 9.75501613] : 2


**isite= 45
O1 : [5.67903043 5.0596196  3.52487071]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
U1 : [6.65355455 3.73011292 4.22840793] : 3


**isite= 46
O1 : [5.13665001 2.6536896  8.01358189]

ce_symbol  = O:6
ce_fraction=  0.5337154381946376
species:coords:index
O1 : [7.85974395 2.421287   8.74309417] : 20
O1 : [ 5.70398382  1.197846   10.84762657] : 43
O1 : [2.50021493 2.400811   8.53860966] : 30
O1 : [ 5.83844271 -0.0655232   7.88757522] : 18
O1 : [4.49987699 5.1783804  9.0514789 ] : 44
O1 : [4.54305183 3.2720648  5.52771352] : 39
!!!atention to nb coordination!!!
         [2.828681631875942, 3.236225812808355, 2.7000725305371187, 2.811140146530507, 2.802993709032875, 2.629503418213202]
         [2.8286816318759405, 3.2362258128083563, 2.7000725305371187, 2.8111401465305086, 2.802993709032876, 2.629503418213201]

ce_symbol  = FO:7
ce_fraction=  0.31780824646360367
species:coords:index
O1 : [7.85974395 2.421287   8.74309417] : 20
O1 : [ 5.70398382  1.197846   10.84762657] : 43
O1 : [2.50021493 2.400811   8.53860966] : 30
O1 : [ 5.83844271 -0.0655232   7.88757522] : 18
O1 : [6.86085138 4.8456454  6.28928013] : 74
O1 : [4.49987699 5.1783804  9.0514789 ] : 44
O1 : [4.54305183 3.2720648  5.52771352] : 39
!!!atention to nb coordination!!!
         [2.828681631875942, 3.236225812808355, 2.7000725305371187, 2.811140146530507, 3.2788347256098267, 2.802993709032875, 2.629503418213202]
         [2.8286816318759405, 3.2362258128083563, 2.7000725305371187, 2.8111401465305086, 3.278834725609826, 2.802993709032876, 2.629503418213201]

ce_symbol  = ST:7
ce_fraction=  0.10690201485458171
species:coords:index
O1 : [7.85974395 2.421287   8.74309417] : 20
O1 : [ 5.70398382  1.197846   10.84762657] : 43
O1 : [2.50021493 2.400811   8.53860966] : 30
O1 : [ 5.83844271 -0.0655232   7.88757522] : 18
O1 : [6.86085138 4.8456454  6.28928013] : 74
O1 : [4.49987699 5.1783804  9.0514789 ] : 44
O1 : [4.54305183 3.2720648  5.52771352] : 39
!!!atention to nb coordination!!!
         [2.828681631875942, 3.236225812808355, 2.7000725305371187, 2.811140146530507, 3.2788347256098267, 2.802993709032875, 2.629503418213202]
         [2.8286816318759405, 3.2362258128083563, 2.7000725305371187, 2.8111401465305086, 3.278834725609826, 2.802993709032876, 2.629503418213201]

ce_symbol  = PB:7
ce_fraction=  0.04157430048717689
species:coords:index
O1 : [7.85974395 2.421287   8.74309417] : 20
O1 : [ 5.70398382  1.197846   10.84762657] : 43
O1 : [2.50021493 2.400811   8.53860966] : 30
O1 : [ 5.83844271 -0.0655232   7.88757522] : 18
O1 : [6.86085138 4.8456454  6.28928013] : 74
O1 : [4.49987699 5.1783804  9.0514789 ] : 44
O1 : [4.54305183 3.2720648  5.52771352] : 39
!!!atention to nb coordination!!!
         [2.828681631875942, 3.236225812808355, 2.7000725305371187, 2.811140146530507, 3.2788347256098267, 2.802993709032875, 2.629503418213202]
         [2.8286816318759405, 3.2362258128083563, 2.7000725305371187, 2.8111401465305086, 3.278834725609826, 2.802993709032876, 2.629503418213201]


**isite= 47
O1 : [6.31580345 7.5843104  2.48697369]

ce_symbol  = O:6
ce_fraction=  0.5337154381946462
species:coords:index
O1 : [6.88313727 9.040154   5.32101837] : 42
O1 : [3.67936837 7.837189   3.01200147] : 31
O1 : [ 7.01759615 10.3035232   2.36096702] : 19
O1 : [5.72220527e+00 6.96593520e+00 1.10532164e-03] : 38
O1 : [9.0388974  7.816713   3.21648597] : 21
O1 : [5.67903043 5.0596196  3.52487071] : 45
!!!atention to nb coordination!!!
         [3.2362258128083545, 2.7000725305371187, 2.811140146530509, 2.629503418213202, 2.8286816318759405, 2.8029937090328745]
         [3.2362258128083554, 2.7000725305371187, 2.811140146530509, 2.629503418213202, 2.8286816318759405, 2.8029937090328754]

ce_symbol  = FO:7
ce_fraction=  0.3178082464635973
species:coords:index
O1 : [6.88313727 9.040154   5.32101837] : 42
O1 : [3.67936837 7.837189   3.01200147] : 31
O1 : [ 7.01759615 10.3035232   2.36096702] : 19
O1 : [5.72220527e+00 6.96593520e+00 1.10532164e-03] : 38
O1 : [9.0388974  7.816713   3.21648597] : 21
O1 : [8.04000482 5.3923546  0.76267193] : 75
O1 : [5.67903043 5.0596196  3.52487071] : 45
!!!atention to nb coordination!!!
         [3.2362258128083545, 2.7000725305371187, 2.811140146530509, 2.629503418213202, 2.8286816318759405, 3.2788347256098276, 2.8029937090328745]
         [3.2362258128083554, 2.7000725305371187, 2.811140146530509, 2.629503418213202, 2.8286816318759405, 3.2788347256098276, 2.8029937090328754]

ce_symbol  = ST:7
ce_fraction=  0.10690201485457991
species:coords:index
O1 : [6.88313727 9.040154   5.32101837] : 42
O1 : [3.67936837 7.837189   3.01200147] : 31
O1 : [ 7.01759615 10.3035232   2.36096702] : 19
O1 : [5.72220527e+00 6.96593520e+00 1.10532164e-03] : 38
O1 : [9.0388974  7.816713   3.21648597] : 21
O1 : [8.04000482 5.3923546  0.76267193] : 75
