cif name= ./2100726.cif
./2100726.cif
Full Formula (Mo32 Pb14 O48)
         [2.0508109340707166, 2.787293772991152, 2.7870901156496983, 2.0508109340707166, 2.0272435734776053, 2.7870901156496983, 2.787293772991152, 2.067324202585762, 2.067324202585763]
         [2.0508109340707166, 2.7872937729911516, 2.7870901156496983, 2.0508109340707166, 2.0272435734776053, 2.7870901156496983, 2.7872937729911516, 2.0673242025857625, 2.067324202585763]


**isite= 15
Mo1 : [3.4181325 1.378791  5.681    ]

ce_symbol  = S:5
ce_fraction=  0.7747201063026586
species:coords:index
O1 : [2.017227 2.844117 5.681   ] : 93
O1 : [4.409439  2.5258605 4.2755206] : 59
O1 : [4.409439  2.5258605 7.0864794] : 69
O1 : [2.3104845 0.398061  7.10125  ] : 83
O1 : [2.3104845 0.398061  4.26075  ] : 77
!!!atention to nb coordination!!!
         [2.0272435734776053, 2.067324202585764, 2.0673242025857625, 2.0508109340707157, 2.0508109340707157]
         [2.0272435734776053, 2.067324202585764, 2.0673242025857634, 2.0508109340707157, 2.0508109340707157]

ce_symbol  = SS:9
ce_fraction=  0.22527989369734128
species:coords:index
O1 : [2.017227 2.844117 5.681   ] : 93
O1 : [4.409439  2.5258605 4.2755206] : 59
O1 : [4.409439  2.5258605 7.0864794] : 69
O1 : [2.3104845 0.398061  7.10125  ] : 83
Mo1 : [ 3.8315775 -0.9836145  4.26075  ] : 23
O1 : [2.3104845 0.398061  4.26075  ] : 77
Mo1 : [5.7834225 0.9836145 7.10125  ] : 31
Mo1 : [ 3.8315775 -0.9836145  7.10125  ] : 29
Mo1 : [5.7834225 0.9836145 4.26075  ] : 21
!!!atention to nb coordination!!!
         [2.0272435734776053, 2.067324202585764, 2.0673242025857625, 2.0508109340707157, 2.787293772991152, 2.0508109340707157, 2.7870901156496983, 2.787293772991152, 2.7870901156496983]
         [2.0272435734776053, 2.067324202585764, 2.0673242025857634, 2.0508109340707157, 2.7872937729911516, 2.0508109340707157, 2.7870901156496983, 2.7872937729911516, 2.7870901156496983]


**isite= 16
Mo1 : [5.7911145 0.9759225 1.42025  ]

ce_symbol  = TT_1:9
ce_fraction=  0.9601657079150024
species:coords:index
Mo1 : [ 6.1872525 -1.3797525  2.8405   ] : 2
O1 : [ 7.3333605 -0.398061   1.4054794] : 54
Mo1 : [3.428709  1.3893675 0.       ] : 8
O1 : [4.409439  2.4970155 1.42025  ] : 70
Mo1 : [ 3.8238855 -0.9759225  1.42025  ] : 18
Mo1 : [3.4277475 1.3797525 2.8405   ] : 0
O1 : [6.7949205 1.9874205 2.8405   ] : 46
O1 : [6.824727 1.963383 0.      ] : 87
Mo1 : [ 6.186291  -1.3893675  0.       ] : 10
!!!atention to nb coordination!!!
         [2.779071802449336, 2.0655680945959185, 2.7872937729911516, 2.0549333570578994, 2.771225151889684, 2.7866991778964953, 2.0119306032117508, 2.015078931882446, 2.787090115649699]
         [2.7790718024493355, 2.065568094595918, 2.7872937729911516, 2.0549333570578994, 2.7712251518896833, 2.786699177896495, 2.011930603211751, 2.015078931882446, 2.7870901156496983]

ce_symbol  = SMA:9
ce_fraction=  0.039834292084997475
species:coords:index
Mo1 : [ 6.1872525 -1.3797525  2.8405   ] : 2
O1 : [ 7.3333605 -0.398061   1.4054794] : 54
Mo1 : [3.428709  1.3893675 0.       ] : 8
O1 : [4.409439  2.4970155 1.42025  ] : 70
Mo1 : [ 3.8238855 -0.9759225  1.42025  ] : 18
Mo1 : [3.4277475 1.3797525 2.8405   ] : 0
O1 : [6.7949205 1.9874205 2.8405   ] : 46
O1 : [6.824727 1.963383 0.      ] : 87
Mo1 : [ 6.186291  -1.3893675  0.       ] : 10
!!!atention to nb coordination!!!
         [2.779071802449336, 2.0655680945959185, 2.7872937729911516, 2.0549333570578994, 2.771225151889684, 2.7866991778964953, 2.0119306032117508, 2.015078931882446, 2.787090115649699]
         [2.7790718024493355, 2.065568094595918, 2.7872937729911516, 2.0549333570578994, 2.7712251518896833, 2.786699177896495, 2.011930603211751, 2.015078931882446, 2.7870901156496983]


**isite= 17
Mo1 : [8.6390775 5.7911145 1.42025  ]

ce_symbol  = TT_1:9
ce_fraction=  0.9601657079150027
species:coords:index
O1 : [10.013061   7.3333605  1.4054794] : 55
O1 : [7.1179845 4.409439  1.42025  ] : 71
O1 : [7.6275795 6.7949205 2.8405   ] : 47
Mo1 : [10.9947525  6.1872525  2.8405   ] : 3
Mo1 : [10.5909225  3.8238855  1.42025  ] : 19
Mo1 : [8.2352475 3.4277475 2.8405   ] : 1
Mo1 : [8.2256325 3.428709  0.       ] : 9
O1 : [7.651617 6.824727 0.      ] : 88
Mo1 : [11.0043675  6.186291   0.       ] : 11
!!!atention to nb coordination!!!
         [2.065568094595919, 2.0549333570578994, 2.01193060321175, 2.779071802449337, 2.7712251518896833, 2.7866991778964953, 2.7872937729911516, 2.0150789318824454, 2.7870901156496997]
         [2.0655680945959176, 2.0549333570578994, 2.0119306032117503, 2.7790718024493373, 2.7712251518896833, 2.786699177896495, 2.7872937729911516, 2.0150789318824454, 2.7870901156496997]

ce_symbol  = SMA:9
ce_fraction=  0.039834292084997336
species:coords:index
O1 : [10.013061   7.3333605  1.4054794] : 55
O1 : [7.1179845 4.409439  1.42025  ] : 71
O1 : [7.6275795 6.7949205 2.8405   ] : 47
Mo1 : [10.9947525  6.1872525  2.8405   ] : 3
Mo1 : [10.5909225  3.8238855  1.42025  ] : 19
Mo1 : [8.2352475 3.4277475 2.8405   ] : 1
Mo1 : [8.2256325 3.428709  0.       ] : 9
O1 : [7.651617 6.824727 0.      ] : 88
Mo1 : [11.0043675  6.186291   0.       ] : 11
!!!atention to nb coordination!!!
         [2.065568094595919, 2.0549333570578994, 2.01193060321175, 2.779071802449337, 2.7712251518896833, 2.7866991778964953, 2.7872937729911516, 2.0150789318824454, 2.7870901156496997]
         [2.0655680945959176, 2.0549333570578994, 2.0119306032117503, 2.7790718024493373, 2.7712251518896833, 2.786699177896495, 2.7872937729911516, 2.0150789318824454, 2.7870901156496997]


**isite= 18
Mo1 : [3.8238855 8.6390775 1.42025  ]

ce_symbol  = TT_1:9
ce_fraction=  0.9601657079150019
species:coords:index
O1 : [ 2.2816395 10.013061   1.4054794] : 56
Mo1 : [ 5.7911145 10.5909225  1.42025  ] : 16
Mo1 : [6.186291  8.2256325 0.       ] : 10
Mo1 : [ 3.428709  11.0043675  0.       ] : 8
O1 : [2.790273 7.651617 0.      ] : 89
O1 : [5.205561  7.1179845 1.42025  ] : 72
O1 : [2.8200795 7.6275795 2.8405   ] : 48
Mo1 : [6.1872525 8.2352475 2.8405   ] : 2
Mo1 : [ 3.4277475 10.9947525  2.8405   ] : 0
!!!atention to nb coordination!!!
         [2.0655680945959194, 2.7712251518896833, 2.7872937729911507, 2.7870901156497, 2.015078931882446, 2.0549333570578994, 2.0119306032117503, 2.7866991778964936, 2.7790718024493373]
         [2.065568094595918, 2.7712251518896833, 2.7872937729911507, 2.7870901156497, 2.0150789318824454, 2.0549333570578994, 2.0119306032117508, 2.7866991778964936, 2.7790718024493373]

ce_symbol  = SMA:9
ce_fraction=  0.03983429208499799
species:coords:index
O1 : [ 2.2816395 10.013061   1.4054794] : 56
Mo1 : [ 5.7911145 10.5909225  1.42025  ] : 16
Mo1 : [6.186291  8.2256325 0.       ] : 10
Mo1 : [ 3.428709  11.0043675  0.       ] : 8
O1 : [2.790273 7.651617 0.      ] : 89
O1 : [5.205561  7.1179845 1.42025  ] : 72
O1 : [2.8200795 7.6275795 2.8405   ] : 48
Mo1 : [6.1872525 8.2352475 2.8405   ] : 2
Mo1 : [ 3.4277475 10.9947525  2.8405   ] : 0
!!!atention to nb coordination!!!
         [2.0655680945959194, 2.7712251518896833, 2.7872937729911507, 2.7870901156497, 2.015078931882446, 2.0549333570578994, 2.0119306032117503, 2.7866991778964936, 2.7790718024493373]
         [2.065568094595918, 2.7712251518896833, 2.7872937729911507, 2.7870901156497, 2.0150789318824454, 2.0549333570578994, 2.0119306032117508, 2.7866991778964936, 2.7790718024493373]


**isite= 19
Mo1 : [0.9759225 3.8238855 1.42025  ]

ce_symbol  = TT_1:9
ce_fraction=  0.9601657079150024
species:coords:index
Mo1 : [-0.9759225  5.7911145  1.42025  ] : 17
O1 : [1.963383 2.790273 0.      ] : 86
O1 : [-0.398061   2.2816395  1.4054794] : 57
Mo1 : [-1.3893675  3.428709   0.       ] : 9
O1 : [1.9874205 2.8200795 2.8405   ] : 49
Mo1 : [1.3797525 6.1872525 2.8405   ] : 3
O1 : [2.4970155 5.205561  1.42025  ] : 73
Mo1 : [1.3893675 6.186291  0.       ] : 11
Mo1 : [-1.3797525  3.4277475  2.8405   ] : 1
!!!atention to nb coordination!!!
         [2.771225151889684, 2.0150789318824462, 2.065568094595919, 2.787090115649699, 2.0119306032117508, 2.7866991778964936, 2.0549333570578994, 2.7872937729911507, 2.7790718024493364]
         [2.7712251518896833, 2.0150789318824462, 2.0655680945959185, 2.7870901156496983, 2.011930603211751, 2.786699177896494, 2.0549333570578994, 2.7872937729911507, 2.779071802449336]

ce_symbol  = SMA:9
ce_fraction=  0.039834292084997426
species:coords:index
Mo1 : [-0.9759225  5.7911145  1.42025  ] : 17
O1 : [1.963383 2.790273 0.      ] : 86
O1 : [-0.398061   2.2816395  1.4054794] : 57
Mo1 : [-1.3893675  3.428709   0.       ] : 9
O1 : [1.9874205 2.8200795 2.8405   ] : 49
Mo1 : [1.3797525 6.1872525 2.8405   ] : 3
O1 : [2.4970155 5.205561  1.42025  ] : 73
Mo1 : [1.3893675 6.186291  0.       ] : 11
Mo1 : [-1.3797525  3.4277475  2.8405   ] : 1
!!!atention to nb coordination!!!
         [2.771225151889684, 2.0150789318824462, 2.065568094595919, 2.787090115649699, 2.0119306032117508, 2.7866991778964936, 2.0549333570578994, 2.7872937729911507, 2.7790718024493364]
         [2.7712251518896833, 2.0150789318824462, 2.0655680945959185, 2.7870901156496983, 2.011930603211751, 2.786699177896494, 2.0549333570578994, 2.7872937729911507, 2.779071802449336]


**isite= 20
Mo1 : [0.9836145 3.8315775 4.26075  ]

ce_symbol  = TT_1:9
ce_fraction=  0.9601657079150027
species:coords:index
O1 : [2.5258605 5.205561  4.2755206] : 58
Mo1 : [1.378791  6.1968675 5.681    ] : 14
Mo1 : [1.3797525 6.1872525 2.8405   ] : 3
Mo1 : [-1.378791   3.4181325  5.681    ] : 12
O1 : [1.9874205 2.8200795 2.8405   ] : 49
Mo1 : [-0.9836145  5.7834225  4.26075  ] : 22
O1 : [2.017227 2.844117 5.681   ] : 93
O1 : [-0.398061   2.3104845  4.26075  ] : 74
Mo1 : [-1.3797525  3.4277475  2.8405   ] : 1
!!!atention to nb coordination!!!
         [2.065568094595919, 2.787090115649698, 2.7790718024493355, 2.7872937729911516, 2.0119306032117508, 2.771225151889684, 2.015078931882445, 2.0549333570579003, 2.786699177896496]
         [2.065568094595919, 2.7870901156496983, 2.7790718024493355, 2.787293772991152, 2.0119306032117503, 2.771225151889684, 2.015078931882446, 2.0549333570579, 2.786699177896495]

ce_symbol  = SMA:9
ce_fraction=  0.039834292084997364
species:coords:index
O1 : [2.5258605 5.205561  4.2755206] : 58
Mo1 : [1.378791  6.1968675 5.681    ] : 14
Mo1 : [1.3797525 6.1872525 2.8405   ] : 3
Mo1 : [-1.378791   3.4181325  5.681    ] : 12
O1 : [1.9874205 2.8200795 2.8405   ] : 49
Mo1 : [-0.9836145  5.7834225  4.26075  ] : 22
O1 : [2.017227 2.844117 5.681   ] : 93
O1 : [-0.398061   2.3104845  4.26075  ] : 74
Mo1 : [-1.3797525  3.4277475  2.8405   ] : 1
!!!atention to nb coordination!!!
         [2.065568094595919, 2.787090115649698, 2.7790718024493355, 2.7872937729911516, 2.0119306032117508, 2.771225151889684, 2.015078931882445, 2.0549333570579003, 2.786699177896496]
         [2.065568094595919, 2.7870901156496983, 2.7790718024493355, 2.787293772991152, 2.0119306032117503, 2.771225151889684, 2.015078931882446, 2.0549333570579, 2.786699177896495]


**isite= 21
Mo1 : [5.7834225 0.9836145 4.26075  ]

ce_symbol  = TT_1:9
ce_fraction=  0.9601657079150022
species:coords:index
Mo1 : [ 3.8315775 -0.9836145  4.26075  ] : 23
O1 : [ 7.3045155 -0.398061   4.26075  ] : 75
Mo1 : [ 6.1872525 -1.3797525  2.8405   ] : 2
Mo1 : [ 6.1968675 -1.378791   5.681    ] : 13
O1 : [4.409439  2.5258605 4.2755206] : 59
O1 : [6.7949205 1.9874205 2.8405   ] : 46
Mo1 : [3.4277475 1.3797525 2.8405   ] : 0
Mo1 : [3.4181325 1.378791  5.681    ] : 15
O1 : [6.770883 2.017227 5.681   ] : 90
!!!atention to nb coordination!!!
         [2.771225151889684, 2.0549333570579007, 2.786699177896496, 2.7872937729911516, 2.0655680945959176, 2.0119306032117508, 2.779071802449337, 2.787090115649698, 2.015078931882445]
         [2.771225151889684, 2.0549333570579007, 2.7866991778964945, 2.787293772991152, 2.0655680945959176, 2.0119306032117503, 2.7790718024493364, 2.7870901156496983, 2.0150789318824454]

ce_symbol  = SMA:9
ce_fraction=  0.03983429208499764
species:coords:index
Mo1 : [ 3.8315775 -0.9836145  4.26075  ] : 23
O1 : [ 7.3045155 -0.398061   4.26075  ] : 75
Mo1 : [ 6.1872525 -1.3797525  2.8405   ] : 2
Mo1 : [ 6.1968675 -1.378791   5.681    ] : 13
O1 : [4.409439  2.5258605 4.2755206] : 59
O1 : [6.7949205 1.9874205 2.8405   ] : 46
Mo1 : [3.4277475 1.3797525 2.8405   ] : 0
Mo1 : [3.4181325 1.378791  5.681    ] : 15
O1 : [6.770883 2.017227 5.681   ] : 90
!!!atention to nb coordination!!!
         [2.771225151889684, 2.0549333570579007, 2.786699177896496, 2.7872937729911516, 2.0655680945959176, 2.0119306032117508, 2.779071802449337, 2.787090115649698, 2.015078931882445]
         [2.771225151889684, 2.0549333570579007, 2.7866991778964945, 2.787293772991152, 2.0655680945959176, 2.0119306032117503, 2.7790718024493364, 2.7870901156496983, 2.0150789318824454]


**isite= 22
Mo1 : [8.6313855 5.7834225 4.26075  ]

ce_symbol  = TT_1:9
ce_fraction=  0.9601657079150026
species:coords:index
Mo1 : [8.2352475 3.4277475 2.8405   ] : 1
O1 : [7.0891395 4.409439  4.2755206] : 60
Mo1 : [10.5986145  3.8315775  4.26075  ] : 20
O1 : [10.013061   7.3045155  4.26075  ] : 76
Mo1 : [8.236209  3.4181325 5.681    ] : 12
O1 : [7.597773 6.770883 5.681   ] : 91
O1 : [7.6275795 6.7949205 2.8405   ] : 47
Mo1 : [10.9947525  6.1872525  2.8405   ] : 3
Mo1 : [10.993791   6.1968675  5.681    ] : 14
!!!atention to nb coordination!!!
         [2.779071802449337, 2.065568094595917, 2.7712251518896838, 2.0549333570579003, 2.787090115649698, 2.0150789318824454, 2.0119306032117508, 2.786699177896495, 2.7872937729911507]
         [2.7790718024493364, 2.065568094595917, 2.7712251518896838, 2.054933357057899, 2.7870901156496983, 2.015078931882446, 2.0119306032117508, 2.7866991778964945, 2.787293772991151]

ce_symbol  = SMA:9
ce_fraction=  0.03983429208499756
species:coords:index
Mo1 : [8.2352475 3.4277475 2.8405   ] : 1
O1 : [7.0891395 4.409439  4.2755206] : 60
Mo1 : [10.5986145  3.8315775  4.26075  ] : 20
O1 : [10.013061   7.3045155  4.26075  ] : 76
Mo1 : [8.236209  3.4181325 5.681    ] : 12
O1 : [7.597773 6.770883 5.681   ] : 91
O1 : [7.6275795 6.7949205 2.8405   ] : 47
Mo1 : [10.9947525  6.1872525  2.8405   ] : 3
Mo1 : [10.993791   6.1968675  5.681    ] : 14
!!!atention to nb coordination!!!
         [2.779071802449337, 2.065568094595917, 2.7712251518896838, 2.0549333570579003, 2.787090115649698, 2.0150789318824454, 2.0119306032117508, 2.786699177896495, 2.7872937729911507]
         [2.7790718024493364, 2.065568094595917, 2.7712251518896838, 2.054933357057899, 2.7870901156496983, 2.015078931882446, 2.0119306032117508, 2.7866991778964945, 2.787293772991151]


**isite= 23
Mo1 : [3.8315775 8.6313855 4.26075  ]

ce_symbol  = TT_1:9
ce_fraction=  0.9601657079150027
species:coords:index
Mo1 : [ 5.7834225 10.5986145  4.26075  ] : 21
O1 : [ 2.3104845 10.013061   4.26075  ] : 77
Mo1 : [ 3.4277475 10.9947525  2.8405   ] : 0
Mo1 : [ 3.4181325 10.993791   5.681    ] : 15
O1 : [2.8200795 7.6275795 2.8405   ] : 48
Mo1 : [6.1872525 8.2352475 2.8405   ] : 2
Mo1 : [6.1968675 8.236209  5.681    ] : 13
O1 : [2.844117 7.597773 5.681   ] : 92
O1 : [5.205561  7.0891395 4.2755206] : 61
!!!atention to nb coordination!!!
         [2.7712251518896838, 2.0549333570578994, 2.7866991778964953, 2.7872937729911507, 2.0119306032117508, 2.779071802449336, 2.787090115649698, 2.0150789318824454, 2.0655680945959185]
         [2.7712251518896838, 2.0549333570578985, 2.786699177896495, 2.787293772991151, 2.0119306032117508, 2.7790718024493355, 2.7870901156496983, 2.0150789318824462, 2.0655680945959185]

ce_symbol  = SMA:9
ce_fraction=  0.039834292084997364
species:coords:index
Mo1 : [ 5.7834225 10.5986145  4.26075  ] : 21
O1 : [ 2.3104845 10.013061   4.26075  ] : 77
Mo1 : [ 3.4277475 10.9947525  2.8405   ] : 0
Mo1 : [ 3.4181325 10.993791   5.681    ] : 15
O1 : [2.8200795 7.6275795 2.8405   ] : 48
Mo1 : [6.1872525 8.2352475 2.8405   ] : 2
Mo1 : [6.1968675 8.236209  5.681    ] : 13
O1 : [2.844117 7.597773 5.681   ] : 92
O1 : [5.205561  7.0891395 4.2755206] : 61
!!!atention to nb coordination!!!
         [2.7712251518896838, 2.0549333570578994, 2.7866991778964953, 2.7872937729911507, 2.0119306032117508, 2.779071802449336, 2.787090115649698, 2.0150789318824454, 2.0655680945959185]
         [2.7712251518896838, 2.0549333570578985, 2.786699177896495, 2.787293772991151, 2.0119306032117508, 2.7790718024493355, 2.7870901156496983, 2.0150789318824462, 2.0655680945959185]


**isite= 24
Mo1 : [3.8238855 8.6390775 9.94175  ]

ce_symbol  = TT_1:9
ce_fraction=  0.9601657079150023
species:coords:index
Mo1 : [ 3.428709  11.0043675 11.362    ] : 8
O1 : [ 2.790273  7.651617 11.362   ] : 89
O1 : [ 2.2816395 10.013061   9.9565206] : 62
Mo1 : [6.1872525 8.2352475 8.5215   ] : 4
O1 : [2.8200795 7.6275795 8.5215   ] : 50
Mo1 : [ 6.186291   8.2256325 11.362    ] : 10
Mo1 : [ 5.7911145 10.5909225  9.94175  ] : 26
Mo1 : [ 3.4277475 10.9947525  8.5215   ] : 6
O1 : [5.205561  7.1179845 9.94175  ] : 78
!!!atention to nb coordination!!!
         [2.7870901156496997, 2.0150789318824454, 2.0655680945959194, 2.786699177896494, 2.011930603211751, 2.78729377299115, 2.7712251518896833, 2.7790718024493377, 2.0549333570578994]
         [2.7870901156496997, 2.015078931882445, 2.065568094595918, 2.786699177896494, 2.011930603211751, 2.7872937729911507, 2.7712251518896833, 2.7790718024493377, 2.0549333570578994]

ce_symbol  = SMA:9
ce_fraction=  0.03983429208499761
species:coords:index
Mo1 : [ 3.428709  11.0043675 11.362    ] : 8
O1 : [ 2.790273  7.651617 11.362   ] : 89
O1 : [ 2.2816395 10.013061   9.9565206] : 62
Mo1 : [6.1872525 8.2352475 8.5215   ] : 4
O1 : [2.8200795 7.6275795 8.5215   ] : 50
Mo1 : [ 6.186291   8.2256325 11.362    ] : 10
Mo1 : [ 5.7911145 10.5909225  9.94175  ] : 26
Mo1 : [ 3.4277475 10.9947525  8.5215   ] : 6
O1 : [5.205561  7.1179845 9.94175  ] : 78
!!!atention to nb coordination!!!
         [2.7870901156496997, 2.0150789318824454, 2.0655680945959194, 2.786699177896494, 2.011930603211751, 2.78729377299115, 2.7712251518896833, 2.7790718024493377, 2.0549333570578994]
         [2.7870901156496997, 2.015078931882445, 2.065568094595918, 2.786699177896494, 2.011930603211751, 2.7872937729911507, 2.7712251518896833, 2.7790718024493377, 2.0549333570578994]


**isite= 25
Mo1 : [0.9759225 3.8238855 9.94175  ]

ce_symbol  = TT_1:9
ce_fraction=  0.9601657079150024
species:coords:index
Mo1 : [1.3797525 6.1872525 8.5215   ] : 5
O1 : [2.4970155 5.205561  9.94175  ] : 79
Mo1 : [-1.3797525  3.4277475  8.5215   ] : 7
O1 : [-0.398061   2.2816395  9.9565206] : 63
O1 : [1.9874205 2.8200795 8.5215   ] : 51
Mo1 : [-0.9759225  5.7911145  9.94175  ] : 27
Mo1 : [ 1.3893675  6.186291  11.362    ] : 11
O1 : [ 1.963383  2.790273 11.362   ] : 86
Mo1 : [-1.3893675  3.428709  11.362    ] : 9
!!!atention to nb coordination!!!
         [2.7866991778964945, 2.0549333570578994, 2.7790718024493373, 2.065568094595919, 2.011930603211752, 2.771225151889684, 2.78729377299115, 2.015078931882446, 2.7870901156496988]
         [2.7866991778964945, 2.0549333570578994, 2.7790718024493364, 2.0655680945959185, 2.011930603211752, 2.7712251518896833, 2.7872937729911507, 2.015078931882446, 2.7870901156496983]

ce_symbol  = SMA:9
ce_fraction=  0.039834292084997565
species:coords:index
Mo1 : [1.3797525 6.1872525 8.5215   ] : 5
O1 : [2.4970155 5.205561  9.94175  ] : 79
Mo1 : [-1.3797525  3.4277475  8.5215   ] : 7
O1 : [-0.398061   2.2816395  9.9565206] : 63
O1 : [1.9874205 2.8200795 8.5215   ] : 51
Mo1 : [-0.9759225  5.7911145  9.94175  ] : 27
Mo1 : [ 1.3893675  6.186291  11.362    ] : 11
O1 : [ 1.963383  2.790273 11.362   ] : 86
Mo1 : [-1.3893675  3.428709  11.362    ] : 9
!!!atention to nb coordination!!!
         [2.7866991778964945, 2.0549333570578994, 2.7790718024493373, 2.065568094595919, 2.011930603211752, 2.771225151889684, 2.78729377299115, 2.015078931882446, 2.7870901156496988]
         [2.7866991778964945, 2.0549333570578994, 2.7790718024493364, 2.0655680945959185, 2.011930603211752, 2.7712251518896833, 2.7872937729911507, 2.015078931882446, 2.7870901156496983]


**isite= 26
Mo1 : [5.7911145 0.9759225 9.94175  ]

ce_symbol  = TT_1:9
ce_fraction=  0.9601657079150026
species:coords:index
Mo1 : [ 6.186291  -1.3893675 11.362    ] : 10
O1 : [4.409439  2.4970155 9.94175  ] : 80
Mo1 : [ 3.428709   1.3893675 11.362    ] : 8
Mo1 : [ 3.8238855 -0.9759225  9.94175  ] : 24
O1 : [ 7.3333605 -0.398061   9.9565206] : 64
O1 : [ 6.824727  1.963383 11.362   ] : 87
Mo1 : [ 6.1872525 -1.3797525  8.5215   ] : 4
O1 : [6.7949205 1.9874205 8.5215   ] : 52
Mo1 : [3.4277475 1.3797525 8.5215   ] : 6
!!!atention to nb coordination!!!
         [2.7870901156496988, 2.0549333570578994, 2.787293772991151, 2.771225151889684, 2.0655680945959185, 2.0150789318824454, 2.779071802449337, 2.0119306032117517, 2.786699177896496]
         [2.787090115649698, 2.0549333570578994, 2.787293772991151, 2.7712251518896833, 2.065568094595918, 2.015078931882446, 2.779071802449336, 2.0119306032117517, 2.7866991778964953]

ce_symbol  = SMA:9
ce_fraction=  0.03983429208499748
species:coords:index
Mo1 : [ 6.186291  -1.3893675 11.362    ] : 10
O1 : [4.409439  2.4970155 9.94175  ] : 80
Mo1 : [ 3.428709   1.3893675 11.362    ] : 8
Mo1 : [ 3.8238855 -0.9759225  9.94175  ] : 24
O1 : [ 7.3333605 -0.398061   9.9565206] : 64
O1 : [ 6.824727  1.963383 11.362   ] : 87
Mo1 : [ 6.1872525 -1.3797525  8.5215   ] : 4
O1 : [6.7949205 1.9874205 8.5215   ] : 52
Mo1 : [3.4277475 1.3797525 8.5215   ] : 6
!!!atention to nb coordination!!!
         [2.7870901156496988, 2.0549333570578994, 2.787293772991151, 2.771225151889684, 2.0655680945959185, 2.0150789318824454, 2.779071802449337, 2.0119306032117517, 2.786699177896496]
         [2.787090115649698, 2.0549333570578994, 2.787293772991151, 2.7712251518896833, 2.065568094595918, 2.015078931882446, 2.779071802449336, 2.0119306032117517, 2.7866991778964953]


**isite= 27
Mo1 : [8.6390775 5.7911145 9.94175  ]

ce_symbol  = TT_1:9
ce_fraction=  0.9601657079150027
species:coords:index
Mo1 : [10.5909225  3.8238855  9.94175  ] : 25
O1 : [7.1179845 4.409439  9.94175  ] : 81
Mo1 : [8.2352475 3.4277475 8.5215   ] : 7
O1 : [7.6275795 6.7949205 8.5215   ] : 53
O1 : [10.013061   7.3333605  9.9565206] : 65
Mo1 : [10.9947525  6.1872525  8.5215   ] : 5
O1 : [ 7.651617  6.824727 11.362   ] : 88
Mo1 : [ 8.2256325  3.428709  11.362    ] : 9
Mo1 : [11.0043675  6.186291  11.362    ] : 11
!!!atention to nb coordination!!!
         [2.7712251518896833, 2.0549333570578994, 2.786699177896496, 2.011930603211751, 2.065568094595919, 2.7790718024493377, 2.015078931882445, 2.787293772991151, 2.7870901156496997]
         [2.7712251518896833, 2.0549333570578994, 2.7866991778964953, 2.011930603211751, 2.0655680945959176, 2.7790718024493377, 2.015078931882445, 2.787293772991151, 2.7870901156496997]

ce_symbol  = SMA:9
ce_fraction=  0.039834292084997364
species:coords:index
Mo1 : [10.5909225  3.8238855  9.94175  ] : 25
O1 : [7.1179845 4.409439  9.94175  ] : 81
Mo1 : [8.2352475 3.4277475 8.5215   ] : 7
O1 : [7.6275795 6.7949205 8.5215   ] : 53
O1 : [10.013061   7.3333605  9.9565206] : 65
Mo1 : [10.9947525  6.1872525  8.5215   ] : 5
O1 : [ 7.651617  6.824727 11.362   ] : 88
Mo1 : [ 8.2256325  3.428709  11.362    ] : 9
Mo1 : [11.0043675  6.186291  11.362    ] : 11
!!!atention to nb coordination!!!
         [2.7712251518896833, 2.0549333570578994, 2.786699177896496, 2.011930603211751, 2.065568094595919, 2.7790718024493377, 2.015078931882445, 2.787293772991151, 2.7870901156496997]
         [2.7712251518896833, 2.0549333570578994, 2.7866991778964953, 2.011930603211751, 2.0655680945959176, 2.7790718024493377, 2.015078931882445, 2.787293772991151, 2.7870901156496997]


**isite= 28
Mo1 : [8.6313855 5.7834225 7.10125  ]

ce_symbol  = TT_1:9
ce_fraction=  0.9601657079150024
species:coords:index
Mo1 : [10.9947525  6.1872525  8.5215   ] : 5
O1 : [7.6275795 6.7949205 8.5215   ] : 53
Mo1 : [10.993791   6.1968675  5.681    ] : 14
Mo1 : [8.236209  3.4181325 5.681    ] : 12
O1 : [7.597773 6.770883 5.681   ] : 91
O1 : [7.0891395 4.409439  7.0864794] : 66
O1 : [10.013061   7.3045155  7.10125  ] : 82
Mo1 : [8.2352475 3.4277475 8.5215   ] : 7
Mo1 : [10.5986145  3.8315775  7.10125  ] : 30
!!!atention to nb coordination!!!
         [2.7866991778964945, 2.0119306032117503, 2.7872937729911516, 2.7870901156496988, 2.0150789318824467, 2.065568094595917, 2.0549333570579003, 2.7790718024493364, 2.7712251518896838]
         [2.7866991778964945, 2.0119306032117503, 2.787293772991151, 2.7870901156496983, 2.015078931882446, 2.065568094595917, 2.054933357057899, 2.7790718024493364, 2.7712251518896838]

ce_symbol  = SMA:9
ce_fraction=  0.039834292084997516
species:coords:index
Mo1 : [10.9947525  6.1872525  8.5215   ] : 5
O1 : [7.6275795 6.7949205 8.5215   ] : 53
Mo1 : [10.993791   6.1968675  5.681    ] : 14
Mo1 : [8.236209  3.4181325 5.681    ] : 12
O1 : [7.597773 6.770883 5.681   ] : 91
O1 : [7.0891395 4.409439  7.0864794] : 66
O1 : [10.013061   7.3045155  7.10125  ] : 82
