cif name= ./1008055.cif
./1008055.cif
Full Formula (Rb8 Eu24 F80)
Eu3+1 : [0.        5.922     8.7621912]

ce_symbol  = SA:8
ce_fraction=  0.9532406015807068
species:coords:index
F-1 : [-1.3111308  4.6108692  7.2331308] : 95
F-1 : [1.3111308 4.6108692 7.2331308] : 38
F-1 : [-1.3111308  7.2331308  7.2331308] : 97
F-1 : [1.3111308 7.2331308 7.2331308] : 32
F-1 : [0.        3.9630024 9.8850024] : 63
F-1 : [-1.9589976  5.922      9.8850024] : 108
F-1 : [1.9589976 5.922     9.8850024] : 65
F-1 : [0.        7.8809976 9.8850024] : 66
!!!atention to nb coordination!!!
         [2.403362988869021, 2.4033629888690218, 2.4033629888690213, 2.403362988869022, 2.2579584999842677, 2.257958499984267, 2.2579584999842686, 2.2579584999842695]
         [2.403362988869022, 2.403362988869022, 2.403362988869022, 2.403362988869022, 2.2579584999842672, 2.2579584999842672, 2.2579584999842677, 2.2579584999842672]

ce_symbol  = SBT:8
ce_fraction=  0.04662141545619861
species:coords:index
F-1 : [-1.3111308  4.6108692  7.2331308] : 95
F-1 : [1.3111308 4.6108692 7.2331308] : 38
F-1 : [-1.3111308  7.2331308  7.2331308] : 97
F-1 : [1.3111308 7.2331308 7.2331308] : 32
F-1 : [0.        3.9630024 9.8850024] : 63
F-1 : [-1.9589976  5.922      9.8850024] : 108
F-1 : [1.9589976 5.922     9.8850024] : 65
F-1 : [0.        7.8809976 9.8850024] : 66
!!!atention to nb coordination!!!
         [2.403362988869021, 2.4033629888690218, 2.4033629888690213, 2.403362988869022, 2.2579584999842677, 2.257958499984267, 2.2579584999842686, 2.2579584999842695]
         [2.403362988869022, 2.403362988869022, 2.403362988869022, 2.403362988869022, 2.2579584999842672, 2.2579584999842672, 2.2579584999842677, 2.2579584999842672]

ce_symbol  = BO_3:8
ce_fraction=  0.00013798296309470027
species:coords:index
F-1 : [-1.3111308  4.6108692  7.2331308] : 95
F-1 : [1.3111308 4.6108692 7.2331308] : 38
F-1 : [-1.3111308  7.2331308  7.2331308] : 97
F-1 : [1.3111308 7.2331308 7.2331308] : 32
F-1 : [0.        3.9630024 9.8850024] : 63
F-1 : [-1.9589976  5.922      9.8850024] : 108
F-1 : [1.9589976 5.922     9.8850024] : 65
F-1 : [0.        7.8809976 9.8850024] : 66
!!!atention to nb coordination!!!
         [2.403362988869021, 2.4033629888690218, 2.4033629888690213, 2.403362988869022, 2.2579584999842677, 2.257958499984267, 2.2579584999842686, 2.2579584999842695]
         [2.403362988869022, 2.403362988869022, 2.403362988869022, 2.403362988869022, 2.2579584999842672, 2.2579584999842672, 2.2579584999842677, 2.2579584999842672]


**isite= 16
Eu3+1 : [0.        2.8401912 0.       ]

ce_symbol  = SA:8
ce_fraction=  0.9532406015807068
species:coords:index
F-1 : [ 0.         3.9630024 -1.9589976] : 63
F-1 : [0.        3.9630024 1.9589976] : 69
F-1 : [1.9589976 3.9630024 0.       ] : 64
F-1 : [-1.9589976  3.9630024  0.       ] : 110
F-1 : [-1.3111308  1.3111308  1.3111308] : 77
F-1 : [-1.3111308  1.3111308 -1.3111308] : 94
F-1 : [ 1.3111308  1.3111308 -1.3111308] : 39
F-1 : [1.3111308 1.3111308 1.3111308] : 52
!!!atention to nb coordination!!!
         [2.257958499984267, 2.2579584999842686, 2.257958499984269, 2.257958499984267, 2.4033629888690204, 2.4033629888690196, 2.4033629888690204, 2.403362988869021]
         [2.257958499984268, 2.257958499984268, 2.2579584999842686, 2.257958499984268, 2.403362988869021, 2.403362988869021, 2.403362988869021, 2.403362988869021]

ce_symbol  = SBT:8
ce_fraction=  0.046621415456198634
species:coords:index
F-1 : [ 0.         3.9630024 -1.9589976] : 63
F-1 : [0.        3.9630024 1.9589976] : 69
F-1 : [1.9589976 3.9630024 0.       ] : 64
F-1 : [-1.9589976  3.9630024  0.       ] : 110
F-1 : [-1.3111308  1.3111308  1.3111308] : 77
F-1 : [-1.3111308  1.3111308 -1.3111308] : 94
F-1 : [ 1.3111308  1.3111308 -1.3111308] : 39
F-1 : [1.3111308 1.3111308 1.3111308] : 52
!!!atention to nb coordination!!!
         [2.257958499984267, 2.2579584999842686, 2.257958499984269, 2.257958499984267, 2.4033629888690204, 2.4033629888690196, 2.4033629888690204, 2.403362988869021]
         [2.257958499984268, 2.257958499984268, 2.2579584999842686, 2.257958499984268, 2.403362988869021, 2.403362988869021, 2.403362988869021, 2.403362988869021]

ce_symbol  = BO_3:8
ce_fraction=  0.0001379829630947029
species:coords:index
F-1 : [ 0.         3.9630024 -1.9589976] : 63
F-1 : [0.        3.9630024 1.9589976] : 69
F-1 : [1.9589976 3.9630024 0.       ] : 64
F-1 : [-1.9589976  3.9630024  0.       ] : 110
F-1 : [-1.3111308  1.3111308  1.3111308] : 77
F-1 : [-1.3111308  1.3111308 -1.3111308] : 94
F-1 : [ 1.3111308  1.3111308 -1.3111308] : 39
F-1 : [1.3111308 1.3111308 1.3111308] : 52
!!!atention to nb coordination!!!
         [2.257958499984267, 2.2579584999842686, 2.257958499984269, 2.257958499984267, 2.4033629888690204, 2.4033629888690196, 2.4033629888690204, 2.403362988869021]
         [2.257958499984268, 2.257958499984268, 2.2579584999842686, 2.257958499984268, 2.403362988869021, 2.403362988869021, 2.403362988869021, 2.403362988869021]


**isite= 17
Eu3+1 : [0.        5.922     3.0818088]

ce_symbol  = SA:8
ce_fraction=  0.9532406015807069
species:coords:index
F-1 : [0.        7.8809976 1.9589976] : 60
F-1 : [-1.3111308  7.2331308  4.6108692] : 74
F-1 : [1.3111308 7.2331308 4.6108692] : 59
F-1 : [-1.3111308  4.6108692  4.6108692] : 76
F-1 : [-1.9589976  5.922      1.9589976] : 111
F-1 : [1.3111308 4.6108692 4.6108692] : 53
F-1 : [1.9589976 5.922     1.9589976] : 62
F-1 : [0.        3.9630024 1.9589976] : 69
!!!atention to nb coordination!!!
         [2.2579584999842695, 2.403362988869021, 2.4033629888690218, 2.4033629888690204, 2.2579584999842663, 2.4033629888690213, 2.2579584999842686, 2.2579584999842677]
         [2.257958499984268, 2.403362988869021, 2.403362988869021, 2.403362988869021, 2.2579584999842677, 2.403362988869021, 2.2579584999842686, 2.257958499984268]

ce_symbol  = SBT:8
ce_fraction=  0.04662141545619851
species:coords:index
F-1 : [0.        7.8809976 1.9589976] : 60
F-1 : [-1.3111308  7.2331308  4.6108692] : 74
F-1 : [1.3111308 7.2331308 4.6108692] : 59
F-1 : [-1.3111308  4.6108692  4.6108692] : 76
F-1 : [-1.9589976  5.922      1.9589976] : 111
F-1 : [1.3111308 4.6108692 4.6108692] : 53
F-1 : [1.9589976 5.922     1.9589976] : 62
F-1 : [0.        3.9630024 1.9589976] : 69
!!!atention to nb coordination!!!
         [2.2579584999842695, 2.403362988869021, 2.4033629888690218, 2.4033629888690204, 2.2579584999842663, 2.4033629888690213, 2.2579584999842686, 2.2579584999842677]
         [2.257958499984268, 2.403362988869021, 2.403362988869021, 2.403362988869021, 2.2579584999842677, 2.403362988869021, 2.2579584999842686, 2.257958499984268]

ce_symbol  = BO_3:8
ce_fraction=  0.00013798296309470125
species:coords:index
F-1 : [0.        7.8809976 1.9589976] : 60
F-1 : [-1.3111308  7.2331308  4.6108692] : 74
F-1 : [1.3111308 7.2331308 4.6108692] : 59
F-1 : [-1.3111308  4.6108692  4.6108692] : 76
F-1 : [-1.9589976  5.922      1.9589976] : 111
F-1 : [1.3111308 4.6108692 4.6108692] : 53
F-1 : [1.9589976 5.922     1.9589976] : 62
F-1 : [0.        3.9630024 1.9589976] : 69
!!!atention to nb coordination!!!
         [2.2579584999842695, 2.403362988869021, 2.4033629888690218, 2.4033629888690204, 2.2579584999842663, 2.4033629888690213, 2.2579584999842686, 2.2579584999842677]
         [2.257958499984268, 2.403362988869021, 2.403362988869021, 2.403362988869021, 2.2579584999842677, 2.403362988869021, 2.2579584999842686, 2.257958499984268]


**isite= 18
Eu3+1 : [0.        9.0038088 0.       ]

ce_symbol  = SA:8
ce_fraction=  0.9532406015807066
species:coords:index
F-1 : [-1.9589976  7.8809976  0.       ] : 107
F-1 : [ 0.         7.8809976 -1.9589976] : 66
F-1 : [-1.3111308 10.5328692 -1.3111308] : 96
F-1 : [ 1.3111308 10.5328692 -1.3111308] : 33
F-1 : [ 1.3111308 10.5328692  1.3111308] : 58
F-1 : [-1.3111308 10.5328692  1.3111308] : 75
F-1 : [0.        7.8809976 1.9589976] : 60
F-1 : [1.9589976 7.8809976 0.       ] : 61
!!!atention to nb coordination!!!
         [2.257958499984265, 2.2579584999842646, 2.4033629888690213, 2.4033629888690227, 2.403362988869023, 2.403362988869022, 2.2579584999842663, 2.257958499984267]
         [2.2579584999842672, 2.2579584999842672, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218, 2.2579584999842672, 2.2579584999842677]

ce_symbol  = SBT:8
ce_fraction=  0.04662141545619881
species:coords:index
F-1 : [-1.9589976  7.8809976  0.       ] : 107
F-1 : [ 0.         7.8809976 -1.9589976] : 66
F-1 : [-1.3111308 10.5328692 -1.3111308] : 96
F-1 : [ 1.3111308 10.5328692 -1.3111308] : 33
F-1 : [ 1.3111308 10.5328692  1.3111308] : 58
F-1 : [-1.3111308 10.5328692  1.3111308] : 75
F-1 : [0.        7.8809976 1.9589976] : 60
F-1 : [1.9589976 7.8809976 0.       ] : 61
!!!atention to nb coordination!!!
         [2.257958499984265, 2.2579584999842646, 2.4033629888690213, 2.4033629888690227, 2.403362988869023, 2.403362988869022, 2.2579584999842663, 2.257958499984267]
         [2.2579584999842672, 2.2579584999842672, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218, 2.2579584999842672, 2.2579584999842677]

ce_symbol  = BO_3:8
ce_fraction=  0.00013798296309470195
species:coords:index
F-1 : [-1.9589976  7.8809976  0.       ] : 107
F-1 : [ 0.         7.8809976 -1.9589976] : 66
F-1 : [-1.3111308 10.5328692 -1.3111308] : 96
F-1 : [ 1.3111308 10.5328692 -1.3111308] : 33
F-1 : [ 1.3111308 10.5328692  1.3111308] : 58
F-1 : [-1.3111308 10.5328692  1.3111308] : 75
F-1 : [0.        7.8809976 1.9589976] : 60
F-1 : [1.9589976 7.8809976 0.       ] : 61
!!!atention to nb coordination!!!
         [2.257958499984265, 2.2579584999842646, 2.4033629888690213, 2.4033629888690227, 2.403362988869023, 2.403362988869022, 2.2579584999842663, 2.257958499984267]
         [2.2579584999842672, 2.2579584999842672, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218, 2.2579584999842672, 2.2579584999842677]


**isite= 19
Eu3+1 : [3.0818088 5.922     0.       ]

ce_symbol  = SA:8
ce_fraction=  0.9532406015807069
species:coords:index
F-1 : [ 4.6108692  7.2331308 -1.3111308] : 34
F-1 : [4.6108692 7.2331308 1.3111308] : 57
F-1 : [1.9589976 3.9630024 0.       ] : 64
F-1 : [1.9589976 5.922     1.9589976] : 62
F-1 : [4.6108692 4.6108692 1.3111308] : 55
F-1 : [ 1.9589976  5.922     -1.9589976] : 65
F-1 : [ 4.6108692  4.6108692 -1.3111308] : 36
F-1 : [1.9589976 7.8809976 0.       ] : 61
!!!atention to nb coordination!!!
         [2.4033629888690213, 2.403362988869022, 2.257958499984267, 2.2579584999842672, 2.4033629888690218, 2.2579584999842655, 2.4033629888690213, 2.2579584999842686]
         [2.4033629888690218, 2.4033629888690218, 2.2579584999842672, 2.2579584999842672, 2.4033629888690218, 2.2579584999842672, 2.4033629888690218, 2.2579584999842672]

ce_symbol  = SBT:8
ce_fraction=  0.04662141545619851
species:coords:index
F-1 : [ 4.6108692  7.2331308 -1.3111308] : 34
F-1 : [4.6108692 7.2331308 1.3111308] : 57
F-1 : [1.9589976 3.9630024 0.       ] : 64
F-1 : [1.9589976 5.922     1.9589976] : 62
F-1 : [4.6108692 4.6108692 1.3111308] : 55
F-1 : [ 1.9589976  5.922     -1.9589976] : 65
F-1 : [ 4.6108692  4.6108692 -1.3111308] : 36
F-1 : [1.9589976 7.8809976 0.       ] : 61
!!!atention to nb coordination!!!
         [2.4033629888690213, 2.403362988869022, 2.257958499984267, 2.2579584999842672, 2.4033629888690218, 2.2579584999842655, 2.4033629888690213, 2.2579584999842686]
         [2.4033629888690218, 2.4033629888690218, 2.2579584999842672, 2.2579584999842672, 2.4033629888690218, 2.2579584999842672, 2.4033629888690218, 2.2579584999842672]

ce_symbol  = BO_3:8
ce_fraction=  0.0001379829630947007
species:coords:index
F-1 : [ 4.6108692  7.2331308 -1.3111308] : 34
F-1 : [4.6108692 7.2331308 1.3111308] : 57
F-1 : [1.9589976 3.9630024 0.       ] : 64
F-1 : [1.9589976 5.922     1.9589976] : 62
F-1 : [4.6108692 4.6108692 1.3111308] : 55
F-1 : [ 1.9589976  5.922     -1.9589976] : 65
F-1 : [ 4.6108692  4.6108692 -1.3111308] : 36
F-1 : [1.9589976 7.8809976 0.       ] : 61
!!!atention to nb coordination!!!
         [2.4033629888690213, 2.403362988869022, 2.257958499984267, 2.2579584999842672, 2.4033629888690218, 2.2579584999842655, 2.4033629888690213, 2.2579584999842686]
         [2.4033629888690218, 2.4033629888690218, 2.2579584999842672, 2.2579584999842672, 2.4033629888690218, 2.2579584999842672, 2.4033629888690218, 2.2579584999842672]


**isite= 20
Eu3+1 : [8.7621912 0.        5.922    ]

ce_symbol  = SA:8
ce_fraction=  0.9532406015807067
species:coords:index
F-1 : [ 9.8850024 -1.9589976  5.922    ] : 90
F-1 : [7.2331308 1.3111308 4.6108692] : 79
F-1 : [7.2331308 1.3111308 7.2331308] : 92
F-1 : [ 7.2331308 -1.3111308  4.6108692] : 73
F-1 : [9.8850024 0.        3.9630024] : 88
F-1 : [9.8850024 0.        7.8809976] : 91
F-1 : [9.8850024 1.9589976 5.922    ] : 87
F-1 : [ 7.2331308 -1.3111308  7.2331308] : 98
!!!atention to nb coordination!!!
         [2.2579584999842663, 2.4033629888690213, 2.403362988869022, 2.403362988869021, 2.2579584999842677, 2.2579584999842695, 2.2579584999842686, 2.4033629888690213]
         [2.2579584999842672, 2.403362988869022, 2.403362988869022, 2.403362988869022, 2.2579584999842672, 2.2579584999842672, 2.2579584999842677, 2.403362988869022]

ce_symbol  = SBT:8
ce_fraction=  0.04662141545619877
species:coords:index
F-1 : [ 9.8850024 -1.9589976  5.922    ] : 90
F-1 : [7.2331308 1.3111308 4.6108692] : 79
F-1 : [7.2331308 1.3111308 7.2331308] : 92
F-1 : [ 7.2331308 -1.3111308  4.6108692] : 73
F-1 : [9.8850024 0.        3.9630024] : 88
F-1 : [9.8850024 0.        7.8809976] : 91
F-1 : [9.8850024 1.9589976 5.922    ] : 87
F-1 : [ 7.2331308 -1.3111308  7.2331308] : 98
!!!atention to nb coordination!!!
         [2.2579584999842663, 2.4033629888690213, 2.403362988869022, 2.403362988869021, 2.2579584999842677, 2.2579584999842695, 2.2579584999842686, 2.4033629888690213]
         [2.2579584999842672, 2.403362988869022, 2.403362988869022, 2.403362988869022, 2.2579584999842672, 2.2579584999842672, 2.2579584999842677, 2.403362988869022]

ce_symbol  = BO_3:8
ce_fraction=  0.00013798296309470043
species:coords:index
F-1 : [ 9.8850024 -1.9589976  5.922    ] : 90
F-1 : [7.2331308 1.3111308 4.6108692] : 79
F-1 : [7.2331308 1.3111308 7.2331308] : 92
F-1 : [ 7.2331308 -1.3111308  4.6108692] : 73
F-1 : [9.8850024 0.        3.9630024] : 88
F-1 : [9.8850024 0.        7.8809976] : 91
F-1 : [9.8850024 1.9589976 5.922    ] : 87
F-1 : [ 7.2331308 -1.3111308  7.2331308] : 98
!!!atention to nb coordination!!!
         [2.2579584999842663, 2.4033629888690213, 2.403362988869022, 2.403362988869021, 2.2579584999842677, 2.2579584999842695, 2.2579584999842686, 2.4033629888690213]
         [2.2579584999842672, 2.403362988869022, 2.403362988869022, 2.403362988869022, 2.2579584999842672, 2.2579584999842672, 2.2579584999842677, 2.403362988869022]


**isite= 21
Eu3+1 : [5.922     0.        8.7621912]

ce_symbol  = SA:8
ce_fraction=  0.9532406015807067
species:coords:index
F-1 : [5.922     1.9589976 9.8850024] : 86
F-1 : [7.2331308 1.3111308 7.2331308] : 92
F-1 : [7.8809976 0.        9.8850024] : 85
F-1 : [ 5.922     -1.9589976  9.8850024] : 83
F-1 : [3.9630024 0.        9.8850024] : 48
F-1 : [4.6108692 1.3111308 7.2331308] : 37
F-1 : [ 7.2331308 -1.3111308  7.2331308] : 98
F-1 : [ 4.6108692 -1.3111308  7.2331308] : 35
!!!atention to nb coordination!!!
         [2.2579584999842686, 2.403362988869022, 2.2579584999842695, 2.257958499984267, 2.2579584999842677, 2.4033629888690218, 2.4033629888690213, 2.403362988869021]
         [2.2579584999842677, 2.403362988869022, 2.2579584999842672, 2.2579584999842672, 2.2579584999842672, 2.403362988869022, 2.403362988869022, 2.403362988869022]

ce_symbol  = SBT:8
ce_fraction=  0.046621415456198675
species:coords:index
F-1 : [5.922     1.9589976 9.8850024] : 86
F-1 : [7.2331308 1.3111308 7.2331308] : 92
F-1 : [7.8809976 0.        9.8850024] : 85
F-1 : [ 5.922     -1.9589976  9.8850024] : 83
F-1 : [3.9630024 0.        9.8850024] : 48
F-1 : [4.6108692 1.3111308 7.2331308] : 37
F-1 : [ 7.2331308 -1.3111308  7.2331308] : 98
F-1 : [ 4.6108692 -1.3111308  7.2331308] : 35
!!!atention to nb coordination!!!
         [2.2579584999842686, 2.403362988869022, 2.2579584999842695, 2.257958499984267, 2.2579584999842677, 2.4033629888690218, 2.4033629888690213, 2.403362988869021]
         [2.2579584999842677, 2.403362988869022, 2.2579584999842672, 2.2579584999842672, 2.2579584999842672, 2.403362988869022, 2.403362988869022, 2.403362988869022]

ce_symbol  = BO_3:8
ce_fraction=  0.00013798296309470268
species:coords:index
F-1 : [5.922     1.9589976 9.8850024] : 86
F-1 : [7.2331308 1.3111308 7.2331308] : 92
F-1 : [7.8809976 0.        9.8850024] : 85
F-1 : [ 5.922     -1.9589976  9.8850024] : 83
F-1 : [3.9630024 0.        9.8850024] : 48
F-1 : [4.6108692 1.3111308 7.2331308] : 37
F-1 : [ 7.2331308 -1.3111308  7.2331308] : 98
F-1 : [ 4.6108692 -1.3111308  7.2331308] : 35
!!!atention to nb coordination!!!
         [2.2579584999842686, 2.403362988869022, 2.2579584999842695, 2.257958499984267, 2.2579584999842677, 2.4033629888690218, 2.4033629888690213, 2.403362988869021]
         [2.2579584999842677, 2.403362988869022, 2.2579584999842672, 2.2579584999842672, 2.2579584999842672, 2.403362988869022, 2.403362988869022, 2.403362988869022]


**isite= 22
Eu3+1 : [5.922     8.7621912 0.       ]

ce_symbol  = SA:8
ce_fraction=  0.9532406015807069
species:coords:index
F-1 : [ 7.2331308  7.2331308 -1.3111308] : 99
F-1 : [7.8809976 9.8850024 0.       ] : 84
F-1 : [3.9630024 9.8850024 0.       ] : 50
F-1 : [ 5.922      9.8850024 -1.9589976] : 83
F-1 : [5.922     9.8850024 1.9589976] : 89
F-1 : [4.6108692 7.2331308 1.3111308] : 57
F-1 : [7.2331308 7.2331308 1.3111308] : 72
F-1 : [ 4.6108692  7.2331308 -1.3111308] : 34
!!!atention to nb coordination!!!
         [2.4033629888690213, 2.2579584999842695, 2.2579584999842677, 2.2579584999842663, 2.257958499984268, 2.4033629888690213, 2.403362988869022, 2.403362988869021]
         [2.403362988869022, 2.2579584999842672, 2.2579584999842672, 2.2579584999842672, 2.2579584999842672, 2.403362988869022, 2.403362988869022, 2.403362988869022]

ce_symbol  = SBT:8
ce_fraction=  0.04662141545619853
species:coords:index
F-1 : [ 7.2331308  7.2331308 -1.3111308] : 99
F-1 : [7.8809976 9.8850024 0.       ] : 84
F-1 : [3.9630024 9.8850024 0.       ] : 50
F-1 : [ 5.922      9.8850024 -1.9589976] : 83
F-1 : [5.922     9.8850024 1.9589976] : 89
F-1 : [4.6108692 7.2331308 1.3111308] : 57
F-1 : [7.2331308 7.2331308 1.3111308] : 72
F-1 : [ 4.6108692  7.2331308 -1.3111308] : 34
!!!atention to nb coordination!!!
         [2.4033629888690213, 2.2579584999842695, 2.2579584999842677, 2.2579584999842663, 2.257958499984268, 2.4033629888690213, 2.403362988869022, 2.403362988869021]
         [2.403362988869022, 2.2579584999842672, 2.2579584999842672, 2.2579584999842672, 2.2579584999842672, 2.403362988869022, 2.403362988869022, 2.403362988869022]

ce_symbol  = BO_3:8
ce_fraction=  0.00013798296309470054
species:coords:index
F-1 : [ 7.2331308  7.2331308 -1.3111308] : 99
F-1 : [7.8809976 9.8850024 0.       ] : 84
F-1 : [3.9630024 9.8850024 0.       ] : 50
F-1 : [ 5.922      9.8850024 -1.9589976] : 83
F-1 : [5.922     9.8850024 1.9589976] : 89
F-1 : [4.6108692 7.2331308 1.3111308] : 57
F-1 : [7.2331308 7.2331308 1.3111308] : 72
F-1 : [ 4.6108692  7.2331308 -1.3111308] : 34
!!!atention to nb coordination!!!
         [2.4033629888690213, 2.2579584999842695, 2.2579584999842677, 2.2579584999842663, 2.257958499984268, 2.4033629888690213, 2.403362988869022, 2.403362988869021]
         [2.403362988869022, 2.2579584999842672, 2.2579584999842672, 2.2579584999842672, 2.2579584999842672, 2.403362988869022, 2.403362988869022, 2.403362988869022]


**isite= 23
Eu3+1 : [5.922     0.        3.0818088]

ce_symbol  = SA:8
ce_fraction=  0.9532406015807071
species:coords:index
F-1 : [ 7.2331308 -1.3111308  4.6108692] : 73
F-1 : [7.8809976 0.        1.9589976] : 82
F-1 : [7.2331308 1.3111308 4.6108692] : 79
F-1 : [ 5.922     -1.9589976  1.9589976] : 89
F-1 : [ 4.6108692 -1.3111308  4.6108692] : 56
F-1 : [4.6108692 1.3111308 4.6108692] : 54
F-1 : [3.9630024 0.        1.9589976] : 51
F-1 : [5.922     1.9589976 1.9589976] : 80
!!!atention to nb coordination!!!
         [2.403362988869021, 2.2579584999842695, 2.4033629888690213, 2.257958499984267, 2.4033629888690204, 2.4033629888690213, 2.2579584999842677, 2.2579584999842686]
         [2.403362988869021, 2.257958499984268, 2.403362988869021, 2.257958499984268, 2.403362988869021, 2.403362988869021, 2.2579584999842677, 2.2579584999842686]

ce_symbol  = SBT:8
ce_fraction=  0.046621415456198356
species:coords:index
F-1 : [ 7.2331308 -1.3111308  4.6108692] : 73
F-1 : [7.8809976 0.        1.9589976] : 82
F-1 : [7.2331308 1.3111308 4.6108692] : 79
F-1 : [ 5.922     -1.9589976  1.9589976] : 89
F-1 : [ 4.6108692 -1.3111308  4.6108692] : 56
F-1 : [4.6108692 1.3111308 4.6108692] : 54
F-1 : [3.9630024 0.        1.9589976] : 51
F-1 : [5.922     1.9589976 1.9589976] : 80
!!!atention to nb coordination!!!
         [2.403362988869021, 2.2579584999842695, 2.4033629888690213, 2.257958499984267, 2.4033629888690204, 2.4033629888690213, 2.2579584999842677, 2.2579584999842686]
         [2.403362988869021, 2.257958499984268, 2.403362988869021, 2.257958499984268, 2.403362988869021, 2.403362988869021, 2.2579584999842677, 2.2579584999842686]

ce_symbol  = BO_3:8
ce_fraction=  0.00013798296309470127
species:coords:index
F-1 : [ 7.2331308 -1.3111308  4.6108692] : 73
F-1 : [7.8809976 0.        1.9589976] : 82
F-1 : [7.2331308 1.3111308 4.6108692] : 79
F-1 : [ 5.922     -1.9589976  1.9589976] : 89
F-1 : [ 4.6108692 -1.3111308  4.6108692] : 56
F-1 : [4.6108692 1.3111308 4.6108692] : 54
F-1 : [3.9630024 0.        1.9589976] : 51
F-1 : [5.922     1.9589976 1.9589976] : 80
!!!atention to nb coordination!!!
         [2.403362988869021, 2.2579584999842695, 2.4033629888690213, 2.257958499984267, 2.4033629888690204, 2.4033629888690213, 2.2579584999842677, 2.2579584999842686]
         [2.403362988869021, 2.257958499984268, 2.403362988869021, 2.257958499984268, 2.403362988869021, 2.403362988869021, 2.2579584999842677, 2.2579584999842686]


**isite= 24
Eu3+1 : [5.922     3.0818088 0.       ]

ce_symbol  = SA:8
ce_fraction=  0.9532406015807069
species:coords:index
F-1 : [ 5.922      1.9589976 -1.9589976] : 86
F-1 : [3.9630024 1.9589976 0.       ] : 47
F-1 : [5.922     1.9589976 1.9589976] : 80
F-1 : [7.8809976 1.9589976 0.       ] : 81
F-1 : [4.6108692 4.6108692 1.3111308] : 55
F-1 : [7.2331308 4.6108692 1.3111308] : 78
F-1 : [ 7.2331308  4.6108692 -1.3111308] : 93
F-1 : [ 4.6108692  4.6108692 -1.3111308] : 36
!!!atention to nb coordination!!!
         [2.2579584999842655, 2.257958499984267, 2.2579584999842672, 2.257958499984269, 2.4033629888690218, 2.403362988869022, 2.4033629888690213, 2.4033629888690213]
         [2.2579584999842672, 2.2579584999842672, 2.2579584999842672, 2.2579584999842677, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218]

ce_symbol  = SBT:8
ce_fraction=  0.04662141545619843
species:coords:index
F-1 : [ 5.922      1.9589976 -1.9589976] : 86
F-1 : [3.9630024 1.9589976 0.       ] : 47
F-1 : [5.922     1.9589976 1.9589976] : 80
F-1 : [7.8809976 1.9589976 0.       ] : 81
F-1 : [4.6108692 4.6108692 1.3111308] : 55
F-1 : [7.2331308 4.6108692 1.3111308] : 78
F-1 : [ 7.2331308  4.6108692 -1.3111308] : 93
F-1 : [ 4.6108692  4.6108692 -1.3111308] : 36
!!!atention to nb coordination!!!
         [2.2579584999842655, 2.257958499984267, 2.2579584999842672, 2.257958499984269, 2.4033629888690218, 2.403362988869022, 2.4033629888690213, 2.4033629888690213]
         [2.2579584999842672, 2.2579584999842672, 2.2579584999842672, 2.2579584999842677, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218]

ce_symbol  = BO_3:8
ce_fraction=  0.0001379829630947014
species:coords:index
F-1 : [ 5.922      1.9589976 -1.9589976] : 86
F-1 : [3.9630024 1.9589976 0.       ] : 47
F-1 : [5.922     1.9589976 1.9589976] : 80
F-1 : [7.8809976 1.9589976 0.       ] : 81
F-1 : [4.6108692 4.6108692 1.3111308] : 55
F-1 : [7.2331308 4.6108692 1.3111308] : 78
F-1 : [ 7.2331308  4.6108692 -1.3111308] : 93
F-1 : [ 4.6108692  4.6108692 -1.3111308] : 36
!!!atention to nb coordination!!!
         [2.2579584999842655, 2.257958499984267, 2.2579584999842672, 2.257958499984269, 2.4033629888690218, 2.403362988869022, 2.4033629888690213, 2.4033629888690213]
         [2.2579584999842672, 2.2579584999842672, 2.2579584999842672, 2.2579584999842677, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218]


**isite= 25
Eu3+1 : [9.0038088 0.        0.       ]

ce_symbol  = SA:8
ce_fraction=  0.9532406015807064
species:coords:index
F-1 : [7.8809976 0.        1.9589976] : 82
F-1 : [ 7.8809976  0.        -1.9589976] : 85
F-1 : [7.8809976 1.9589976 0.       ] : 81
F-1 : [ 7.8809976 -1.9589976  0.       ] : 84
F-1 : [10.5328692  1.3111308 -1.3111308] : 94
F-1 : [10.5328692 -1.3111308 -1.3111308] : 96
F-1 : [10.5328692  1.3111308  1.3111308] : 77
F-1 : [10.5328692 -1.3111308  1.3111308] : 75
!!!atention to nb coordination!!!
         [2.2579584999842663, 2.2579584999842646, 2.2579584999842663, 2.2579584999842646, 2.4033629888690227, 2.4033629888690213, 2.403362988869023, 2.403362988869022]
         [2.2579584999842672, 2.2579584999842672, 2.2579584999842672, 2.2579584999842672, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218, 2.4033629888690218]

ce_symbol  = SBT:8
ce_fraction=  0.04662141545619893
species:coords:index
F-1 : [7.8809976 0.        1.9589976] : 82
