cif name= ./4306125.cif
./4306125.cif
Full Formula (Ga12 Pb20 F76)
species:coords:index
F-1 : [8.82884776 7.9643146  2.50397328] : 62
F-1 : [12.71279524  5.54419524  3.66005358] : 57
F-1 : [11.48696464  8.172204    2.59244502] : 41
F-1 : [10.71275584  5.63595332  1.33004994] : 37
F-1 : [10.76150232  3.59290232  3.38422992] : 53
F-1 : [7.9643146  5.50835224 2.50397328] : 105
F-1 : [8.82884776 6.3728854  6.22127328] : 65
F-1 : [10.71275584  8.70124668  5.04734994] : 39
F-1 : [11.48696464  6.164996    6.30974502] : 42
!!!atention to nb coordination!!!
         [2.7175547709542585, 2.351859924714132, 2.5466065766320156, 2.4556245413185347, 2.5909814708340755, 2.827965968091632, 2.9858803936237397, 2.8971496255913163, 2.7963735051764997]
         [2.7175547709542593, 2.351859924714132, 2.546606576632015, 2.4556245413185347, 2.5909814708340755, 2.827965968091632, 2.9858803936237406, 2.8971496255913163, 2.796373505176499]


**isite= 17
Pb2+1 : [3.89828468 8.19514352 3.7173    ]

ce_symbol  = TT_1:9
ce_fraction=  0.566929975075267
species:coords:index
F-1 : [1.62440476 8.79300476 3.66005358] : 56
F-1 : [3.62444416 5.63595332 5.04734994] : 38
F-1 : [5.50835224 7.9643146  6.22127328] : 64
F-1 : [3.62444416 8.70124668 1.33004994] : 36
F-1 : [6.3728854  8.82884776 2.50397328] : 104
F-1 : [ 3.57569768 10.74429768  3.38422992] : 52
F-1 : [2.85023536 6.164996   2.59244502] : 40
F-1 : [2.85023536 8.172204   6.30974502] : 43
F-1 : [5.50835224 6.3728854  2.50397328] : 63
!!!atention to nb coordination!!!
         [2.35185992471413, 2.897149625591316, 2.9858803936237415, 2.4556245413185342, 2.8279659680916334, 2.590981470834077, 2.546606576632014, 2.796373505176498, 2.7175547709542607]
         [2.3518599247141307, 2.8971496255913167, 2.9858803936237415, 2.4556245413185342, 2.827965968091633, 2.590981470834075, 2.5466065766320143, 2.796373505176498, 2.7175547709542607]

ce_symbol  = SMA:9
ce_fraction=  0.362088874117868
species:coords:index
F-1 : [1.62440476 8.79300476 3.66005358] : 56
F-1 : [3.62444416 5.63595332 5.04734994] : 38
F-1 : [5.50835224 7.9643146  6.22127328] : 64
F-1 : [3.62444416 8.70124668 1.33004994] : 36
F-1 : [6.3728854  8.82884776 2.50397328] : 104
F-1 : [ 3.57569768 10.74429768  3.38422992] : 52
F-1 : [2.85023536 6.164996   2.59244502] : 40
F-1 : [2.85023536 8.172204   6.30974502] : 43
F-1 : [5.50835224 6.3728854  2.50397328] : 63
!!!atention to nb coordination!!!
         [2.35185992471413, 2.897149625591316, 2.9858803936237415, 2.4556245413185342, 2.8279659680916334, 2.590981470834077, 2.546606576632014, 2.796373505176498, 2.7175547709542607]
         [2.3518599247141307, 2.8971496255913167, 2.9858803936237415, 2.4556245413185342, 2.827965968091633, 2.590981470834075, 2.5466065766320143, 2.796373505176498, 2.7175547709542607]

ce_symbol  = TT_2:9
ce_fraction=  0.07098115080686511
species:coords:index
F-1 : [1.62440476 8.79300476 3.66005358] : 56
F-1 : [3.62444416 5.63595332 5.04734994] : 38
F-1 : [5.50835224 7.9643146  6.22127328] : 64
F-1 : [3.62444416 8.70124668 1.33004994] : 36
F-1 : [6.3728854  8.82884776 2.50397328] : 104
F-1 : [ 3.57569768 10.74429768  3.38422992] : 52
F-1 : [2.85023536 6.164996   2.59244502] : 40
F-1 : [2.85023536 8.172204   6.30974502] : 43
F-1 : [5.50835224 6.3728854  2.50397328] : 63
!!!atention to nb coordination!!!
         [2.35185992471413, 2.897149625591316, 2.9858803936237415, 2.4556245413185342, 2.8279659680916334, 2.590981470834077, 2.546606576632014, 2.796373505176498, 2.7175547709542607]
         [2.3518599247141307, 2.8971496255913167, 2.9858803936237415, 2.4556245413185342, 2.827965968091633, 2.590981470834075, 2.5466065766320143, 2.796373505176498, 2.7175547709542607]


**isite= 18
Pb2+1 : [1.04389153e+01 8.19514352e+00 1.23810961e-15]

ce_symbol  = TT_1:9
ce_fraction=  0.5669299750752665
species:coords:index
F-1 : [10.71275584  8.70124668 -2.38725006] : 39
F-1 : [ 8.82884776  6.3728854  -1.21332672] : 65
F-1 : [11.48696464  6.164996   -1.12485498] : 42
F-1 : [10.71275584  5.63595332  1.33004994] : 37
F-1 : [12.71279524  8.79300476 -0.05724642] : 54
F-1 : [ 7.9643146   8.82884776 -1.21332672] : 107
F-1 : [8.82884776 7.9643146  2.50397328] : 62
F-1 : [10.76150232 10.74429768 -0.33307008] : 50
F-1 : [11.48696464  8.172204    2.59244502] : 41
!!!atention to nb coordination!!!
         [2.4556245413185347, 2.717554770954259, 2.546606576632016, 2.8971496255913167, 2.3518599247141316, 2.827965968091632, 2.9858803936237406, 2.590981470834077, 2.796373505176501]
         [2.4556245413185347, 2.71755477095426, 2.546606576632015, 2.8971496255913176, 2.3518599247141316, 2.8279659680916316, 2.9858803936237415, 2.590981470834075, 2.7963735051764997]

ce_symbol  = SMA:9
ce_fraction=  0.36208887411786833
species:coords:index
F-1 : [10.71275584  8.70124668 -2.38725006] : 39
F-1 : [ 8.82884776  6.3728854  -1.21332672] : 65
F-1 : [11.48696464  6.164996   -1.12485498] : 42
F-1 : [10.71275584  5.63595332  1.33004994] : 37
F-1 : [12.71279524  8.79300476 -0.05724642] : 54
F-1 : [ 7.9643146   8.82884776 -1.21332672] : 107
F-1 : [8.82884776 7.9643146  2.50397328] : 62
F-1 : [10.76150232 10.74429768 -0.33307008] : 50
F-1 : [11.48696464  8.172204    2.59244502] : 41
!!!atention to nb coordination!!!
         [2.4556245413185347, 2.717554770954259, 2.546606576632016, 2.8971496255913167, 2.3518599247141316, 2.827965968091632, 2.9858803936237406, 2.590981470834077, 2.796373505176501]
         [2.4556245413185347, 2.71755477095426, 2.546606576632015, 2.8971496255913176, 2.3518599247141316, 2.8279659680916316, 2.9858803936237415, 2.590981470834075, 2.7963735051764997]

ce_symbol  = TT_2:9
ce_fraction=  0.07098115080686522
species:coords:index
F-1 : [10.71275584  8.70124668 -2.38725006] : 39
F-1 : [ 8.82884776  6.3728854  -1.21332672] : 65
F-1 : [11.48696464  6.164996   -1.12485498] : 42
F-1 : [10.71275584  5.63595332  1.33004994] : 37
F-1 : [12.71279524  8.79300476 -0.05724642] : 54
F-1 : [ 7.9643146   8.82884776 -1.21332672] : 107
F-1 : [8.82884776 7.9643146  2.50397328] : 62
F-1 : [10.76150232 10.74429768 -0.33307008] : 50
F-1 : [11.48696464  8.172204    2.59244502] : 41
!!!atention to nb coordination!!!
         [2.4556245413185347, 2.717554770954259, 2.546606576632016, 2.8971496255913167, 2.3518599247141316, 2.827965968091632, 2.9858803936237406, 2.590981470834077, 2.796373505176501]
         [2.4556245413185347, 2.71755477095426, 2.546606576632015, 2.8971496255913176, 2.3518599247141316, 2.8279659680916316, 2.9858803936237415, 2.590981470834075, 2.7963735051764997]


**isite= 19
Pb2+1 : [3.89828468e+00 6.14205648e+00 1.23810961e-15]

ce_symbol  = TT_1:9
ce_fraction=  0.5669299750752669
species:coords:index
F-1 : [3.62444416 8.70124668 1.33004994] : 36
F-1 : [ 5.50835224  7.9643146  -1.21332672] : 64
F-1 : [ 6.3728854   5.50835224 -1.21332672] : 106
F-1 : [ 3.62444416  5.63595332 -2.38725006] : 38
F-1 : [ 3.57569768  3.59290232 -0.33307008] : 51
F-1 : [2.85023536 6.164996   2.59244502] : 40
F-1 : [5.50835224 6.3728854  2.50397328] : 63
F-1 : [ 2.85023536  8.172204   -1.12485498] : 43
F-1 : [ 1.62440476  5.54419524 -0.05724642] : 55
!!!atention to nb coordination!!!
         [2.8971496255913167, 2.7175547709542602, 2.8279659680916334, 2.4556245413185347, 2.5909814708340755, 2.7963735051764993, 2.985880393623742, 2.546606576632014, 2.3518599247141303]
         [2.8971496255913167, 2.7175547709542602, 2.827965968091633, 2.4556245413185347, 2.5909814708340755, 2.796373505176499, 2.985880393623742, 2.546606576632014, 2.3518599247141307]

ce_symbol  = SMA:9
ce_fraction=  0.36208887411786816
species:coords:index
F-1 : [3.62444416 8.70124668 1.33004994] : 36
F-1 : [ 5.50835224  7.9643146  -1.21332672] : 64
F-1 : [ 6.3728854   5.50835224 -1.21332672] : 106
F-1 : [ 3.62444416  5.63595332 -2.38725006] : 38
F-1 : [ 3.57569768  3.59290232 -0.33307008] : 51
F-1 : [2.85023536 6.164996   2.59244502] : 40
F-1 : [5.50835224 6.3728854  2.50397328] : 63
F-1 : [ 2.85023536  8.172204   -1.12485498] : 43
F-1 : [ 1.62440476  5.54419524 -0.05724642] : 55
!!!atention to nb coordination!!!
         [2.8971496255913167, 2.7175547709542602, 2.8279659680916334, 2.4556245413185347, 2.5909814708340755, 2.7963735051764993, 2.985880393623742, 2.546606576632014, 2.3518599247141303]
         [2.8971496255913167, 2.7175547709542602, 2.827965968091633, 2.4556245413185347, 2.5909814708340755, 2.796373505176499, 2.985880393623742, 2.546606576632014, 2.3518599247141307]

ce_symbol  = TT_2:9
ce_fraction=  0.070981150806865
species:coords:index
F-1 : [3.62444416 8.70124668 1.33004994] : 36
F-1 : [ 5.50835224  7.9643146  -1.21332672] : 64
F-1 : [ 6.3728854   5.50835224 -1.21332672] : 106
F-1 : [ 3.62444416  5.63595332 -2.38725006] : 38
F-1 : [ 3.57569768  3.59290232 -0.33307008] : 51
F-1 : [2.85023536 6.164996   2.59244502] : 40
F-1 : [5.50835224 6.3728854  2.50397328] : 63
F-1 : [ 2.85023536  8.172204   -1.12485498] : 43
F-1 : [ 1.62440476  5.54419524 -0.05724642] : 55
!!!atention to nb coordination!!!
         [2.8971496255913167, 2.7175547709542602, 2.8279659680916334, 2.4556245413185347, 2.5909814708340755, 2.7963735051764993, 2.985880393623742, 2.546606576632014, 2.3518599247141303]
         [2.8971496255913167, 2.7175547709542602, 2.827965968091633, 2.4556245413185347, 2.5909814708340755, 2.796373505176499, 2.985880393623742, 2.546606576632014, 2.3518599247141307]


**isite= 20
Pb2+1 : [0.        7.1686    2.6467176]

ce_symbol  = SBSA:10
ce_fraction=  0.9874608769269422
species:coords:index
F-1 : [-1.62440476  5.54419524  3.66005358] : 57
F-1 : [-1.08389232  8.25249232  4.50016338] : 59
F-1 : [-1.08389232  6.08470768  0.78286338] : 60
F-1 : [1.08389232 8.25249232 0.78286338] : 61
F-1 : [-2.85023536  8.172204    2.59244502] : 41
F-1 : [1.08389232 6.08470768 4.50016338] : 58
F-1 : [1.003604   4.31836464 2.59244502] : 46
F-1 : [2.85023536 6.164996   2.59244502] : 40
F-1 : [-1.003604   10.01883536  2.59244502] : 47
F-1 : [1.62440476 8.79300476 3.66005358] : 56
!!!atention to nb coordination!!!
         [2.5108228645175044, 2.405183232543785, 2.413213143533277, 2.413213143533277, 3.0222521584325426, 2.405183232543785, 3.022252158432545, 3.0222521584325457, 3.0222521584325444, 2.5108228645175044]
         [2.5108228645175044, 2.405183232543785, 2.413213143533277, 2.413213143533277, 3.022252158432545, 2.405183232543785, 3.022252158432545, 3.0222521584325452, 3.0222521584325444, 2.5108228645175044]

ce_symbol  = BS_2:10
ce_fraction=  0.012539123073057839
species:coords:index
F-1 : [-1.62440476  5.54419524  3.66005358] : 57
F-1 : [-1.08389232  8.25249232  4.50016338] : 59
F-1 : [-1.08389232  6.08470768  0.78286338] : 60
F-1 : [1.08389232 8.25249232 0.78286338] : 61
F-1 : [-2.85023536  8.172204    2.59244502] : 41
F-1 : [1.08389232 6.08470768 4.50016338] : 58
F-1 : [1.003604   4.31836464 2.59244502] : 46
F-1 : [2.85023536 6.164996   2.59244502] : 40
F-1 : [-1.003604   10.01883536  2.59244502] : 47
F-1 : [1.62440476 8.79300476 3.66005358] : 56
!!!atention to nb coordination!!!
         [2.5108228645175044, 2.405183232543785, 2.413213143533277, 2.413213143533277, 3.0222521584325426, 2.405183232543785, 3.022252158432545, 3.0222521584325457, 3.0222521584325444, 2.5108228645175044]
         [2.5108228645175044, 2.405183232543785, 2.413213143533277, 2.413213143533277, 3.022252158432545, 2.405183232543785, 3.022252158432545, 3.0222521584325452, 3.0222521584325444, 2.5108228645175044]


**isite= 21
Pb2+1 : [0.        7.1686    6.3640176]

ce_symbol  = SBSA:10
ce_fraction=  0.9874608769269424
species:coords:index
F-1 : [-2.85023536  6.164996    6.30974502] : 42
F-1 : [-1.003604    4.31836464  6.30974502] : 45
F-1 : [1.08389232 8.25249232 8.21746338] : 61
F-1 : [ 1.003604   10.01883536  6.30974502] : 44
F-1 : [-1.08389232  6.08470768  8.21746338] : 60
F-1 : [-1.62440476  8.79300476  7.37735358] : 54
F-1 : [-1.08389232  8.25249232  4.50016338] : 59
F-1 : [1.62440476 5.54419524 7.37735358] : 55
F-1 : [2.85023536 8.172204   6.30974502] : 43
F-1 : [1.08389232 6.08470768 4.50016338] : 58
!!!atention to nb coordination!!!
         [3.022252158432542, 3.0222521584325452, 2.4051832325437856, 3.022252158432544, 2.405183232543786, 2.510822864517504, 2.413213143533277, 2.510822864517504, 3.022252158432546, 2.413213143533277]
         [3.0222521584325444, 3.0222521584325452, 2.4051832325437856, 3.022252158432544, 2.4051832325437856, 2.510822864517504, 2.413213143533277, 2.510822864517504, 3.0222521584325457, 2.413213143533277]

ce_symbol  = BS_2:10
ce_fraction=  0.012539123073057596
species:coords:index
F-1 : [-2.85023536  6.164996    6.30974502] : 42
F-1 : [-1.003604    4.31836464  6.30974502] : 45
F-1 : [1.08389232 8.25249232 8.21746338] : 61
F-1 : [ 1.003604   10.01883536  6.30974502] : 44
F-1 : [-1.08389232  6.08470768  8.21746338] : 60
F-1 : [-1.62440476  8.79300476  7.37735358] : 54
F-1 : [-1.08389232  8.25249232  4.50016338] : 59
F-1 : [1.62440476 5.54419524 7.37735358] : 55
F-1 : [2.85023536 8.172204   6.30974502] : 43
F-1 : [1.08389232 6.08470768 4.50016338] : 58
!!!atention to nb coordination!!!
         [3.022252158432542, 3.0222521584325452, 2.4051832325437856, 3.022252158432544, 2.405183232543786, 2.510822864517504, 2.413213143533277, 2.510822864517504, 3.022252158432546, 2.413213143533277]
         [3.0222521584325444, 3.0222521584325452, 2.4051832325437856, 3.022252158432544, 2.4051832325437856, 2.510822864517504, 2.413213143533277, 2.510822864517504, 3.0222521584325457, 2.413213143533277]


**isite= 22
Pb2+1 : [6.14205648 3.89828468 3.7173    ]

ce_symbol  = TT_1:9
ce_fraction=  0.5669299750752674
species:coords:index
F-1 : [7.9643146  5.50835224 2.50397328] : 105
F-1 : [5.50835224 6.3728854  2.50397328] : 63
F-1 : [6.3728854  5.50835224 6.22127328] : 106
F-1 : [8.70124668 3.62444416 5.04734994] : 73
F-1 : [5.54419524 1.62440476 3.66005358] : 92
F-1 : [6.164996   2.85023536 6.30974502] : 85
F-1 : [8.172204   2.85023536 2.59244502] : 82
F-1 : [3.59290232 3.57569768 3.38422992] : 88
F-1 : [5.63595332 3.62444416 1.33004994] : 71
!!!atention to nb coordination!!!
         [2.7175547709542602, 2.827965968091633, 2.985880393623741, 2.8971496255913167, 2.35185992471413, 2.7963735051764984, 2.5466065766320143, 2.5909814708340755, 2.455624541318534]
         [2.7175547709542602, 2.8279659680916334, 2.985880393623741, 2.8971496255913167, 2.35185992471413, 2.7963735051764984, 2.5466065766320147, 2.5909814708340755, 2.4556245413185342]

ce_symbol  = SMA:9
ce_fraction=  0.36208887411786767
species:coords:index
F-1 : [7.9643146  5.50835224 2.50397328] : 105
F-1 : [5.50835224 6.3728854  2.50397328] : 63
F-1 : [6.3728854  5.50835224 6.22127328] : 106
F-1 : [8.70124668 3.62444416 5.04734994] : 73
F-1 : [5.54419524 1.62440476 3.66005358] : 92
F-1 : [6.164996   2.85023536 6.30974502] : 85
F-1 : [8.172204   2.85023536 2.59244502] : 82
F-1 : [3.59290232 3.57569768 3.38422992] : 88
F-1 : [5.63595332 3.62444416 1.33004994] : 71
!!!atention to nb coordination!!!
         [2.7175547709542602, 2.827965968091633, 2.985880393623741, 2.8971496255913167, 2.35185992471413, 2.7963735051764984, 2.5466065766320143, 2.5909814708340755, 2.455624541318534]
         [2.7175547709542602, 2.8279659680916334, 2.985880393623741, 2.8971496255913167, 2.35185992471413, 2.7963735051764984, 2.5466065766320147, 2.5909814708340755, 2.4556245413185342]

ce_symbol  = TT_2:9
ce_fraction=  0.07098115080686486
species:coords:index
F-1 : [7.9643146  5.50835224 2.50397328] : 105
F-1 : [5.50835224 6.3728854  2.50397328] : 63
F-1 : [6.3728854  5.50835224 6.22127328] : 106
F-1 : [8.70124668 3.62444416 5.04734994] : 73
F-1 : [5.54419524 1.62440476 3.66005358] : 92
F-1 : [6.164996   2.85023536 6.30974502] : 85
F-1 : [8.172204   2.85023536 2.59244502] : 82
F-1 : [3.59290232 3.57569768 3.38422992] : 88
F-1 : [5.63595332 3.62444416 1.33004994] : 71
!!!atention to nb coordination!!!
         [2.7175547709542602, 2.827965968091633, 2.985880393623741, 2.8971496255913167, 2.35185992471413, 2.7963735051764984, 2.5466065766320143, 2.5909814708340755, 2.455624541318534]
         [2.7175547709542602, 2.8279659680916334, 2.985880393623741, 2.8971496255913167, 2.35185992471413, 2.7963735051764984, 2.5466065766320147, 2.5909814708340755, 2.4556245413185342]


**isite= 23
Pb2+1 : [ 8.19514352 10.43891532  3.7173    ]

ce_symbol  = TT_1:9
ce_fraction=  0.5669299750752672
species:coords:index
F-1 : [7.9643146  8.82884776 6.22127328] : 107
F-1 : [ 5.63595332 10.71275584  5.04734994] : 72
F-1 : [ 8.172204   11.48696464  6.30974502] : 84
F-1 : [ 8.70124668 10.71275584  1.33004994] : 70
F-1 : [ 6.164996   11.48696464  2.59244502] : 83
F-1 : [6.3728854  8.82884776 2.50397328] : 104
F-1 : [8.82884776 7.9643146  2.50397328] : 62
F-1 : [10.74429768 10.76150232  3.38422992] : 89
F-1 : [ 8.79300476 12.71279524  3.66005358] : 93
!!!atention to nb coordination!!!
         [2.9858803936237397, 2.897149625591316, 2.7963735051764997, 2.4556245413185347, 2.546606576632016, 2.717554770954259, 2.827965968091632, 2.590981470834077, 2.3518599247141316]
         [2.9858803936237406, 2.8971496255913167, 2.796373505176499, 2.4556245413185347, 2.546606576632016, 2.7175547709542602, 2.8279659680916316, 2.590981470834075, 2.3518599247141316]

ce_symbol  = SMA:9
ce_fraction=  0.3620888741178677
species:coords:index
F-1 : [7.9643146  8.82884776 6.22127328] : 107
F-1 : [ 5.63595332 10.71275584  5.04734994] : 72
F-1 : [ 8.172204   11.48696464  6.30974502] : 84
F-1 : [ 8.70124668 10.71275584  1.33004994] : 70
F-1 : [ 6.164996   11.48696464  2.59244502] : 83
F-1 : [6.3728854  8.82884776 2.50397328] : 104
F-1 : [8.82884776 7.9643146  2.50397328] : 62
F-1 : [10.74429768 10.76150232  3.38422992] : 89
F-1 : [ 8.79300476 12.71279524  3.66005358] : 93
!!!atention to nb coordination!!!
         [2.9858803936237397, 2.897149625591316, 2.7963735051764997, 2.4556245413185347, 2.546606576632016, 2.717554770954259, 2.827965968091632, 2.590981470834077, 2.3518599247141316]
         [2.9858803936237406, 2.8971496255913167, 2.796373505176499, 2.4556245413185347, 2.546606576632016, 2.7175547709542602, 2.8279659680916316, 2.590981470834075, 2.3518599247141316]

ce_symbol  = TT_2:9
ce_fraction=  0.07098115080686494
species:coords:index
F-1 : [7.9643146  8.82884776 6.22127328] : 107
F-1 : [ 5.63595332 10.71275584  5.04734994] : 72
F-1 : [ 8.172204   11.48696464  6.30974502] : 84
F-1 : [ 8.70124668 10.71275584  1.33004994] : 70
F-1 : [ 6.164996   11.48696464  2.59244502] : 83
F-1 : [6.3728854  8.82884776 2.50397328] : 104
F-1 : [8.82884776 7.9643146  2.50397328] : 62
F-1 : [10.74429768 10.76150232  3.38422992] : 89
F-1 : [ 8.79300476 12.71279524  3.66005358] : 93
!!!atention to nb coordination!!!
         [2.9858803936237397, 2.897149625591316, 2.7963735051764997, 2.4556245413185347, 2.546606576632016, 2.717554770954259, 2.827965968091632, 2.590981470834077, 2.3518599247141316]
         [2.9858803936237406, 2.8971496255913167, 2.796373505176499, 2.4556245413185347, 2.546606576632016, 2.7175547709542602, 2.8279659680916316, 2.590981470834075, 2.3518599247141316]


**isite= 24
Pb2+1 : [8.19514352e+00 3.89828468e+00 1.65081282e-15]

ce_symbol  = TT_1:9
ce_fraction=  0.5669299750752673
species:coords:index
F-1 : [ 6.164996    2.85023536 -1.12485498] : 85
F-1 : [10.74429768  3.57569768 -0.33307008] : 90
F-1 : [ 8.79300476  1.62440476 -0.05724642] : 94
F-1 : [8.172204   2.85023536 2.59244502] : 82
F-1 : [5.63595332 3.62444416 1.33004994] : 71
F-1 : [ 6.3728854   5.50835224 -1.21332672] : 106
F-1 : [7.9643146  5.50835224 2.50397328] : 105
F-1 : [ 8.82884776  6.3728854  -1.21332672] : 65
F-1 : [ 8.70124668  3.62444416 -2.38725006] : 73
!!!atention to nb coordination!!!
         [2.546606576632015, 2.590981470834077, 2.3518599247141294, 2.7963735051764993, 2.897149625591316, 2.7175547709542607, 2.985880393623742, 2.8279659680916334, 2.4556245413185342]
         [2.546606576632015, 2.590981470834075, 2.3518599247141294, 2.796373505176499, 2.8971496255913167, 2.7175547709542607, 2.985880393623742, 2.827965968091633, 2.4556245413185342]

ce_symbol  = SMA:9
ce_fraction=  0.36208887411786783
species:coords:index
F-1 : [ 6.164996    2.85023536 -1.12485498] : 85
F-1 : [10.74429768  3.57569768 -0.33307008] : 90
F-1 : [ 8.79300476  1.62440476 -0.05724642] : 94
F-1 : [8.172204   2.85023536 2.59244502] : 82
F-1 : [5.63595332 3.62444416 1.33004994] : 71
F-1 : [ 6.3728854   5.50835224 -1.21332672] : 106
F-1 : [7.9643146  5.50835224 2.50397328] : 105
F-1 : [ 8.82884776  6.3728854  -1.21332672] : 65
F-1 : [ 8.70124668  3.62444416 -2.38725006] : 73
!!!atention to nb coordination!!!
         [2.546606576632015, 2.590981470834077, 2.3518599247141294, 2.7963735051764993, 2.897149625591316, 2.7175547709542607, 2.985880393623742, 2.8279659680916334, 2.4556245413185342]
         [2.546606576632015, 2.590981470834075, 2.3518599247141294, 2.796373505176499, 2.8971496255913167, 2.7175547709542607, 2.985880393623742, 2.827965968091633, 2.4556245413185342]

ce_symbol  = TT_2:9
ce_fraction=  0.07098115080686496
species:coords:index
F-1 : [ 6.164996    2.85023536 -1.12485498] : 85
F-1 : [10.74429768  3.57569768 -0.33307008] : 90
F-1 : [ 8.79300476  1.62440476 -0.05724642] : 94
F-1 : [8.172204   2.85023536 2.59244502] : 82
F-1 : [5.63595332 3.62444416 1.33004994] : 71
F-1 : [ 6.3728854   5.50835224 -1.21332672] : 106
F-1 : [7.9643146  5.50835224 2.50397328] : 105
F-1 : [ 8.82884776  6.3728854  -1.21332672] : 65
F-1 : [ 8.70124668  3.62444416 -2.38725006] : 73
!!!atention to nb coordination!!!
         [2.546606576632015, 2.590981470834077, 2.3518599247141294, 2.7963735051764993, 2.897149625591316, 2.7175547709542607, 2.985880393623742, 2.8279659680916334, 2.4556245413185342]
         [2.546606576632015, 2.590981470834075, 2.3518599247141294, 2.796373505176499, 2.8971496255913167, 2.7175547709542607, 2.985880393623742, 2.827965968091633, 2.4556245413185342]


**isite= 25
Pb2+1 : [6.14205648e+00 1.04389153e+01 1.65081282e-15]

ce_symbol  = TT_1:9
ce_fraction=  0.566929975075266
species:coords:index
F-1 : [ 3.59290232 10.76150232 -0.33307008] : 91
F-1 : [ 5.50835224  7.9643146  -1.21332672] : 64
F-1 : [ 7.9643146   8.82884776 -1.21332672] : 107
F-1 : [ 5.63595332 10.71275584 -2.38725006] : 72
F-1 : [ 8.172204   11.48696464 -1.12485498] : 84
F-1 : [ 6.164996   11.48696464  2.59244502] : 83
F-1 : [6.3728854  8.82884776 2.50397328] : 104
F-1 : [ 8.70124668 10.71275584  1.33004994] : 70
F-1 : [ 5.54419524 12.71279524 -0.05724642] : 95
!!!atention to nb coordination!!!
         [2.5909814708340755, 2.827965968091632, 2.7175547709542585, 2.4556245413185342, 2.546606576632016, 2.7963735051765006, 2.98588039362374, 2.8971496255913167, 2.3518599247141325]
         [2.5909814708340755, 2.827965968091632, 2.7175547709542593, 2.4556245413185347, 2.546606576632015, 2.7963735051764993, 2.985880393623741, 2.8971496255913167, 2.351859924714132]

ce_symbol  = SMA:9
ce_fraction=  0.36208887411786883
species:coords:index
F-1 : [ 3.59290232 10.76150232 -0.33307008] : 91
F-1 : [ 5.50835224  7.9643146  -1.21332672] : 64
F-1 : [ 7.9643146   8.82884776 -1.21332672] : 107
F-1 : [ 5.63595332 10.71275584 -2.38725006] : 72
F-1 : [ 8.172204   11.48696464 -1.12485498] : 84
F-1 : [ 6.164996   11.48696464  2.59244502] : 83
F-1 : [6.3728854  8.82884776 2.50397328] : 104
F-1 : [ 8.70124668 10.71275584  1.33004994] : 70
F-1 : [ 5.54419524 12.71279524 -0.05724642] : 95
!!!atention to nb coordination!!!
         [2.5909814708340755, 2.827965968091632, 2.7175547709542585, 2.4556245413185342, 2.546606576632016, 2.7963735051765006, 2.98588039362374, 2.8971496255913167, 2.3518599247141325]
         [2.5909814708340755, 2.827965968091632, 2.7175547709542593, 2.4556245413185347, 2.546606576632015, 2.7963735051764993, 2.985880393623741, 2.8971496255913167, 2.351859924714132]

ce_symbol  = TT_2:9
ce_fraction=  0.0709811508068652
species:coords:index
F-1 : [ 3.59290232 10.76150232 -0.33307008] : 91
F-1 : [ 5.50835224  7.9643146  -1.21332672] : 64
F-1 : [ 7.9643146   8.82884776 -1.21332672] : 107
F-1 : [ 5.63595332 10.71275584 -2.38725006] : 72
F-1 : [ 8.172204   11.48696464 -1.12485498] : 84
F-1 : [ 6.164996   11.48696464  2.59244502] : 83
F-1 : [6.3728854  8.82884776 2.50397328] : 104
F-1 : [ 8.70124668 10.71275584  1.33004994] : 70
F-1 : [ 5.54419524 12.71279524 -0.05724642] : 95
!!!atention to nb coordination!!!
         [2.5909814708340755, 2.827965968091632, 2.7175547709542585, 2.4556245413185342, 2.546606576632016, 2.7963735051765006, 2.98588039362374, 2.8971496255913167, 2.3518599247141325]
         [2.5909814708340755, 2.827965968091632, 2.7175547709542593, 2.4556245413185347, 2.546606576632015, 2.7963735051764993, 2.985880393623741, 2.8971496255913167, 2.351859924714132]


**isite= 26
Pb2+1 : [3.27031532e+00 1.33106565e+01 1.65081282e-15]

ce_symbol  = TT_1:9
ce_fraction=  0.5669299750752663
species:coords:index
F-1 : [ 3.54415584 15.86984668  1.33004994] : 77
F-1 : [ 1.66024776 15.1329146  -1.21332672] : 100
F-1 : [ 4.31836464 15.340804   -1.12485498] : 79
F-1 : [ 1.66024776 13.5414854   2.50397328] : 103
F-1 : [ 4.31836464 13.333596    2.59244502] : 80
F-1 : [ 3.59290232 10.76150232 -0.33307008] : 91
F-1 : [ 5.54419524 12.71279524 -0.05724642] : 95
F-1 : [ 0.7957146  12.67695224 -1.21332672] : 67
F-1 : [ 3.54415584 12.80455332 -2.38725006] : 75
!!!atention to nb coordination!!!
         [2.8971496255913176, 2.7175547709542616, 2.546606576632015, 2.985880393623742, 2.796373505176499, 2.590981470834075, 2.351859924714129, 2.8279659680916325, 2.4556245413185342]
         [2.8971496255913176, 2.7175547709542616, 2.5466065766320147, 2.985880393623742, 2.796373505176499, 2.590981470834075, 2.351859924714129, 2.8279659680916325, 2.4556245413185342]

ce_symbol  = SMA:9
ce_fraction=  0.36208887411786816
species:coords:index
F-1 : [ 3.54415584 15.86984668  1.33004994] : 77
F-1 : [ 1.66024776 15.1329146  -1.21332672] : 100
F-1 : [ 4.31836464 15.340804   -1.12485498] : 79
