cif name= ./1008834.cif
./1008834.cif
Full Formula (K8 Er16 F56)
         [2.699639859714479, 2.7099484150878173, 3.10131488457115, 3.064075653832858, 3.3716131748162335, 3.419355195919418, 3.168039062426282, 3.140003434369536, 3.1633080479103532]
         [2.699639859714479, 2.7099484150878173, 3.1013148845711505, 3.0640756538328575, 3.3716131748162335, 3.419355195919418, 3.1680390624262826, 3.1400034343695356, 3.163308047910353]

ce_symbol  = TO_2:9
ce_fraction=  0.0019154419361190615
species:coords:index
F-1 : [13.730112   5.6051932  7.8754016] : 24
F-1 : [10.814118   8.2091281  6.5412104] : 77
F-1 : [10.771566   8.4011233  9.2447648] : 57
F-1 : [12.868434   4.9318767  5.3367648] : 56
F-1 : [8.515128  6.6291676 9.7082536] : 39
F-1 : [10.935864   3.119922   9.8395624] : 75
F-1 : [8.473758  6.6451672 6.0347336] : 33
F-1 : [10.979598   3.0945893  5.9839296] : 55
F-1 : [8.783442  3.5492446 7.8910336] : 43
!!!atention to nb coordination!!!
         [2.699639859714479, 2.7099484150878173, 3.10131488457115, 3.064075653832858, 3.3716131748162335, 3.419355195919418, 3.168039062426282, 3.140003434369536, 3.1633080479103532]
         [2.699639859714479, 2.7099484150878173, 3.1013148845711505, 3.0640756538328575, 3.3716131748162335, 3.419355195919418, 3.1680390624262826, 3.1400034343695356, 3.163308047910353]

ce_symbol  = BS_2:10
ce_fraction=  0.0008274996433632919
species:coords:index
F-1 : [13.730112   5.6051932  7.8754016] : 24
F-1 : [10.814118   8.2091281  6.5412104] : 77
F-1 : [10.771566   8.4011233  9.2447648] : 57
F-1 : [12.868434   4.9318767  5.3367648] : 56
F-1 : [8.515128  6.6291676 9.7082536] : 39
F-1 : [12.825882   5.1238719 10.4492104] : 76
F-1 : [10.935864   3.119922   9.8395624] : 75
F-1 : [8.473758  6.6451672 6.0347336] : 33
F-1 : [10.979598   3.0945893  5.9839296] : 55
F-1 : [8.783442  3.5492446 7.8910336] : 43
!!!atention to nb coordination!!!
         [2.699639859714479, 2.7099484150878173, 3.10131488457115, 3.064075653832858, 3.3716131748162335, 3.3709151315721546, 3.419355195919418, 3.168039062426282, 3.140003434369536, 3.1633080479103532]
         [2.699639859714479, 2.7099484150878173, 3.1013148845711505, 3.0640756538328575, 3.3716131748162335, 3.370915131572156, 3.419355195919418, 3.1680390624262826, 3.1400034343695356, 3.163308047910353]

ce_symbol  = BS_1:10
ce_fraction=  1.4381364166116245e-05
species:coords:index
F-1 : [13.730112   5.6051932  7.8754016] : 24
F-1 : [10.814118   8.2091281  6.5412104] : 77
F-1 : [10.771566   8.4011233  9.2447648] : 57
F-1 : [12.868434   4.9318767  5.3367648] : 56
F-1 : [8.515128  6.6291676 9.7082536] : 39
F-1 : [12.825882   5.1238719 10.4492104] : 76
F-1 : [10.935864   3.119922   9.8395624] : 75
F-1 : [8.473758  6.6451672 6.0347336] : 33
F-1 : [10.979598   3.0945893  5.9839296] : 55
F-1 : [8.783442  3.5492446 7.8910336] : 43
!!!atention to nb coordination!!!
         [2.699639859714479, 2.7099484150878173, 3.10131488457115, 3.064075653832858, 3.3716131748162335, 3.3709151315721546, 3.419355195919418, 3.168039062426282, 3.140003434369536, 3.1633080479103532]
         [2.699639859714479, 2.7099484150878173, 3.1013148845711505, 3.0640756538328575, 3.3716131748162335, 3.370915131572156, 3.419355195919418, 3.1680390624262826, 3.1400034343695356, 3.163308047910353]


**isite= 8
Er3+1 : [11.7519168   9.89375265  0.06026136]

ce_symbol  = SMA:9
ce_fraction=  0.6150875030526378
species:coords:index
F-1 : [ 9.758592  10.6384007  1.2654104] : 29
F-1 : [12.704136  10.213078  -1.8844376] : 74
F-1 : [ 9.88152   10.7157321 -1.2958928] : 69
F-1 : [11.53041   12.1516962 -0.05862  ] : 65
F-1 : [14.037432  11.1650542  0.1031712] : 50
F-1 : [10.814118   8.2091281 -1.2747896] : 77
F-1 : [12.660402  10.2384107  2.0759296] : 54
F-1 : [10.771566   8.4011233  1.4287648] : 57
F-1 : [13.280952   8.3264585  0.0695624] : 62
!!!atention to nb coordination!!!
         [2.445450609862477, 2.1887311687428297, 2.452180358651839, 2.27189504933399, 2.6156507058153373, 2.3451625806201686, 2.237644516851042, 2.2498514912842316, 2.189622365799256]
         [2.445450609862477, 2.188731168742829, 2.4521803586518383, 2.271895049333992, 2.6156507058153373, 2.3451625806201686, 2.2376445168510424, 2.2498514912842316, 2.189622365799256]

ce_symbol  = TT_1:9
ce_fraction=  0.37792489661289996
species:coords:index
F-1 : [ 9.758592  10.6384007  1.2654104] : 29
F-1 : [12.704136  10.213078  -1.8844376] : 74
F-1 : [ 9.88152   10.7157321 -1.2958928] : 69
F-1 : [11.53041   12.1516962 -0.05862  ] : 65
F-1 : [14.037432  11.1650542  0.1031712] : 50
F-1 : [10.814118   8.2091281 -1.2747896] : 77
F-1 : [12.660402  10.2384107  2.0759296] : 54
F-1 : [10.771566   8.4011233  1.4287648] : 57
F-1 : [13.280952   8.3264585  0.0695624] : 62
!!!atention to nb coordination!!!
         [2.445450609862477, 2.1887311687428297, 2.452180358651839, 2.27189504933399, 2.6156507058153373, 2.3451625806201686, 2.237644516851042, 2.2498514912842316, 2.189622365799256]
         [2.445450609862477, 2.188731168742829, 2.4521803586518383, 2.271895049333992, 2.6156507058153373, 2.3451625806201686, 2.2376445168510424, 2.2498514912842316, 2.189622365799256]

ce_symbol  = TT_2:9
ce_fraction=  0.005206909080232683
species:coords:index
F-1 : [ 9.758592  10.6384007  1.2654104] : 29
F-1 : [12.704136  10.213078  -1.8844376] : 74
F-1 : [ 9.88152   10.7157321 -1.2958928] : 69
F-1 : [11.53041   12.1516962 -0.05862  ] : 65
F-1 : [14.037432  11.1650542  0.1031712] : 50
F-1 : [10.814118   8.2091281 -1.2747896] : 77
F-1 : [12.660402  10.2384107  2.0759296] : 54
F-1 : [10.771566   8.4011233  1.4287648] : 57
F-1 : [13.280952   8.3264585  0.0695624] : 62
!!!atention to nb coordination!!!
         [2.445450609862477, 2.1887311687428297, 2.452180358651839, 2.27189504933399, 2.6156507058153373, 2.3451625806201686, 2.237644516851042, 2.2498514912842316, 2.189622365799256]
         [2.445450609862477, 2.188731168742829, 2.4521803586518383, 2.271895049333992, 2.6156507058153373, 2.3451625806201686, 2.2376445168510424, 2.2498514912842316, 2.189622365799256]

ce_symbol  = TO_1:9
ce_fraction=  0.0017806912542295595
species:coords:index
F-1 : [ 9.758592  10.6384007  1.2654104] : 29
F-1 : [12.704136  10.213078  -1.8844376] : 74
F-1 : [ 9.88152   10.7157321 -1.2958928] : 69
F-1 : [11.53041   12.1516962 -0.05862  ] : 65
F-1 : [14.037432  11.1650542  0.1031712] : 50
F-1 : [10.814118   8.2091281 -1.2747896] : 77
F-1 : [12.660402  10.2384107  2.0759296] : 54
F-1 : [10.771566   8.4011233  1.4287648] : 57
F-1 : [13.280952   8.3264585  0.0695624] : 62
!!!atention to nb coordination!!!
         [2.445450609862477, 2.1887311687428297, 2.452180358651839, 2.27189504933399, 2.6156507058153373, 2.3451625806201686, 2.237644516851042, 2.2498514912842316, 2.189622365799256]
         [2.445450609862477, 2.188731168742829, 2.4521803586518383, 2.271895049333992, 2.6156507058153373, 2.3451625806201686, 2.2376445168510424, 2.2498514912842316, 2.189622365799256]


**isite= 9
Er3+1 : [0.0680832  3.43924735 3.96826136]

ce_symbol  = SMA:9
ce_fraction=  0.6150875030526383
species:coords:index
F-1 : [1.005882  5.1238719 2.6332104] : 76
F-1 : [1.93848   2.6172679 2.6121072] : 68
F-1 : [1.048434  4.9318767 5.3367648] : 56
F-1 : [2.061408  2.6945993 5.1734104] : 28
F-1 : [-0.884136   3.119922   2.0235624] : 75
F-1 : [-1.460952   5.0065415  3.9775624] : 63
F-1 : [0.28959   1.1813038 3.84938  ] : 64
F-1 : [-0.840402   3.0945893  5.9839296] : 55
F-1 : [-2.217432   2.1679458  4.0111712] : 51
!!!atention to nb coordination!!!
         [2.345162580620171, 2.452180358651838, 2.249851491284231, 2.4454506098624775, 2.1887311687428284, 2.1896223657992557, 2.271895049333991, 2.2376445168510424, 2.6156507058153373]
         [2.345162580620171, 2.452180358651838, 2.249851491284231, 2.445450609862478, 2.1887311687428284, 2.189622365799256, 2.271895049333991, 2.2376445168510424, 2.6156507058153364]

ce_symbol  = TT_1:9
ce_fraction=  0.37792489661289946
species:coords:index
F-1 : [1.005882  5.1238719 2.6332104] : 76
F-1 : [1.93848   2.6172679 2.6121072] : 68
F-1 : [1.048434  4.9318767 5.3367648] : 56
F-1 : [2.061408  2.6945993 5.1734104] : 28
F-1 : [-0.884136   3.119922   2.0235624] : 75
F-1 : [-1.460952   5.0065415  3.9775624] : 63
F-1 : [0.28959   1.1813038 3.84938  ] : 64
F-1 : [-0.840402   3.0945893  5.9839296] : 55
F-1 : [-2.217432   2.1679458  4.0111712] : 51
!!!atention to nb coordination!!!
         [2.345162580620171, 2.452180358651838, 2.249851491284231, 2.4454506098624775, 2.1887311687428284, 2.1896223657992557, 2.271895049333991, 2.2376445168510424, 2.6156507058153373]
         [2.345162580620171, 2.452180358651838, 2.249851491284231, 2.445450609862478, 2.1887311687428284, 2.189622365799256, 2.271895049333991, 2.2376445168510424, 2.6156507058153364]

ce_symbol  = TT_2:9
ce_fraction=  0.00520690908023273
species:coords:index
F-1 : [1.005882  5.1238719 2.6332104] : 76
F-1 : [1.93848   2.6172679 2.6121072] : 68
F-1 : [1.048434  4.9318767 5.3367648] : 56
F-1 : [2.061408  2.6945993 5.1734104] : 28
F-1 : [-0.884136   3.119922   2.0235624] : 75
F-1 : [-1.460952   5.0065415  3.9775624] : 63
F-1 : [0.28959   1.1813038 3.84938  ] : 64
F-1 : [-0.840402   3.0945893  5.9839296] : 55
F-1 : [-2.217432   2.1679458  4.0111712] : 51
!!!atention to nb coordination!!!
         [2.345162580620171, 2.452180358651838, 2.249851491284231, 2.4454506098624775, 2.1887311687428284, 2.1896223657992557, 2.271895049333991, 2.2376445168510424, 2.6156507058153373]
         [2.345162580620171, 2.452180358651838, 2.249851491284231, 2.445450609862478, 2.1887311687428284, 2.189622365799256, 2.271895049333991, 2.2376445168510424, 2.6156507058153364]

ce_symbol  = TO_1:9
ce_fraction=  0.0017806912542295801
species:coords:index
F-1 : [1.005882  5.1238719 2.6332104] : 76
F-1 : [1.93848   2.6172679 2.6121072] : 68
F-1 : [1.048434  4.9318767 5.3367648] : 56
F-1 : [2.061408  2.6945993 5.1734104] : 28
F-1 : [-0.884136   3.119922   2.0235624] : 75
F-1 : [-1.460952   5.0065415  3.9775624] : 63
F-1 : [0.28959   1.1813038 3.84938  ] : 64
F-1 : [-0.840402   3.0945893  5.9839296] : 55
F-1 : [-2.217432   2.1679458  4.0111712] : 51
!!!atention to nb coordination!!!
         [2.345162580620171, 2.452180358651838, 2.249851491284231, 2.4454506098624775, 2.1887311687428284, 2.1896223657992557, 2.271895049333991, 2.2376445168510424, 2.6156507058153373]
         [2.345162580620171, 2.452180358651838, 2.249851491284231, 2.445450609862478, 2.1887311687428284, 2.189622365799256, 2.271895049333991, 2.2376445168510424, 2.6156507058153364]


**isite= 10
Er3+1 : [5.9780832  3.22725265 3.96826136]

ce_symbol  = SMA:9
ce_fraction=  0.6150875030526394
species:coords:index
F-1 : [6.958434  1.7346233 5.3367648] : 59
F-1 : [6.915882  1.5426281 2.6332104] : 79
F-1 : [7.84848   4.0492321 2.6121072] : 71
F-1 : [4.449048  1.6599585 3.9775624] : 60
F-1 : [5.025864  3.546578  2.0235624] : 72
F-1 : [7.971408  3.9719007 5.1734104] : 31
F-1 : [6.19959   5.4851962 3.84938  ] : 67
F-1 : [5.069598  3.5719107 5.9839296] : 52
F-1 : [3.692568  4.4985542 4.0111712] : 48
!!!atention to nb coordination!!!
         [2.2498514912842316, 2.3451625806201704, 2.452180358651837, 2.1896223657992575, 2.1887311687428284, 2.4454506098624766, 2.2718950493339904, 2.237644516851043, 2.6156507058153373]
         [2.2498514912842316, 2.3451625806201704, 2.4521803586518374, 2.1896223657992575, 2.1887311687428284, 2.445450609862477, 2.2718950493339913, 2.237644516851043, 2.6156507058153373]

ce_symbol  = TT_1:9
ce_fraction=  0.3779248966128984
species:coords:index
F-1 : [6.958434  1.7346233 5.3367648] : 59
F-1 : [6.915882  1.5426281 2.6332104] : 79
F-1 : [7.84848   4.0492321 2.6121072] : 71
F-1 : [4.449048  1.6599585 3.9775624] : 60
F-1 : [5.025864  3.546578  2.0235624] : 72
F-1 : [7.971408  3.9719007 5.1734104] : 31
F-1 : [6.19959   5.4851962 3.84938  ] : 67
F-1 : [5.069598  3.5719107 5.9839296] : 52
F-1 : [3.692568  4.4985542 4.0111712] : 48
!!!atention to nb coordination!!!
         [2.2498514912842316, 2.3451625806201704, 2.452180358651837, 2.1896223657992575, 2.1887311687428284, 2.4454506098624766, 2.2718950493339904, 2.237644516851043, 2.6156507058153373]
         [2.2498514912842316, 2.3451625806201704, 2.4521803586518374, 2.1896223657992575, 2.1887311687428284, 2.445450609862477, 2.2718950493339913, 2.237644516851043, 2.6156507058153373]

ce_symbol  = TT_2:9
ce_fraction=  0.005206909080232692
species:coords:index
F-1 : [6.958434  1.7346233 5.3367648] : 59
F-1 : [6.915882  1.5426281 2.6332104] : 79
F-1 : [7.84848   4.0492321 2.6121072] : 71
F-1 : [4.449048  1.6599585 3.9775624] : 60
F-1 : [5.025864  3.546578  2.0235624] : 72
F-1 : [7.971408  3.9719007 5.1734104] : 31
F-1 : [6.19959   5.4851962 3.84938  ] : 67
F-1 : [5.069598  3.5719107 5.9839296] : 52
F-1 : [3.692568  4.4985542 4.0111712] : 48
!!!atention to nb coordination!!!
         [2.2498514912842316, 2.3451625806201704, 2.452180358651837, 2.1896223657992575, 2.1887311687428284, 2.4454506098624766, 2.2718950493339904, 2.237644516851043, 2.6156507058153373]
         [2.2498514912842316, 2.3451625806201704, 2.4521803586518374, 2.1896223657992575, 2.1887311687428284, 2.445450609862477, 2.2718950493339913, 2.237644516851043, 2.6156507058153373]

ce_symbol  = TO_1:9
ce_fraction=  0.00178069125422957
species:coords:index
F-1 : [6.958434  1.7346233 5.3367648] : 59
F-1 : [6.915882  1.5426281 2.6332104] : 79
F-1 : [7.84848   4.0492321 2.6121072] : 71
F-1 : [4.449048  1.6599585 3.9775624] : 60
F-1 : [5.025864  3.546578  2.0235624] : 72
F-1 : [7.971408  3.9719007 5.1734104] : 31
F-1 : [6.19959   5.4851962 3.84938  ] : 67
F-1 : [5.069598  3.5719107 5.9839296] : 52
F-1 : [3.692568  4.4985542 4.0111712] : 48
!!!atention to nb coordination!!!
         [2.2498514912842316, 2.3451625806201704, 2.452180358651837, 2.1896223657992575, 2.1887311687428284, 2.4454506098624766, 2.2718950493339904, 2.237644516851043, 2.6156507058153373]
         [2.2498514912842316, 2.3451625806201704, 2.4521803586518374, 2.1896223657992575, 2.1887311687428284, 2.445450609862477, 2.2718950493339913, 2.237644516851043, 2.6156507058153373]


**isite= 11
Er3+1 : [ 5.8419168  10.10574735  0.06026136]

ce_symbol  = SMA:9
ce_fraction=  0.6150875030526383
species:coords:index
F-1 : [6.750402  9.7610893 2.0759296] : 53
F-1 : [ 7.370952  11.6730415  0.0695624] : 61
F-1 : [ 4.861566  11.5983767  1.4287648] : 58
F-1 : [ 4.904118  11.7903719 -1.2747896] : 78
F-1 : [ 6.794136   9.786422  -1.8844376] : 73
F-1 : [8.127432  8.8344458 0.1031712] : 49
F-1 : [ 3.97152    9.2837679 -1.2958928] : 70
F-1 : [ 5.62041    7.8478038 -0.05862  ] : 66
F-1 : [3.848592  9.3610993 1.2654104] : 30
!!!atention to nb coordination!!!
         [2.2376445168510415, 2.1896223657992575, 2.249851491284233, 2.3451625806201686, 2.1887311687428292, 2.615650705815338, 2.4521803586518387, 2.271895049333991, 2.445450609862478]
         [2.237644516851042, 2.1896223657992575, 2.249851491284233, 2.34516258062017, 2.1887311687428284, 2.6156507058153373, 2.452180358651838, 2.271895049333991, 2.445450609862477]

ce_symbol  = TT_1:9
ce_fraction=  0.3779248966128994
species:coords:index
F-1 : [6.750402  9.7610893 2.0759296] : 53
F-1 : [ 7.370952  11.6730415  0.0695624] : 61
F-1 : [ 4.861566  11.5983767  1.4287648] : 58
F-1 : [ 4.904118  11.7903719 -1.2747896] : 78
F-1 : [ 6.794136   9.786422  -1.8844376] : 73
F-1 : [8.127432  8.8344458 0.1031712] : 49
F-1 : [ 3.97152    9.2837679 -1.2958928] : 70
F-1 : [ 5.62041    7.8478038 -0.05862  ] : 66
F-1 : [3.848592  9.3610993 1.2654104] : 30
!!!atention to nb coordination!!!
         [2.2376445168510415, 2.1896223657992575, 2.249851491284233, 2.3451625806201686, 2.1887311687428292, 2.615650705815338, 2.4521803586518387, 2.271895049333991, 2.445450609862478]
         [2.237644516851042, 2.1896223657992575, 2.249851491284233, 2.34516258062017, 2.1887311687428284, 2.6156507058153373, 2.452180358651838, 2.271895049333991, 2.445450609862477]

ce_symbol  = TT_2:9
ce_fraction=  0.0052069090802326695
species:coords:index
F-1 : [6.750402  9.7610893 2.0759296] : 53
F-1 : [ 7.370952  11.6730415  0.0695624] : 61
F-1 : [ 4.861566  11.5983767  1.4287648] : 58
F-1 : [ 4.904118  11.7903719 -1.2747896] : 78
F-1 : [ 6.794136   9.786422  -1.8844376] : 73
F-1 : [8.127432  8.8344458 0.1031712] : 49
F-1 : [ 3.97152    9.2837679 -1.2958928] : 70
F-1 : [ 5.62041    7.8478038 -0.05862  ] : 66
F-1 : [3.848592  9.3610993 1.2654104] : 30
!!!atention to nb coordination!!!
         [2.2376445168510415, 2.1896223657992575, 2.249851491284233, 2.3451625806201686, 2.1887311687428292, 2.615650705815338, 2.4521803586518387, 2.271895049333991, 2.445450609862478]
         [2.237644516851042, 2.1896223657992575, 2.249851491284233, 2.34516258062017, 2.1887311687428284, 2.6156507058153373, 2.452180358651838, 2.271895049333991, 2.445450609862477]

ce_symbol  = TO_1:9
ce_fraction=  0.0017806912542295617
species:coords:index
F-1 : [6.750402  9.7610893 2.0759296] : 53
F-1 : [ 7.370952  11.6730415  0.0695624] : 61
F-1 : [ 4.861566  11.5983767  1.4287648] : 58
F-1 : [ 4.904118  11.7903719 -1.2747896] : 78
F-1 : [ 6.794136   9.786422  -1.8844376] : 73
F-1 : [8.127432  8.8344458 0.1031712] : 49
F-1 : [ 3.97152    9.2837679 -1.2958928] : 70
F-1 : [ 5.62041    7.8478038 -0.05862  ] : 66
F-1 : [3.848592  9.3610993 1.2654104] : 30
!!!atention to nb coordination!!!
         [2.2376445168510415, 2.1896223657992575, 2.249851491284233, 2.3451625806201686, 2.1887311687428292, 2.615650705815338, 2.4521803586518387, 2.271895049333991, 2.445450609862478]
         [2.237644516851042, 2.1896223657992575, 2.249851491284233, 2.34516258062017, 2.1887311687428284, 2.6156507058153373, 2.452180358651838, 2.271895049333991, 2.445450609862477]


**isite= 12
Er3+1 : [3.0216648  4.49522095 6.10765688]

ce_symbol  = SA:8
ce_fraction=  0.7896602264564857
species:coords:index
F-1 : [3.692568  4.4985542 4.0111712] : 48
F-1 : [5.069598  3.5719107 5.9839296] : 52
F-1 : [1.048434  4.9318767 5.3367648] : 56
F-1 : [3.304872  6.7038324 5.8002536] : 38
F-1 : [2.061408  2.6945993 5.1734104] : 28
F-1 : [2.873442  3.1172554 7.8910336] : 40
F-1 : [4.310754  5.3918652 7.8363216] : 44
F-1 : [1.910112  5.6051932 7.8754016] : 24
!!!atention to nb coordination!!!
         [2.2012211203717946, 2.2498534728362864, 2.1630031514270684, 2.2478139673375344, 2.244359136543738, 2.2585817631568275, 2.335380823503392, 2.3648487093355013]
         [2.2012211203717946, 2.2498534728362864, 2.1630031514270684, 2.247813967337534, 2.2443591365437374, 2.2585817631568275, 2.335380823503392, 2.3648487093355013]

ce_symbol  = SBT:8
ce_fraction=  0.13618715507659324
species:coords:index
F-1 : [3.692568  4.4985542 4.0111712] : 48
F-1 : [5.069598  3.5719107 5.9839296] : 52
F-1 : [1.048434  4.9318767 5.3367648] : 56
F-1 : [3.304872  6.7038324 5.8002536] : 38
F-1 : [2.061408  2.6945993 5.1734104] : 28
F-1 : [2.873442  3.1172554 7.8910336] : 40
F-1 : [4.310754  5.3918652 7.8363216] : 44
F-1 : [1.910112  5.6051932 7.8754016] : 24
!!!atention to nb coordination!!!
         [2.2012211203717946, 2.2498534728362864, 2.1630031514270684, 2.2478139673375344, 2.244359136543738, 2.2585817631568275, 2.335380823503392, 2.3648487093355013]
         [2.2012211203717946, 2.2498534728362864, 2.1630031514270684, 2.247813967337534, 2.2443591365437374, 2.2585817631568275, 2.335380823503392, 2.3648487093355013]

ce_symbol  = DDPN:8
ce_fraction=  0.06197673436641648
species:coords:index
F-1 : [3.692568  4.4985542 4.0111712] : 48
F-1 : [5.069598  3.5719107 5.9839296] : 52
F-1 : [1.048434  4.9318767 5.3367648] : 56
F-1 : [3.304872  6.7038324 5.8002536] : 38
F-1 : [2.061408  2.6945993 5.1734104] : 28
F-1 : [2.873442  3.1172554 7.8910336] : 40
F-1 : [4.310754  5.3918652 7.8363216] : 44
F-1 : [1.910112  5.6051932 7.8754016] : 24
!!!atention to nb coordination!!!
         [2.2012211203717946, 2.2498534728362864, 2.1630031514270684, 2.2478139673375344, 2.244359136543738, 2.2585817631568275, 2.335380823503392, 2.3648487093355013]
         [2.2012211203717946, 2.2498534728362864, 2.1630031514270684, 2.247813967337534, 2.2443591365437374, 2.2585817631568275, 2.335380823503392, 2.3648487093355013]

ce_symbol  = DD:8
ce_fraction=  0.011100759074347724
species:coords:index
F-1 : [3.692568  4.4985542 4.0111712] : 48
F-1 : [5.069598  3.5719107 5.9839296] : 52
F-1 : [1.048434  4.9318767 5.3367648] : 56
F-1 : [3.304872  6.7038324 5.8002536] : 38
F-1 : [2.061408  2.6945993 5.1734104] : 28
F-1 : [2.873442  3.1172554 7.8910336] : 40
F-1 : [4.310754  5.3918652 7.8363216] : 44
F-1 : [1.910112  5.6051932 7.8754016] : 24
!!!atention to nb coordination!!!
         [2.2012211203717946, 2.2498534728362864, 2.1630031514270684, 2.2478139673375344, 2.244359136543738, 2.2585817631568275, 2.335380823503392, 2.3648487093355013]
         [2.2012211203717946, 2.2498534728362864, 2.1630031514270684, 2.247813967337534, 2.2443591365437374, 2.2585817631568275, 2.335380823503392, 2.3648487093355013]

ce_symbol  = BO_3:8
ce_fraction=  0.0010751250261568886
species:coords:index
F-1 : [3.692568  4.4985542 4.0111712] : 48
F-1 : [5.069598  3.5719107 5.9839296] : 52
F-1 : [1.048434  4.9318767 5.3367648] : 56
F-1 : [3.304872  6.7038324 5.8002536] : 38
F-1 : [2.061408  2.6945993 5.1734104] : 28
F-1 : [2.873442  3.1172554 7.8910336] : 40
F-1 : [4.310754  5.3918652 7.8363216] : 44
F-1 : [1.910112  5.6051932 7.8754016] : 24
!!!atention to nb coordination!!!
         [2.2012211203717946, 2.2498534728362864, 2.1630031514270684, 2.2478139673375344, 2.244359136543738, 2.2585817631568275, 2.335380823503392, 2.3648487093355013]
         [2.2012211203717946, 2.2498534728362864, 2.1630031514270684, 2.247813967337534, 2.2443591365437374, 2.2585817631568275, 2.335380823503392, 2.3648487093355013]


**isite= 13
Er3+1 : [8.7983352  8.83777905 2.19965688]

ce_symbol  = SA:8
ce_fraction=  0.7896602264564844
species:coords:index
F-1 : [8.515128  6.6291676 1.8922536] : 39
F-1 : [8.127432  8.8344458 0.1031712] : 49
F-1 : [7.509246  7.9411348 3.9283216] : 45
F-1 : [10.771566   8.4011233  1.4287648] : 57
F-1 : [9.909888  7.7278068 3.9674016] : 25
F-1 : [6.750402  9.7610893 2.0759296] : 53
F-1 : [ 9.758592  10.6384007  1.2654104] : 29
F-1 : [ 8.946558  10.2157446  3.9830336] : 41
!!!atention to nb coordination!!!
         [2.247813967337535, 2.201221120371795, 2.3353808235033915, 2.163003151427069, 2.3648487093355017, 2.2498534728362864, 2.244359136543739, 2.2585817631568275]
         [2.247813967337534, 2.201221120371795, 2.3353808235033915, 2.163003151427069, 2.3648487093355017, 2.2498534728362864, 2.244359136543739, 2.258581763156828]

ce_symbol  = SBT:8
ce_fraction=  0.13618715507659382
species:coords:index
F-1 : [8.515128  6.6291676 1.8922536] : 39
F-1 : [8.127432  8.8344458 0.1031712] : 49
F-1 : [7.509246  7.9411348 3.9283216] : 45
F-1 : [10.771566   8.4011233  1.4287648] : 57
F-1 : [9.909888  7.7278068 3.9674016] : 25
F-1 : [6.750402  9.7610893 2.0759296] : 53
F-1 : [ 9.758592  10.6384007  1.2654104] : 29
F-1 : [ 8.946558  10.2157446  3.9830336] : 41
!!!atention to nb coordination!!!
         [2.247813967337535, 2.201221120371795, 2.3353808235033915, 2.163003151427069, 2.3648487093355017, 2.2498534728362864, 2.244359136543739, 2.2585817631568275]
         [2.247813967337534, 2.201221120371795, 2.3353808235033915, 2.163003151427069, 2.3648487093355017, 2.2498534728362864, 2.244359136543739, 2.258581763156828]

ce_symbol  = DDPN:8
ce_fraction=  0.0619767343664171
species:coords:index
F-1 : [8.515128  6.6291676 1.8922536] : 39
F-1 : [8.127432  8.8344458 0.1031712] : 49
F-1 : [7.509246  7.9411348 3.9283216] : 45
F-1 : [10.771566   8.4011233  1.4287648] : 57
F-1 : [9.909888  7.7278068 3.9674016] : 25
F-1 : [6.750402  9.7610893 2.0759296] : 53
F-1 : [ 9.758592  10.6384007  1.2654104] : 29
F-1 : [ 8.946558  10.2157446  3.9830336] : 41
!!!atention to nb coordination!!!
         [2.247813967337535, 2.201221120371795, 2.3353808235033915, 2.163003151427069, 2.3648487093355017, 2.2498534728362864, 2.244359136543739, 2.2585817631568275]
         [2.247813967337534, 2.201221120371795, 2.3353808235033915, 2.163003151427069, 2.3648487093355017, 2.2498534728362864, 2.244359136543739, 2.258581763156828]

ce_symbol  = DD:8
ce_fraction=  0.011100759074347794
species:coords:index
F-1 : [8.515128  6.6291676 1.8922536] : 39
F-1 : [8.127432  8.8344458 0.1031712] : 49
F-1 : [7.509246  7.9411348 3.9283216] : 45
F-1 : [10.771566   8.4011233  1.4287648] : 57
F-1 : [9.909888  7.7278068 3.9674016] : 25
F-1 : [6.750402  9.7610893 2.0759296] : 53
F-1 : [ 9.758592  10.6384007  1.2654104] : 29
F-1 : [ 8.946558  10.2157446  3.9830336] : 41
!!!atention to nb coordination!!!
         [2.247813967337535, 2.201221120371795, 2.3353808235033915, 2.163003151427069, 2.3648487093355017, 2.2498534728362864, 2.244359136543739, 2.2585817631568275]
         [2.247813967337534, 2.201221120371795, 2.3353808235033915, 2.163003151427069, 2.3648487093355017, 2.2498534728362864, 2.244359136543739, 2.258581763156828]

ce_symbol  = BO_3:8
ce_fraction=  0.0010751250261568973
species:coords:index
F-1 : [8.515128  6.6291676 1.8922536] : 39
F-1 : [8.127432  8.8344458 0.1031712] : 49
F-1 : [7.509246  7.9411348 3.9283216] : 45
F-1 : [10.771566   8.4011233  1.4287648] : 57
F-1 : [9.909888  7.7278068 3.9674016] : 25
F-1 : [6.750402  9.7610893 2.0759296] : 53
F-1 : [ 9.758592  10.6384007  1.2654104] : 29
F-1 : [ 8.946558  10.2157446  3.9830336] : 41
!!!atention to nb coordination!!!
         [2.247813967337535, 2.201221120371795, 2.3353808235033915, 2.163003151427069, 2.3648487093355017, 2.2498534728362864, 2.244359136543739, 2.2585817631568275]
         [2.247813967337534, 2.201221120371795, 2.3353808235033915, 2.163003151427069, 2.3648487093355017, 2.2498534728362864, 2.244359136543739, 2.258581763156828]


**isite= 14
Er3+1 : [ 2.8883352  11.16172095  2.19965688]

ce_symbol  = SA:8
