cif name= ./4331414.cif
./4331414.cif
Full Formula (Au4 Xe8 F68)
         [1.8630085457849783]
         [1.8630085457849794]


**isite= 58
F1 : [6.458889  5.091032  4.9819968]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [7.2801505 6.4065    6.0144087] : 5
!!!atention to nb coordination!!!
         [1.863008545784982]
         [1.8630085457849812]


**isite= 59
F1 : [ 7.213611   3.450968  12.8449968]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [ 6.3923495  2.1355    13.8774087] : 4
!!!atention to nb coordination!!!
         [1.8630085457849808]
         [1.86300854578498]


**isite= 60
F1 : [5.877352  0.8764092 2.4815628]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [7.2074128  2.1355     2.52701094] : 8
!!!atention to nb coordination!!!
         [1.8320581070945172]
         [1.8320581070945166]


**isite= 61
F1 : [ 7.795148   7.6655908 10.3445628]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [ 6.4650872   6.4065     10.39001094] : 9
!!!atention to nb coordination!!!
         [1.832058107094516]
         [1.832058107094517]


**isite= 62
F1 : [1.319852  3.3945908 5.3814372]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [2.6499128  2.1355     5.33598906] : 10


**isite= 63
F1 : [ 3.237648   5.1474092 13.2444372]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [ 1.9075872   6.4065     13.19898906] : 11
!!!atention to nb coordination!!!
         [1.8320581070945159]
         [1.832058107094516]


**isite= 64
F1 : [ 3.237648   7.6655908 13.2444372]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [ 1.9075872   6.4065     13.19898906] : 11
!!!atention to nb coordination!!!
         [1.8320581070945166]
         [1.8320581070945168]


**isite= 65
F1 : [1.319852  0.8764092 5.3814372]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [2.6499128  2.1355     5.33598906] : 10


**isite= 66
F1 : [ 7.795148   5.1474092 10.3445628]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [ 6.4650872   6.4065     10.39001094] : 9
!!!atention to nb coordination!!!
         [1.8320581070945157]
         [1.8320581070945163]


**isite= 67
F1 : [5.877352  3.3945908 2.4815628]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [7.2074128  2.1355     2.52701094] : 8
!!!atention to nb coordination!!!
         [1.8320581070945172]
         [1.8320581070945166]


**isite= 68
F1 : [6.69041   2.1355    4.2869076]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [7.2074128  2.1355     2.52701094] : 8
!!!atention to nb coordination!!!
         [1.8342650160451186]
         [1.834265016045119]


**isite= 69
F1 : [ 6.98209    6.4065    12.1499076]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [ 6.4650872   6.4065     10.39001094] : 9
!!!atention to nb coordination!!!
         [1.8342650160451204]
         [1.8342650160451206]


**isite= 70
F1 : [2.13291   2.1355    3.5760924]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [2.6499128  2.1355     5.33598906] : 10
!!!atention to nb coordination!!!
         [1.8342650160451197]
         [1.834265016045119]


**isite= 71
F1 : [ 2.42459    6.4065    11.4390924]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Xe1 : [ 1.9075872   6.4065     13.19898906] : 11
!!!atention to nb coordination!!!
         [1.8342650160451206]
         [1.8342650160451188]


**isite= 72
F1 : [6.597437  2.1355    0.3994404]

ce_symbol  = TT_2:9
ce_fraction=  1.0
species:coords:index
F1 : [5.877352  3.3945908 2.4815628] : 67
Xe1 : [7.2074128  2.1355     2.52701094] : 8
F1 : [5.877352  0.8764092 2.4815628] : 60
F1 : [7.6684495 4.552886  0.3711336] : 46
F1 : [ 8.9846555  2.1355    -1.3477182] : 22
F1 : [ 7.6684495 -0.281886   0.3711336] : 41
F1 : [ 5.2019305  3.4056954 -1.320984 ] : 35
F1 : [ 5.2019305  0.8653046 -1.320984 ] : 28
Xe1 : [ 6.3923495  2.1355    -1.8485913] : 4
!!!atention to nb coordination!!!
         [2.537531426101244, 2.21328418402643, 2.537531426101244, 2.644167945323916, 2.9582723573559275, 2.644167945323916, 2.55356512778483, 2.55356512778483, 2.257367361964179]
         [2.537531426101244, 2.213284184026429, 2.537531426101244, 2.644167945323915, 2.9582723573559275, 2.644167945323915, 2.553565127784832, 2.553565127784832, 2.257367361964181]


**isite= 73
F1 : [7.075063  6.4065    8.2624404]

ce_symbol  = TT_2:9
ce_fraction=  1.0
species:coords:index
Xe1 : [ 6.4650872   6.4065     10.39001094] : 9
F1 : [ 7.795148   7.6655908 10.3445628] : 61
F1 : [ 7.795148   5.1474092 10.3445628] : 66
Xe1 : [7.2801505 6.4065    6.0144087] : 5
F1 : [8.4705695 5.1363046 6.542016 ] : 34
F1 : [6.0040505 3.989114  8.2341336] : 47
F1 : [4.6878445 6.4065    6.5152818] : 23
F1 : [8.4705695 7.6766954 6.542016 ] : 29
F1 : [6.0040505 8.823886  8.2341336] : 40
!!!atention to nb coordination!!!
         [2.2132841840264272, 2.5375314261012454, 2.537531426101245, 2.257367361964181, 2.553565127784831, 2.644167945323914, 2.958272357355927, 2.553565127784832, 2.6441679453239155]
         [2.2132841840264272, 2.537531426101244, 2.5375314261012436, 2.257367361964182, 2.5535651277848315, 2.644167945323915, 2.9582723573559275, 2.553565127784832, 2.6441679453239155]


**isite= 74
F1 : [2.039937  2.1355    7.4635596]

ce_symbol  = TT_2:9
ce_fraction=  1.0
species:coords:index
F1 : [0.6444305 0.8653046 9.183984 ] : 33
Xe1 : [1.8348495 2.1355    9.7115913] : 6
F1 : [1.319852  3.3945908 5.3814372] : 62
F1 : [0.6444305 3.4056954 9.183984 ] : 30
F1 : [3.1109495 4.552886  7.4918664] : 43
Xe1 : [2.6499128  2.1355     5.33598906] : 10
F1 : [4.4271555 2.1355    9.2107182] : 20
F1 : [ 3.1109495 -0.281886   7.4918664] : 44
F1 : [1.319852  0.8764092 5.3814372] : 65
!!!atention to nb coordination!!!
         [2.553565127784833, 2.2573673619641834, 2.5375314261012427, 2.553565127784833, 2.644167945323916, 2.213284184026428, 2.9582723573559284, 2.644167945323916, 2.5375314261012427]
         [2.5535651277848315, 2.2573673619641816, 2.5375314261012436, 2.5535651277848315, 2.644167945323916, 2.213284184026429, 2.9582723573559275, 2.644167945323916, 2.5375314261012436]


**isite= 75
F1 : [ 2.517563   6.4065    15.3265596]

ce_symbol  = TT_2:9
ce_fraction=  1.0
species:coords:index
Xe1 : [ 1.9075872   6.4065     13.19898906] : 11
F1 : [ 3.237648   5.1474092 13.2444372] : 63
Xe1 : [ 2.7226505  6.4065    17.5745913] : 7
F1 : [ 3.237648   7.6655908 13.2444372] : 64
F1 : [ 3.9130695  7.6766954 17.046984 ] : 32
F1 : [ 1.4465505  3.989114  15.3548664] : 42
F1 : [ 1.4465505  8.823886  15.3548664] : 45
F1 : [ 3.9130695  5.1363046 17.046984 ] : 31
F1 : [ 0.1303445  6.4065    17.0737182] : 21
!!!atention to nb coordination!!!
         [2.2132841840264272, 2.537531426101242, 2.2573673619641808, 2.5375314261012423, 2.5535651277848324, 2.644167945323915, 2.644167945323916, 2.5535651277848315, 2.9582723573559258]
         [2.213284184026429, 2.537531426101243, 2.2573673619641808, 2.537531426101244, 2.553565127784832, 2.6441679453239155, 2.644167945323916, 2.5535651277848315, 2.9582723573559258]


**isite= 76
F1 : [7.56545   2.1355    7.2229518]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [6.0007691  2.1355     8.21950842] : 0


**isite= 77
F1 : [ 6.10705    6.4065    15.0859518]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [ 7.6717309   6.4065     16.08250842] : 1
!!!atention to nb coordination!!!
         [1.855087980579529]
         [1.8550879805795282]


**isite= 78
F1 : [3.00795   2.1355    0.6400482]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [ 1.4432691   2.1355     -0.35650842] : 2
!!!atention to nb coordination!!!
         [1.8550879805795268]
         [1.8550879805795284]


**isite= 79
F1 : [1.54955   6.4065    8.5030482]

ce_symbol  = S:1
ce_fraction=  1.0
species:coords:index
Au1 : [3.1142309  6.4065     7.50649158] : 3

END

